** /proj/evolang2022/tiago/ST2022/data-surprise/bantubvd/solutions-0.10.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Duhumbi          0.8682        0.3563       0.5249         0.5376       0.7811        0.3143       0.6145         0.5910
Jerigaon         0.6123        0.2738       0.6801         0.6451       0.8656        0.3783       0.6248         0.5191
Khispi           0.7816        0.3179       0.5652         0.5838       0.7295        0.2932       0.6432         0.6091
Khoina           0.6912        0.3076       0.6386         0.6031       0.9724        0.4330       0.5586         0.4666
Khoitam          0.3834        0.1670       0.7691         0.7753       0.6174        0.2651       0.6940         0.6447
Rahung           0.4176        0.1781       0.7459         0.7663       0.6749        0.2936       0.6742         0.6245
Rupa             0.5533        0.2300       0.7001         0.6902       0.7644        0.3315       0.6250         0.5608
Shergaon         0.6619        0.2924       0.6435         0.6161       0.7376        0.3203       0.6075         0.5769
TOTAL            0.6212        0.2654       0.6584         0.6522       0.7679        0.3287       0.6302         0.5741


** /proj/evolang2022/tiago/ST2022/data-surprise/bremerberta/solutions-0.10.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
BelejeGonfoye       2.3000        0.4395       0.6394         0.3691       1.3500        0.2468       0.7144         0.6604
Fadashi             1.0500        0.1880       0.7893         0.6979       0.8000        0.1540       0.8567         0.7415
Maiyu               1.7500        0.3449       0.7427         0.4668       0.8500        0.1549       0.8197         0.7378
Undulu              1.8000        0.3333       0.7036         0.4714       1.1500        0.1989       0.7753         0.6861
TOTAL               1.7250        0.3264       0.7187         0.5013       1.0375        0.1887       0.7915         0.7065


** /proj/evolang2022/tiago/ST2022/data-surprise/bremerberta/solutions-0.20.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
BelejeGonfoye       2.1220        0.4103       0.6285         0.3820       1.9512        0.3756       0.5783         0.4434
Fadashi             1.1951        0.2276       0.7271         0.6347       1.2439        0.2449       0.7066         0.6212
Maiyu               1.9512        0.3707       0.6594         0.4440       1.2927        0.2526       0.7011         0.5927
Undulu              1.4390        0.2701       0.6773         0.5699       1.1951        0.2272       0.7287         0.6271
TOTAL               1.6768        0.3197       0.6731         0.5076       1.4207        0.2751       0.6787         0.5711


** /proj/evolang2022/tiago/ST2022/data-surprise/bremerberta/solutions-0.30.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
BelejeGonfoye       2.5738        0.4784       0.5585         0.3197       2.2131        0.4304       0.5404         0.3547
Fadashi             1.2787        0.2395       0.6877         0.6282       1.3607        0.2550       0.6717         0.6122
Maiyu               1.9667        0.3707       0.6084         0.4389       1.4000        0.2784       0.6747         0.5705
Undulu              1.5246        0.2857       0.6650         0.5704       1.4918        0.2758       0.6617         0.5815
TOTAL               1.8359        0.3436       0.6299         0.4893       1.6164        0.3099       0.6371         0.5297


** /proj/evolang2022/tiago/ST2022/data-surprise/bremerberta/solutions-0.40.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
BelejeGonfoye       2.9306        0.5453       0.4996         0.2776       2.7083        0.4992       0.4579         0.2873
Fadashi             1.7927        0.3205       0.6133         0.5165       1.6220        0.2990       0.6227         0.5490
Maiyu               2.4935        0.4490       0.5476         0.3560       1.8961        0.3533       0.6052         0.4696
Undulu              2.0533        0.3824       0.6049         0.4151       1.6133        0.2906       0.6299         0.5570
TOTAL               2.3175        0.4243       0.5664         0.3913       1.9599        0.3605       0.5789         0.4658


** /proj/evolang2022/tiago/ST2022/data-surprise/bremerberta/solutions-0.50.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
BelejeGonfoye       3.0482        0.5612       0.4723         0.2748       3.0602        0.5786       0.3754         0.2329
Fadashi             2.0000        0.3658       0.5641         0.4603       1.8485        0.3352       0.5860         0.5079
Maiyu               2.7204        0.5011       0.5252         0.2915       2.0108        0.3738       0.5794         0.4522
Undulu              2.3407        0.4412       0.5702         0.3411       1.9560        0.3590       0.5612         0.4772
TOTAL               2.5273        0.4673       0.5329         0.3419       2.2189        0.4117       0.5255         0.4175


** /proj/evolang2022/tiago/ST2022/data-surprise/deepadungpalaung/solutions-0.10.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
BanPaw              0.9000        0.3667       0.7688         0.4858       0.3500        0.1333       0.8936         0.8106
ChaYeQing           1.1000        0.4583       0.7239         0.4133       0.7500        0.3083       0.8324         0.5633
ChuDongGua          1.4000        0.5208       0.6711         0.3128       1.1000        0.4042       0.7796         0.4399
GuangKa             0.8000        0.3250       0.8347         0.5633       0.5000        0.2000       0.9013         0.7114
HtanHsan            1.1500        0.4500       0.7803         0.4013       0.8000        0.2833       0.8210         0.6024
KhunHawt            1.2500        0.4750       0.7387         0.3666       1.0500        0.3917       0.7503         0.4905
MangBang            0.8500        0.3250       0.7707         0.5674       1.0500        0.4167       0.8078         0.4710
ManLoi              1.2000        0.4750       0.7309         0.3692       1.2000        0.4833       0.7899         0.4137
MengDan             1.2500        0.4542       0.7019         0.3985       1.0500        0.3958       0.7291         0.4686
NamHsan             1.2000        0.4583       0.7398         0.4133       1.0000        0.3667       0.8024         0.5073
NanSang             0.6500        0.2583       0.8427         0.6559       0.6000        0.2333       0.8412         0.6793
NoeLae              0.8500        0.3500       0.8085         0.4973       0.6500        0.2417       0.8163         0.6405
NyaungGone          0.9500        0.3917       0.8098         0.4707       0.6000        0.2250       0.8537         0.6675
PangKham            1.0500        0.3917       0.7515         0.4862       0.8000        0.2917       0.7438         0.5945
PongNuea            1.2000        0.4917       0.7803         0.3551       0.9000        0.3583       0.8156         0.5092
XiangZhaiTang       1.4000        0.5333       0.7021         0.3013       0.6500        0.2417       0.8509         0.6405
TOTAL               1.0750        0.4203       0.7597         0.4411       0.8156        0.3109       0.8143         0.5756


** /proj/evolang2022/tiago/ST2022/data-surprise/deepadungpalaung/solutions-0.20.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
BanPaw              1.1538        0.4252       0.6937         0.4543       0.7179        0.2466       0.7909         0.6463
ChaYeQing           1.5385        0.5620       0.5867         0.3004       1.3333        0.4829       0.6536         0.3923
ChuDongGua          1.4872        0.5436       0.6228         0.2993       1.4615        0.5316       0.6568         0.3243
GuangKa             1.2051        0.4402       0.7004         0.4133       1.0000        0.3803       0.6935         0.4860
HtanHsan            1.5128        0.5278       0.5836         0.3526       1.5641        0.5662       0.5352         0.3138
KhunHawt            1.5641        0.5534       0.5850         0.3039       1.5897        0.5705       0.5819         0.3138
MangBang            1.1538        0.4209       0.6691         0.4412       1.4359        0.5380       0.6440         0.3213
ManLoi              1.2564        0.4701       0.7078         0.3772       1.4103        0.5090       0.6625         0.3794
MengDan             1.4872        0.5325       0.6588         0.3430       1.4103        0.5111       0.6287         0.3302
NamHsan             1.3846        0.5073       0.6458         0.3522       1.4359        0.5201       0.6539         0.3146
NanSang             1.0513        0.3803       0.7303         0.5048       0.9744        0.3611       0.7427         0.5128
NoeLae              1.0513        0.3910       0.7297         0.4778       0.6667        0.2372       0.8031         0.6498
NyaungGone          1.1026        0.4124       0.7285         0.4439       0.6667        0.2316       0.7784         0.6656
PangKham            1.0769        0.3889       0.7394         0.4728       1.0000        0.3654       0.7210         0.5119
PongNuea            1.3077        0.4936       0.6955         0.3590       1.1538        0.4239       0.6975         0.4367
XiangZhaiTang       1.5128        0.5628       0.6664         0.2835       1.2051        0.4474       0.7439         0.4098
TOTAL               1.3029        0.4757       0.6715         0.3862       1.1891        0.4327       0.6867         0.4380


** /proj/evolang2022/tiago/ST2022/data-surprise/deepadungpalaung/solutions-0.30.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
BanPaw              1.2542        0.4534       0.6297         0.4225       0.8814        0.3037       0.7363         0.5915
ChaYeQing           1.5000        0.5432       0.5582         0.3226       1.3750        0.5030       0.5609         0.3585
ChuDongGua          1.6610        0.5994       0.5120         0.2550       1.4915        0.5345       0.5571         0.3178
GuangKa             1.2712        0.4534       0.6184         0.4100       0.8983        0.3333       0.7027         0.5355
HtanHsan            1.4576        0.4944       0.5535         0.3903       1.2542        0.4469       0.5940         0.4254
KhunHawt            1.5593        0.5297       0.5379         0.3434       1.2373        0.4393       0.5741         0.4342
MangBang            1.2373        0.4421       0.6022         0.4152       1.6949        0.6006       0.5148         0.2559
ManLoi              1.3220        0.4831       0.6383         0.3631       1.4237        0.5201       0.6036         0.3397
MengDan             1.6102        0.5653       0.5263         0.3135       1.5254        0.5449       0.5431         0.2930
NamHsan             1.4068        0.5020       0.5884         0.3503       1.4576        0.5054       0.5454         0.3315
NanSang             1.1695        0.4124       0.6319         0.4581       1.0678        0.3941       0.6574         0.4770
NoeLae              1.0847        0.3969       0.6916         0.4667       0.9492        0.3263       0.7083         0.5654
NyaungGone          1.1186        0.4082       0.6807         0.4522       0.9153        0.3263       0.7297         0.5602
PangKham            1.1525        0.4124       0.6815         0.4484       1.4407        0.5198       0.5719         0.3324
PongNuea            1.2373        0.4619       0.6522         0.3941       1.0169        0.3757       0.6891         0.5003
XiangZhaiTang       1.5254        0.5534       0.5674         0.2838       1.2034        0.4384       0.6549         0.4274
TOTAL               1.3480        0.4819       0.6044         0.3806       1.2395        0.4445       0.6215         0.4216


** /proj/evolang2022/tiago/ST2022/data-surprise/deepadungpalaung/solutions-0.40.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
BanPaw              1.3896        0.5141       0.5785         0.3591       1.3636        0.5011       0.5987         0.3731
ChaYeQing           1.5811        0.5845       0.5250         0.2801       1.6622        0.5878       0.4509         0.2698
ChuDongGua          1.6883        0.6141       0.4826         0.2418       1.5974        0.5632       0.5039         0.2852
GuangKa             1.7763        0.5803       0.4666         0.2770       1.6184        0.6031       0.4433         0.2647
HtanHsan            1.4400        0.4951       0.5544         0.3930       1.6133        0.5644       0.4519         0.3106
KhunHawt            1.5694        0.5373       0.5363         0.3360       1.5556        0.5523       0.4688         0.3285
MangBang            1.4605        0.5296       0.5132         0.3100       2.1316        0.7557       0.3466         0.1465
ManLoi              1.5256        0.5662       0.5624         0.2961       1.7692        0.6526       0.4589         0.2157
MengDan             1.8533        0.6553       0.4632         0.2487       1.9467        0.6971       0.3362         0.1895
NamHsan             1.6623        0.5989       0.4770         0.2684       1.8182        0.6173       0.4511         0.2502
NanSang             1.6184        0.5855       0.4762         0.2745       1.6842        0.6206       0.4504         0.2571
NoeLae              1.1795        0.4370       0.6216         0.4143       1.4103        0.5214       0.5325         0.3408
NyaungGone          1.1818        0.4405       0.6267         0.4115       1.2338        0.4600       0.5973         0.3970
PangKham            1.2208        0.4448       0.6259         0.4227       1.6104        0.5909       0.4798         0.2696
PongNuea            1.3766        0.5115       0.5764         0.3490       1.4545        0.5398       0.5256         0.3165
XiangZhaiTang       1.5789        0.5842       0.5055         0.2559       1.4079        0.5285       0.5340         0.3137
TOTAL               1.5064        0.5424       0.5370         0.3211       1.6173        0.5847       0.4769         0.2830


** /proj/evolang2022/tiago/ST2022/data-surprise/deepadungpalaung/solutions-0.50.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
BanPaw              1.7527        0.6523       0.4740         0.2454       1.8172        0.6504       0.4090         0.2196
ChaYeQing           1.7444        0.6441       0.4619         0.2423       2.0000        0.7117       0.3522         0.1789
ChuDongGua          1.8495        0.6652       0.4327         0.2051       2.2366        0.7848       0.2784         0.1101
GuangKa             1.8222        0.5941       0.4277         0.2739       2.1000        0.6998       0.3396         0.1985
HtanHsan            1.6747        0.5689       0.4845         0.3206       1.6145        0.5512       0.4588         0.3220
KhunHawt            1.4872        0.5184       0.5622         0.3621       1.8590        0.6271       0.4085         0.2548
MangBang            1.4725        0.5357       0.4942         0.3135       2.0659        0.7434       0.3125         0.1576
ManLoi              1.5789        0.5868       0.5231         0.2939       1.8316        0.6349       0.3835         0.2500
MengDan             1.9551        0.6865       0.4057         0.2113       2.3523        0.8178       0.2363         0.0906
NamHsan             1.6667        0.5927       0.4671         0.2793       1.8095        0.6234       0.4144         0.2435
NanSang             1.8065        0.6102       0.4056         0.2713       2.0108        0.6606       0.3148         0.2473
NoeLae              1.3438        0.4948       0.5897         0.3776       1.4167        0.5174       0.5193         0.3512
NyaungGone          1.3936        0.4998       0.5573         0.3497       1.5213        0.5548       0.5070         0.3091
PangKham            1.5376        0.5579       0.5335         0.3105       1.8602        0.6487       0.3647         0.2239
PongNuea            1.2872        0.4801       0.5848         0.3884       1.6064        0.5894       0.4692         0.2759
XiangZhaiTang       1.5699        0.5763       0.4818         0.2785       2.0000        0.6848       0.3669         0.1884
TOTAL               1.6214        0.5790       0.4929         0.2952       1.8814        0.6563       0.3834         0.2263


** /proj/evolang2022/tiago/ST2022/data-surprise/hillburmish/solutions-0.10.tsv
Language           ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
---------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
AchangLongchuan       1.1522        0.2978       0.6625         0.5789       1.4565        0.3880       0.5867         0.4787
Atsi                  1.2553        0.3213       0.6141         0.5718       1.2553        0.3362       0.6156         0.5565
Bola                  0.7727        0.2178       0.7467         0.6692       0.8182        0.2269       0.7762         0.6676
Lashi                 1.8298        0.4904       0.5224         0.3720       1.7660        0.4816       0.5666         0.3751
Maru                  1.0870        0.3029       0.6730         0.5854       1.0435        0.2909       0.6963         0.6070
OldBurmese            0.7949        0.2650       0.7593         0.6330       1.0769        0.3397       0.6444         0.5051
ProtoBurmish          0.6383        0.1702       0.8175         0.7514       0.9149        0.2461       0.7611         0.6514
Rangoon               1.9574        0.5280       0.4664         0.3449       1.6170        0.4550       0.5272         0.4405
Xiandao               1.3617        0.3681       0.5968         0.5162       1.6596        0.4528       0.5262         0.3843
TOTAL                 1.2055        0.3291       0.6510         0.5581       1.2898        0.3575       0.6334         0.5185


** /proj/evolang2022/tiago/ST2022/data-surprise/hillburmish/solutions-0.20.tsv
Language           ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
---------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
AchangLongchuan       1.3523        0.3364       0.5982         0.5531       1.7386        0.4498       0.5402         0.4178
Atsi                  1.1505        0.2984       0.6178         0.5995       1.1935        0.3213       0.6148         0.5594
Bola                  0.7907        0.2233       0.7250         0.6610       0.8256        0.2256       0.7265         0.6641
Lashi                 1.7391        0.4676       0.5181         0.3987       1.7391        0.4721       0.5413         0.3798
Maru                  0.9318        0.2564       0.6873         0.6483       0.9545        0.2572       0.6830         0.6326
OldBurmese            0.8246        0.2588       0.7639         0.6311       0.7895        0.2573       0.7237         0.6254
ProtoBurmish          0.8280        0.2079       0.7446         0.6878       0.7742        0.2134       0.7670         0.6920
Rangoon               2.1461        0.5706       0.3889         0.3015       1.8315        0.5238       0.4427         0.3488
Xiandao               1.2717        0.3567       0.5950         0.5108       1.5000        0.4179       0.5283         0.4400
TOTAL                 1.2261        0.3307       0.6266         0.5546       1.2607        0.3487       0.6186         0.5289


** /proj/evolang2022/tiago/ST2022/data-surprise/hillburmish/solutions-0.30.tsv
Language           ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
---------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
AchangLongchuan       1.4087        0.3532       0.5806         0.5168       1.4957        0.3809       0.5732         0.4780
Atsi                  1.2701        0.3363       0.5961         0.5459       1.3650        0.3622       0.5715         0.5147
Bola                  0.8760        0.2431       0.6848         0.6487       1.2149        0.3410       0.6270         0.5202
Lashi                 1.8832        0.4979       0.4940         0.3635       1.8175        0.4814       0.5042         0.3621
Maru                  1.0800        0.2959       0.6392         0.5992       1.2000        0.3107       0.6162         0.5592
OldBurmese            1.1644        0.3537       0.6952         0.5035       1.4247        0.4299       0.5883         0.4112
ProtoBurmish          1.0000        0.2473       0.7092         0.6353       1.0072        0.2804       0.6784         0.5949
Rangoon               2.3889        0.6694       0.3232         0.2142       2.3333        0.6554       0.3078         0.2182
Xiandao               1.5693        0.4331       0.5131         0.4252       1.8467        0.5156       0.4397         0.3117
TOTAL                 1.4045        0.3811       0.5817         0.4947       1.5228        0.4175       0.5451         0.4411


** /proj/evolang2022/tiago/ST2022/data-surprise/hillburmish/solutions-0.40.tsv
Language           ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
---------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
AchangLongchuan       1.4029        0.3506       0.5599         0.5237       1.8489        0.4639       0.4929         0.3815
Atsi                  1.5989        0.4104       0.5202         0.4392       2.1374        0.5228       0.4532         0.3242
Bola                  0.9281        0.2537       0.6723         0.6313       1.4183        0.3858       0.5704         0.4748
Lashi                 2.0944        0.5440       0.4498         0.2990       2.3500        0.5756       0.4201         0.2875
Maru                  1.1313        0.2951       0.6252         0.5950       1.6250        0.3904       0.5449         0.4658
OldBurmese            1.2558        0.3878       0.6414         0.4786       1.2093        0.3787       0.6084         0.4994
ProtoBurmish          1.0838        0.2632       0.6856         0.6113       1.2291        0.2963       0.6269         0.5856
Rangoon               2.5677        0.7203       0.2760         0.1723       2.8129        0.7887       0.2569         0.1161
Xiandao               2.1345        0.5811       0.3953         0.2679       2.5088        0.6605       0.3181         0.2055
TOTAL                 1.5775        0.4229       0.5362         0.4465       1.9044        0.4959       0.4769         0.3712


** /proj/evolang2022/tiago/ST2022/data-surprise/hillburmish/solutions-0.50.tsv
Language           ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
---------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
AchangLongchuan       1.7826        0.4477       0.5058         0.4113       2.0435        0.5026       0.4393         0.3513
Atsi                  2.4444        0.6326       0.3897         0.2341       2.8565        0.7032       0.2655         0.1664
Bola                  1.1304        0.3011       0.6245         0.5638       1.6739        0.4312       0.5263         0.4038
Lashi                 3.0622        0.7867       0.3052         0.1190       2.9139        0.7256       0.2504         0.1460
Maru                  1.2474        0.3337       0.6089         0.5433       1.6579        0.4023       0.5135         0.4400
OldBurmese            1.5859        0.4579       0.5585         0.3907       1.3030        0.3786       0.5677         0.4901
ProtoBurmish          1.5721        0.3647       0.5892         0.4993       1.3628        0.3362       0.5858         0.5240
Rangoon               3.0471        0.8425       0.2269         0.0909       2.9353        0.7981       0.2581         0.1108
Xiandao               3.2938        0.7735       0.3278         0.1481       3.3814        0.8046       0.2598         0.1172
TOTAL                 2.1295        0.5489       0.4596         0.3334       2.2365        0.5647       0.4074         0.3055


** /proj/evolang2022/tiago/ST2022/data-surprise/kesslersignificance/solutions-0.10.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Albanian         3.3125        0.7135       0.4065         0.1299       2.7143        0.7714       0.4081         0.0796
English          2.8500        0.7295       0.5241         0.1530       1.7500        0.5771       0.6468         0.2391
French           2.6500        0.7599       0.5304         0.1339       2.2222        0.6398       0.5396         0.1434
German           2.1000        0.6158       0.5590         0.2318       2.2222        0.6500       0.4944         0.1657
Latin            2.9524        0.7008       0.4411         0.1610       2.2857        0.5508       0.4988         0.2595
TOTAL            2.7730        0.7039       0.4922         0.1619       2.2389        0.6378       0.5176         0.1775


** /proj/evolang2022/tiago/ST2022/data-surprise/kesslersignificance/solutions-0.20.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Albanian         3.4211        0.7555       0.3659         0.0857       3.1538        0.8223       0.3516         0.0159
English          2.8421        0.6831       0.4249         0.1831       1.7949        0.5983       0.5292         0.2367
French           3.0769        0.7832       0.3600         0.1111       2.2927        0.6829       0.3858         0.1581
German           2.4146        0.6703       0.4290         0.1597       2.1842        0.6132       0.5205         0.1741
Latin            2.9024        0.6562       0.3957         0.1815       2.3415        0.5317       0.4432         0.2769
TOTAL            2.9314        0.7097       0.3951         0.1442       2.3534        0.6497       0.4461         0.1723


** /proj/evolang2022/tiago/ST2022/data-surprise/kesslersignificance/solutions-0.30.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Albanian         3.3043        0.8010       0.3545         0.0990       3.7143        0.8248       0.4282         0.0002
English          2.9821        0.7423       0.3763         0.1299       2.2727        0.6606       0.4317         0.1951
French           3.1250        0.8227       0.3290         0.0727       2.3929        0.7033       0.3474         0.1677
German           2.6545        0.6666       0.3898         0.1675       2.3774        0.6531       0.4311         0.1845
Latin            3.4237        0.7964       0.2783         0.0876       2.7500        0.5964       0.3731         0.2431
TOTAL            3.0980        0.7658       0.3456         0.1113       2.7014        0.6876       0.4023         0.1581


** /proj/evolang2022/tiago/ST2022/data-surprise/kesslersignificance/solutions-0.40.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Albanian         4.1765        0.9284       0.3013         0.0292       3.2143        0.8378       0.2396         0.0590
English          3.7015        0.8833       0.3133         0.0409       2.2239        0.6331       0.3789         0.2205
French           3.9714        0.9123       0.2995         0.0299       2.4545        0.6785       0.3464         0.1620
German           4.0303        0.8544       0.3350         0.0646       2.7576        0.6229       0.3762         0.2328
Latin            3.6892        0.8292       0.2688         0.0785       3.0270        0.6366       0.3160         0.2044
TOTAL            3.9138        0.8815       0.3036         0.0486       2.7355        0.6818       0.3314         0.1757


** /proj/evolang2022/tiago/ST2022/data-surprise/kesslersignificance/solutions-0.50.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Albanian         4.3784        0.9409       0.2885         0.0202       3.3226        0.8376       0.2544         0.0625
English          3.6351        0.8760       0.2983         0.0490       2.3649        0.6514       0.3791         0.1922
French           4.3976        0.9421       0.2734         0.0226       2.7564        0.7672       0.2909         0.1000
German           3.9306        0.8445       0.3293         0.0694       2.6667        0.6135       0.3573         0.2331
Latin            3.9770        0.8685       0.2187         0.0652       3.3333        0.6866       0.2679         0.1674
TOTAL            4.0637        0.8944       0.2816         0.0453       2.8888        0.7113       0.3099         0.1511


** /proj/evolang2022/tiago/ST2022/data-surprise/luangthongkumkaren/solutions-0.10.tsv
Language       ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Kayah             0.1316        0.0417       0.9564         0.9297       0.1316        0.0395       0.9373         0.9340
Kayan             0.4474        0.1105       0.9064         0.8060       0.3684        0.0868       0.8914         0.8525
Kayaw             0.1316        0.0373       0.9886         0.9377       0.1579        0.0439       0.9571         0.9278
NorthernPao       0.2632        0.0575       0.9290         0.9086       0.2368        0.0592       0.9486         0.9038
NorthernPwo       0.7895        0.2083       0.8171         0.6759       0.5263        0.1399       0.8529         0.7774
ProtoKaren        0.4211        0.1061       0.9196         0.8182       0.4474        0.1132       0.8954         0.8282
SouthernPao       0.2105        0.0456       0.9399         0.9273       0.0789        0.0184       0.9678         0.9678
WesternBwe        0.6316        0.2083       0.8259         0.6952       0.3947        0.1338       0.8523         0.8072
TOTAL             0.3783        0.1019       0.9103         0.8373       0.2928        0.0793       0.9128         0.8748


** /proj/evolang2022/tiago/ST2022/data-surprise/luangthongkumkaren/solutions-0.20.tsv
Language       ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Kayah             0.2368        0.0680       0.9259         0.8865       0.2895        0.0833       0.8763         0.8677
Kayan             0.5263        0.1276       0.8428         0.7968       0.4737        0.1149       0.8471         0.8178
Kayaw             0.2237        0.0669       0.9397         0.8944       0.3158        0.0943       0.8853         0.8491
NorthernPao       0.3289        0.0730       0.8864         0.8824       0.3421        0.0822       0.9022         0.8724
NorthernPwo       0.7632        0.2046       0.8082         0.6784       0.5921        0.1599       0.8045         0.7658
ProtoKaren        0.5000        0.1257       0.8717         0.7909       0.4605        0.1191       0.8743         0.8081
SouthernPao       0.3816        0.0851       0.8760         0.8608       0.2368        0.0548       0.9236         0.9125
WesternBwe        0.8158        0.2572       0.7824         0.6296       0.5395        0.1711       0.7987         0.7458
TOTAL             0.4720        0.1260       0.8667         0.8025       0.4062        0.1100       0.8640         0.8299


** /proj/evolang2022/tiago/ST2022/data-surprise/luangthongkumkaren/solutions-0.30.tsv
Language       ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Kayah             0.2281        0.0702       0.9100         0.8847       0.3070        0.0928       0.8731         0.8531
Kayan             0.5088        0.1262       0.8441         0.7949       0.4561        0.1165       0.8460         0.8140
Kayaw             0.1667        0.0512       0.9459         0.9136       0.3860        0.1221       0.8631         0.8062
NorthernPao       0.3684        0.0842       0.8845         0.8656       0.4123        0.1038       0.8858         0.8355
NorthernPwo       1.0088        0.2740       0.7822         0.6022       0.7105        0.1893       0.7724         0.7189
ProtoKaren        0.4912        0.1275       0.8834         0.7876       0.5351        0.1390       0.8437         0.7774
SouthernPao       0.4035        0.0908       0.8772         0.8565       0.3860        0.0909       0.8811         0.8583
WesternBwe        0.4123        0.1294       0.8427         0.8098       0.6228        0.1952       0.7676         0.7087
TOTAL             0.4485        0.1192       0.8712         0.8144       0.4770        0.1312       0.8416         0.7965


** /proj/evolang2022/tiago/ST2022/data-surprise/luangthongkumkaren/solutions-0.40.tsv
