ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	LATITUDE	LONGITUDE	LANGUAGE_FAMILY	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS
3912	95_cough	cough	10	Yao P.21	kosomola	kosomola	k o s o m o l a	yaoo1241	-13.6119	35.2387	Atlantic-Congo	1 7 3 7 4 7 5 7	AXBYBYBZ	KUSUMULA	2	2.K.C 2.U.V 2.S.C 2.U.V 2.M.C 2.U.V 2.L.C 2.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	kosomola	0	1033
101	96_count	count	1	Kinyamwezi F22	βàlà	βàlà	β à/a l à/a	nyam1276	-5.08559	32.94452	Atlantic-Congo	3 7 5 7	AXBZ	BALA	1	1.B.C 1.A.V 1.L.C 1.A.V	2.0 1.5 1.75 0.8	βà/alà/a	0	1043
564	96_count	count	2	Bukusu E.31c	ßàlà	ßàlà	β à/a l à/a	buku1249	0.68043	34.7719	Atlantic-Congo	3 7 5 7	AXBZ	BALA	3	3.B.C 3.A.V 3.L.C 3.A.V	2.0 1.5 1.75 0.8	βà/alà/a	0	1043
987	96_count	count	3	Koyo C.24	tsɛ́gɛ̀	tsɛ́gɛ̀	ts ɛ́/ɛ g ɛ̀/ɛ	koyo1242	-0.69688	15.7508	Atlantic-Congo	2 7 1 7	AXBZ	CEKE	4	4.C.C 4.E.V 4.K.C 4.E.V	2.0 1.5 1.75 0.8	tsɛ́/ɛgɛ̀/ɛ	0	1045
1379	96_count	count	4	Bemba M.42	pènd	pènd	p è/e n d	bemb1257	-10.6122	29.2993	Atlantic-Congo	1 7 4 1	AXLN	PENT	5	5.P.C 5.E.V 5.N.c 5.T.c	2.0 1.5 1.1 0.8	pè/end	0	1046
1784	96_count	count	5	Basaa A.43a	áŋ	áŋ	á/a ŋ	basa1284	3.80765	10.4213	Atlantic-Congo	7 4	XN	AN	6	6.A.V 6.N.c	1.5 0.8	á/aŋ	0	1047
2205	96_count	count	6	Asu G.22	tárà	tárà	t á r à/a	asut1235	-4.17978	37.8323	Atlantic-Congo	1 7 5 7	AXBZ	TARA	7	7.T.C 7.A.V 7.R.C 7.A.V	2.0 1.5 1.75 0.8	tárà/a	0	1048
2682	96_count	count	7	Rumanyo (Gciriku) K.38	várà	várà	v á r à/a	diri1252	-18.1681	20.6678	Atlantic-Congo	3 7 5 7	AXBZ	BARA	8	8.B.C 8.A.V 8.R.C 8.A.V	2.0 1.5 1.75 0.8	várà/a	0	1043
3109	96_count	count	8	Lega D.25	gànzà	gànzà	g à/a n z à/a	lega1249	-3.83196	27.1424	Atlantic-Congo	1 7 4 3 7	AXMBZ	KANSA	9	9.K.C 9.A.V 9.N.c 9.S.C 9.A.V	2.0 1.5 1.1 1.75 0.8	gà/anzà/a	0	1049
3490	96_count	count	9	Tswana S.30	dúédísà	dúédísà	d ú/u é/e d í/i s à/a	tswa1253	-24.368	24.7587	Atlantic-Congo	1 7 7 1 7 3 7	AXYBYBZ	TYETISA	10	10.T.C 10.Y.V 10.E.V 10.T.C 10.I.V 10.S.C 10.A.V	2.0 1.5 1.3 1.75 1.3 1.75 0.8	dú/ué/edí/isà/a	0	1050
3913	96_count	count	10	Yao P.21	valaaŋga	valaaŋga	v a l a a ŋ g a	yaoo1241	-13.6119	35.2387	Atlantic-Congo	3 7 5 7 7 4 1 7	AXBYYMBZ	BALAANKA	2	2.B.C 2.A.V 2.L.C 2.A.V 2.A.V 2.N.c 2.K.C 2.A.V	2.0 1.5 1.75 1.3 1.3 1.1 1.75 0.8	valaaŋga	0	1044
102	97_country	country	1	Kinyamwezi F22	sɩ̀ɩ́	sɩ̀ɩ́	s ɩ̀/i ɩ́/i	nyam1276	-5.08559	32.94452	Atlantic-Congo	3 7 7	AXZ	SII	1	1.S.C 1.I.V 1.I.V	2.0 1.5 0.8	sɩ̀/iɩ́/i	0	1054
565	97_country	country	2	Bukusu E.31c	ßàlà	ßàlà	β à/a l à/a	buku1249	0.68043	34.7719	Atlantic-Congo	3 7 5 7	AXBZ	BALA	3	3.B.C 3.A.V 3.L.C 3.A.V	2.0 1.5 1.75 0.8	βà/alà/a	1	1056
988	97_country	country	3	Koyo C.24	kìlì	kìlì	k ì/i l ì/i	koyo1242	-0.69688	15.7508	Atlantic-Congo	1 7 5 7	AXBZ	KILI	4	4.K.C 4.I.V 4.L.C 4.I.V	2.0 1.5 1.75 0.8	kì/ilì/i	0	1057
1380	97_country	country	4	Bemba M.42	àlò	àlò	à/a l ò/o	bemb1257	-10.6122	29.2993	Atlantic-Congo	7 5 7	XBZ	ALU	5	5.A.V 5.L.C 5.U.V	1.5 1.75 0.8	à/alò/o	0	1058
1785	97_country	country	5	Basaa A.43a	bɔ́k	bɔ́k	b ɔ́/ɔ k	basa1284	3.80765	10.4213	Atlantic-Congo	1 7 1	AXN	PUK	6	6.P.C 6.U.V 6.K.c	2.0 1.5 0.8	bɔ́/ɔk	0	1059
2206	97_country	country	6	Asu G.22	sàŋgà	sàŋgà	s à/a ŋ g à/a	asut1235	-4.17978	37.8323	Atlantic-Congo	3 7 4 1 7	AXMBZ	SANKA	7	7.S.C 7.A.V 7.N.c 7.K.C 7.A.V	2.0 1.5 1.1 1.75 0.8	sà/aŋgà/a	0	1060
2683	97_country	country	7	Rumanyo (Gciriku) K.38	róŋgò	róŋgò	r ó/o ŋ g ò/o	diri1252	-18.1681	20.6678	Atlantic-Congo	5 7 4 1 7	AXMBZ	RUNKU	8	8.R.C 8.U.V 8.N.c 8.K.C 8.U.V	2.0 1.5 1.1 1.75 0.8	ró/oŋgò/o	0	1061
3491	97_country	country	9	Tswana S.30	fátsʰɩ́	fátsʰɩ́	f á tsʰ ɩ́/i	tswa1253	-24.368	24.7587	Atlantic-Congo	3 7 2 7	AXBZ	BACI	10	10.B.C 10.A.V 10.C.C 10.I.V	2.0 1.5 1.75 0.8	fátsʰɩ́/i	0	1062
3914	97_country	country	10	Yao P.21	làámbò	làámbò	l à/a á m b ò/o	yaoo1241	-13.6119	35.2387	Atlantic-Congo	5 7 7 4 1 7	AXYMBZ	LAAMPU	2	2.L.C 2.A.V 2.A.V 2.M.c 2.P.C 2.U.V	2.0 1.5 1.3 1.1 1.75 0.8	là/aámbò/o	0	1055
103	98_courtyard	courtyard	1	Kinyamwezi F22	βʊ̀ʊ́gǎ	βʊ̀ʊ́gǎ	β ʊ̀/ʊ ʊ́/ʊ g ǎ/a	nyam1276	-5.08559	32.94452	Atlantic-Congo	3 7 7 1 7	AXYBZ	BYYKA	1	1.B.C 1.Y.V 1.Y.V 1.K.C 1.A.V	2.0 1.5 1.3 1.75 0.8	βʊ̀/ʊʊ́/ʊgǎ/a	0	1064
989	98_courtyard	courtyard	3	Koyo C.24	àŋgé	àŋgé	à/a ŋ g é/e	koyo1242	-0.69688	15.7508	Atlantic-Congo	7 4 1 7	XMBZ	ANKE	4	4.A.V 4.N.c 4.K.C 4.E.V	1.5 1.1 1.75 0.8	à/aŋgé/e	0	1066
1381	98_courtyard	courtyard	4	Bemba M.42	tàŋgàlàlwè	tàŋgàlàlwè	t à/a ŋ g à/a l à/a l w è/e	bemb1257	-10.6122	29.2993	Atlantic-Congo	1 7 4 1 7 5 7 5 6 7	AXMBYBYBCZ	TANKALALWE	5	5.T.C 5.A.V 5.N.c 5.K.C 5.A.V 5.L.C 5.A.V 5.L.C 5.W.C 5.E.V	2.0 1.5 1.1 1.75 1.3 1.75 1.3 1.75 1.5 0.8	tà/aŋgà/alà/alwè/e	0	1067
2207	98_courtyard	courtyard	6	Asu G.22	taŋga	taŋga	t a ŋ g a	asut1235	-4.17978	37.8323	Atlantic-Congo	1 7 4 1 7	AXMBZ	TANKA	7	7.T.C 7.A.V 7.N.c 7.K.C 7.A.V	2.0 1.5 1.1 1.75 0.8	taŋga	0	1068
2684	98_courtyard	courtyard	7	Rumanyo (Gciriku) K.38	pâtà	pâtà	p â/a t à/a	diri1252	-18.1681	20.6678	Atlantic-Congo	1 7 1 7	AXBZ	PATA	8	8.P.C 8.A.V 8.T.C 8.A.V	2.0 1.5 1.75 0.8	pâ/atà/a	0	1069
3110	98_courtyard	courtyard	8	Lega D.25	lʊ̀ŋgʊ̀	lʊ̀ŋgʊ̀	l ʊ̀/ʊ ŋ g ʊ̀	lega1249	-3.83196	27.1424	Atlantic-Congo	5 7 4 1 7	AXMBZ	LYNKY	9	9.L.C 9.Y.V 9.N.c 9.K.C 9.Y.V	2.0 1.5 1.1 1.75 0.8	lʊ̀/ʊŋgʊ̀	0	1070
3492	98_courtyard	courtyard	9	Tswana S.30	lwàpà	lwàpà	l w à/a p à/a	tswa1253	-24.368	24.7587	Atlantic-Congo	5 6 7 1 7	ACXBZ	LWAPA	10	10.L.C 10.W.C 10.A.V 10.P.C 10.A.V	2.0 1.5 1.5 1.75 0.8	lwà/apà/a	0	1071
3915	98_courtyard	courtyard	10	Yao P.21	bàlà	bàlà	b à/a l à/a	yaoo1241	-13.6119	35.2387	Atlantic-Congo	1 7 5 7	AXBZ	PALA	2	2.P.C 2.A.V 2.L.C 2.A.V	2.0 1.5 1.75 0.8	bà/alà/a	0	1065
104	99_crossriver	cross river	1	Kinyamwezi F22	kɩ̀lá	kɩ̀lá	k ɩ̀/i l á/a	nyam1276	-5.08559	32.94452	Atlantic-Congo	1 7 5 7	AXBZ	KILA	1	1.K.C 1.I.V 1.L.C 1.A.V	2.0 1.5 1.75 0.8	kɩ̀/ilá/a	0	1073
566	99_crossriver	cross river	2	Bukusu E.31c	ààmbùxà	ààmbùxà	à/a à/a m b ù/u x à/a	buku1249	0.68043	34.7719	Atlantic-Congo	7 7 4 1 7 3 7	XYMBYBZ	AAMPYGA	3	3.A.V 3.A.V 3.M.c 3.P.C 3.Y.V 3.G.C 3.A.V	1.5 1.3 1.1 1.75 1.3 1.75 0.8	à/aà/ambù/uxà/a	0	1075
1382	99_crossriver	cross river	4	Bemba M.42	àßùk	àßùk	à/a β ù/u k	bemb1257	-10.6122	29.2993	Atlantic-Congo	7 3 7 1	XBYN	ABYK	5	5.A.V 5.B.C 5.Y.V 5.K.c	1.5 1.75 1.3 0.8	à/aβù/uk	0	1076
1786	99_crossriver	cross river	5	Basaa A.43a	ʤ̑àp	ʤ̑àp	dʒ à/a p	basa1284	3.80765	10.4213	Atlantic-Congo	1 7 1	AXN	TAP	6	6.T.C 6.A.V 6.P.c	2.0 1.5 0.8	dʒà/ap	0	1077
2208	99_crossriver	cross river	6	Asu G.22	vùkà	vùkà	v ù/u k à/a	asut1235	-4.17978	37.8323	Atlantic-Congo	3 7 1 7	AXBZ	BYKA	7	7.B.C 7.Y.V 7.K.C 7.A.V	2.0 1.5 1.75 0.8	vù/ukà/a	0	1078
2685	99_crossriver	cross river	7	Rumanyo (Gciriku) K.38	víndàkànà	víndàkànà	v í/i n d à/a k à/a n à/a	diri1252	-18.1681	20.6678	Atlantic-Congo	3 7 4 1 7 1 7 4 7	AXMBYBYBZ	BINTAKANA	8	8.B.C 8.I.V 8.N.c 8.T.C 8.A.V 8.K.C 8.A.V 8.N.C 8.A.V	2.0 1.5 1.1 1.75 1.3 1.75 1.3 1.75 0.8	ví/indà/akà/anà/a	0	1079
3111	99_crossriver	cross river	8	Lega D.25	sòkà	sòkà	s ò/o k à/a	lega1249	-3.83196	27.1424	Atlantic-Congo	3 7 1 7	AXBZ	SUKA	9	9.S.C 9.U.V 9.K.C 9.A.V	2.0 1.5 1.75 0.8	sò/okà/a	0	1080
3493	99_crossriver	cross river	9	Tswana S.30	tsʰɩ́lá	tsʰɩ́lá	tsʰ ɩ́/i l á/a	tswa1253	-24.368	24.7587	Atlantic-Congo	2 7 5 7	AXBZ	CILA	10	10.C.C 10.I.V 10.L.C 10.A.V	2.0 1.5 1.75 0.8	tsʰɩ́/ilá/a	0	1073
3916	99_crossriver	cross river	10	Yao P.21	tagaluka	tagaluka	t a g a l u k a	yaoo1241	-13.6119	35.2387	Atlantic-Congo	1 7 1 7 5 7 1 7	AXBYBYBZ	TAKALYKA	2	2.T.C 2.A.V 2.K.C 2.A.V 2.L.C 2.Y.V 2.K.C 2.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	tagaluka	0	1074
105	100_crywail	cry, wail	1	Kinyamwezi F22	lɩ̀là	lɩ̀là	l ɩ̀/i l à/a	nyam1276	-5.08559	32.94452	Atlantic-Congo	5 7 5 7	AXBZ	LILA	1	1.L.C 1.I.V 1.L.C 1.A.V	2.0 1.5 1.75 0.8	lɩ̀/ilà/a	0	1083
567	100_crywail	cry, wail	2	Bukusu E.31c	lìlà	lìlà	l ì/i l à/a	buku1249	0.68043	34.7719	Atlantic-Congo	5 7 5 7	AXBZ	LILA	3	3.L.C 3.I.V 3.L.C 3.A.V	2.0 1.5 1.75 0.8	lì/ilà/a	0	1083
568	100_crywail	cry, wail	2	Bukusu E.31c	àànà	àànà	à/a à/a n à/a	buku1249	0.68043	34.7719	Atlantic-Congo	7 7 4 7	XYBZ	AANA	3	3.A.V 3.A.V 3.N.C 3.A.V	1.5 1.3 1.75 0.8	à/aà/anà/a	1	1089
990	100_crywail	cry, wail	3	Koyo C.24	lèjà	lèjà	l è/e j à/a	koyo1242	-0.69688	15.7508	Atlantic-Congo	5 7 6 7	AXBZ	LEJA	4	4.L.C 4.E.V 4.J.C 4.A.V	2.0 1.5 1.75 0.8	lè/ejà/a	0	1085
1383	100_crywail	cry, wail	4	Bemba M.42	ßòßòk	ßòßòk	β ò/o β ò/o k	bemb1257	-10.6122	29.2993	Atlantic-Congo	3 7 3 7 1	AXBYN	BUBUK	5	5.B.C 5.U.V 5.B.C 5.U.V 5.K.c	2.0 1.5 1.75 1.3 0.8	βò/oβò/ok	0	1086
1787	100_crywail	cry, wail	5	Basaa A.43a	ɛ̀ɛ̀	ɛ̀ɛ̀	ɛ̀/ɛ ɛ̀/ɛ	basa1284	3.80765	10.4213	Atlantic-Congo	7 7	XZ	EE	6	6.E.V 6.E.V	1.5 0.8	ɛ̀/ɛɛ̀/ɛ	0	1087
2209	100_crywail	cry, wail	6	Asu G.22	ìà	ìà	ì/i à/a	asut1235	-4.17978	37.8323	Atlantic-Congo	7 7	XZ	IA	7	7.I.V 7.A.V	1.5 0.8	ì/ià/a	0	1088
2686	100_crywail	cry, wail	7	Rumanyo (Gciriku) K.38	lírà	lírà	l í/i r à/a	diri1252	-18.1681	20.6678	Atlantic-Congo	5 7 5 7	AXBZ	LIRA	8	8.L.C 8.I.V 8.R.C 8.A.V	2.0 1.5 1.75 0.8	lí/irà/a	0	1083
3112	100_crywail	cry, wail	8	Lega D.25	lɩ̀là	lɩ̀là	l ɩ̀/i l à/a	lega1249	-3.83196	27.1424	Atlantic-Congo	5 7 5 7	AXBZ	LILA	9	9.L.C 9.I.V 9.L.C 9.A.V	2.0 1.5 1.75 0.8	lɩ̀/ilà/a	0	1083
3494	100_crywail	cry, wail	9	Tswana S.30	lɩ̀là	lɩ̀là	l ɩ̀/i l à/a	tswa1253	-24.368	24.7587	Atlantic-Congo	5 7 5 7	AXBZ	LILA	10	10.L.C 10.I.V 10.L.C 10.A.V	2.0 1.5 1.75 0.8	lɩ̀/ilà/a	0	1083
3917	100_crywail	cry, wail	10	Yao P.21	dila	dila	d i l a	yaoo1241	-13.6119	35.2387	Atlantic-Congo	1 7 5 7	AXBZ	TILA	2	2.T.C 2.I.V 2.L.C 2.A.V	2.0 1.5 1.75 0.8	dila	0	1084
106	101_cultivate	cultivate	1	Kinyamwezi F22	lɩ̀mà	lɩ̀mà	l ɩ̀/i m à/a	nyam1276	-5.08559	32.94452	Atlantic-Congo	5 7 4 7	AXBZ	LIMA	1	1.L.C 1.I.V 1.M.C 1.A.V	2.0 1.5 1.75 0.8	lɩ̀/imà/a	0	1095
569	101_cultivate	cultivate	2	Bukusu E.31c	lìmà	lìmà	l ì/i m à/a	buku1249	0.68043	34.7719	Atlantic-Congo	5 7 4 7	AXBZ	LIMA	3	3.L.C 3.I.V 3.M.C 3.A.V	2.0 1.5 1.75 0.8	lì/imà/a	0	1095
991	101_cultivate	cultivate	3	Koyo C.24	sáà	sáà	s á à/a	koyo1242	-0.69688	15.7508	Atlantic-Congo	3 7 7	AXZ	SAA	4	4.S.C 4.A.V 4.A.V	2.0 1.5 0.8	sáà/a	0	1096
1384	101_cultivate	cultivate	4	Bemba M.42	lìm	lìm	l ì/i m	bemb1257	-10.6122	29.2993	Atlantic-Congo	5 7 4	AXN	LIM	5	5.L.C 5.I.V 5.M.c	2.0 1.5 0.8	lì/im	0	1095
1788	101_cultivate	cultivate	5	Basaa A.43a	sɛ̀ɛ̀	sɛ̀ɛ̀	s ɛ̀/ɛ ɛ̀/ɛ	basa1284	3.80765	10.4213	Atlantic-Congo	3 7 7	AXZ	SEE	6	6.S.C 6.E.V 6.E.V	2.0 1.5 0.8	sɛ̀/ɛɛ̀/ɛ	0	1097
2210	101_cultivate	cultivate	6	Asu G.22	ìmà	ìmà	ì/i m à/a	asut1235	-4.17978	37.8323	Atlantic-Congo	7 4 7	XBZ	IMA	7	7.I.V 7.M.C 7.A.V	1.5 1.75 0.8	ì/imà/a	0	1095
2687	101_cultivate	cultivate	7	Rumanyo (Gciriku) K.38	hérèrà	hérèrà	h é/e r è/e r à/a	diri1252	-18.1681	20.6678	Atlantic-Congo	3 7 5 7 5 7	AXBYBZ	HERERA	8	8.H.C 8.E.V 8.R.C 8.E.V 8.R.C 8.A.V	2.0 1.5 1.75 1.3 1.75 0.8	hé/erè/erà/a	0	1098
3113	101_cultivate	cultivate	8	Lega D.25	lɩ̀mà	lɩ̀mà	l ɩ̀/i m à/a	lega1249	-3.83196	27.1424	Atlantic-Congo	5 7 4 7	AXBZ	LIMA	9	9.L.C 9.I.V 9.M.C 9.A.V	2.0 1.5 1.75 0.8	lɩ̀/imà/a	0	1095
3495	101_cultivate	cultivate	9	Tswana S.30	lɩ̀mà	lɩ̀mà	l ɩ̀/i m à/a	tswa1253	-24.368	24.7587	Atlantic-Congo	5 7 4 7	AXBZ	LIMA	10	10.L.C 10.I.V 10.M.C 10.A.V	2.0 1.5 1.75 0.8	lɩ̀/imà/a	0	1095
3918	101_cultivate	cultivate	10	Yao P.21	dima	dima	d i m a	yaoo1241	-13.6119	35.2387	Atlantic-Congo	1 7 4 7	AXBZ	TIMA	2	2.T.C 2.I.V 2.M.C 2.A.V	2.0 1.5 1.75 0.8	dima	0	1095
107	102_cut	cut	1	Kinyamwezi F22	bùtá	bùtá	b ù/u t á/a	nyam1276	-5.08559	32.94452	Atlantic-Congo	1 7 1 7	AXBZ	PYTA	1	1.P.C 1.Y.V 1.T.C 1.A.V	2.0 1.5 1.75 0.8	bù/utá/a	0	1106
108	102_cut	cut	1	Kinyamwezi F22	tɛ̀má	tɛ̀má	t ɛ̀/ɛ m á/a	nyam1276	-5.08559	32.94452	Atlantic-Congo	1 7 4 7	AXBZ	TEMA	1	1.T.C 1.E.V 1.M.C 1.A.V	2.0 1.5 1.75 0.8	tɛ̀/ɛmá/a	0	1110
570	102_cut	cut	2	Bukusu E.31c	tʰòɲà	tʰòɲà	tʰ ò/o ɲ à/a	buku1249	0.68043	34.7719	Atlantic-Congo	1 7 4 7	AXBZ	TUNA	3	3.T.C 3.U.V 3.N.C 3.A.V	2.0 1.5 1.75 0.8	tʰò/oɲà/a	0	1108
992	102_cut	cut	3	Koyo C.24	tságà	tságà	ts á g à/a	koyo1242	-0.69688	15.7508	Atlantic-Congo	2 7 1 7	AXBZ	CAKA	4	4.C.C 4.A.V 4.K.C 4.A.V	2.0 1.5 1.75 0.8	tságà/a	0	1109
993	102_cut	cut	3	Koyo C.24	kénà	kénà	k é/e n à/a	koyo1242	-0.69688	15.7508	Atlantic-Congo	1 7 4 7	AXBZ	KENA	4	4.K.C 4.E.V 4.N.C 4.A.V	2.0 1.5 1.75 0.8	ké/enà/a	0	1115
1385	102_cut	cut	4	Bemba M.42	tém	tém	t é/e m	bemb1257	-10.6122	29.2993	Atlantic-Congo	1 7 4	AXN	TEM	5	5.T.C 5.E.V 5.M.c	2.0 1.5 0.8	té/em	0	1110
1789	102_cut	cut	5	Basaa A.43a	ʧ̑âß	ʧ̑âß	tʃ â/a β	basa1284	3.80765	10.4213	Atlantic-Congo	1 7 3	AXN	TAB	6	6.T.C 6.A.V 6.B.c	2.0 1.5 0.8	tʃâ/aβ	0	1111
1790	102_cut	cut	5	Basaa A.43a	kír	kír	k í/i r	basa1284	3.80765	10.4213	Atlantic-Congo	1 7 5	AXN	KIR	6	6.K.C 6.I.V 6.R.c	2.0 1.5 0.8	kí/ir	0	1116
2211	102_cut	cut	6	Asu G.22	témà	témà	t é/e m à/a	asut1235	-4.17978	37.8323	Atlantic-Congo	1 7 4 7	AXBZ	TEMA	7	7.T.C 7.E.V 7.M.C 7.A.V	2.0 1.5 1.75 0.8	té/emà/a	0	1110
2688	102_cut	cut	7	Rumanyo (Gciriku) K.38	ndêmbàkànà	ndêmbàkànà	n d ê/e m b à/a k à/a n à/a	diri1252	-18.1681	20.6678	Atlantic-Congo	4 1 7 4 1 7 1 7 4 7	ACYMBYBYBZ	NTEMPAKANA	8	8.N.C 8.T.C 8.E.V 8.M.c 8.P.C 8.A.V 8.K.C 8.A.V 8.N.C 8.A.V	2.0 1.5 1.3 1.1 1.75 1.3 1.75 1.3 1.75 0.8	ndê/embà/akà/anà/a	0	1112
2689	102_cut	cut	7	Rumanyo (Gciriku) K.38	têtàùrà	têtàùrà	t ê/e t à/a ù/u r à/a	diri1252	-18.1681	20.6678	Atlantic-Congo	1 7 1 7 7 5 7	AXBYYBZ	TETAYRA	8	8.T.C 8.E.V 8.T.C 8.A.V 8.Y.V 8.R.C 8.A.V	2.0 1.5 1.75 1.3 1.3 1.75 0.8	tê/età/aù/urà/a	0	1117
3114	102_cut	cut	8	Lega D.25	sénà	sénà	s é/e n à/a	lega1249	-3.83196	27.1424	Atlantic-Congo	3 7 4 7	AXBZ	SENA	9	9.S.C 9.E.V 9.N.C 9.A.V	2.0 1.5 1.75 0.8	sé/enà/a	0	1113
3496	102_cut	cut	9	Tswana S.30	sɩ́χá	sɩ́χá	s ɩ́/i χ á/a	tswa1253	-24.368	24.7587	Atlantic-Congo	3 7 3 7	AXBZ	SIGA	10	10.S.C 10.I.V 10.G.C 10.A.V	2.0 1.5 1.75 0.8	sɩ́/iχá/a	0	1114
3919	102_cut	cut	10	Yao P.21	siʧitula	siʧitula	s i tʃ i t u l a	yaoo1241	-13.6119	35.2387	Atlantic-Congo	3 7 1 7 1 7 5 7	AXBYBYBZ	SITITYLA	2	2.S.C 2.I.V 2.T.C 2.I.V 2.T.C 2.Y.V 2.L.C 2.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	sitʃitula	0	1107
109	103_dance	dance	1	Kinyamwezi F22	nɛ̀gùlà	nɛ̀gùlà	n ɛ̀/ɛ g ù/u l à/a	nyam1276	-5.08559	32.94452	Atlantic-Congo	4 7 1 7 5 7	AXBYBZ	NEKYLA	1	1.N.C 1.E.V 1.K.C 1.Y.V 1.L.C 1.A.V	2.0 1.5 1.75 1.3 1.75 0.8	nɛ̀/ɛgù/ulà/a	0	1121
110	103_dance	dance	1	Kinyamwezi F22	fùnà	fùnà	f ù/u n à/a	nyam1276	-5.08559	32.94452	Atlantic-Congo	3 7 4 7	AXBZ	BYNA	1	1.B.C 1.Y.V 1.N.C 1.A.V	2.0 1.5 1.75 0.8	fù/unà/a	0	1122
111	103_dance	dance	1	Kinyamwezi F22	βìná	βìná	β ì/i n á/a	nyam1276	-5.08559	32.94452	Atlantic-Congo	3 7 4 7	AXBZ	BINA	1	1.B.C 1.I.V 1.N.C 1.A.V	2.0 1.5 1.75 0.8	βì/iná/a	0	1122
571	103_dance	dance	2	Bukusu E.31c	xìnà	xìnà	x ì/i n à/a	buku1249	0.68043	34.7719	Atlantic-Congo	3 7 4 7	AXBZ	GINA	3	3.G.C 3.I.V 3.N.C 3.A.V	2.0 1.5 1.75 0.8	xì/inà/a	0	1123
994	103_dance	dance	3	Koyo C.24	bínà	bínà	b í/i n à/a	koyo1242	-0.69688	15.7508	Atlantic-Congo	1 7 4 7	AXBZ	PINA	4	4.P.C 4.I.V 4.N.C 4.A.V	2.0 1.5 1.75 0.8	bí/inà/a	0	1122
1386	103_dance	dance	4	Bemba M.42	cìnd	cìnd	c ì/i n d	bemb1257	-10.6122	29.2993	Atlantic-Congo	1 7 4 1	AXLN	CINT	5	5.C.C 5.I.V 5.N.c 5.T.c	2.0 1.5 1.1 0.8	cì/ind	0	1124
1791	103_dance	dance	5	Basaa A.43a	ʤ̑ém	ʤ̑ém	dʒ é/e m	basa1284	3.80765	10.4213	Atlantic-Congo	1 7 4	AXN	TEM	6	6.T.C 6.E.V 6.M.c	2.0 1.5 0.8	dʒé/em	0	1125
1792	103_dance	dance	5	Basaa A.43a	sák	sák	s á k	basa1284	3.80765	10.4213	Atlantic-Congo	3 7 1	AXN	SAK	6	6.S.C 6.A.V 6.K.c	2.0 1.5 0.8	sák	0	1127
2212	103_dance	dance	6	Asu G.22	vínà	vínà	v í/i n à/a	asut1235	-4.17978	37.8323	Atlantic-Congo	3 7 4 7	AXBZ	BINA	7	7.B.C 7.I.V 7.N.C 7.A.V	2.0 1.5 1.75 0.8	ví/inà/a	0	1122
2690	103_dance	dance	7	Rumanyo (Gciriku) K.38	dánà	dánà	d á n à/a	diri1252	-18.1681	20.6678	Atlantic-Congo	1 7 4 7	AXBZ	TANA	8	8.T.C 8.A.V 8.N.C 8.A.V	2.0 1.5 1.75 0.8	dánà/a	0	1126
2691	103_dance	dance	7	Rumanyo (Gciriku) K.38	mjákà	mjákà	m j á k à/a	diri1252	-18.1681	20.6678	Atlantic-Congo	4 6 7 1 7	ACXBZ	MJAKA	8	8.M.C 8.J.C 8.A.V 8.K.C 8.A.V	2.0 1.5 1.5 1.75 0.8	mjákà/a	0	1128
2692	103_dance	dance	7	Rumanyo (Gciriku) K.38	káŋkà	káŋkà	k á ŋ k à/a	diri1252	-18.1681	20.6678	Atlantic-Congo	1 7 4 1 7	AXMBZ	KANKA	8	8.K.C 8.A.V 8.N.c 8.K.C 8.A.V	2.0 1.5 1.1 1.75 0.8	káŋkà/a	0	1129
3115	103_dance	dance	8	Lega D.25	mínà	mínà	m í/i n à/a	lega1249	-3.83196	27.1424	Atlantic-Congo	4 7 4 7	AXBZ	MINA	9	9.M.C 9.I.V 9.N.C 9.A.V	2.0 1.5 1.75 0.8	mí/inà/a	0	1123
3497	103_dance	dance	9	Tswana S.30	bíná	bíná	b í/i n á/a	tswa1253	-24.368	24.7587	Atlantic-Congo	1 7 4 7	AXBZ	PINA	10	10.P.C 10.I.V 10.N.C 10.A.V	2.0 1.5 1.75 0.8	bí/iná/a	0	1122
3920	103_dance	dance	10	Yao P.21	vina	vina	v i n a	yaoo1241	-13.6119	35.2387	Atlantic-Congo	3 7 4 7	AXBZ	BINA	2	2.B.C 2.I.V 2.N.C 2.A.V	2.0 1.5 1.75 0.8	vina	0	1122
112	104_day	day	1	Kinyamwezi F22	ʃíkʊ̌	ʃíkʊ̌	ʃ í/i k ʊ̌/ʊ	nyam1276	-5.08559	32.94452	Atlantic-Congo	3 7 1 7	AXBZ	SIKY	1	1.S.C 1.I.V 1.K.C 1.Y.V	2.0 1.5 1.75 0.8	ʃí/ikʊ̌/ʊ	0	1137
