COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
423-10										k o n ŋ u u r i
430-10										k o k u
435-10										s o k u
446-10										m o t a a o
447-10										k n o t u
458-10										k o k u
56-10										h i k o
62-10										k a m a
65-10										k o r i
70-10										k o m i
75-10										k k o i i
96-10										s i
101-10										s o
114-10										k o i
119-10										k a m i
134-10										s a u r u
138-10										s a m a
146-10										k a s o a
161-10										m n o
171-10										k o i o
182-10										k a m o r u
188-10										m o m i
196-10										u u r u
262-10										h k a r a m o
300-10										s o k k o
313-10										k t t i
350-10										s o k a u
352-10										k o k a o
396-10										s a m i
401-10										k a s a
420-10										k a k u r u
424-10										k o t o s u
442-10										s a m e u r u
455-10										k o k o t u o
15-10										k a r u
22-10										s o a i
24-10										s a r r i
49-10										k a a n a t o
78-10										o k o r i
89-10										k o
130-10										s a r a
149-10										k o r i
175-10										s a m o
183-10										s k i
192-10										o o k i
199-10										k a t a t
230-10										k a t a t a k o
233-10										k a a a s a s a a a a a
250-10										k o k u s o
264-10										k a a a
274-10										s a n a t a
298-10										k o n o a o
303-10										k o s a a o o
314-10										s a s i
354-10										k a t a
369-10										k a s a r a
376-10										m a s a
415-10										m a s u u
418-10										s a
451-10										k o k a r i
456-10										k e a
72-10										s i k o
80-10										k o n o k o
104-10										o s i
118-10										s a m k o
142-10										k o t a
150-10										s o t a r i
204-10										u k i i
