COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
127-5					tʃ ɛ ʔ ³¹				
192-5					k j ɔ̱ ʔ ⁵⁵				
864-5					p j ɛ ³⁵				
126-5					tʃ ɔ ʔ ³¹				
656-5					v ɛ̃ ⁵⁵				
546-5					ʃ ɔ̃ ³¹				
3-5					p ɔ ³¹				
98-5					s ɔ ³⁵				
445-5					m j u̱ k ³¹				
608-5					tsʰ ɛ̃ ³¹				
210-5					j ɔ ʔ ³¹				
140-5					k j i̱ ³¹				
868-5					x ɔ ³⁵				
520-5					p j u ³¹				
166-5					k a k ³¹				
270-5					kʰ j ɔ̃ k ³¹				
55-5					p ɔ ʔ ³¹				
665-6						ŋ a			
495-6						n ui̯ ʔ			
838-6						j a k			
438-6						m j a k			
334-6						l a k			
360-6						l i j ⁵			
394-6						n i ⁵			
221-6						j a p			
202-6						k ui̯ ⁵			
935-6						u ⁵			
93-6						tʃʰ a ⁵			
7-6						p a n ⁵			
664-6						j a ŋ			
246-6						kʰ a k			
547-6						s a k ⁵			
555-6						j a m			
464-6						m ui̯ ⁵			
119-6						tʃʰ a ɲ ⁵			
835-6						j a p			
79-6						k i ⁵			
693-6						ŋ ui̯			
477-6						n a p ⁵			
891-6						tʰ a ɲ ʔ			
528-6						r i			
797-6						kʰ r ɔ k			
493-6						n a k			
217-6						j a p			
896-6						tʃʰ u t			
452-6						m j ɔ k			
580-6						s u t			
833-6						j a ⁵			
390-6						m a ŋ ⁵			
696-6						ŋ u			
86-6						u ŋ			
731-6						s i ⁵			
680-6						j a k			
658-6						j a m			
183-6						k r i ⁵			
714-6						u			
206-6						j a ⁵			
353-6						l i j			
814-6						kʰ u ⁵			
179-6						k r a k			
29-6						p a k			
389-6						m r a ŋ			
118-6						m a ʔ ⁵			
490-6						n i j ʔ ⁵			
436-6						m j a ⁵			
383-6						m a k			
873-6						rʰ a ɲ			
371-6						l a ɲ ⁵			
666-6						ŋ a ⁵			
337-6						a a			
484-6						n a ŋ			
574-6						s u m ⁵			
811-6						kʰ ui̯ ⁵			
205-6						k ɔ k			
350-6						l a ŋ ʔ			
569-6						s u ⁵			
501-6						pʰ a ʔ ⁵			
652-6						j ai			
565-6						s i ⁵			
468-6						j a ʔ			
125-6						u ⁵			
170-6						k j a ʔ			
471-6						n a m ⁵			
367-6						l i j ⁵			
414-6						m i j ʔ			
503-6						pʰ a ⁵			
647-6						c i j			
105-6						tʃʰ i ⁵			
463-6						m ui̯			
841-6						j a ʔ			
123-6						u			
433-6						m a ɲ			
849-6						pʰ a t			
541-6						s a n ⁵			
933-6						j ui̯ ⁵			
668-6						ŋ ai			
467-6						j i ⁵			
201-6						k j ɔ k			
377-6						j a ʔ ⁵			
192-6						kʰ j a k			
445-6						m j ui̯			
608-6						tʃʰ a m			
55-6						p u p			
665-7							ŋ a ¹		
495-7							n i ³		
838-7							ʔ j a ŋ ⁴		
438-7							m j a k ⁴		
334-7							l a k ⁴		
360-7							l i ²		
394-7							m j i ²		
221-7							j u t ⁴		
202-7							g u ²		
935-7							ʔ ui ²		
93-7							d a ŋ ²		
7-7							b a n ²		
664-7							w a ŋ ²		
246-7							ˀk r a k ⁴		
547-7							ˀr r a k ⁴		
555-7							j i m ¹		
464-7							m i ²		
119-7							ʔ j i ŋ ³		
835-7							ʔ j a p ⁴		
79-7							d j i ŋ ²		
693-7							ŋ i ¹		
477-7							ˀn j a t ⁴		
891-7							d i ³		
528-7							ʔ j u ¹		
797-7							ˀk j u k ⁴		
493-7							n a k ⁴		
217-7							ʔ j a p ⁴		
896-7							ˀts u t ⁴		
452-7							m r u k ⁴		
580-7							ˀr j u k ⁴		
833-7							ˀɲ a ŋ ¹		
390-7							m j a ŋ ²		
696-7							ŋ j i ¹		
86-7							ˀt i ŋ ¹		
384-7							m a m ³		
61-7							ˀt a m ²		
536-7							ˀr r u k ⁴		
731-7							ˀs e ŋ ²		
779-7							ʔ a ¹		
589-7							t u ŋ ⁴		
680-7							ŋ a k ⁴		
658-7							w a t ¹		
456-7							m j a ŋ ²		
183-7							g j ai ³		
785-7							k a ²		
714-7							s i ŋ ⁴		
331-7							l a ²		
206-7							j a ¹		
930-7							ŋ i p ⁴		
353-7							ˀl a ¹		
161-7							g a ŋ ⁴		
814-7							ˀk j i ²		
179-7							g r j a k ⁴		
194-7							ʔ j u k ⁴		
727-7							ʃ i ŋ ²		
260-7							k j u p ⁴		
144-7							g a m ¹		
53-7							b i m ¹		
59-7							d u k ⁴		
506-7							p i k ⁴		
29-7							b a k ⁴		
316-7							k j u t ⁴		
389-7							m r a ŋ ²		
118-7							m a ²		
312-7							k j u ²		
490-7							n j i ²		
436-7							m j a ŋ ²		
927-7							ŋ a m ¹		
383-7							m a k ⁴		
211-7							j a m ¹		
873-7							ˀr i ŋ ¹		
371-7							ˀl i ŋ ²		
877-7							s ɛ ³		
344-7							l a m ¹		
666-7							ŋ a ²		
595-7							t j i ŋ ³		
660-7							w u p ⁴		
642-7							tʃ a ŋ ³		
257-7							k j a m ¹		
167-7							g j a ²		
880-7							ˀt u p ⁴		
337-7							ʔ a ¹		
484-7							n j a ŋ ¹		
574-7							ʔ r u m ²		
718-7							ˀr r i ³		
811-7							ˀk ai ²		
458-7							t i ŋ ³		
884-7							d u ŋ ³		
205-7							g u k ⁴		
499-7							n ɛ ¹		
706-7							ˀr j a ¹		
920-7							ʔ i ŋ ³		
36-7							b j u ŋ ⁴		
12-7							b j i ¹		
350-7							l j a ŋ ³		
4-7							b a m ¹		
342-7							ʔ u k ⁴		
280-7							k j i ³		
638-7							ʔ j a p ⁴		
729-7							ˀr j a ³		
72-7							d a ŋ ²		
612-7							ˀk j a ŋ ²		
459-7							m r i ŋ ¹		
569-7							ʃ i ²		
283-7							k j u ³		
501-7							b a ³		
148-7							k a k ⁴		
652-7							w ai ¹		
220-7							ˀɲ j a ŋ ²		
233-7							j a k ⁴		
562-7							ˀr r a ŋ ²		
31-7							b j a t ⁴		
386-7							m i t ⁴		
684-7							ŋ j a k ⁴		
804-7							k r i ŋ ³		
618-7							d a ⁴		
565-7							ˀs u ³		
369-7							l i k ⁴		
125-7							ˀt j u ŋ ²		
314-7							k r j a ŋ ¹		
776-7							ˀr j a k ⁴		
170-7							g j a ³		
823-7							ˀl u p ⁴		
471-7							n a m ²		
249-7							k a m ⁴		
367-7							r i ²		
414-7							m j a ³		
503-7							ˀp a ²		
40-7							b r i t ³		
647-7							ˀts a ¹		
105-7							d e ²		
393-7							m a ŋ ³		
141-7							g ai ¹		
272-7							k j a ŋ ³		
463-7							ʔ j ai ¹		
1-7							b a ¹		
349-7							ˀl a ŋ ²		
214-7							j a m ²		
123-7							ˀt u u ¹		
646-7							tʃ a ³		
433-7							m j i ŋ ¹		
518-7							s j a ¹		
878-7							d ai ²		
849-7							ˀp a t ⁴		
524-7							p u k ⁴		
90-7							d a ŋ ³		
541-7							s o m ²		
933-7							ˀɲ j a ²		
668-7							ŋ a ¹		
164-7							g a ŋ ²		
686-7							ŋ j a p ⁴		
201-7							g r a k ⁴		
784-7							ʔ j i k ⁴		
487-7							ˀn a ai ¹		
504-7							p j a t ⁴		
52-7							b i ŋ ⁴		
281-7							k j u ⁴		
46-7							b r a k ⁴		
127-7							dʒ u p ⁴		
67-7							ʔ a t ⁴		
192-7							ˀk j a k ⁴		
864-7							b a ²		
126-7							dʒ j u k ⁴		
656-7							w a m ³		
546-7							s a ŋ ¹		
635-7							ˀk a t ²		
473-7							ˀn a m ¹		
3-7							b a a ³		
98-7							s a ²		
445-7							m j u ¹		
608-7							ts a m ¹		
210-7							j a k ⁴		
140-7							t j e ¹		
868-7							w a ³		
520-7							b a ŋ ¹		
166-7							ˀk i k ⁴		
48-7							b j i ŋ ¹		
270-7							k j a ŋ ¹		
55-7							b a p ⁴		
665-8								n ĩ ⁵⁵	
495-8								n ɑ ⁵⁵	
838-8								tɕ n ĩ ⁴	
438-8								tɕ n ĩ ⁴	
334-8								tɕ ĩ ⁴	
360-8								tɕ ĩ ⁵⁵	
394-8								n tɕ ĩ ⁵⁵	
221-8								tɕ ɑ ⁴	
202-8								kʰ ĩ ⁵⁵	
935-8								tɕ ĩ ⁵⁵	
93-8								tɕ ɑ ⁵⁵	
7-8								p ĩ ⁵⁵	
664-8								tɕ ĩ ⁵⁵	
246-8								kʰ tɕ ĩ ⁴	
547-8								tɕ tɕ ɑ ⁴	
555-8								tɕ ĩ ⁵⁵	
464-8								tɕ ĩ ⁵⁵	
119-8								tɕ tɕ ɑ ⁵⁵	
835-8								tɕ n ɑ ⁴	
79-8								tɕ w ĩ ⁵⁵	
693-8								n ĩ ⁵⁵	
477-8								n tɕ ɑ ⁵⁵	
891-8								tɕ tɕ ɑ ⁵⁵	
528-8								tɕ ĩ ⁵⁵	
797-8								kʰ tɕ ɑ ⁴	
493-8								n ĩ ⁴	
217-8								tɕ tɕ ĩ ⁴	
896-8								sʰ ɑ ⁴	
452-8								tɕ n ĩ ⁴	
580-8								tɕ tɕ ɑ ⁴	
833-8								n ĩ ⁴	
390-8								tɕ tɕ ĩ ⁵⁵	
696-8								n tɕ ĩ ⁵⁵	
86-8								sʰ ĩ ⁵⁵	
384-8								tɕ ɑ ⁵⁵	
61-8								sʰ ĩ ⁵⁵	
536-8								tɕ tɕ ĩ ⁴	
731-8								sʰ ĩ ⁵⁵	
779-8								tɕ ĩ ⁵⁵	
589-8								kʰ ĩ ⁵⁵	
680-8								tɕ ɑ ⁴	
658-8								tɕ ĩ ⁵⁵	
456-8								tɕ tɕ ĩ ⁵⁵	
183-8								kʰ ĩ ⁵⁵	
785-8								kʰ ĩ ⁵⁵	
714-8								tɕ ĩ ⁵⁵	
331-8								tɕ ĩ ⁵⁵	
206-8								tɕ ĩ ⁵⁵	
930-8								n ɑ ⁴	
353-8								tɕ ĩ ⁵⁵	
161-8								p tɕ ĩ ⁵⁵	
814-8								kʰ tɕ ĩ ⁵⁵	
179-8								kʰ tɕ ĩ ĩ ⁵⁵ ⁴	
194-8								tɕ tɕ ĩ ⁴	
727-8								tɕ ĩ ⁵⁵	
260-8								kʰ tɕ ɑ ⁴	
144-8								kʰ tɕ ĩ ⁵⁵	
53-8								p ĩ ⁵⁵	
59-8								tɕ ĩ ⁴	
506-8								p ɑ ⁵⁵	
316-8								tɕ tɕ ɑ ⁴	
389-8								tɕ tɕ ĩ ĩ ⁵⁵ ⁵⁵	
118-8								tɕ ɑ ⁵⁵	
312-8								kʰ ĩ ⁵⁵	
490-8								n tɕ ĩ ɑ ⁵⁵ ⁵⁵	
436-8								tɕ n ĩ ⁵⁵	
927-8								n ĩ ⁵⁵	
211-8								tɕ ĩ ⁵⁵	
371-8								tɕ ĩ ⁵⁵	
877-8								tɕ ĩ ⁵⁵	
344-8								tɕ ĩ ⁵⁵	
666-8								n ĩ ⁵⁵	
595-8								tɕ tɕ ĩ ⁵⁵	
660-8								tɕ ĩ ⁴	
642-8								tɕ ĩ ⁵⁵	
257-8								kʰ tɕ ĩ ⁵⁵	
167-8								kʰ ĩ ⁵⁵	
880-8								tɕ ɑ ⁴	
337-8								tɕ ĩ ⁵⁵	
574-8								tɕ tɕ ĩ ⁵⁵	
718-8								tɕ tɕ ĩ ⁵⁵	
811-8								kʰ ĩ ⁵⁵	
458-8								tɕ ĩ ⁵⁵	
884-8								p ɑ ⁴	
205-8								tɕ ĩ ⁴	
499-8								n ĩ ⁵⁵	
706-8								tɕ ĩ ⁵⁵	
920-8								tɕ ĩ ⁵⁵	
36-8								tɕ tɕ ĩ ⁵⁵	
12-8								p tɕ ĩ ⁵⁵	
280-8								kʰ tɕ ĩ ⁵⁵	
638-8								tɕ tɕ ɑ ⁴	
729-8								tɕ tɕ ĩ ⁵⁵	
72-8								tɕ ĩ ⁵⁵	
612-8								tɕ tɕ ĩ ⁵⁵	
459-8								tɕ tɕ ĩ ⁵⁵	
283-8								kʰ ĩ ⁵⁵	
501-8								p ɑ ⁵⁵	
148-8								kʰ ĩ ⁵⁵	
652-8								tɕ ĩ ⁵⁵	
233-8								tɕ ĩ ⁴	
562-8								tɕ tɕ ĩ ⁵⁵	
31-8								p tɕ ɑ ⁵⁵	
386-8								tɕ ĩ ⁵⁵	
684-8								tɕ tɕ ĩ ⁴	
804-8								kʰ tɕ ĩ ⁵⁵	
618-8								sʰ ĩ ⁵⁵	
565-8								w ĩ ⁵⁵	
468-8								tɕ ĩ ⁴	
125-8								tɕ tɕ ĩ ⁵⁵	
314-8								tɕ tɕ ĩ ɑ ⁵⁵ ⁵⁵	
776-8								tɕ tɕ ɑ ⁴	
170-8								kʰ tɕ ɑ ⁵⁵	
471-8								n ĩ ⁵⁵	
249-8								kʰ ĩ ⁵⁵	
367-8								tɕ ĩ ⁵⁵	
414-8								tɕ tɕ ĩ ɑ ⁵⁵ ⁵⁵	
503-8								p ĩ ⁵⁵	
40-8								p tɕ ɑ ⁵⁵	
647-8								tɕ ĩ ⁵⁵	
105-8								tɕ ĩ ⁵⁵	
393-8								tɕ ĩ ⁵⁵	
141-8								kʰ ĩ ⁵⁵	
463-8								tɕ ĩ ⁵⁵	
349-8								tɕ tɕ ĩ ⁵⁵	
841-8								tɕ tɕ ɑ ⁴	
646-8								tɕ ĩ ⁵⁵	
433-8								tɕ tɕ ĩ ⁵⁵	
512-8								tɕ tɕ ɑ ⁴	
518-8								p ĩ ⁵⁵	
849-8								p ɑ ⁴	
90-8								tɕ ɑ ⁴	
933-8								n ĩ ⁵⁵	
668-8								tɕ ĩ ⁵⁵	
164-8								kʰ ĩ ⁵⁵	
686-8								tɕ tɕ ĩ ⁴	
467-8								n ĩ ⁵⁵	
201-8								kʰ tɕ ĩ ⁵⁵	
784-8								tɕ tɕ ɑ ⁵⁵	
487-8								tɕ ɑ ⁵⁵	
504-8								tɕ tɕ ɑ ⁵⁵	
281-8								kʰ tɕ ĩ ⁵⁵	
46-8								p tɕ ĩ ⁵⁵	
377-8								tɕ ɑ ⁵⁵	
67-8								tɕ ĩ ⁴	
864-8								p ĩ ⁵⁵	
635-8								tɕ ɑ ⁵⁵	
445-8								tɕ n ĩ ⁵⁵	
210-8								tɕ ĩ ⁵⁵	
140-8								kʰ ĩ ⁵⁵	
520-8								p ĩ ⁵⁵	
166-8								tɕ tɕ ĩ ⁴	
48-8								p tɕ ĩ ⁵⁵	
379-8								tɕ ɑ ⁵⁵	
55-8								tɕ ĩ ⁵⁵	
665-9									ɔ ⁵⁵
495-9									ɤ ŋ ⁵⁵
838-9									k ɔ ŋ ⁵⁵
438-9									l o ŋ ⁵⁵
334-9									l o ŋ ⁵⁵
360-9									l ɤ ŋ ³¹
394-9									ɤ ³¹
221-9									ɤ p ⁵⁵
202-9									k ɤ ŋ ³¹
935-9									k ɤ ³¹
93-9									k ɤ ³¹
7-9									p ɤ ŋ ³¹
664-9									ɤ ŋ ⁵⁵
246-9									k k ɤ ŋ ³⁵
547-9									k ɤ ³⁵
555-9									ɤ ŋ ⁵⁵
464-9									ɤ ŋ ³¹
119-9									k k ɛ ⁵⁵
835-9									k ɤ p ³⁵
79-9									k k ɔ ŋ ³¹
693-9									ɤ ŋ ⁵⁵
477-9									k ɛ ³¹
891-9									k ɤ ŋ ³⁵
528-9									k ŋ ⁵⁵
797-9									k o ŋ ³⁵
493-9									ɤ ⁵⁵
217-9									k ɤ p ⁵⁵
896-9									k a ŋ ³⁵
452-9									o ŋ ⁵⁵
580-9									k a ŋ ³⁵
833-9									ɤ ŋ ⁵⁵
390-9									k ɤ ŋ ³¹
696-9									k ɤ ŋ ⁵⁵
86-9									k ɤ ŋ ⁵⁵
384-9									ɤ ŋ ³⁵
61-9									k ɤ ŋ ³¹
536-9									k p o ŋ ³⁵
731-9									ɤ ŋ ³¹
779-9									k ɤ ⁵⁵
589-9									k ɤ ŋ ⁵⁵
680-9									ɤ ŋ ³⁵
658-9									ɤ ŋ ⁵⁵
456-9									ɤ ŋ ³¹
183-9									k ŋ ³¹
785-9									k ɔ ³¹
714-9									k ɤ ŋ ⁵⁵
331-9									l ɔ ³¹
206-9									ɔ ⁵⁵
930-9									ɤ p ³⁵
353-9									l ɤ ŋ ⁵⁵
161-9									k k ɤ ŋ ⁵⁵
814-9									k k ɤ ŋ ³¹
179-9									k k ŋ ŋ ⁵⁵
194-9									k o ŋ ⁵⁵
727-9									ɤ ŋ ³¹
260-9									k ɤ p ³⁵
144-9									k k ɛ ŋ ⁵⁵
53-9									p ɤ ŋ ⁵⁵
59-9									k o ŋ ⁵⁵
506-9									p ɤ ŋ ³⁵
29-9									p ɤ ⁵⁵
316-9									k k o ŋ ³⁵
389-9									ŋ ŋ ⁵⁵
118-9									o ŋ ³¹
312-9									k ŋ ³¹
490-9									k ɤ ŋ ³¹
927-9									ɤ ŋ ⁵⁵
383-9									o ŋ ⁵⁵
211-9									ɤ ŋ ⁵⁵
873-9									ɤ ⁵⁵
371-9									l ɤ ŋ ⁵⁵
877-9									ɤ ³⁵
344-9									l ɤ ŋ ⁵⁵
666-9									k ɔ ³¹
595-9									k k ɤ ŋ ³¹
660-9									ɤ ŋ ⁵⁵
642-9									k ɤ ŋ ³⁵
257-9									k ɤ ŋ ⁵⁵
167-9									k ŋ ³¹
880-9									k ɤ ŋ ³⁵
337-9									k ŋ ⁵⁵
484-9									k ɤ ŋ ⁵⁵
574-9									k k ɤ ŋ ³¹
718-9									k ɤ ³¹
811-9									k ɤ ³¹
458-9									k ɤ ŋ ³¹
884-9									k o ³¹
205-9									k o ŋ ⁵⁵
499-9									ɤ ⁵⁵
706-9									k ŋ ⁵⁵
920-9									k ɤ ŋ ³¹
36-9									p ɤ ŋ ⁵⁵
12-9									p k ɤ ⁵⁵
350-9									l k ɤ ŋ ŋ ³⁵
4-9									p ɤ ŋ ⁵⁵
342-9									o ŋ ⁵⁵
280-9									k ɤ ŋ ⁵⁵
638-9									k k ɤ p ³⁵
729-9									k ɤ ⁵⁵
72-9									k ɤ ŋ ⁵⁵
612-9									k k ɤ ŋ ³¹
459-9									ɤ ⁵⁵
569-9									ɤ ŋ ³¹
283-9									k ŋ ³¹
501-9									p ɔ ŋ ⁵⁵
148-9									k ɤ ŋ ³¹
652-9									ɤ ⁵⁵
220-9									k ɤ ŋ ³¹
233-9									ɤ ŋ ⁵⁵
562-9									k ɤ ŋ ⁵⁵
31-9									p ɤ ŋ ⁵⁵
684-9									ɔ ŋ ⁵⁵
804-9									k k ɤ ŋ ³¹
618-9									k ɤ ŋ ³⁵
565-9									k ɤ ⁵⁵
468-9									ɔ ŋ ⁵⁵
369-9									l ɤ ⁵⁵
125-9									k k ɤ ŋ ³¹
314-9									k ŋ ŋ ⁵⁵
776-9									k ɤ ŋ ³⁵
170-9									k k ɔ ŋ ⁵⁵
823-9									l ɤ p ³⁵
471-9									k ɤ ŋ ³¹
249-9									k ɤ ŋ ⁵⁵
367-9									l ɤ ŋ ⁵⁵
414-9									k k ɤ ŋ ⁵⁵
503-9									p ɤ ⁵⁵
40-9									p ɤ ³⁵
647-9									k ɤ ⁵⁵
105-9									k ɤ ⁵⁵
393-9									ɤ ŋ ³⁵
141-9									k ɤ ⁵⁵
272-9									k ɤ ŋ ³⁵
1-9									p ɔ ⁵⁵
349-9									l k ɤ ŋ ⁵⁵
214-9									ɤ ŋ ³¹
841-9									k ɤ ŋ ³⁵
123-9									k ɤ ŋ ⁵⁵
646-9									k ɤ ³⁵
512-9									p ɤ ³⁵
518-9									p ŋ ⁵⁵
878-9									k ɤ ³¹
849-9									p a ŋ ⁵⁵
524-9									p o ŋ ³⁵
90-9									k ɤ ŋ ³⁵
541-9									ɤ ŋ ³¹
933-9									k ŋ ³¹
668-9									ɤ ⁵⁵
164-9									k ɤ ŋ ⁵⁵
686-9									a p ⁵⁵
467-9									k ɔ ³¹
487-9									k ŋ ⁵⁵
49-9									p k ɤ ŋ ³¹
822-9									l ɤ ŋ ³⁵
46-9									p k ɔ ŋ ⁵⁵
377-9									k ɤ ³¹
67-9									k a ŋ ⁵⁵
864-9									p ɤ ŋ ³¹
656-9									ɤ ŋ ³⁵
546-9									ɤ ŋ ⁵⁵
635-9									k ɔ ŋ ³¹
473-9									k ɤ ŋ ⁵⁵
3-9									p ŋ ³⁵
98-9									ŋ ³¹
140-9									k ŋ ⁵⁵
868-9									ɔ ⁵⁵
520-9									p ŋ ⁵⁵
166-9									k k ɤ ⁵⁵
48-9									p k ɤ ⁵⁵
270-9									k ɤ ŋ ⁵⁵
379-9									l ɤ ŋ ⁵⁵
