index	index_p	rindex	rindex_p	cogid	id_Achang	segment_Achang	segment_Achang_L1	segment_Achang_L2	segment_Achang_L3	segment_Achang_R1	segment_Achang_R2	segment_Achang_R3	SC_Achang	SC_Achang_L1	SC_Achang_L2	SC_Achang_L3	SC_Achang_R1	SC_Achang_R2	SC_Achang_R3	PROSODY_Achang	PROSODY_Achang_L1	PROSODY_Achang_L2	PROSODY_Achang_L3	PROSODY_Achang_R1	PROSODY_Achang_R2	PROSODY_Achang_R3	id_Bela	segment_Bela	segment_Bela_L1	segment_Bela_L2	segment_Bela_L3	segment_Bela_R1	segment_Bela_R2	segment_Bela_R3	SC_Bela	SC_Bela_L1	SC_Bela_L2	SC_Bela_L3	SC_Bela_R1	SC_Bela_R2	SC_Bela_R3	PROSODY_Bela	PROSODY_Bela_L1	PROSODY_Bela_L2	PROSODY_Bela_L3	PROSODY_Bela_R1	PROSODY_Bela_R2	PROSODY_Bela_R3	id_Lashi	segment_Lashi	segment_Lashi_L1	segment_Lashi_L2	segment_Lashi_L3	segment_Lashi_R1	segment_Lashi_R2	segment_Lashi_R3	SC_Lashi	SC_Lashi_L1	SC_Lashi_L2	SC_Lashi_L3	SC_Lashi_R1	SC_Lashi_R2	SC_Lashi_R3	PROSODY_Lashi	PROSODY_Lashi_L1	PROSODY_Lashi_L2	PROSODY_Lashi_L3	PROSODY_Lashi_R1	PROSODY_Lashi_R2	PROSODY_Lashi_R3	id_Maru	segment_Maru	segment_Maru_L1	segment_Maru_L2	segment_Maru_L3	segment_Maru_R1	segment_Maru_R2	segment_Maru_R3	SC_Maru	SC_Maru_L1	SC_Maru_L2	SC_Maru_L3	SC_Maru_R1	SC_Maru_R2	SC_Maru_R3	PROSODY_Maru	PROSODY_Maru_L1	PROSODY_Maru_L2	PROSODY_Maru_L3	PROSODY_Maru_R1	PROSODY_Maru_R2	PROSODY_Maru_R3	id_Phon	segment_Phon	segment_Phon_L1	segment_Phon_L2	segment_Phon_L3	segment_Phon_R1	segment_Phon_R2	segment_Phon_R3	SC_Phon	SC_Phon_L1	SC_Phon_L2	SC_Phon_L3	SC_Phon_R1	SC_Phon_R2	SC_Phon_R3	PROSODY_Phon	PROSODY_Phon_L1	PROSODY_Phon_L2	PROSODY_Phon_L3	PROSODY_Phon_R1	PROSODY_Phon_R2	PROSODY_Phon_R3	id_WrittenBurmese	segment_WrittenBurmese	segment_WrittenBurmese_L1	segment_WrittenBurmese_L2	segment_WrittenBurmese_L3	segment_WrittenBurmese_R1	segment_WrittenBurmese_R2	segment_WrittenBurmese_R3	SC_WrittenBurmese	SC_WrittenBurmese_L1	SC_WrittenBurmese_L2	SC_WrittenBurmese_L3	SC_WrittenBurmese_R1	SC_WrittenBurmese_R2	SC_WrittenBurmese_R3	PROSODY_WrittenBurmese	PROSODY_WrittenBurmese_L1	PROSODY_WrittenBurmese_L2	PROSODY_WrittenBurmese_L3	PROSODY_WrittenBurmese_R1	PROSODY_WrittenBurmese_R2	PROSODY_WrittenBurmese_R3	id_Zaiwa	segment_Zaiwa	segment_Zaiwa_L1	segment_Zaiwa_L2	segment_Zaiwa_L3	segment_Zaiwa_R1	segment_Zaiwa_R2	segment_Zaiwa_R3	SC_Zaiwa	SC_Zaiwa_L1	SC_Zaiwa_L2	SC_Zaiwa_L3	SC_Zaiwa_R1	SC_Zaiwa_R2	SC_Zaiwa_R3	PROSODY_Zaiwa	PROSODY_Zaiwa_L1	PROSODY_Zaiwa_L2	PROSODY_Zaiwa_L3	PROSODY_Zaiwa_R1	PROSODY_Zaiwa_R2	PROSODY_Zaiwa_R3
5	0.8333	2	0.3333	114	139	ʔ	ṵ	æ̰	j	⁵²	∅	∅	H	Y	E	J	_	∅	∅	1	7	7	6	0	∅	∅																							140	k	-	au	j	⁵³	∅	∅	K	_	A	J	_	∅	∅	1	0	7	6	0	∅	∅																																																																																								
6	1.0000	1	0.1667	114	139	⁵²	ʔ	ṵ	æ̰	∅	∅	∅	_	H	Y	E	∅	∅	∅	0	1	7	7	∅	∅	∅																							140	⁵³	k	-	au	∅	∅	∅	_	K	_	A	∅	∅	∅	0	1	0	7	∅	∅	∅																																																																																								
1	0.2500	4	1.0000	115	141	dʒ	∅	∅	∅	-	ɔ	³	T	∅	∅	∅	_	U	_	1	∅	∅	∅	0	7	0																							142	d	∅	∅	∅	z	ə	⁴³	T	∅	∅	∅	S	E	_	1	∅	∅	∅	3	7	0																																																																																								
2	0.5000	3	0.7500	115	141	-	dʒ	∅	∅	ɔ	³	∅	_	T	∅	∅	U	_	∅	0	1	∅	∅	7	0	∅																							142	z	d	∅	∅	ə	⁴³	∅	S	T	∅	∅	E	_	∅	3	1	∅	∅	7	0	∅																																																																																								
3	0.7500	2	0.5000	115	141	ɔ	-	dʒ	∅	³	∅	∅	U	_	T	∅	_	∅	∅	7	0	1	∅	0	∅	∅																							142	ə	z	d	∅	⁴³	∅	∅	E	S	T	∅	_	∅	∅	7	3	1	∅	0	∅	∅																																																																																								
4	1.0000	1	0.2500	115	141	³	ɔ	-	dʒ	∅	∅	∅	_	U	_	T	∅	∅	∅	0	7	0	1	∅	∅	∅																							142	⁴³	ə	z	d	∅	∅	∅	_	E	S	T	∅	∅	∅	0	7	3	1	∅	∅	∅																																																																																								
1	0.2500	4	1.0000	117																																																																			143	kʰ	∅	∅	∅	-	a	²	K	∅	∅	∅	_	A	_	1	∅	∅	∅	0	7	0	144	k	∅	∅	∅	-	ə	-	K	∅	∅	∅	_	E	_	1	∅	∅	∅	0	7	0	145	k	∅	∅	∅	j	aː	-	K	∅	∅	∅	J	A	_	1	∅	∅	∅	6	7	0																						
2	0.5000	3	0.7500	117																																																																			143	-	kʰ	∅	∅	a	²	∅	_	K	∅	∅	A	_	∅	0	1	∅	∅	7	0	∅	144	-	k	∅	∅	ə	-	∅	_	K	∅	∅	E	_	∅	0	1	∅	∅	7	0	∅	145	j	k	∅	∅	aː	-	∅	J	K	∅	∅	A	_	∅	6	1	∅	∅	7	0	∅																						
3	0.7500	2	0.5000	117																																																																			143	a	-	kʰ	∅	²	∅	∅	A	_	K	∅	_	∅	∅	7	0	1	∅	0	∅	∅	144	ə	-	k	∅	-	∅	∅	E	_	K	∅	_	∅	∅	7	0	1	∅	0	∅	∅	145	aː	j	k	∅	-	∅	∅	A	J	K	∅	_	∅	∅	7	6	1	∅	0	∅	∅																						
4	1.0000	1	0.2500	117																																																																			143	²	a	-	kʰ	∅	∅	∅	_	A	_	K	∅	∅	∅	0	7	0	1	∅	∅	∅	144	-	ə	-	k	∅	∅	∅	_	E	_	K	∅	∅	∅	0	7	0	1	∅	∅	∅	145	-	aː	j	k	∅	∅	∅	_	A	J	K	∅	∅	∅	0	7	6	1	∅	∅	∅																						
1	0.2000	5	1.0000	118																																																																			146	m	∅	∅	∅	j	a	ŋ	M	∅	∅	∅	J	A	N	4	∅	∅	∅	6	7	4																																													147	m	∅	∅	∅	-	ɔ	-	M	∅	∅	∅	_	U	_	4	∅	∅	∅	0	7	0
2	0.4000	4	0.8000	118																																																																			146	j	m	∅	∅	a	ŋ	³²	J	M	∅	∅	A	N	_	6	4	∅	∅	7	4	0																																													147	-	m	∅	∅	ɔ	-	³	_	M	∅	∅	U	_	_	0	4	∅	∅	7	0	0
3	0.6000	3	0.6000	118																																																																			146	a	j	m	∅	ŋ	³²	∅	A	J	M	∅	N	_	∅	7	6	4	∅	4	0	∅																																													147	ɔ	-	m	∅	-	³	∅	U	_	M	∅	_	_	∅	7	0	4	∅	0	0	∅
4	0.8000	2	0.4000	118																																																																			146	ŋ	a	j	m	³²	∅	∅	N	A	J	M	_	∅	∅	4	7	6	4	0	∅	∅																																													147	-	ɔ	-	m	³	∅	∅	_	U	_	M	_	∅	∅	0	7	0	4	0	∅	∅
5	1.0000	1	0.2000	118																																																																			146	³²	ŋ	a	j	∅	∅	∅	_	N	A	J	∅	∅	∅	0	4	7	6	∅	∅	∅																																													147	³	-	ɔ	-	∅	∅	∅	_	_	U	_	∅	∅	∅	0	0	7	0	∅	∅	∅
1	0.2500	4	1.0000	121	148	-	∅	∅	∅	l	ai	³⁴	_	∅	∅	∅	L	A	_	0	∅	∅	∅	5	7	0																							149	-	∅	∅	∅	l	a	³	_	∅	∅	∅	L	A	_	0	∅	∅	∅	5	7	0																																													150	h	∅	∅	∅	lʷ	a	-	H	∅	∅	∅	L	A	_	3	∅	∅	∅	5	7	0	151	-	∅	∅	∅	l	ə	³	_	∅	∅	∅	L	E	_	0	∅	∅	∅	5	7	0
2	0.5000	3	0.7500	121	148	l	-	∅	∅	ai	³⁴	∅	L	_	∅	∅	A	_	∅	5	0	∅	∅	7	0	∅																							149	l	-	∅	∅	a	³	∅	L	_	∅	∅	A	_	∅	5	0	∅	∅	7	0	∅																																													150	lʷ	h	∅	∅	a	-	∅	L	H	∅	∅	A	_	∅	5	3	∅	∅	7	0	∅	151	l	-	∅	∅	ə	³	∅	L	_	∅	∅	E	_	∅	5	0	∅	∅	7	0	∅
3	0.7500	2	0.5000	121	148	ai	l	-	∅	³⁴	∅	∅	A	L	_	∅	_	∅	∅	7	5	0	∅	0	∅	∅																							149	a	l	-	∅	³	∅	∅	A	L	_	∅	_	∅	∅	7	5	0	∅	0	∅	∅																																													150	a	lʷ	h	∅	-	∅	∅	A	L	H	∅	_	∅	∅	7	5	3	∅	0	∅	∅	151	ə	l	-	∅	³	∅	∅	E	L	_	∅	_	∅	∅	7	5	0	∅	0	∅	∅
4	1.0000	1	0.2500	121	148	³⁴	ai	l	-	∅	∅	∅	_	A	L	_	∅	∅	∅	0	7	5	0	∅	∅	∅																							149	³	a	l	-	∅	∅	∅	_	A	L	_	∅	∅	∅	0	7	5	0	∅	∅	∅																																													150	-	a	lʷ	h	∅	∅	∅	_	A	L	H	∅	∅	∅	0	7	5	3	∅	∅	∅	151	³	ə	l	-	∅	∅	∅	_	E	L	_	∅	∅	∅	0	7	5	0	∅	∅	∅
1	0.2500	4	1.0000	123																																													152	n	∅	∅	∅	ɔ̃	ʔ	³¹	N	∅	∅	∅	U	H	_	4	∅	∅	∅	7	1	0																																																																			153	n	∅	∅	∅	ɔ	ʔ	³²	N	∅	∅	∅	U	H	_	4	∅	∅	∅	7	1	0
2	0.5000	3	0.7500	123																																													152	ɔ̃	n	∅	∅	ʔ	³¹	∅	U	N	∅	∅	H	_	∅	7	4	∅	∅	1	0	∅																																																																			153	ɔ	n	∅	∅	ʔ	³²	∅	U	N	∅	∅	H	_	∅	7	4	∅	∅	1	0	∅
3	0.7500	2	0.5000	123																																													152	ʔ	ɔ̃	n	∅	³¹	∅	∅	H	U	N	∅	_	∅	∅	1	7	4	∅	0	∅	∅																																																																			153	ʔ	ɔ	n	∅	³²	∅	∅	H	U	N	∅	_	∅	∅	1	7	4	∅	0	∅	∅
4	1.0000	1	0.2500	123																																													152	³¹	ʔ	ɔ̃	n	∅	∅	∅	_	H	U	N	∅	∅	∅	0	1	7	4	∅	∅	∅																																																																			153	³²	ʔ	ɔ	n	∅	∅	∅	_	H	U	N	∅	∅	∅	0	1	7	4	∅	∅	∅
1	0.2500	4	1.0000	126																							154	n	∅	∅	∅	a	ʔ	⁵²	N	∅	∅	∅	A	H	_	4	∅	∅	∅	7	1	0	155	n	∅	∅	∅	ɔ̃	ʔ	³	N	∅	∅	∅	U	H	_	4	∅	∅	∅	7	1	0																																																																			156	ŋ	∅	∅	∅	ɔ	-	³	N	∅	∅	∅	U	_	_	4	∅	∅	∅	7	0	0
2	0.5000	3	0.7500	126																							154	a	n	∅	∅	ʔ	⁵²	∅	A	N	∅	∅	H	_	∅	7	4	∅	∅	1	0	∅	155	ɔ̃	n	∅	∅	ʔ	³	∅	U	N	∅	∅	H	_	∅	7	4	∅	∅	1	0	∅																																																																			156	ɔ	ŋ	∅	∅	-	³	∅	U	N	∅	∅	_	_	∅	7	4	∅	∅	0	0	∅
3	0.7500	2	0.5000	126																							154	ʔ	a	n	∅	⁵²	∅	∅	H	A	N	∅	_	∅	∅	1	7	4	∅	0	∅	∅	155	ʔ	ɔ̃	n	∅	³	∅	∅	H	U	N	∅	_	∅	∅	1	7	4	∅	0	∅	∅																																																																			156	-	ɔ	ŋ	∅	³	∅	∅	_	U	N	∅	_	∅	∅	0	7	4	∅	0	∅	∅
4	1.0000	1	0.2500	126																							154	⁵²	ʔ	a	n	∅	∅	∅	_	H	A	N	∅	∅	∅	0	1	7	4	∅	∅	∅	155	³	ʔ	ɔ̃	n	∅	∅	∅	_	H	U	N	∅	∅	∅	0	1	7	4	∅	∅	∅																																																																			156	³	-	ɔ	ŋ	∅	∅	∅	_	_	U	N	∅	∅	∅	0	0	7	4	∅	∅	∅
1	0.3333	3	1.0000	128																																													157	l	∅	∅	∅	a	⁵³	∅	L	∅	∅	∅	A	_	∅	5	∅	∅	∅	7	0	∅	158	l	∅	∅	∅	ə	-	∅	L	∅	∅	∅	E	_	∅	5	∅	∅	∅	7	0	∅																																																																		
2	0.6667	2	0.6667	128																																													157	a	l	∅	∅	⁵³	∅	∅	A	L	∅	∅	_	∅	∅	7	5	∅	∅	0	∅	∅	158	ə	l	∅	∅	-	∅	∅	E	L	∅	∅	_	∅	∅	7	5	∅	∅	0	∅	∅																																																																		
3	1.0000	1	0.3333	128																																													157	⁵³	a	l	∅	∅	∅	∅	_	A	L	∅	∅	∅	∅	0	7	5	∅	∅	∅	∅	158	-	ə	l	∅	∅	∅	∅	_	E	L	∅	∅	∅	∅	0	7	5	∅	∅	∅	∅																																																																		
1	0.2500	4	1.0000	129																																																																																									159	kʰ	∅	∅	∅	w	e	⁵⁵	K	∅	∅	∅	W	E	_	1	∅	∅	∅	6	7	0																							160	kʰ	∅	∅	∅	w	i	³²	K	∅	∅	∅	W	I	_	1	∅	∅	∅	6	7	0
2	0.5000	3	0.7500	129																																																																																									159	w	kʰ	∅	∅	e	⁵⁵	∅	W	K	∅	∅	E	_	∅	6	1	∅	∅	7	0	∅																							160	w	kʰ	∅	∅	i	³²	∅	W	K	∅	∅	I	_	∅	6	1	∅	∅	7	0	∅
3	0.7500	2	0.5000	129																																																																																									159	e	w	kʰ	∅	⁵⁵	∅	∅	E	W	K	∅	_	∅	∅	7	6	1	∅	0	∅	∅																							160	i	w	kʰ	∅	³²	∅	∅	I	W	K	∅	_	∅	∅	7	6	1	∅	0	∅	∅
4	1.0000	1	0.2500	129																																																																																									159	⁵⁵	e	w	kʰ	∅	∅	∅	_	E	W	K	∅	∅	∅	0	7	6	1	∅	∅	∅																							160	³²	i	w	kʰ	∅	∅	∅	_	I	W	K	∅	∅	∅	0	7	6	1	∅	∅	∅
1	0.2000	5	1.0000	130	161	dʒ	∅	∅	∅	j	æ	p	T	∅	∅	∅	J	E	P	1	∅	∅	∅	6	7	1																							162	g	∅	∅	∅	j	æ	p	K	∅	∅	∅	J	E	P	1	∅	∅	∅	6	7	1	163	-	∅	∅	∅	ɣ	e	ʔ	_	∅	∅	∅	G	E	H	0	∅	∅	∅	3	7	1																																																																		
2	0.4000	4	0.8000	130	161	j	dʒ	∅	∅	æ	p	⁴²	J	T	∅	∅	E	P	_	6	1	∅	∅	7	1	0																							162	j	g	∅	∅	æ	p	³	J	K	∅	∅	E	P	_	6	1	∅	∅	7	1	0	163	ɣ	-	∅	∅	e	ʔ	³	G	_	∅	∅	E	H	_	3	0	∅	∅	7	1	0																																																																		
3	0.6000	3	0.6000	130	161	æ	j	dʒ	∅	p	⁴²	∅	E	J	T	∅	P	_	∅	7	6	1	∅	1	0	∅																							162	æ	j	g	∅	p	³	∅	E	J	K	∅	P	_	∅	7	6	1	∅	1	0	∅	163	e	ɣ	-	∅	ʔ	³	∅	E	G	_	∅	H	_	∅	7	3	0	∅	1	0	∅																																																																		
4	0.8000	2	0.4000	130	161	p	æ	j	dʒ	⁴²	∅	∅	P	E	J	T	_	∅	∅	1	7	6	1	0	∅	∅																							162	p	æ	j	g	³	∅	∅	P	E	J	K	_	∅	∅	1	7	6	1	0	∅	∅	163	ʔ	e	ɣ	-	³	∅	∅	H	E	G	_	_	∅	∅	1	7	3	0	0	∅	∅																																																																		
5	1.0000	1	0.2000	130	161	⁴²	p	æ	j	∅	∅	∅	_	P	E	J	∅	∅	∅	0	1	7	6	∅	∅	∅																							162	³	p	æ	j	∅	∅	∅	_	P	E	J	∅	∅	∅	0	1	7	6	∅	∅	∅	163	³	ʔ	e	ɣ	∅	∅	∅	_	H	E	G	∅	∅	∅	0	1	7	3	∅	∅	∅																																																																		
1	0.2500	4	1.0000	131	164	ŋ	∅	∅	∅	a	t	³¹	N	∅	∅	∅	A	T	_	4	∅	∅	∅	7	1	0																							165	ŋ	∅	∅	∅	ai	t	³	N	∅	∅	∅	A	T	_	4	∅	∅	∅	7	1	0	166	n	∅	∅	∅	a	-	³²	N	∅	∅	∅	A	_	_	4	∅	∅	∅	7	0	0																																													167	ŋ	∅	∅	∅	a	t	³²	N	∅	∅	∅	A	T	_	4	∅	∅	∅	7	1	0
2	0.5000	3	0.7500	131	164	a	ŋ	∅	∅	t	³¹	∅	A	N	∅	∅	T	_	∅	7	4	∅	∅	1	0	∅																							165	ai	ŋ	∅	∅	t	³	∅	A	N	∅	∅	T	_	∅	7	4	∅	∅	1	0	∅	166	a	n	∅	∅	-	³²	∅	A	N	∅	∅	_	_	∅	7	4	∅	∅	0	0	∅																																													167	a	ŋ	∅	∅	t	³²	∅	A	N	∅	∅	T	_	∅	7	4	∅	∅	1	0	∅
3	0.7500	2	0.5000	131	164	t	a	ŋ	∅	³¹	∅	∅	T	A	N	∅	_	∅	∅	1	7	4	∅	0	∅	∅																							165	t	ai	ŋ	∅	³	∅	∅	T	A	N	∅	_	∅	∅	1	7	4	∅	0	∅	∅	166	-	a	n	∅	³²	∅	∅	_	A	N	∅	_	∅	∅	0	7	4	∅	0	∅	∅																																													167	t	a	ŋ	∅	³²	∅	∅	T	A	N	∅	_	∅	∅	1	7	4	∅	0	∅	∅
4	1.0000	1	0.2500	131	164	³¹	t	a	ŋ	∅	∅	∅	_	T	A	N	∅	∅	∅	0	1	7	4	∅	∅	∅																							165	³	t	ai	ŋ	∅	∅	∅	_	T	A	N	∅	∅	∅	0	1	7	4	∅	∅	∅	166	³²	-	a	n	∅	∅	∅	_	_	A	N	∅	∅	∅	0	0	7	4	∅	∅	∅																																													167	³²	t	a	ŋ	∅	∅	∅	_	T	A	N	∅	∅	∅	0	1	7	4	∅	∅	∅
1	0.2500	4	1.0000	134																																																																			168	dʒ	∅	∅	∅	au	ŋ	⁵¹	T	∅	∅	∅	A	N	_	1	∅	∅	∅	7	4	0																																													169	dʒ	∅	∅	∅	u	ŋ	⁵³	T	∅	∅	∅	Y	N	_	1	∅	∅	∅	7	4	0
2	0.5000	3	0.7500	134																																																																			168	au	dʒ	∅	∅	ŋ	⁵¹	∅	A	T	∅	∅	N	_	∅	7	1	∅	∅	4	0	∅																																													169	u	dʒ	∅	∅	ŋ	⁵³	∅	Y	T	∅	∅	N	_	∅	7	1	∅	∅	4	0	∅
3	0.7500	2	0.5000	134																																																																			168	ŋ	au	dʒ	∅	⁵¹	∅	∅	N	A	T	∅	_	∅	∅	4	7	1	∅	0	∅	∅																																													169	ŋ	u	dʒ	∅	⁵³	∅	∅	N	Y	T	∅	_	∅	∅	4	7	1	∅	0	∅	∅
4	1.0000	1	0.2500	134																																																																			168	⁵¹	ŋ	au	dʒ	∅	∅	∅	_	N	A	T	∅	∅	∅	0	4	7	1	∅	∅	∅																																													169	⁵³	ŋ	u	dʒ	∅	∅	∅	_	N	Y	T	∅	∅	∅	0	4	7	1	∅	∅	∅
1	0.1667	6	1.0000	138	170	l	∅	∅	∅	j	a̰	ŋ	L	∅	∅	∅	J	A	N	5	∅	∅	∅	6	7	4																							171	-	∅	∅	∅	j	a̰	ŋ	_	∅	∅	∅	J	A	N	0	∅	∅	∅	6	7	4																																																																																								
2	0.3333	5	0.8333	138	170	j	l	∅	∅	a̰	ŋ	k	J	L	∅	∅	A	N	K	6	5	∅	∅	7	4	1																							171	j	-	∅	∅	a̰	ŋ	k	J	_	∅	∅	A	N	K	6	0	∅	∅	7	4	1																																																																																								
3	0.5000	4	0.6667	138	170	a̰	j	l	∅	ŋ	k	⁵³	A	J	L	∅	N	K	_	7	6	5	∅	4	1	0																							171	a̰	j	-	∅	ŋ	k	⁵³	A	J	_	∅	N	K	_	7	6	0	∅	4	1	0																																																																																								
4	0.6667	3	0.5000	138	170	ŋ	a̰	j	l	k	⁵³	∅	N	A	J	L	K	_	∅	4	7	6	5	1	0	∅																							171	ŋ	a̰	j	-	k	⁵³	∅	N	A	J	_	K	_	∅	4	7	6	0	1	0	∅																																																																																								
5	0.8333	2	0.3333	138	170	k	ŋ	a̰	j	⁵³	∅	∅	K	N	A	J	_	∅	∅	1	4	7	6	0	∅	∅																							171	k	ŋ	a̰	j	⁵³	∅	∅	K	N	A	J	_	∅	∅	1	4	7	6	0	∅	∅																																																																																								
6	1.0000	1	0.1667	138	170	⁵³	k	ŋ	a̰	∅	∅	∅	_	K	N	A	∅	∅	∅	0	1	4	7	∅	∅	∅																							171	⁵³	k	ŋ	a̰	∅	∅	∅	_	K	N	A	∅	∅	∅	0	1	4	7	∅	∅	∅																																																																																								
1	0.3333	3	1.0000	140																							172	sʰ	∅	∅	∅	a	²³	∅	S	∅	∅	∅	A	_	∅	3	∅	∅	∅	7	0	∅																							173	ʃ	∅	∅	∅	ɪ	⁴	∅	S	∅	∅	∅	I	_	∅	3	∅	∅	∅	7	0	∅																																													174	ʃ	∅	∅	∅	ɔ	⁴³	∅	S	∅	∅	∅	U	_	∅	3	∅	∅	∅	7	0	∅
2	0.6667	2	0.6667	140																							172	a	sʰ	∅	∅	²³	∅	∅	A	S	∅	∅	_	∅	∅	7	3	∅	∅	0	∅	∅																							173	ɪ	ʃ	∅	∅	⁴	∅	∅	I	S	∅	∅	_	∅	∅	7	3	∅	∅	0	∅	∅																																													174	ɔ	ʃ	∅	∅	⁴³	∅	∅	U	S	∅	∅	_	∅	∅	7	3	∅	∅	0	∅	∅
3	1.0000	1	0.3333	140																							172	²³	a	sʰ	∅	∅	∅	∅	_	A	S	∅	∅	∅	∅	0	7	3	∅	∅	∅	∅																							173	⁴	ɪ	ʃ	∅	∅	∅	∅	_	I	S	∅	∅	∅	∅	0	7	3	∅	∅	∅	∅																																													174	⁴³	ɔ	ʃ	∅	∅	∅	∅	_	U	S	∅	∅	∅	∅	0	7	3	∅	∅	∅	∅
1	0.2500	4	1.0000	141	175	tsʰ	∅	∅	∅	a	ŋ	³	C	∅	∅	∅	A	N	_	2	∅	∅	∅	7	4	0																							176	tsʰ	∅	∅	∅	a	ŋ	²	C	∅	∅	∅	A	N	_	2	∅	∅	∅	7	4	0	177	tsʰ	∅	∅	∅	a	-	⁵³	C	∅	∅	∅	A	_	_	2	∅	∅	∅	7	0	0																							178	tsʰ	∅	∅	∅	a	ŋ	-	C	∅	∅	∅	A	N	_	2	∅	∅	∅	7	4	0																						
2	0.5000	3	0.7500	141	175	a	tsʰ	∅	∅	ŋ	³	∅	A	C	∅	∅	N	_	∅	7	2	∅	∅	4	0	∅																							176	a	tsʰ	∅	∅	ŋ	²	∅	A	C	∅	∅	N	_	∅	7	2	∅	∅	4	0	∅	177	a	tsʰ	∅	∅	-	⁵³	∅	A	C	∅	∅	_	_	∅	7	2	∅	∅	0	0	∅																							178	a	tsʰ	∅	∅	ŋ	-	∅	A	C	∅	∅	N	_	∅	7	2	∅	∅	4	0	∅																						
3	0.7500	2	0.5000	141	175	ŋ	a	tsʰ	∅	³	∅	∅	N	A	C	∅	_	∅	∅	4	7	2	∅	0	∅	∅																							176	ŋ	a	tsʰ	∅	²	∅	∅	N	A	C	∅	_	∅	∅	4	7	2	∅	0	∅	∅	177	-	a	tsʰ	∅	⁵³	∅	∅	_	A	C	∅	_	∅	∅	0	7	2	∅	0	∅	∅																							178	ŋ	a	tsʰ	∅	-	∅	∅	N	A	C	∅	_	∅	∅	4	7	2	∅	0	∅	∅																						
4	1.0000	1	0.2500	141	175	³	ŋ	a	tsʰ	∅	∅	∅	_	N	A	C	∅	∅	∅	0	4	7	2	∅	∅	∅																							176	²	ŋ	a	tsʰ	∅	∅	∅	_	N	A	C	∅	∅	∅	0	4	7	2	∅	∅	∅	177	⁵³	-	a	tsʰ	∅	∅	∅	_	_	A	C	∅	∅	∅	0	0	7	2	∅	∅	∅																							178	-	ŋ	a	tsʰ	∅	∅	∅	_	N	A	C	∅	∅	∅	0	4	7	2	∅	∅	∅																						
1	0.3333	3	1.0000	147																																													179	ʔ	∅	∅	∅	a	³	∅	H	∅	∅	∅	A	_	∅	1	∅	∅	∅	7	0	∅																																													180	ʔ	∅	∅	∅	ə	-	∅	H	∅	∅	∅	E	_	∅	1	∅	∅	∅	7	0	∅																						
2	0.6667	2	0.6667	147																																													179	a	ʔ	∅	∅	³	∅	∅	A	H	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																																													180	ə	ʔ	∅	∅	-	∅	∅	E	H	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																						
3	1.0000	1	0.3333	147																																													179	³	a	ʔ	∅	∅	∅	∅	_	A	H	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																																													180	-	ə	ʔ	∅	∅	∅	∅	_	E	H	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																						
1	0.3333	3	1.0000	151	181	b	∅	∅	∅	ɛ	³	∅	P	∅	∅	∅	E	_	∅	1	∅	∅	∅	7	0	∅																							182	b	∅	∅	∅	ə	³	∅	P	∅	∅	∅	E	_	∅	1	∅	∅	∅	7	0	∅																																													183	b	∅	∅	∅	a	-	∅	P	∅	∅	∅	A	_	∅	1	∅	∅	∅	7	0	∅																						
2	0.6667	2	0.6667	151	181	ɛ	b	∅	∅	³	∅	∅	E	P	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																							182	ə	b	∅	∅	³	∅	∅	E	P	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																																													183	a	b	∅	∅	-	∅	∅	A	P	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																						
3	1.0000	1	0.3333	151	181	³	ɛ	b	∅	∅	∅	∅	_	E	P	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																							182	³	ə	b	∅	∅	∅	∅	_	E	P	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																																													183	-	a	b	∅	∅	∅	∅	_	A	P	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																						
1	0.2500	4	1.0000	153	184	l	∅	∅	∅	a̰	ŋ	³	L	∅	∅	∅	A	N	_	5	∅	∅	∅	7	4	0																							185	l	∅	∅	∅	a̰	ŋ	³⁴	L	∅	∅	∅	A	N	_	5	∅	∅	∅	7	4	0	186	l	∅	∅	∅	a̰	-	³	L	∅	∅	∅	A	_	_	5	∅	∅	∅	7	0	0																																													187	l	∅	∅	∅	a̰	ŋ	⁵³	L	∅	∅	∅	A	N	_	5	∅	∅	∅	7	4	0
2	0.5000	3	0.7500	153	184	a̰	l	∅	∅	ŋ	³	∅	A	L	∅	∅	N	_	∅	7	5	∅	∅	4	0	∅																							185	a̰	l	∅	∅	ŋ	³⁴	∅	A	L	∅	∅	N	_	∅	7	5	∅	∅	4	0	∅	186	a̰	l	∅	∅	-	³	∅	A	L	∅	∅	_	_	∅	7	5	∅	∅	0	0	∅																																													187	a̰	l	∅	∅	ŋ	⁵³	∅	A	L	∅	∅	N	_	∅	7	5	∅	∅	4	0	∅
