** /proj/evolang2022/tiago/ST2022/data-surprise/bantubvd/solutions-0.10.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
AchangLongchuan       1.1522        0.2978       0.6625         0.5789       1.5652        0.4228       0.5816         0.4570
Atsi                  1.2553        0.3213       0.6141         0.5718       1.3617        0.3578       0.5766         0.5420
Bola                  0.7727        0.2178       0.7467         0.6692       0.8864        0.2364       0.7359         0.6591
Lashi                 1.8298        0.4904       0.5224         0.3720       1.7872        0.4759       0.5540         0.3676
Maru                  1.0870        0.3029       0.6730         0.5854       1.1957        0.3344       0.6535         0.5505
OldBurmese            0.7949        0.2650       0.7593         0.6330       0.8462        0.2654       0.7026         0.6217
ProtoBurmish          0.6383        0.1702       0.8175         0.7514       0.6383        0.1745       0.8099         0.7338
Rangoon               1.9574        0.5280       0.4664         0.3449       1.7234        0.4862       0.4978         0.4020
Xiandao               1.3617        0.3681       0.5968         0.5162       1.6809        0.4610       0.5314         0.3957
TOTAL                 1.2055        0.3291       0.6510         0.5581       1.2983        0.3571       0.6270         0.5255


** /proj/evolang2022/tiago/ST2022/data-surprise/hillburmish/solutions-0.20.tsv
Language           ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
---------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
AchangLongchuan       1.3523        0.3364       0.5982         0.5531       1.7500        0.4670       0.5213         0.3987
Atsi                  1.1505        0.2984       0.6178         0.5995       1.5161        0.3995       0.5420         0.4681
Bola                  0.7907        0.2233       0.7250         0.6610       1.0698        0.3031       0.6557         0.5720
Lashi                 1.7391        0.4676       0.5181         0.3987       1.9565        0.5190       0.4946         0.3318
Maru                  0.9318        0.2564       0.6873         0.6483       1.1705        0.3341       0.6453         0.5234
OldBurmese            0.8246        0.2588       0.7639         0.6311       1.1053        0.3465       0.6184         0.5262
ProtoBurmish          0.8280        0.2079       0.7446         0.6878       0.6882        0.1882       0.7937         0.7071
Rangoon               2.1461        0.5706       0.3889         0.3015       1.9888        0.5622       0.4293         0.3154
Xiandao               1.2717        0.3567       0.5950         0.5108       1.8043        0.4837       0.4655         0.3722
TOTAL                 1.2261        0.3307       0.6266         0.5546       1.4499        0.4004       0.5740         0.4683


** /proj/evolang2022/tiago/ST2022/data-surprise/hillburmish/solutions-0.30.tsv
Language           ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
---------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
AchangLongchuan       1.4087        0.3532       0.5806         0.5168       1.9130        0.4871       0.4739         0.3599
Atsi                  1.2701        0.3363       0.5961         0.5459       1.8394        0.4828       0.4592         0.3610
Bola                  0.8760        0.2431       0.6848         0.6487       1.3223        0.3653       0.5899         0.4952
Lashi                 1.8832        0.4979       0.4940         0.3635       2.2409        0.5659       0.4269         0.2871
Maru                  1.0800        0.2959       0.6392         0.5992       1.5040        0.3977       0.5448         0.4603
OldBurmese            1.1644        0.3537       0.6952         0.5035       1.6027        0.4735       0.4915         0.3638
ProtoBurmish          1.0000        0.2473       0.7092         0.6353       1.1159        0.2882       0.6669         0.5771
Rangoon               2.3889        0.6694       0.3232         0.2142       2.5238        0.7019       0.3237         0.1923
Xiandao               1.5693        0.4331       0.5131         0.4252       2.4234        0.6265       0.3543         0.2307
TOTAL                 1.4045        0.3811       0.5817         0.4947       1.8317        0.4877       0.4812         0.3697


** /proj/evolang2022/tiago/ST2022/data-surprise/hillburmish/solutions-0.40.tsv
Language           ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
---------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
AchangLongchuan       1.4029        0.3506       0.5599         0.5237       2.3957        0.5881       0.3994         0.2869
Atsi                  1.5989        0.4104       0.5202         0.4392       2.5385        0.6241       0.3184         0.2301
Bola                  0.9281        0.2537       0.6723         0.6313       1.8627        0.4816       0.4796         0.3785
Lashi                 2.0944        0.5440       0.4498         0.2990       2.7889        0.6722       0.3106         0.1938
Maru                  1.1313        0.2951       0.6252         0.5950       1.8000        0.4689       0.4788         0.3826
OldBurmese            1.2558        0.3878       0.6414         0.4786       1.8023        0.5345       0.4356         0.3121
ProtoBurmish          1.0838        0.2632       0.6856         0.6113       1.4134        0.3513       0.5782         0.4970
Rangoon               2.5677        0.7203       0.2760         0.1723       2.8194        0.7439       0.2778         0.1735
Xiandao               2.1345        0.5811       0.3953         0.2679       2.8070        0.6784       0.3362         0.2121
TOTAL                 1.5775        0.4229       0.5362         0.4465       2.2475        0.5714       0.4016         0.2963


** /proj/evolang2022/tiago/ST2022/data-surprise/hillburmish/solutions-0.50.tsv
Language           ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
---------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
AchangLongchuan       1.7826        0.4477       0.5058         0.4113       2.6335        0.6377       0.3498         0.2300
Atsi                  2.4444        0.6326       0.3897         0.2341       3.4028        0.7996       0.2167         0.1188
Bola                  1.1304        0.3011       0.6245         0.5638       2.3967        0.6063       0.3789         0.2735
Lashi                 3.0622        0.7867       0.3052         0.1190       3.3493        0.8010       0.2131         0.0982
Maru                  1.2474        0.3337       0.6089         0.5433       2.2947        0.5775       0.4025         0.2821
OldBurmese            1.5859        0.4579       0.5585         0.3907       1.8384        0.5428       0.4364         0.3244
ProtoBurmish          1.5721        0.3647       0.5892         0.4993       1.3349        0.3257       0.5975         0.5344
Rangoon               3.0471        0.8425       0.2269         0.0909       3.3176        0.8859       0.2597         0.0667
Xiandao               3.2938        0.7735       0.3278         0.1481       3.2474        0.7658       0.2639         0.1550
TOTAL                 2.1295        0.5489       0.4596         0.3334       2.6462        0.6602       0.3465         0.2315


** /proj/evolang2022/tiago/ST2022/data-surprise/kesslersignificance/solutions-0.10.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Albanian         3.3125        0.7135       0.4065         0.1299       3.1429        0.9143       0.2824         0.0343
English          2.8500        0.7295       0.5241         0.1530       2.0000        0.6733       0.5049         0.1733
French           2.6500        0.7599       0.5304         0.1339       2.7143        0.7706       0.4203         0.1237
German           2.1000        0.6158       0.5590         0.2318       2.4211        0.7289       0.4924         0.1414
Latin            2.9524        0.7008       0.4411         0.1610       2.9048        0.7190       0.4009         0.1699
TOTAL            2.7730        0.7039       0.4922         0.1619       2.6366        0.7612       0.4202         0.1285


** /proj/evolang2022/tiago/ST2022/data-surprise/kesslersignificance/solutions-0.20.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Albanian         3.4211        0.7555       0.3659         0.0857       2.8205        0.7940       0.3187         0.0807
English          2.8421        0.6831       0.4249         0.1831       2.8810        0.8099       0.3004         0.0727
French           3.0769        0.7832       0.3600         0.1111       2.8611        0.7995       0.3796         0.0791
German           2.4146        0.6703       0.4290         0.1597       2.8780        0.6826       0.3236         0.1916
Latin            2.9024        0.6562       0.3957         0.1815       2.2881        0.6172       0.2645         0.0848


** /proj/evolang2022/tiago/ST2022/data-surprise/kesslersignificance/solutions-0.30.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Albanian         3.3043        0.8010       0.3545         0.0990       3.0536        0.8165       0.2697         0.0837
English          2.9821        0.7423       0.3763         0.1299       3.1930        0.8503       0.2541         0.0666
French           3.1250        0.8227       0.3290         0.0727       3.0545        0.8164       0.2842         0.0801
German           2.6545        0.6666       0.3898         0.1675       3.2167        0.7432       0.2404         0.1029
Latin            3.4237        0.7964       0.2783         0.0876       2.5036        0.6453       0.2097         0.0667


** /proj/evolang2022/tiago/ST2022/data-surprise/kesslersignificance/solutions-0.40.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Albanian         4.1765        0.9284       0.3013         0.0292       3.5588        0.8578       0.2444         0.0294
English          3.7015        0.8833       0.3133         0.0409       2.9701        0.8052       0.2554         0.1027
French           3.9714        0.9123       0.2995         0.0299       3.2143        0.8160       0.2199         0.0944
German           4.0303        0.8544       0.3350         0.0646       3.3636        0.7662       0.2482         0.1293
Latin            3.6892        0.8292       0.2688         0.0785       3.4730        0.7792       0.2341         0.0862
TOTAL            3.9138        0.8815       0.3036         0.0486       3.3160        0.8049       0.2404         0.0884


** /proj/evolang2022/tiago/ST2022/data-surprise/kesslersignificance/solutions-0.50.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Albanian         4.3784        0.9409       0.2885         0.0202       3.7568        0.9031       0.2049         0.0090
English          3.6351        0.8760       0.2983         0.0490       2.8243        0.7590       0.2696         0.1326
French           4.3976        0.9421       0.2734         0.0226       3.3902        0.8061       0.2121         0.0801
German           3.9306        0.8445       0.3293         0.0694       3.3056        0.7535       0.2395         0.1380
Latin            3.9770        0.8685       0.2187         0.0652       3.7126        0.7649       0.2063         0.0996
TOTAL            4.0637        0.8944       0.2816         0.0453       3.3979        0.7973       0.2265         0.0919


** /proj/evolang2022/tiago/ST2022/data-surprise/luangthongkumkaren/solutions-0.10.tsv
Language       ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Kayah             0.1316        0.0417       0.9564         0.9297       0.1316        0.0395       0.9462         0.9422
Kayan             0.4474        0.1105       0.9064         0.8060       0.3684        0.0930       0.8861         0.8430
Kayaw             0.1316        0.0373       0.9886         0.9377       0.1579        0.0439       0.9731         0.9278
NorthernPao       0.2632        0.0575       0.9290         0.9086       0.1842        0.0447       0.9453         0.9289
NorthernPwo       0.7895        0.2083       0.8171         0.6759       0.5263        0.1303       0.8353         0.8131
ProtoKaren        0.4211        0.1061       0.9196         0.8182       0.4737        0.1211       0.8828         0.8119
SouthernPao       0.2105        0.0456       0.9399         0.9273       0.0526        0.0118       0.9837         0.9773
WesternBwe        0.6316        0.2083       0.8259         0.6952       0.5000        0.1623       0.8078         0.7578
TOTAL             0.3783        0.1019       0.9103         0.8373       0.2993        0.0808       0.9075         0.8752


** /proj/evolang2022/tiago/ST2022/data-surprise/luangthongkumkaren/solutions-0.20.tsv
Language       ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Kayah             0.2368        0.0680       0.9259         0.8865       0.2368        0.0724       0.8966         0.8836
Kayan             0.5263        0.1276       0.8428         0.7968       0.4211        0.1077       0.8451         0.8206
Kayaw             0.2237        0.0669       0.9397         0.8944       0.2105        0.0647       0.9211         0.8928
NorthernPao       0.3289        0.0730       0.8864         0.8824       0.3421        0.0781       0.8828         0.8698
NorthernPwo       0.7632        0.2046       0.8082         0.6784       0.6053        0.1691       0.7871         0.7527
ProtoKaren        0.5000        0.1257       0.8717         0.7909       0.5921        0.1498       0.8234         0.7725
SouthernPao       0.3816        0.0851       0.8760         0.8608       0.3816        0.0917       0.8683         0.8548
WesternBwe        0.8158        0.2572       0.7824         0.6296       0.5658        0.1754       0.7857         0.7502
TOTAL             0.4720        0.1260       0.8667         0.8025       0.4194        0.1136       0.8513         0.8246


** /proj/evolang2022/tiago/ST2022/data-surprise/luangthongkumkaren/solutions-0.30.tsv
Language       ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Kayah             0.2281        0.0702       0.9100         0.8847       0.3246        0.1016       0.8559         0.8393
Kayan             0.5088        0.1262       0.8441         0.7949       0.5263        0.1386       0.8176         0.7771
Kayaw             0.1667        0.0512       0.9459         0.9136       0.3772        0.1199       0.8670         0.8104
NorthernPao       0.3684        0.0842       0.8845         0.8656       0.5175        0.1282       0.8411         0.7930
NorthernPwo       1.0088        0.2740       0.7822         0.6022       0.7807        0.2120       0.7359         0.6818
ProtoKaren        0.4912        0.1275       0.8834         0.7876       0.6404        0.1636       0.8071         0.7474
SouthernPao       0.4035        0.0908       0.8772         0.8565       0.4649        0.1126       0.8478         0.8223
WesternBwe        0.4123        0.1294       0.8427         0.8098       0.7544        0.2346       0.6942         0.6644
TOTAL             0.4485        0.1192       0.8712         0.8144       0.5482        0.1514       0.8083         0.7670


** /proj/evolang2022/tiago/ST2022/data-surprise/luangthongkumkaren/solutions-0.40.tsv
Language       ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Kayah             0.2297        0.0695       0.9068         0.8914       0.3716        0.1148       0.8344         0.8238
Kayan             0.5862        0.1452       0.8208         0.7820       0.6276        0.1691       0.7893         0.7302
Kayaw             0.2162        0.0676       0.9223         0.8916       0.4189        0.1301       0.8279         0.8017
NorthernPao       0.3421        0.0807       0.8839         0.8695       0.6579        0.1655       0.7888         0.7448
NorthernPwo       0.9241        0.2484       0.7663         0.6340       1.0000        0.2760       0.6605         0.5932
ProtoKaren        0.6711        0.1677       0.8576         0.7319       0.7368        0.1846       0.7533         0.7093
SouthernPao       0.4867        0.1112       0.8675         0.8203       0.4933        0.1244       0.8314         0.8033
WesternBwe        0.7681        0.2421       0.7408         0.6492       0.8261        0.2603       0.6642         0.6277
TOTAL             0.5280        0.1415       0.8457         0.7837       0.6415        0.1781       0.7687         0.7292


** /proj/evolang2022/tiago/ST2022/data-surprise/luangthongkumkaren/solutions-0.50.tsv
Language       ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Kayah             0.3880        0.1169       0.8486         0.8174       0.8361        0.2586       0.6829         0.6300
Kayan             0.7308        0.1888       0.7930         0.7043       0.9945        0.2706       0.6872         0.5969
Kayaw             0.2826        0.0901       0.8926         0.8561       0.7609        0.2341       0.7025         0.6571
NorthernPao       0.7158        0.1696       0.7920         0.7351       1.1421        0.2833       0.6503         0.5923
NorthernPwo       1.0536        0.2797       0.7170         0.5940       1.3036        0.3534       0.5867         0.5077
ProtoKaren        0.7474        0.1928       0.8276         0.6949       1.0737        0.2744       0.6714         0.5912
SouthernPao       0.6848        0.1629       0.8008         0.7362       1.1250        0.2810       0.6422         0.5841
WesternBwe        0.6564        0.2014       0.7787         0.7056       1.1350        0.3451       0.5668         0.5317
TOTAL             0.6574        0.1753       0.8063         0.7304       1.0463        0.2876       0.6488         0.5864


** /proj/evolang2022/tiago/ST2022/data-surprise/wangbai/solutions-0.10.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Dashi            0.8182        0.2472       0.7591         0.6261       0.7727        0.2326       0.7640         0.6698
Ega              0.5152        0.1530       0.8102         0.7686       0.4848        0.1551       0.8282         0.7600
Enqi             0.5303        0.1578       0.8181         0.7644       0.5152        0.1616       0.8061         0.7610
Gongxing         0.8182        0.2437       0.7892         0.6536       0.6061        0.1780       0.8080         0.7359
Jinman           0.7576        0.2374       0.7626         0.6403       0.5909        0.1828       0.8062         0.7361
Jinxing          0.4697        0.1374       0.8388         0.7884       0.3485        0.1030       0.8783         0.8373
Mazhelong        0.5455        0.1621       0.8154         0.7617       0.6364        0.1934       0.7972         0.7364
ProtoBai         0.6364        0.1606       0.8200         0.7574       0.5000        0.1306       0.8491         0.7873
Tuoluo           0.5758        0.1588       0.8100         0.7627       0.4091        0.1169       0.8770         0.8088
Zhoucheng        0.5606        0.1831       0.8249         0.7337       0.4848        0.1503       0.8103         0.7888
TOTAL            0.6227        0.1841       0.8048         0.7257       0.5348        0.1604       0.8225         0.7621


** /proj/evolang2022/tiago/ST2022/data-surprise/wangbai/solutions-0.20.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Dashi            0.9394        0.2850       0.7117         0.6054       0.8333        0.2417       0.7089         0.6482
Ega              0.6667        0.2028       0.7515         0.6936       0.6212        0.1931       0.7404         0.7157
Enqi             0.7955        0.2208       0.7413         0.6785       0.6515        0.1890       0.7484         0.7346
Gongxing         1.0985        0.3227       0.6798         0.5477       0.8258        0.2308       0.6915         0.6748
Jinman           0.7121        0.2227       0.7326         0.6789       0.8485        0.2682       0.7111         0.6222
Jinxing          0.5455        0.1578       0.8042         0.7629       0.5682        0.1598       0.7920         0.7635
Mazhelong        0.7727        0.2246       0.7280         0.6693       0.7955        0.2394       0.7203         0.6590
ProtoBai         0.8030        0.2008       0.7731         0.6926       0.7500        0.1948       0.7655         0.6995
Tuoluo           0.7197        0.1977       0.7679         0.6987       0.6591        0.1827       0.7722         0.7131
Zhoucheng        0.5379        0.1660       0.7992         0.7546       0.6288        0.1913       0.7248         0.7370
TOTAL            0.7591        0.2201       0.7489         0.6782       0.7182        0.2091       0.7375         0.6967


** /proj/evolang2022/tiago/ST2022/data-surprise/wangbai/solutions-0.30.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Dashi            0.8895        0.2611       0.6728         0.6296       1.2158        0.3570       0.5923         0.5078
Ega              0.6702        0.2085       0.7313         0.6923       0.8796        0.2765       0.6536         0.6020
Enqi             0.7716        0.2144       0.7352         0.6884       0.8680        0.2595       0.6843         0.6459
Gongxing         1.1134        0.3318       0.6375         0.5234       1.0206        0.3011       0.6300         0.5879
Jinman           0.8490        0.2678       0.6888         0.6237       1.0521        0.3349       0.6200         0.5344
Jinxing          0.6802        0.1997       0.7722         0.6916       0.7817        0.2304       0.7097         0.6673
Mazhelong        0.8895        0.2628       0.6768         0.6287       0.9684        0.2911       0.6424         0.5911
ProtoBai         0.8528        0.2177       0.7514         0.6670       0.9543        0.2549       0.6822         0.6181
Tuoluo           0.7240        0.2043       0.7523         0.6942       0.9271        0.2630       0.6735         0.6125
Zhoucheng        0.6354        0.1992       0.7559         0.7115       0.8646        0.2734       0.6470         0.6285
TOTAL            0.8075        0.2367       0.7174         0.6550       0.9532        0.2842       0.6535         0.5995


** /proj/evolang2022/tiago/ST2022/data-surprise/wangbai/solutions-0.40.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Dashi            1.0645        0.3206       0.6569         0.5345       1.4274        0.4248       0.5003         0.4338
Ega              0.8049        0.2490       0.6776         0.6496       1.2358        0.3879       0.5494         0.4660
Enqi             0.6988        0.2044       0.7282         0.7005       1.1892        0.3521       0.5699         0.5178
Gongxing         1.1680        0.3479       0.6308         0.5138       1.4560        0.4265       0.5141         0.4227
Jinman           0.8653        0.2673       0.6766         0.6212       1.4694        0.4646       0.4968         0.3907
Jinxing          0.7171        0.2118       0.7651         0.6794       1.1085        0.3339       0.6021         0.5548
Mazhelong        1.0333        0.2902       0.6472         0.5998       1.4375        0.4234       0.5401         0.4525
ProtoBai         1.0314        0.2665       0.7130         0.6009       1.2118        0.3287       0.6206         0.5362
Tuoluo           0.9333        0.2639       0.7168         0.6156       1.3216        0.3714       0.5587         0.4930
Zhoucheng        0.6626        0.2090       0.7451         0.6954       1.1789        0.3747       0.5344         0.5073
TOTAL            0.8979        0.2631       0.6957         0.6211       1.3036        0.3888       0.5486         0.4775


** /proj/evolang2022/tiago/ST2022/data-surprise/wangbai/solutions-0.50.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Dashi            1.1182        0.3276       0.6352         0.5341       1.9155        0.5526       0.3895         0.2985
Ega              0.9721        0.3024       0.6357         0.5831       1.5052        0.4688       0.4851         0.3804
Enqi             0.8032        0.2405       0.7053         0.6451       1.4984        0.4457       0.4884         0.4090
Gongxing         1.2262        0.3497       0.5815         0.5101       1.9869        0.5633       0.3767         0.2923
Jinman           1.1224        0.3572       0.6144         0.5001       1.8706        0.5874       0.4133         0.2855
Jinxing          0.7638        0.2274       0.7356         0.6556       1.4790        0.4357       0.5204         0.4313
Mazhelong        1.2007        0.3254       0.6132         0.5626       1.8651        0.5251       0.4094         0.3467
ProtoBai         1.1274        0.2914       0.6736         0.5624       1.7548        0.4714       0.4778         0.3709
Tuoluo           1.0997        0.3029       0.6706         0.5650       1.8778        0.5400       0.4323         0.3265
Zhoucheng        0.7192        0.2275       0.7056         0.6758       1.7021        0.5363       0.4298         0.3304
TOTAL            1.0153        0.2952       0.6571         0.5794       1.7455        0.5126       0.4423         0.3472


** /proj/evolang2022/tiago/ST2022/data/abrahammonpa/solutions-0.10.tsv
Language          ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
--------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
MonpaBalemu          0.3500        0.0671       0.9104         0.8836       0.6250        0.1183       0.8573         0.7882
MonpaDirang          0.3750        0.0672       0.8959         0.8821       0.6000        0.1142       0.8520         0.7939
MonpaDirangDum       0.4250        0.0811       0.9013         0.8677       0.6750        0.1281       0.8340         0.8027
MonpaKalaktang       1.3000        0.2974       0.8881         0.4942       0.8250        0.1701       0.7793         0.7229
MonpaNamsu           0.2000        0.0430       0.9535         0.9265       0.3500        0.0648       0.9290         0.8778
MonpaSangti          0.4500        0.0794       0.8736         0.8671       0.5250        0.1047       0.8639         0.8182
MonpaTembang         1.0000        0.2398       0.9105         0.6031       0.4750        0.0978       0.8856         0.8237
MonpaTomko           0.3000        0.0623       0.9369         0.8866       0.8250        0.1527       0.8009         0.7281
TOTAL                0.5500        0.1172       0.9088         0.8014       0.6125        0.1188       0.8503         0.7944


** /proj/evolang2022/tiago/ST2022/data/abrahammonpa/solutions-0.20.tsv
Language          ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
--------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
MonpaBalemu          0.5802        0.1080       0.8299         0.8265       0.8148        0.1752       0.7750         0.7059
MonpaDirang          0.3951        0.0738       0.8752         0.8711       0.7778        0.1632       0.7891         0.7233
MonpaDirangDum       0.8025        0.1433       0.7771         0.7739       0.9259        0.1846       0.7453         0.7090
MonpaKalaktang       1.7284        0.3586       0.7134         0.4403       1.1852        0.2181       0.6732         0.6504
MonpaNamsu           0.3951        0.0797       0.8904         0.8609       0.4444        0.0903       0.8637         0.8406
MonpaSangti          0.7901        0.1495       0.8105         0.7719       0.6667        0.1345       0.7999         0.7833
MonpaTembang         1.5062        0.3183       0.7912         0.5076       0.5926        0.1225       0.8306         0.7817
MonpaTomko           0.6049        0.1074       0.8314         0.8195       1.0247        0.2050       0.7299         0.6531
TOTAL                0.8503        0.1673       0.8149         0.7340       0.8040        0.1617       0.7758         0.7309


** /proj/evolang2022/tiago/ST2022/data/abrahammonpa/solutions-0.30.tsv
Language          ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
--------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
MonpaBalemu          0.6446        0.1155       0.7972         0.8167       1.0909        0.2295       0.6915         0.6365
MonpaDirang          0.4298        0.0801       0.8664         0.8627       1.0579        0.2156       0.7080         0.6565
MonpaDirangDum       0.9587        0.1694       0.7437         0.7449       1.2645        0.2547       0.6402         0.6036
MonpaKalaktang       1.6446        0.3406       0.7131         0.5022       1.6529        0.3376       0.5490         0.4820
MonpaNamsu           0.5950        0.1003       0.8314         0.8385       0.6942        0.1370       0.7790         0.7631
MonpaSangti          0.5289        0.0969       0.8251         0.8456       0.8926        0.1881       0.7342         0.6936
MonpaTembang         1.1653        0.2495       0.8163         0.6068       0.8760        0.1790       0.7314         0.7094
MonpaTomko           0.6198        0.1211       0.8148         0.8020       1.2314        0.2435       0.6559         0.6094
TOTAL                0.8233        0.1592       0.8010         0.7524       1.0950        0.2231       0.6862         0.6443


** /proj/evolang2022/tiago/ST2022/data/abrahammonpa/solutions-0.40.tsv
Language          ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
--------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
MonpaBalemu          0.8038        0.1569       0.7651         0.7294       1.5380        0.3235       0.5863         0.5085
MonpaDirang          0.4873        0.0938       0.8524         0.8450       1.4367        0.3064       0.6060         0.5306
MonpaDirangDum       0.8442        0.1603       0.7523         0.7448       1.5000        0.3221       0.5733         0.5031
MonpaKalaktang       1.7230        0.3516       0.6691         0.4920       2.3041        0.4954       0.4138         0.3181
MonpaNamsu           0.6242        0.1066       0.8169         0.8315       0.9490        0.1913       0.7062         0.6828
MonpaSangti          0.6415        0.1158       0.7993         0.8150       1.1698        0.2518       0.6685         0.5928
MonpaTembang         1.3290        0.2819       0.7728         0.5601       1.2258        0.2587       0.6373         0.5940
MonpaTomko           0.7756        0.1584       0.7928         0.7313       1.9038        0.4082       0.5295         0.3739
TOTAL                0.9036        0.1782       0.7776         0.7186       1.5034        0.3197       0.5901         0.5130


** /proj/evolang2022/tiago/ST2022/data/abrahammonpa/solutions-0.50.tsv
Language          ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
--------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
MonpaBalemu          1.1453        0.2223       0.7112         0.6348       2.5140        0.5260       0.3974         0.2751
MonpaDirang          0.8115        0.1507       0.8050         0.7653       2.4398        0.5261       0.3980         0.2843
MonpaDirangDum       0.9516        0.1840       0.7407         0.7097       2.3172        0.4983       0.4181         0.2915
MonpaKalaktang       1.2393        0.2340       0.6768         0.6320       3.6135        0.7662       0.2578         0.1333
MonpaNamsu           0.5736        0.1051       0.8197         0.8329       1.8680        0.4124       0.4826         0.3975
MonpaSangti          0.6263        0.1152       0.8092         0.8145       1.5632        0.3380       0.5786         0.4652
MonpaTembang         1.2042        0.2194       0.7244         0.6575       1.9634        0.4099       0.4935         0.3753
MonpaTomko           0.9106        0.1804       0.7658         0.7000       2.4190        0.5008       0.4201         0.2635
TOTAL                0.9328        0.1764       0.7566         0.7183       2.3372        0.4972       0.4307         0.3107


** /proj/evolang2022/tiago/ST2022/data/allenbai/solutions-0.10.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
