COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
313-10										d i
350-10										s e b a i s
352-10										tɕ i k a i s
396-10										h u r tɕ i
401-10										o s u
420-10										o tɕ iː r u
424-10										u t a u s
442-10										s n iː u sː
455-10										s i k i t e r u
15-10										a r e
22-10										n a i
24-10										m i ɴ n a
49-10										o n a ŋ o
78-10										a b u r a tɕ s
89-10										k e
130-10										m iː r u
149-10										k u r u
175-10										s u n a
183-10										h i
192-10										a o a iː
199-10										a dʑ uː s
230-10										a n o h i t o
233-10										a n o h i t o a a a
250-10										h o k a n o s
264-10										k iː iː
274-10										n u r e t a
298-10										k e ŋ a w a
303-10										h a r a w a t a
314-10										m o s iː
354-10										n a iː a
369-10										k i iː e r u tɕ
376-10										w a r uː tɕ i
415-10										m u s u b u
418-10										n uː
451-10										h o k o m iː
456-10										s iː iː
72-10										n i k u
80-10										t a m a ŋ o
104-10										a tɕː i
118-10										s i s z oː
142-10										t o b u
150-10										n e t e r u
204-10										i b a i
