ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	LATITUDE	LONGITUDE	LANGUAGE_FAMILY	COGID
380	48_fire	fire	German	German	Feuer	f.oi.ə.r	f oi ə r	stan1295	48.649	12.4676	Indo-European	779
382	48_fire	fire	Latin	Latin	ignis	i.g.n.i	i g n i	lati1261	41.9026	12.4502	Indo-European	784
385	49_fish	fish	Albanian	Albanian	peshk	p.e.ʃ.k	p e ʃ k	gheg1238	42.317	21.3837	Indo-European	353
386	49_fish	fish	English	English	fish	f.ɪ.ʃ	f ɪ ʃ	stan1293	53.0	-1.0	Indo-European	353
387	49_fish	fish	French	French	poisson	p.w.a.s.ɔ̃	p w a s ɔ̃	stan1290	48.0	2.0	Indo-European	353
388	49_fish	fish	German	German	Fisch	f.i.ʃ	f i ʃ	stan1295	48.649	12.4676	Indo-European	353
390	49_fish	fish	Latin	Latin	piscis	p.i.s.k.i	p i s k i	lati1261	41.9026	12.4502	Indo-European	353
393	50_five	five	Albanian	Albanian	pesë	p.e.s.ə	p e s ə	gheg1238	42.317	21.3837	Indo-European	201
394	50_five	five	English	English	five	f.ai.v	f ai v	stan1293	53.0	-1.0	Indo-European	201
395	50_five	five	French	French	cinq	s.ɛ̃.k	s ɛ̃ k	stan1290	48.0	2.0	Indo-European	201
396	50_five	five	German	German	fünf	f.y.n.f	f y n f	stan1295	48.649	12.4676	Indo-European	201
398	50_five	five	Latin	Latin	quinque	kw.iː.n.kw.e	kʷ iː n kʷ e	lati1261	41.9026	12.4502	Indo-European	201
401	51_flow	flow	Albanian	Albanian	rrjedh	rː.e.ð	rː e ð	gheg1238	42.317	21.3837	Indo-European	1177
402	51_flow	flow	English	English	flows	f.l.o	f l o	stan1293	53.0	-1.0	Indo-European	1174
403	51_flow	flow	French	French	coule	k.u.l.e	k u l e	stan1290	48.0	2.0	Indo-European	1175
404	51_flow	flow	German	German	fließt	f.l.iː.s	f l iː s	stan1295	48.649	12.4676	Indo-European	1174
406	51_flow	flow	Latin	Latin	fluit	f.l.u.e	f l u e	lati1261	41.9026	12.4502	Indo-European	1179
409	52_flower	flower	Albanian	Albanian	lule	l.u.l	l u l	gheg1238	42.317	21.3837	Indo-European	423
410	52_flower	flower	English	English	flower	f.l.au.ə.r	f l au ə r	stan1293	53.0	-1.0	Indo-European	421
411	52_flower	flower	French	French	fleur	f.l.œ.r	f l œ r	stan1290	48.0	2.0	Indo-European	421
412	52_flower	flower	German	German	Blume	b.l.uː.m	b l uː m	stan1295	48.649	12.4676	Indo-European	421
414	52_flower	flower	Latin	Latin	flos	f.l.oː.s	f l oː s	lati1261	41.9026	12.4502	Indo-European	421
417	53_fly	fly	Albanian	Albanian	fluturon	f.l.u.t.u.r.o	f l u t u r o	gheg1238	42.317	21.3837	Indo-European	844
418	53_fly	fly	English	English	flies	f.l.ai	f l ai	stan1293	53.0	-1.0	Indo-European	841
419	53_fly	fly	French	French	vole	v.ɔ.l.e	v ɔ l e	stan1290	48.0	2.0	Indo-European	842
420	53_fly	fly	German	German	fliegt	f.l.iː.g	f l iː g	stan1295	48.649	12.4676	Indo-European	841
422	53_fly	fly	Latin	Latin	volat	w.o.l.aː	w o l aː	lati1261	41.9026	12.4502	Indo-European	842
425	54_fog	fog	Albanian	Albanian	mjegull	m.j.e.g.u.ł	m j e g u ł	gheg1238	42.317	21.3837	Indo-European	470
426	54_fog	fog	English	English	fog	f.ɑ.g	f ɑ g	stan1293	53.0	-1.0	Indo-European	468
427	54_fog	fog	French	French	brouillard	b.r.u.j.a.r	b r u j a r	stan1290	48.0	2.0	Indo-European	467
428	54_fog	fog	German	German	Nebel	n.eː.b.ə.l	n eː b ə l	stan1295	48.649	12.4676	Indo-European	466
430	54_fog	fog	Latin	Latin	nebula	n.e.b.u.l.a	n e b u l a	lati1261	41.9026	12.4502	Indo-European	466
433	55_foot	foot	Albanian	Albanian	këmbë	k.ə.m.b	k ə m b	gheg1238	42.317	21.3837	Indo-European	229
434	55_foot	foot	English	English	foot	f.ʊ.t	f ʊ t	stan1293	53.0	-1.0	Indo-European	227
435	55_foot	foot	French	French	pied	p.j.e	p j e	stan1290	48.0	2.0	Indo-European	227
436	55_foot	foot	German	German	Fuß	f.uː.s	f uː s	stan1295	48.649	12.4676	Indo-European	227
438	55_foot	foot	Latin	Latin	pes	p.e.d	p e d	lati1261	41.9026	12.4502	Indo-European	227
441	56_four	four	Albanian	Albanian	katër	k.a.t.ə.r	k a t ə r	gheg1238	42.317	21.3837	Indo-European	20
442	56_four	four	English	English	four	f.ɔ.r	f ɔ r	stan1293	53.0	-1.0	Indo-European	20
443	56_four	four	French	French	quatre	k.a.t.r	k a t r	stan1290	48.0	2.0	Indo-European	20
444	56_four	four	German	German	vier	f.iː.r	f iː r	stan1295	48.649	12.4676	Indo-European	20
446	56_four	four	Latin	Latin	quattuor	kw.a.tː.u.o.r	kʷ a tː u o r	lati1261	41.9026	12.4502	Indo-European	20
449	57_freeze	freeze	Albanian	Albanian	ngrin	n.g.r.i	n g r i	gheg1238	42.317	21.3837	Indo-European	376
450	57_freeze	freeze	English	English	freezes	f.r.i.z	f r i z	stan1293	53.0	-1.0	Indo-European	373
451	57_freeze	freeze	French	French	gèle	ʒ.ɛ.l.e	ʒ ɛ l e	stan1290	48.0	2.0	Indo-European	374
452	57_freeze	freeze	German	German	friert	f.r.iː.r	f r iː r	stan1295	48.649	12.4676	Indo-European	373
454	57_freeze	freeze	Latin	Latin	gelat	g.e.l.aː	g e l aː	lati1261	41.9026	12.4502	Indo-European	374
457	58_fruit	fruit	Albanian	Albanian	pemë	p.e.m	p e m	gheg1238	42.317	21.3837	Indo-European	1102
458	58_fruit	fruit	English	English	fruit	f.r.u.t	f r u t	stan1293	53.0	-1.0	Indo-European	1100
459	58_fruit	fruit	French	French	fruit	f.r.ɥ.i	f r ɥ i	stan1290	48.0	2.0	Indo-European	1100
460	58_fruit	fruit	German	German	Frucht	f.r.u.x.t	f r u x t	stan1295	48.649	12.4676	Indo-European	1100
462	58_fruit	fruit	Latin	Latin	pomum	p.oː.m.o	p oː m o	lati1261	41.9026	12.4502	Indo-European	1102
465	59_full	full	Albanian	Albanian	plotë	p.l.o.t	p l o t	gheg1238	42.317	21.3837	Indo-European	503
466	59_full	full	English	English	full	f.ʊ.l	f ʊ l	stan1293	53.0	-1.0	Indo-European	503
467	59_full	full	French	French	plein	p.l.ɛ.n	p l ɛ n	stan1290	48.0	2.0	Indo-European	503
468	59_full	full	German	German	voll	f.o.l	f o l	stan1295	48.649	12.4676	Indo-European	503
470	59_full	full	Latin	Latin	plenus	p.l.eː.n.o	p l eː n o	lati1261	41.9026	12.4502	Indo-European	503
473	60_give	give	Albanian	Albanian	jep	j.e.p	j e p	gheg1238	42.317	21.3837	Indo-European	936
474	60_give	give	English	English	gives	g.ɪ.v	g ɪ v	stan1293	53.0	-1.0	Indo-European	933
475	60_give	give	French	French	donne	d.ɔ.n.e	d ɔ n e	stan1290	48.0	2.0	Indo-European	934
476	60_give	give	German	German	gibt	g.eː.b	g eː b	stan1295	48.649	12.4676	Indo-European	933
478	60_give	give	Latin	Latin	dat	d.a	d a	lati1261	41.9026	12.4502	Indo-European	934
481	61_go	go	Albanian	Albanian	shkon	ʃ.k.o	ʃ k o	gheg1238	42.317	21.3837	Indo-European	62
482	61_go	go	English	English	goes	g.o	g o	stan1293	53.0	-1.0	Indo-European	59
483	61_go	go	French	French	va	v	v	stan1290	48.0	2.0	Indo-European	60
484	61_go	go	German	German	geht	g.eː	g eː	stan1295	48.649	12.4676	Indo-European	59
486	61_go	go	Latin	Latin	it	iː	iː	lati1261	41.9026	12.4502	Indo-European	64
489	62_good	good	Albanian	Albanian	mirë	m.i.r	m i r	gheg1238	42.317	21.3837	Indo-European	170
490	62_good	good	English	English	good	g.ʊ.d	g ʊ d	stan1293	53.0	-1.0	Indo-European	167
491	62_good	good	French	French	bon	b.ɔ.n	b ɔ n	stan1290	48.0	2.0	Indo-European	168
492	62_good	good	German	German	gut	g.uː.t	g uː t	stan1295	48.649	12.4676	Indo-European	167
494	62_good	good	Latin	Latin	bonus	b.o.n.o	b o n o	lati1261	41.9026	12.4502	Indo-European	168
497	63_grass	grass	Albanian	Albanian	bar	b.a.r	b a r	gheg1238	42.317	21.3837	Indo-European	907
498	63_grass	grass	English	English	grass	g.r.a.s	g r a s	stan1293	53.0	-1.0	Indo-European	904
499	63_grass	grass	French	French	herbe	ɛ.r.b	ɛ r b	stan1290	48.0	2.0	Indo-European	905
500	63_grass	grass	German	German	Gras	g.r.aː.z	g r aː z	stan1295	48.649	12.4676	Indo-European	904
502	63_grass	grass	Latin	Latin	gramen	g.r.aː.m.e.n	g r aː m e n	lati1261	41.9026	12.4502	Indo-European	909
505	64_grease	grease	Albanian	Albanian	dhjamë	ð.j.a.m	ð j a m	gheg1238	42.317	21.3837	Indo-European	393
506	64_grease	grease	English	English	grease	g.r.i.s	g r i s	stan1293	53.0	-1.0	Indo-European	391
507	64_grease	grease	French	French	graisse	g.r.ɛ.s	g r ɛ s	stan1290	48.0	2.0	Indo-European	391
508	64_grease	grease	German	German	Fett	f.e.t	f e t	stan1295	48.649	12.4676	Indo-European	390
510	64_grease	grease	Latin	Latin	adeps	a.d.e.p	a d e p	lati1261	41.9026	12.4502	Indo-European	395
513	65_green	green	Albanian	Albanian	gjelbër	ɟ.e.l.b.ə.r	ɟ e l b ə r	gheg1238	42.317	21.3837	Indo-European	1194
514	65_green	green	English	English	green	g.r.i.n	g r i n	stan1293	53.0	-1.0	Indo-European	1191
515	65_green	green	French	French	vert	v.ɛ.r.t	v ɛ r t	stan1290	48.0	2.0	Indo-European	1192
516	65_green	green	German	German	grün	g.r.yː.n	g r yː n	stan1295	48.649	12.4676	Indo-European	1191
518	65_green	green	Latin	Latin	viridis	w.i.r.i.d.i	w i r i d i	lati1261	41.9026	12.4502	Indo-European	1192
521	66_guts	guts	Albanian	Albanian	zorrë	z.o.rː	z o rː	gheg1238	42.317	21.3837	Indo-European	103
522	66_guts	guts	English	English	guts	g.ə.t	g ə t	stan1293	53.0	-1.0	Indo-European	101
523	66_guts	guts	French	French	intestins	ɛ̃.t.ɛ.s.t.ɛ̃	ɛ̃ t ɛ s t ɛ̃	stan1290	48.0	2.0	Indo-European	100
524	66_guts	guts	German	German	Därme	d.a.r.m	d a r m	stan1295	48.649	12.4676	Indo-European	99
526	66_guts	guts	Latin	Latin	intestina	i.n.t.e.s.t.iː.n.o	i n t e s t iː n o	lati1261	41.9026	12.4502	Indo-European	100
529	67_hair	hair	Albanian	Albanian	flok	f.l.o.k	f l o k	gheg1238	42.317	21.3837	Indo-European	382
530	67_hair	hair	English	English	hair	h.ɛ.r	h ɛ r	stan1293	53.0	-1.0	Indo-European	379
531	67_hair	hair	French	French	cheveux	ʃ.ə.v.ø	ʃ ə v ø	stan1290	48.0	2.0	Indo-European	380
532	67_hair	hair	German	German	Haare	h.aː.r	h aː r	stan1295	48.649	12.4676	Indo-European	379
534	67_hair	hair	Latin	Latin	capillus	k.a.p.i.lː.o	k a p i lː o	lati1261	41.9026	12.4502	Indo-European	380
537	68_hand	hand	Albanian	Albanian	dorë	d.o.r	d o r	gheg1238	42.317	21.3837	Indo-European	1097
538	68_hand	hand	English	English	hand	h.a.n.d	h a n d	stan1293	53.0	-1.0	Indo-European	1094
539	68_hand	hand	French	French	main	m.ɛ̃	m ɛ̃	stan1290	48.0	2.0	Indo-European	1095
540	68_hand	hand	German	German	Hand	h.a.n.d	h a n d	stan1295	48.649	12.4676	Indo-European	1094
542	68_hand	hand	Latin	Latin	manus	m.a.n.u	m a n u	lati1261	41.9026	12.4502	Indo-European	1095
545	69_he	he	Albanian	Albanian	ai	a.i	a i	gheg1238	42.317	21.3837	Indo-European	837
546	69_he	he	English	English	he	h.i	h i	stan1293	53.0	-1.0	Indo-European	835
547	69_he	he	French	French	il	i.l	i l	stan1290	48.0	2.0	Indo-European	834
548	69_he	he	German	German	er	eː.r	eː r	stan1295	48.649	12.4676	Indo-European	833
550	69_he	he	Latin	Latin	is	i	i	lati1261	41.9026	12.4502	Indo-European	839
553	70_head	head	Albanian	Albanian	kokë	k.o.k	k o k	gheg1238	42.317	21.3837	Indo-European	762
554	70_head	head	English	English	head	h.ɛ.d	h ɛ d	stan1293	53.0	-1.0	Indo-European	760
555	70_head	head	French	French	tête	t.ɛ.t	t ɛ t	stan1290	48.0	2.0	Indo-European	759
556	70_head	head	German	German	Kopf	k.o.p͡f	k o pf	stan1295	48.649	12.4676	Indo-European	758
558	70_head	head	Latin	Latin	caput	k.a.p.u.t	k a p u t	lati1261	41.9026	12.4502	Indo-European	760
561	71_hear	hear	Albanian	Albanian	dëgjon	d.ə.ɟ.o	d ə ɟ o	gheg1238	42.317	21.3837	Indo-European	789
562	71_hear	hear	English	English	hears	h.ɪ.r	h ɪ r	stan1293	53.0	-1.0	Indo-European	786
563	71_hear	hear	French	French	entend	ɑ̃.t.ɑ̃.d	ɑ̃ t ɑ̃ d	stan1290	48.0	2.0	Indo-European	787
564	71_hear	hear	German	German	hört	h.øː.r	h øː r	stan1295	48.649	12.4676	Indo-European	786
566	71_hear	hear	Latin	Latin	audit	au.d.iː	au d iː	lati1261	41.9026	12.4502	Indo-European	791
569	72_heart	heart	Albanian	Albanian	zemër	z.e.m.ə.r	z e m ə r	gheg1238	42.317	21.3837	Indo-European	922
570	72_heart	heart	English	English	heart	h.ɑ.r.t	h ɑ r t	stan1293	53.0	-1.0	Indo-European	920
571	72_heart	heart	French	French	cœur	k.œ.r	k œ r	stan1290	48.0	2.0	Indo-European	920
572	72_heart	heart	German	German	Herz	h.e.r.ʦ.ə.n	h e r ts ə n	stan1295	48.649	12.4676	Indo-European	920
574	72_heart	heart	Latin	Latin	cor	k.o.r.d	k o r d	lati1261	41.9026	12.4502	Indo-European	920
577	73_heavy	heavy	Albanian	Albanian	rëndë	r.ə.n.d	r ə n d	gheg1238	42.317	21.3837	Indo-European	331
578	73_heavy	heavy	English	English	heavy	h.ɛ.v.i	h ɛ v i	stan1293	53.0	-1.0	Indo-European	329
579	73_heavy	heavy	French	French	lourd	l.u.r.d	l u r d	stan1290	48.0	2.0	Indo-European	328
580	73_heavy	heavy	German	German	schwer	ʃ.v.eː.r	ʃ v eː r	stan1295	48.649	12.4676	Indo-European	327
582	73_heavy	heavy	Latin	Latin	gravis	g.r.a.w.i	g r a w i	lati1261	41.9026	12.4502	Indo-European	333
585	74_here	here	Albanian	Albanian	këtu	k.ə.t.u	k ə t u	gheg1238	42.317	21.3837	Indo-European	523
586	74_here	here	English	English	here	h.ɪ.r	h ɪ r	stan1293	53.0	-1.0	Indo-European	520
587	74_here	here	French	French	ici	i.s.i	i s i	stan1290	48.0	2.0	Indo-European	521
588	74_here	here	German	German	hier	h.iː.r	h iː r	stan1295	48.649	12.4676	Indo-European	520
590	74_here	here	Latin	Latin	hic	h.iː.k	h iː k	lati1261	41.9026	12.4502	Indo-European	525
593	75_hit	hit	Albanian	Albanian	qëllon	c.ə.ł.o	c ə ł o	gheg1238	42.317	21.3837	Indo-European	177
594	75_hit	hit	English	English	hits	h.ɪ.t	h ɪ t	stan1293	53.0	-1.0	Indo-European	175
595	75_hit	hit	French	French	frappe	f.r.a.p.e	f r a p e	stan1290	48.0	2.0	Indo-European	174
596	75_hit	hit	German	German	schlägt	ʃ.l.aː.g	ʃ l aː g	stan1295	48.649	12.4676	Indo-European	173
598	75_hit	hit	Latin	Latin	ferit	f.e.r.iː	f e r iː	lati1261	41.9026	12.4502	Indo-European	179
601	76_hold	hold	Albanian	Albanian	mban	m.b.a	m b a	gheg1238	42.317	21.3837	Indo-European	811
602	76_hold	hold	English	English	holds	h.o.l.d	h o l d	stan1293	53.0	-1.0	Indo-European	808
603	76_hold	hold	French	French	tient	t.ə.n	t ə n	stan1290	48.0	2.0	Indo-European	809
604	76_hold	hold	German	German	hält	h.a.l.t	h a l t	stan1295	48.649	12.4676	Indo-European	808
606	76_hold	hold	Latin	Latin	tenet	t.e.n.eː	t e n eː	lati1261	41.9026	12.4502	Indo-European	809
609	77_horn	horn	Albanian	Albanian	bri	b.r.i.r	b r i r	gheg1238	42.317	21.3837	Indo-European	1085
610	77_horn	horn	English	English	horn	h.ɔ.r.n	h ɔ r n	stan1293	53.0	-1.0	Indo-European	1083
611	77_horn	horn	French	French	corne	k.ɔ.r.n	k ɔ r n	stan1290	48.0	2.0	Indo-European	1083
612	77_horn	horn	German	German	Horn	h.o.r.n	h o r n	stan1295	48.649	12.4676	Indo-European	1083
614	77_horn	horn	Latin	Latin	cornu	k.o.r.n.uː	k o r n uː	lati1261	41.9026	12.4502	Indo-European	1083
617	78_hot	hot	Albanian	Albanian	nxehtë	n.ʣ.e.h.t	n dz e h t	gheg1238	42.317	21.3837	Indo-European	999
618	78_hot	hot	English	English	hot	h.ɑ.t	h ɑ t	stan1293	53.0	-1.0	Indo-European	996
619	78_hot	hot	French	French	chaud	ʃ.o.d	ʃ o d	stan1290	48.0	2.0	Indo-European	997
620	78_hot	hot	German	German	heiß	h.ai.s	h ai s	stan1295	48.649	12.4676	Indo-European	996
622	78_hot	hot	Latin	Latin	calidus	k.a.l.i.d.o	k a l i d o	lati1261	41.9026	12.4502	Indo-European	997
625	79_human	human	Albanian	Albanian	njerí	ɲ.e.r.i	ɲ e r i	gheg1238	42.317	21.3837	Indo-European	49
626	79_human	human	English	English	human	h.j.u.m.ə.n	h j u m ə n	stan1293	53.0	-1.0	Indo-European	47
627	79_human	human	French	French	humain	y.m.ɛ.n	y m ɛ n	stan1290	48.0	2.0	Indo-European	47
628	79_human	human	German	German	Mensch	m.e.n.ʃ.ə.n	m e n ʃ ə n	stan1295	48.649	12.4676	Indo-European	46
630	79_human	human	Latin	Latin	homo	h.o.m.i.n	h o m i n	lati1261	41.9026	12.4502	Indo-European	47
633	80_hunt	hunt	Albanian	Albanian	gjuan	ɟ.u.a	ɟ u a	gheg1238	42.317	21.3837	Indo-European	267
634	80_hunt	hunt	English	English	hunts	h.ə.n.t	h ə n t	stan1293	53.0	-1.0	Indo-European	265
635	80_hunt	hunt	French	French	chasse	ʃ.a.s.e	ʃ a s e	stan1290	48.0	2.0	Indo-European	264
636	80_hunt	hunt	German	German	jagt	j.aː.g	j aː g	stan1295	48.649	12.4676	Indo-European	263
638	80_hunt	hunt	Latin	Latin	venatur	w.eː.n.aː	w eː n aː	lati1261	41.9026	12.4502	Indo-European	269
641	81_husband	husband	Albanian	Albanian	burrë	b.u.rː	b u rː	gheg1238	42.317	21.3837	Indo-European	324
642	81_husband	husband	English	English	husband	h.ə.z.b.ə.n.d	h ə z b ə n d	stan1293	53.0	-1.0	Indo-European	322
643	81_husband	husband	French	French	mari	m.a.r.i	m a r i	stan1290	48.0	2.0	Indo-European	321
644	81_husband	husband	German	German	Gatte	g.a.t.ə	g a t ə	stan1295	48.649	12.4676	Indo-European	320
646	81_husband	husband	Latin	Latin	maritus	m.a.r.iː.t.o	m a r iː t o	lati1261	41.9026	12.4502	Indo-European	321
657	83_ice	ice	Albanian	Albanian	akull	a.k.u.ł	a k u ł	gheg1238	42.317	21.3837	Indo-European	451
658	83_ice	ice	English	English	ice	ai.s	ai s	stan1293	53.0	-1.0	Indo-European	448
659	83_ice	ice	French	French	glace	g.l.a.s	g l a s	stan1290	48.0	2.0	Indo-European	449
660	83_ice	ice	German	German	Eis	ai.s	ai s	stan1295	48.649	12.4676	Indo-European	448
662	83_ice	ice	Latin	Latin	glacies	g.l.a.k.i.eː	g l a k i eː	lati1261	41.9026	12.4502	Indo-European	449
665	84_if	if	Albanian	Albanian	në qoftë se	c.o.f.t	c o f t	gheg1238	42.317	21.3837	Indo-European	972
666	84_if	if	English	English	if	ɪ.f	ɪ f	stan1293	53.0	-1.0	Indo-European	970
667	84_if	if	French	French	si	s.i	s i	stan1290	48.0	2.0	Indo-European	969
668	84_if	if	German	German	wenn	v.e.n	v e n	stan1295	48.649	12.4676	Indo-European	968
670	84_if	if	Latin	Latin	si	s.iː	s iː	lati1261	41.9026	12.4502	Indo-European	969
673	85_in	in	Albanian	Albanian	në	n.ə	n ə	gheg1238	42.317	21.3837	Indo-European	957
674	85_in	in	English	English	in	ɪ.n	ɪ n	stan1293	53.0	-1.0	Indo-European	957
675	85_in	in	French	French	dans	d.ɑ̃	d ɑ̃	stan1290	48.0	2.0	Indo-European	957
676	85_in	in	German	German	in	i.n	i n	stan1295	48.649	12.4676	Indo-European	957
678	85_in	in	Latin	Latin	in	i.n	i n	lati1261	41.9026	12.4502	Indo-European	957
681	86_kill	kill	Albanian	Albanian	vret	v.r	v r	gheg1238	42.317	21.3837	Indo-European	42
682	86_kill	kill	English	English	kills	k.ɪ.l	k ɪ l	stan1293	53.0	-1.0	Indo-European	40
683	86_kill	kill	French	French	tue	t.y.e	t y e	stan1290	48.0	2.0	Indo-European	39
684	86_kill	kill	German	German	tötet	t.øː.t	t øː t	stan1295	48.649	12.4676	Indo-European	38
686	86_kill	kill	Latin	Latin	interficit	i.n.t.e.r.f.i.k.e	i n t e r f i k e	lati1261	41.9026	12.4502	Indo-European	44
689	87_knee	knee	Albanian	Albanian	gju	ɟ.u.r	ɟ u r	gheg1238	42.317	21.3837	Indo-European	1127
690	87_knee	knee	English	English	knee	n.i	n i	stan1293	53.0	-1.0	Indo-European	1125
691	87_knee	knee	French	French	genou	ʒ.ə.n.u	ʒ ə n u	stan1290	48.0	2.0	Indo-European	1125
692	87_knee	knee	German	German	Knie	k.n.iː	k n iː	stan1295	48.649	12.4676	Indo-European	1125
694	87_knee	knee	Latin	Latin	genu	g.e.n.uː	g e n uː	lati1261	41.9026	12.4502	Indo-European	1125
697	88_knife	knife	Albanian	Albanian	thikë	θ.i.k	θ i k	gheg1238	42.317	21.3837	Indo-European	489
698	88_knife	knife	English	English	knife	n.ai.f	n ai f	stan1293	53.0	-1.0	Indo-European	487
699	88_knife	knife	French	French	couteau	k.u.t.o	k u t o	stan1290	48.0	2.0	Indo-European	486
700	88_knife	knife	German	German	Messer	m.e.s.ə.r	m e s ə r	stan1295	48.649	12.4676	Indo-European	485
702	88_knife	knife	Latin	Latin	culter	k.u.l.t.r.o	k u l t r o	lati1261	41.9026	12.4502	Indo-European	486
705	89_know	know	Albanian	Albanian	di	d.i	d i	gheg1238	42.317	21.3837	Indo-European	1242
706	89_know	know	English	English	knows	n.o	n o	stan1293	53.0	-1.0	Indo-European	1240
707	89_know	know	French	French	sait	s.a	s a	stan1290	48.0	2.0	Indo-European	1239
708	89_know	know	German	German	weiß	v.i.s	v i s	stan1295	48.649	12.4676	Indo-European	1238
710	89_know	know	Latin	Latin	scit	s.k.iː	s k iː	lati1261	41.9026	12.4502	Indo-European	1244
713	90_lake	lake	Albanian	Albanian	liqen	l.i.c.e.n	l i c e n	gheg1238	42.317	21.3837	Indo-European	113
714	90_lake	lake	English	English	lake	l.e.k	l e k	stan1293	53.0	-1.0	Indo-European	111
715	90_lake	lake	French	French	lac	l.a.k	l a k	stan1290	48.0	2.0	Indo-European	111
716	90_lake	lake	German	German	See	z.eː	z eː	stan1295	48.649	12.4676	Indo-European	110
718	90_lake	lake	Latin	Latin	lacus	l.a.k.u	l a k u	lati1261	41.9026	12.4502	Indo-European	111
721	91_laugh	laugh	Albanian	Albanian	qesh	c.e.ʃ	c e ʃ	gheg1238	42.317	21.3837	Indo-European	679
722	91_laugh	laugh	English	English	laughs	l.a.f	l a f	stan1293	53.0	-1.0	Indo-European	676
723	91_laugh	laugh	French	French	rit	r.i	r i	stan1290	48.0	2.0	Indo-European	677
724	91_laugh	laugh	German	German	lacht	l.a.x	l a x	stan1295	48.649	12.4676	Indo-European	676
726	91_laugh	laugh	Latin	Latin	ridet	r.iː.d.eː	r iː d eː	lati1261	41.9026	12.4502	Indo-European	677
729	92_leaf	leaf	Albanian	Albanian	gjethe	ɟ.e.θ	ɟ e θ	gheg1238	42.317	21.3837	Indo-European	430
730	92_leaf	leaf	English	English	leaf	l.i.f	l i f	stan1293	53.0	-1.0	Indo-European	428
731	92_leaf	leaf	French	French	feuille	f.œ.j	f œ j	stan1290	48.0	2.0	Indo-European	427
732	92_leaf	leaf	German	German	Blatt	b.l.a.t	b l a t	stan1295	48.649	12.4676	Indo-European	426
734	92_leaf	leaf	Latin	Latin	folium	f.o.l.i.o	f o l i o	lati1261	41.9026	12.4502	Indo-European	427
737	93_left	left	Albanian	Albanian	majtë	m.a.j.t	m a j t	gheg1238	42.317	21.3837	Indo-European	1218
738	93_left	left	English	English	left	l.ɛ.f.t	l ɛ f t	stan1293	53.0	-1.0	Indo-European	1216
739	93_left	left	French	French	gauche	g.o.ʃ	g o ʃ	stan1290	48.0	2.0	Indo-European	1215
740	93_left	left	German	German	link	l.i.ŋ.k	l i ŋ k	stan1295	48.649	12.4676	Indo-European	1214
742	93_left	left	Latin	Latin	sinister	s.i.n.i.s.t.r.o	s i n i s t r o	lati1261	41.9026	12.4502	Indo-European	1220
745	94_lie	lie	Albanian	Albanian	(rri) shtrirë	ʃ.t.r.i.r	ʃ t r i r	gheg1238	42.317	21.3837	Indo-European	978
746	94_lie	lie	English	English	lies	l.ai	l ai	stan1293	53.0	-1.0	Indo-European	975
747	94_lie	lie	French	French	(est) allongé	a.l.ɔ̃.ʒ.e	a l ɔ̃ ʒ e	stan1290	48.0	2.0	Indo-European	976
748	94_lie	lie	German	German	liegt	l.iː.g	l iː g	stan1295	48.649	12.4676	Indo-European	975
750	94_lie	lie	Latin	Latin	iacet	j.a.k.eː	j a k eː	lati1261	41.9026	12.4502	Indo-European	980
753	95_liver	liver	Albanian	Albanian	mëlçi	m.ə.l.ʧ.i	m ə l tʃ i	gheg1238	42.317	21.3837	Indo-European	796
754	95_liver	liver	English	English	liver	l.ɪ.v.ə.r	l ɪ v ə r	stan1293	53.0	-1.0	Indo-European	793
755	95_liver	liver	French	French	foie	f.w.a	f w a	stan1290	48.0	2.0	Indo-European	794
756	95_liver	liver	German	German	Leber	l.eː.b.ə.r	l eː b ə r	stan1295	48.649	12.4676	Indo-European	793
758	95_liver	liver	Latin	Latin	iecur	j.e.k.i.n	j e k i n	lati1261	41.9026	12.4502	Indo-European	798
761	96_long	long	Albanian	Albanian	gjatë	ɟ.a.t	ɟ a t	gheg1238	42.317	21.3837	Indo-European	728
762	96_long	long	English	English	long	l.ɔ.ŋ	l ɔ ŋ	stan1293	53.0	-1.0	Indo-European	728
763	96_long	long	French	French	long	l.ɔ̃.g	l ɔ̃ g	stan1290	48.0	2.0	Indo-European	728
764	96_long	long	German	German	lang	l.a.ŋ	l a ŋ	stan1295	48.649	12.4676	Indo-European	728
766	96_long	long	Latin	Latin	longus	l.o.n.g.o	l o n g o	lati1261	41.9026	12.4502	Indo-European	728
769	97_louse	louse	Albanian	Albanian	morr	m.o.rː	m o rː	gheg1238	42.317	21.3837	Indo-European	601
770	97_louse	louse	English	English	louse	l.au.s	l au s	stan1293	53.0	-1.0	Indo-European	598
771	97_louse	louse	French	French	pou	p.u	p u	stan1290	48.0	2.0	Indo-European	599
772	97_louse	louse	German	German	Laus	l.au.z	l au z	stan1295	48.649	12.4676	Indo-European	598
774	97_louse	louse	Latin	Latin	pediculus	p.eː.d.i.k.u.l.o	p eː d i k u l o	lati1261	41.9026	12.4502	Indo-European	599
777	98_man	man	Albanian	Albanian	burrë	b.u.rː	b u rː	gheg1238	42.317	21.3837	Indo-European	1146
778	98_man	man	English	English	man	m.a.n	m a n	stan1293	53.0	-1.0	Indo-European	1143
779	98_man	man	French	French	homme	ɔ.m	ɔ m	stan1290	48.0	2.0	Indo-European	1144
