COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
367-5					l a̱i ³⁵				
503-5					p ɔ̱ ³⁵				
40-5					p j a ŋ ⁵⁵				
393-5					m ɔ̃ ⁵⁵				
141-5					k ai ³¹				
272-5					kʰ j ɔ̃ ⁵⁵				
1-5					p ɔ ³¹				
349-5					l ɔ̃ ³⁵				
214-5					j ɛ̃ ³⁵				
841-5					n ɔ̱ a ⁵⁵				
123-5					a ɔ ³¹				
646-5					tsʰ j i k ⁵⁵				
433-5					ts j a ŋ ³⁵				
512-5					p j a k ⁵⁵				
518-5					p j u k ⁵⁵				
878-5					t ɔ̱ ³⁵				
524-5					p u ʔ ³¹				
90-5					t ɔ̱ ⁵⁵				
541-5					j ɔ̱̃ ³⁵				
668-5					ŋ ai ³¹				
164-5					k ɔ̃ ³⁵				
686-5					ŋ j ɛ ʔ ³¹				
784-5					j ɔ̱ ⁵⁵				
504-5					pʰ a̱i ʔ ⁵⁵				
49-5					p ɛ ³⁵				
822-5					l ɔ̱ ʔ ⁵⁵				
52-5					p u ʔ ³¹				
281-5					ts j u k ⁵⁵				
127-5					tʃ ɛ ʔ ³¹				
192-5					k j ɔ̱ ʔ ⁵⁵				
864-5					p j a̱i ³⁵				
126-5					tʃ ɔ ʔ ³¹				
656-5					v ɛ̃ ⁵⁵				
546-5					k ɔ̃ ³¹				
3-5					p ɔ ⁵⁵				
98-5					x ɔ ³⁵				
445-5					m j u̱ k ³¹				
608-5					tsʰ ɛ̃ ³¹				
210-5					j ɔ ʔ ³¹				
140-5					k j i k ³¹				
868-5					x ɔ ³⁵				
520-5					p j u̱ k ⁵⁵				
166-5					k j a k ⁵⁵				
270-5					kʰ j ɔ̃ ³¹				
55-5					p u p ³¹				
665-6						ɲ a			
495-6						n ui̯ ʔ			
838-6						nʰ a m			
438-6						m j a k			
334-6						l a k			
360-6						l ai ⁵			
394-6						m j i ⁵			
221-6						i ui̯			
202-6						k ui̯ ⁵			
935-6						a ⁵			
93-6						c a ⁵			
7-6						p a n ⁵			
664-6						w a ŋ			
246-6						kʰ a k			
547-6						s a k			
555-6						j a m			
464-6						m ui̯ ⁵			
119-6						c a ɲ			
835-6						nʰ a p			
79-6						t a ⁵			
693-6						ɲ ui̯			
477-6						nʰ a p			
891-6						tʰ a ɲ ʔ			
528-6						r a			
797-6						kʰ j ui̯			
493-6						n a k			
217-6						j a p			
896-6						tʃʰ a t			
452-6						m j ɔ k			
580-6						kʰ a t			
833-6						nʰ a p			
390-6						m a ɲ ⁵			
696-6						ɲ a			
86-6						c ui̯ ɲ			
731-6						s i ⁵			
680-6						ɲ a k			
658-6						w a m			
183-6						k r a ⁵			
714-6						ui̯ a m			
206-6						j a ɲ			
353-6						l ai			
814-6						kʰ ⁵			
179-6						k r a k			
29-6						p a k			
389-6						m r a ɲ			
118-6						m a ʔ			
490-6						n ai ʔ			
436-6						m j a ⁵			
383-6						m a k			
873-6						rʰ a ɲ			
371-6						l a ɲ ⁵			
666-6						ɲ a ⁵			
337-6						w a			
484-6						n a ɲ			
574-6						k a m ⁵			
811-6						kʰ ui̯ ⁵			
205-6						k ui̯ k			
350-6						l a ɲ ʔ			
569-6						s a ⁵			
501-6						pʰ a ʔ			
652-6						w ai			
565-6						kʰ a ⁵			
468-6						n a k			
125-6						tʰ ui̯ ⁵			
170-6						k r a ʔ			
471-6						c a m ⁵			
367-6						l ai ⁵			
414-6						m j i ʔ			
503-6						pʰ a ⁵			
647-6						tʃʰ i			
105-6						c i ⁵			
463-6						m ui̯			
841-6						nʰ a c			
123-6						t a ⁵			
433-6						c a ɲ			
849-6						pʰ a t			
541-6						s a ɲ ⁵			
933-6						c ui̯ ⁵			
668-6						ɲ ai			
467-6						nʰ a ɲ ⁵			
201-6						k j ui̯			
377-6						l a m ⁵			
192-6						kʰ j a k			
445-6						m j ui̯			
608-6						tʃʰ a m			
55-6						p a p			
665-7							ŋ a ¹		
495-7							ˀn u ³		
838-7							ˀn a k ⁴		
438-7							m a ³		
334-7							l a k ⁴		
360-7							l ai ³		
394-7							m j e ²		
221-7							e u t ⁴		
202-7							g u ²		
935-7							u ²		
93-7							ˀts a ŋ ³		
7-7							b a ŋ ²		
664-7							w a ŋ ¹		
246-7							ˀk a k ⁴		
547-7							ˀs i k ⁴		
555-7							i u m ¹		
464-7							m u ²		
119-7							m j a ŋ ³		
835-7							ˀn a t ⁴		
79-7							d a ²		
693-7							ŋ u ¹		
477-7							ˀn a t ⁴		
891-7							ˀt i ŋ ³		
528-7							r a ¹		
797-7							ˀk j u k ⁴		
493-7							n i k ⁴		
217-7							r a p ⁴		
896-7							ˀk a t ⁴		
452-7							m j u k ⁴		
580-7							ˀm a k ⁴		
833-7							ˀn a t ⁴		
390-7							m a ŋ ²		
696-7							ŋ i ¹		
86-7							ˀk u ŋ ¹		
384-7							m a ŋ ³		
61-7							dʒ a ŋ ¹		
536-7							ˀk a k ⁴		
731-7							ʃ e ²		
779-7							a ¹		
589-7							t a ŋ ³		
680-7							ˀk a k ⁴		
658-7							w a m ¹		
456-7							ˀm r a ŋ ²		
183-7							g r a ²		
785-7							k a ²		
714-7							u ¹		
331-7							l a ²		
206-7							j a ¹		
930-7							ˀn a t ⁴		
353-7							l ai ¹		
161-7							p a ŋ ¹		
814-7							ˀk ¹ ²		
179-7							w a k ⁴		
194-7							w a k ⁴		
727-7							ʃ a ŋ ¹		
260-7							ˀk j a t ⁴		
144-7							dʒ a m ¹		
53-7							b a m ¹		
59-7							d a k ⁴		
506-7							p i k ⁴		
29-7							b i k ⁴		
316-7							t a k ⁴		
389-7							m r a ŋ ¹		
118-7							m a k ⁴		
312-7							k a ²		
490-7							n ai ³		
436-7							m j a ŋ ²		
927-7							ˀn a ŋ ¹		
383-7							m a k ⁴		
211-7							ˀj a m ¹		
873-7							s i ŋ ¹		
371-7							l i ŋ ²		
877-7							dʒ a ³		
344-7							l a m ¹		
666-7							ŋ a ²		
595-7							t a ŋ ³		
660-7							w u k ⁴		
642-7							ˀtʃ a ŋ ³		
257-7							ˀk a m ¹		
167-7							g r a ²		
880-7							ˀtʃ a t ⁴		
337-7							w a ¹		
484-7							n a ŋ ¹		
574-7							dʒ u m ²		
718-7							ʃ a ŋ ³		
811-7							k u ²		
458-7							t u ŋ ³		
884-7							t a k ⁴		
205-7							g u k ⁴		
499-7							ˀn ɛ ¹		
706-7							ʃ a ²		
920-7							u ŋ ²		
36-7							dz a ŋ ³		
12-7							b j e ²		
350-7							l a ŋ ³		
4-7							b a ŋ ¹		
342-7							w u k ⁴		
280-7							ˀk j e ²		
638-7							tʃ a t ⁴		
729-7							s e ²		
72-7							dʒ u m ²		
612-7							t a ŋ ²		
459-7							m r i ŋ ¹		
569-7							ˀs ¹ ²		
283-7							ˀk j ¹		
501-7							ˀp a ³		
148-7							k a ŋ ²		
652-7							w ai ¹		
220-7							ˀɲ a ŋ ²		
233-7							j u t ⁴		
562-7							dz i ŋ ²		
31-7							b r a k ⁴		
386-7							m i t ⁴		
684-7							dʒ a t ⁴		
804-7							k r u ŋ ³		
618-7							ˀtʃ u ²		
565-7							ˀk o ²		
369-7							l i k ⁴		
125-7							ˀt u ²		
314-7							dz a ²		
776-7							ʃ u k ⁴		
170-7							g r a k ⁴		
823-7							l a p ⁴		
471-7							ˀtʃ a m ²		
249-7							k a m ¹		
367-7							ˀl ai ²		
414-7							m j e ³		
503-7							ˀp a ²		
40-7							b r i ŋ ³		
647-7							ts ɛ ²		
105-7							dʒ e ²		
393-7							m a ŋ ³		
141-7							g ai ¹		
272-7							k r a ŋ ³		
463-7							m u ¹		
1-7							b a ¹		
349-7							l a ŋ ¹		
214-7							ˀj a m ²		
123-7							d u k ⁴		
646-7							ts e ²		
433-7							ˀk j i ŋ ¹		
518-7							p r u ¹		
878-7							ˀt a ²		
849-7							ˀp a t ⁴		
524-7							p u k ⁴		
90-7							t a ³		
541-7							ˀs a ŋ ²		
933-7							ˀtʃ u ²		
668-7							ɲ ai ¹		
164-7							g a ŋ ²		
686-7							ŋ j a t ⁴		
201-7							g j u k ⁴		
784-7							ˀp i k ⁴		
487-7							ˀn ai ¹		
504-7							dz a t ⁴		
52-7							b a k ⁴		
281-7							ˀk j u ¹		
46-7							b r a ¹		
127-7							dʒ a p ⁴		
67-7							dʒ a t ⁴		
192-7							ˀk j a k ⁴		
864-7							p r ai ³		
126-7							dʒ a k ⁴		
656-7							w a m ³		
546-7							ˀts a ŋ ¹		
635-7							ˀk a k ⁴		
473-7							ˀn a m ¹		
3-7							b a ²		
98-7							s a ²		
445-7							m j u ¹		
608-7							ts a m ¹		
210-7							j a t ⁴		
140-7							g j e ²		
868-7							s a ³		
520-7							dz r u ¹		
166-7							g r a k ⁴		
48-7							b j ɛ ŋ ¹		
270-7							k r a ŋ ¹		
55-7							b a t ⁴		
665-8								ŋ ɑ ²²	
495-8								n o ⁵⁵	
838-8								n ɑ ʔ ⁴	
438-8								l ĩ ⁵⁵	
334-8								l ɑ ʔ ⁴	
360-8								l ɛ ⁵⁵	
394-8								n ĩ ⁵⁵	
221-8								ĩ u̱ ʔ ⁴	
202-8								tɕ o ⁵⁵	
935-8								ẽ ⁵⁵	
93-8								tɕ ɑ ⁵⁵	
7-8								p ɛ ⁵⁵	
664-8								w ɛ ⁵⁵	
246-8								kʰ ɑ ʔ ⁴	
547-8								tɕ ɑ ʔ ⁴	
555-8								e ɑ ²²	
464-8								o	
119-8								tɕ ĩ ⁵⁵	
835-8								n õ ⁵⁵	
79-8								tɕʰ ɑ ⁵⁵	
693-8								ŋ o ²²	
477-8								n ĩ ⁵⁵	
891-8								tʰ ɑ ŋ ⁵⁵	
528-8								w ɑ ⁵⁵	
797-8								kʰ w ĩ ʔ ⁴	
493-8								n ẽ ʔ ⁴	
217-8								ĩ ĩ ʔ ⁴	
896-8								sʰ ɑ ʔ ⁴	
452-8								ȵ o ʔ ⁴	
580-8								kʰ ɑ ʔ ⁴	
833-8								n ɑ ²²	
390-8								ĩ ⁵⁵	
696-8								ŋ o ²²	
86-8								tɕʰ o ⁵⁵	
384-8								kʰ ɛ ⁵⁵	
61-8								tɕ ɛ ²²	
536-8								ɕ ɑ ʔ ⁴	
731-8								ɕ ɛ ⁵⁵	
779-8								ɑ ²²	
589-8								tʰ ĩ ⁵⁵	
680-8								⁵³ ɑ ʔ ⁴	
658-8								w ɑ ²²	
456-8								kʰ ĩ ⁵⁵	
183-8								tɕ ɑ ⁵⁵	
785-8								kʰ ɑ ⁵⁵	
714-8								o ʔ ⁴	
331-8								l ɑ ⁵⁵	
206-8								ĩ ɑ ²²	
930-8								⁵⁵ ɑ ʔ ⁴	
353-8								l ɛ ²²	
161-8								tɕ ĩ ⁵⁵	
814-8								kʰ o ⁵⁵	
179-8								tɕ w ĩ ʔ ⁴	
194-8								w ɑ ʔ ⁴	
727-8								ɕ ĩ ²²	
260-8								kʰ j ĩ ʔ ⁴	
144-8								tɕ ɑ ²²	
53-8								p ĩ ²²	
59-8								tɕʰ ɑ ʔ ⁴	
506-8								tɕ ẽ ʔ ⁴	
316-8								tʰ ĩ ⁵⁵	
389-8								w ĩ ⁵⁵	
118-8								ɑ ⁵⁵	
312-8								kʰ ɑ ⁵⁵	
490-8								n ĩ ⁵⁵	
436-8								l ĩ ⁵⁵	
927-8								⁵⁵ ɑ ²²	
211-8								ĩ ⁵⁵	
371-8								l ẽ ⁵⁵	
877-8								tɕ i ⁵⁵	
344-8								l ɛ ²²	
666-8								ŋ ɑ ⁵⁵	
595-8								tʰ ĩ ⁵⁵	
660-8								w ɛ ʔ ⁴	
642-8								tɕ ĩ ⁵⁵	
257-8								kʰ j ⁵⁵	
167-8								tɕ ĩ ⁵⁵	
880-8								tɕ ɑ ʔ ⁴	
337-8								w ɑ ²²	
574-8								tɕ ĩ ⁵⁵	
718-8								ɕ ĩ ⁵⁵	
811-8								kʰ o ⁵⁵	
458-8								tʰ o ⁵⁵	
884-8								tʰ ɑ ⁵⁵	
205-8								tɕ o ʔ ⁴	
499-8								n ɛ ⁵⁵	
706-8								ɕ ĩ ²²	
920-8								o ⁵⁵	
36-8								p j ĩ ⁵⁵	
12-8								p e ⁵⁵	
280-8								kʰ e ⁵⁵	
638-8								sʰ ɛ ʔ ⁴	
729-8								ɕ ɛ ⁵⁵	
72-8								tɕʰ ĩ ⁵⁵	
612-8								tʰ ĩ ⁵⁵	
459-8								w ɛ ⁵⁵	
283-8								kʰ w o ⁵⁵	
501-8								p ɑ ⁵⁵	
148-8								tɕ ɑ̃ ⁵⁵	
652-8								w ɛ ²²	
233-8								e o ⁵⁵	
562-8								tɕ ɑ ⁵⁵	
31-8								p w ɑ ʔ ⁴	
386-8								ɛ ʔ	
684-8								s ɑ ʔ ⁴	
804-8								tɕ w ẽ ⁵⁵	
618-8								tɕ o ⁵⁵	
565-8								ɕ ɑ ⁵⁵	
468-8								n ɑ ⁵⁵	
125-8								tʰ o ⁵⁵	
314-8								tɕ w ĩ ⁵⁵	
776-8								ɕ o ʔ ⁴	
170-8								tɕ ĩ ⁵⁵	
471-8								tɕ ɛ ⁵⁵	
249-8								kʰ ɑ ²²	
367-8								ɬ ɔ ⁵⁵	
414-8								²² ĩ ⁵⁵	
503-8								p ɑ ⁵⁵	
40-8								p w ɛ ⁵⁵	
647-8								sʰ ẽ ²²	
105-8								tɕ ẽ ⁵⁵	
393-8								ĩ ⁵⁵	
141-8								tɕ ɛ ²²	
463-8								o ²²	
349-8								l ĩ ⁵⁵	
841-8								n o ʔ ⁴	
646-8								sʰ ɛ ⁵⁵	
433-8								²² ĩ ⁵⁵	
512-8								tɕ ĩ ⁵⁵	
518-8								tɕ w o ²²	
849-8								p ɛ ⁵⁵	
90-8								tʰ ɑ ⁵⁵	
933-8								tɕ o ⁵⁵	
668-8								⁵⁵ ɛ	
164-8								tɕ ĩ ⁵⁵	
686-8								⁵⁵ e ʔ ⁴	
467-8								n ɑ ⁵⁵	
201-8								tɕ ĩ o ʔ ⁴	
784-8								e ɑ ⁵⁵	
487-8								n ɛ ⁵⁵	
504-8								tɕ ĩ ⁵⁵	
281-8								kʰ e o ⁵⁵	
46-8								p w ɑ ²²	
377-8								l ɑ ⁵³	
67-8								tɕ ɑ ʔ ⁴	
864-8								p w ɔ ⁵⁵	
635-8								tɕ o ⁵⁵	
445-8								ĩ o ²²	
210-8								e ɑ ⁵⁵	
140-8								tɕ e ⁵⁵	
520-8								p w o ²²	
166-8								tɕ ẽ ʔ ⁴	
48-8								p ɑ ⁵⁵	
379-8								l ɑ ⁵⁵	
55-8								p ⁵⁵	
665-9									ŋ ɔ ⁵⁵
495-9									n au ³⁵
838-9									n̥ ɔ t ⁵⁵
438-9									m j a ʔ ⁵⁵
334-9									l ɔ ʔ ⁵⁵
360-9									l i ³¹
394-9									m i ³¹
221-9									j au p ⁵⁵
202-9									k au ³¹
935-9									u ³¹
93-9									t a ŋ ³¹
7-9									p a ŋ ³¹
664-9									o ŋ ⁵⁵
246-9									x ɤ ʔ ⁵⁵
547-9									p ai ʔ ⁵⁵
555-9									a au m ⁵⁵
464-9									m au ³¹
119-9									t ɛ ŋ ⁵⁵
835-9									n̥ a p ⁵⁵
79-9									t ɔ ³¹
693-9									ŋ au ⁵⁵
477-9									m j a p ⁵⁵
891-9									tʰ ɤ ŋ ³⁵
528-9									ʐ ɔ ⁵⁵
797-9									x ʐ o ʔ ⁵⁵
493-9									n ɤ ʔ ⁵⁵
217-9									ʑ a p ⁵⁵
896-9									s au t ⁵⁵
452-9									m j u ʔ ⁵⁵
580-9									ts ɛ ʔ ⁵⁵
833-9									n̥ u ŋ ³¹
390-9									m ɔ ŋ ³¹
696-9									ŋ ɤ ⁵⁵
86-9									t au ŋ ⁵⁵
384-9									m a ŋ ³⁵
61-9									t a ŋ ⁵⁵
536-9									ç ɤ ʔ ⁵⁵
731-9									ç ɤ ³¹
779-9									ç ɔ ⁵⁵
589-9									tʰ ɤ ŋ ⁵⁵
680-9									ɲ u ʔ ⁵⁵
658-9									o m ⁵⁵
456-9									m ʐ a ŋ ³¹
183-9									k ʐ ɤ ³¹
785-9									x ɔ ³¹
714-9									au ³¹
331-9									l ɔ ³¹
206-9									j ɔ ⁵⁵
930-9									ɲ a p ⁵⁵
353-9									l ɤ ⁵⁵
161-9									p a ŋ ⁵⁵
814-9									x ui ³¹
179-9									k ʐ e ʔ ⁵⁵
194-9									ʐ ɔ ʔ ⁵⁵
727-9									ç ɛ ŋ ⁵⁵
260-9									t ɤ p ⁵⁵
144-9									k a ŋ ⁵⁵
53-9									p ɛ ⁵⁵
59-9									t ɔ ʔ ³¹
506-9									t ɛ ʔ ⁵⁵
29-9									p ɤ k ⁵⁵
316-9									tʰ ɛ ʔ ⁵⁵
389-9									m ʐ a ŋ ⁵⁵
118-9									m ɔ ʔ ³¹
312-9									x ɔ ³¹
490-9									n j a ʔ ⁵⁵
927-9									n̥ a ŋ ⁵⁵
383-9									m ɔ ʔ ³¹
211-9									ʑ a m ⁵⁵
873-9									s ɤ ŋ ⁵⁵
371-9									l ɤ ŋ ³¹
877-9									ts ɛ ³⁵
344-9									l a m ⁵⁵
666-9									ŋ ɔ ³¹
595-9									tʰ ɔ ŋ ³⁵
660-9									o p ⁵⁵
642-9									t ɔ ŋ ³⁵
257-9									t ɤ m ⁵⁵
167-9									k ɤ ³¹
880-9									tʰ a p ⁵⁵
337-9									ʐ ɔ ⁵⁵
484-9									n ɔ ŋ ⁵⁵
574-9									ts u m ³¹
718-9									ç ɛ n ³¹
811-9									x au ³¹
458-9									tʰ au ŋ ³¹
884-9									tʰ a n ³¹
205-9									k au ʔ ⁵⁵
499-9									n a ⁵⁵
706-9									ç ɛ ⁵⁵
920-9									au ŋ ³¹
36-9									p a ŋ ⁵⁵
12-9									p ɛ ⁵⁵
350-9									l w a ŋ ³⁵
4-9									p a ŋ ⁵⁵
342-9									ʐ au ʔ ³¹
280-9									t au ³¹
638-9									tʃʰ a p ⁵⁵
729-9									ç a ⁵⁵
72-9									t ɔ ŋ ³¹
612-9									t ɔ ŋ ³¹
459-9									m ʐ ɤ ŋ ⁵⁵
569-9									s ⁵⁵ j ³¹
283-9									t ɔ ⁵⁵
501-9									p ɔ ³⁵
148-9									k a ŋ ³¹
652-9									o ɤ ⁵⁵
220-9									ʐ w a ŋ ³¹
233-9									ɤ au ʔ ⁵⁵
562-9									t ai ³¹
31-9									p ʐ ɯ ʔ ⁵⁵
684-9									ŋ ɔ ʔ ⁵⁵
804-9									t au ŋ ³¹
618-9									tʃʰ ɔ ³¹
565-9									ç ɔ ³¹
468-9									n ɔ ʔ ⁵⁵
369-9									l ɤ k ⁵⁵
125-9									t au ³¹
314-9									t ʐ ɛ ŋ ⁵⁵
776-9									ç au ʈ ⁵⁵
170-9									k j ɔ ³⁵
823-9									l̥ a p ⁵⁵
471-9									n a m ³¹
249-9									x a m ⁵⁵
367-9									l̥ ɤ ³¹
414-9									t a n ³¹
503-9									p ɤ ³¹
40-9									p ʐ ɤ ŋ ³⁵
647-9									tʃʰ ɛ ⁵⁵
105-9									t ɛ ³¹
393-9									m ɔ ŋ ³⁵
141-9									k ai ⁵⁵
272-9									tʃʰ a ŋ ³⁵
1-9									p ɔ ⁵⁵
349-9									l ɔ ŋ ³¹
214-9									ʐ a m ³¹
841-9									n̥ au t ⁵⁵
123-9									t u ⁵⁵
646-9									tʃʰ ɛ ³¹
512-9									t ɔ ʔ ⁵⁵
518-9									t ʐ ɔ ⁵⁵
878-9									tʰ ɤ ³¹
849-9									p a t ⁵⁵
524-9									t au ʔ ⁵⁵
90-9									tʰ ɤ n ³¹
541-9									s a ŋ ³¹
933-9									ȵ̥ au ³¹
668-9									ŋ ɤ ⁵⁵
164-9									k ɔ ŋ ³¹
686-9									ŋ n a p ⁵⁵
467-9									n ɔ ³¹
487-9									n̥ ɤ ⁵⁵
49-9									p au ³¹
822-9									l ɤ ʔ ⁵⁵
46-9									p ɔ ⁵⁵
377-9									l ɛ t ⁵⁵
67-9									t a p ³¹
864-9									p ʐ ɤ ŋ ³¹
656-9									o m ³⁵
546-9									s ɔ ŋ ⁵⁵
635-9									t au ʔ ⁵⁵
473-9									n̥ a m ⁵⁵
3-9									p ɔ ³⁵
98-9									ç ɔ ³¹
140-9									k a i ⁵⁵
868-9									s ɔ ³¹
520-9									p ʐ au ⁵⁵
166-9									k ɤ ³¹
48-9									p a ŋ ⁵⁵
270-9									k ɤ w a ŋ ⁵⁵
379-9									l u t ⁵⁵
