index	index_p	rindex	rindex_p	cogid	id_Kayah	segment_Kayah	segment_Kayah_L1	segment_Kayah_L2	segment_Kayah_L3	segment_Kayah_R1	segment_Kayah_R2	segment_Kayah_R3	SC_Kayah	SC_Kayah_L1	SC_Kayah_L2	SC_Kayah_L3	SC_Kayah_R1	SC_Kayah_R2	SC_Kayah_R3	PROSODY_Kayah	PROSODY_Kayah_L1	PROSODY_Kayah_L2	PROSODY_Kayah_L3	PROSODY_Kayah_R1	PROSODY_Kayah_R2	PROSODY_Kayah_R3	id_Kayan	segment_Kayan	segment_Kayan_L1	segment_Kayan_L2	segment_Kayan_L3	segment_Kayan_R1	segment_Kayan_R2	segment_Kayan_R3	SC_Kayan	SC_Kayan_L1	SC_Kayan_L2	SC_Kayan_L3	SC_Kayan_R1	SC_Kayan_R2	SC_Kayan_R3	PROSODY_Kayan	PROSODY_Kayan_L1	PROSODY_Kayan_L2	PROSODY_Kayan_L3	PROSODY_Kayan_R1	PROSODY_Kayan_R2	PROSODY_Kayan_R3	id_Kayaw	segment_Kayaw	segment_Kayaw_L1	segment_Kayaw_L2	segment_Kayaw_L3	segment_Kayaw_R1	segment_Kayaw_R2	segment_Kayaw_R3	SC_Kayaw	SC_Kayaw_L1	SC_Kayaw_L2	SC_Kayaw_L3	SC_Kayaw_R1	SC_Kayaw_R2	SC_Kayaw_R3	PROSODY_Kayaw	PROSODY_Kayaw_L1	PROSODY_Kayaw_L2	PROSODY_Kayaw_L3	PROSODY_Kayaw_R1	PROSODY_Kayaw_R2	PROSODY_Kayaw_R3	id_NorthernPao	segment_NorthernPao	segment_NorthernPao_L1	segment_NorthernPao_L2	segment_NorthernPao_L3	segment_NorthernPao_R1	segment_NorthernPao_R2	segment_NorthernPao_R3	SC_NorthernPao	SC_NorthernPao_L1	SC_NorthernPao_L2	SC_NorthernPao_L3	SC_NorthernPao_R1	SC_NorthernPao_R2	SC_NorthernPao_R3	PROSODY_NorthernPao	PROSODY_NorthernPao_L1	PROSODY_NorthernPao_L2	PROSODY_NorthernPao_L3	PROSODY_NorthernPao_R1	PROSODY_NorthernPao_R2	PROSODY_NorthernPao_R3	id_NorthernPwo	segment_NorthernPwo	segment_NorthernPwo_L1	segment_NorthernPwo_L2	segment_NorthernPwo_L3	segment_NorthernPwo_R1	segment_NorthernPwo_R2	segment_NorthernPwo_R3	SC_NorthernPwo	SC_NorthernPwo_L1	SC_NorthernPwo_L2	SC_NorthernPwo_L3	SC_NorthernPwo_R1	SC_NorthernPwo_R2	SC_NorthernPwo_R3	PROSODY_NorthernPwo	PROSODY_NorthernPwo_L1	PROSODY_NorthernPwo_L2	PROSODY_NorthernPwo_L3	PROSODY_NorthernPwo_R1	PROSODY_NorthernPwo_R2	PROSODY_NorthernPwo_R3	id_ProtoKaren	segment_ProtoKaren	segment_ProtoKaren_L1	segment_ProtoKaren_L2	segment_ProtoKaren_L3	segment_ProtoKaren_R1	segment_ProtoKaren_R2	segment_ProtoKaren_R3	SC_ProtoKaren	SC_ProtoKaren_L1	SC_ProtoKaren_L2	SC_ProtoKaren_L3	SC_ProtoKaren_R1	SC_ProtoKaren_R2	SC_ProtoKaren_R3	PROSODY_ProtoKaren	PROSODY_ProtoKaren_L1	PROSODY_ProtoKaren_L2	PROSODY_ProtoKaren_L3	PROSODY_ProtoKaren_R1	PROSODY_ProtoKaren_R2	PROSODY_ProtoKaren_R3	id_SouthernPao	segment_SouthernPao	segment_SouthernPao_L1	segment_SouthernPao_L2	segment_SouthernPao_L3	segment_SouthernPao_R1	segment_SouthernPao_R2	segment_SouthernPao_R3	SC_SouthernPao	SC_SouthernPao_L1	SC_SouthernPao_L2	SC_SouthernPao_L3	SC_SouthernPao_R1	SC_SouthernPao_R2	SC_SouthernPao_R3	PROSODY_SouthernPao	PROSODY_SouthernPao_L1	PROSODY_SouthernPao_L2	PROSODY_SouthernPao_L3	PROSODY_SouthernPao_R1	PROSODY_SouthernPao_R2	PROSODY_SouthernPao_R3	id_WesternBwe	segment_WesternBwe	segment_WesternBwe_L1	segment_WesternBwe_L2	segment_WesternBwe_L3	segment_WesternBwe_R1	segment_WesternBwe_R2	segment_WesternBwe_R3	SC_WesternBwe	SC_WesternBwe_L1	SC_WesternBwe_L2	SC_WesternBwe_L3	SC_WesternBwe_R1	SC_WesternBwe_R2	SC_WesternBwe_R3	PROSODY_WesternBwe	PROSODY_WesternBwe_L1	PROSODY_WesternBwe_L2	PROSODY_WesternBwe_L3	PROSODY_WesternBwe_R1	PROSODY_WesternBwe_R2	PROSODY_WesternBwe_R3
4	1.0000	1	0.2500	750	291	⁵⁵	-	ɨ	kʰ	∅	∅	∅	_	_	I	K	∅	∅	∅	0	0	7	1	∅	∅	∅	292	⁴⁵	ʔ	u	kʰ	∅	∅	∅	_	H	Y	K	∅	∅	∅	0	1	7	1	∅	∅	∅	293	³³	-	ɨ	kʰ	∅	∅	∅	_	_	I	K	∅	∅	∅	0	0	7	1	∅	∅	∅	294	²¹	k	u	kʰ	∅	∅	∅	_	K	Y	K	∅	∅	∅	0	1	7	1	∅	∅	∅	295	⁴⁵	ʔ	au	kʰ	∅	∅	∅	_	H	A	K	∅	∅	∅	0	1	7	1	∅	∅	∅	296	⁵¹	k̚	u	kʰ	∅	∅	∅	_	K	Y	K	∅	∅	∅	0	1	7	1	∅	∅	∅																							297	³³	-	u	kʰ	∅	∅	∅	_	_	Y	K	∅	∅	∅	0	0	7	1	∅	∅	∅
1	0.2500	4	1.0000	776	298	k	∅	∅	∅	i	-	³³	K	∅	∅	∅	I	_	_	1	∅	∅	∅	7	0	0	299	k	∅	∅	∅	i	-	⁵³	K	∅	∅	∅	I	_	_	1	∅	∅	∅	7	0	0	300	k	∅	∅	∅	i	-	⁵⁵	K	∅	∅	∅	I	_	_	1	∅	∅	∅	7	0	0	301	k	∅	∅	∅	i	ɦ	³¹	K	∅	∅	∅	I	H	_	1	∅	∅	∅	7	3	0																							302	k	∅	∅	∅	i	-	⁵⁵	K	∅	∅	∅	I	_	_	1	∅	∅	∅	7	0	0	303	k	∅	∅	∅	i	ɦ	³¹	K	∅	∅	∅	I	H	_	1	∅	∅	∅	7	3	0																						
2	0.5000	3	0.7500	776	298	i	k	∅	∅	-	³³	∅	I	K	∅	∅	_	_	∅	7	1	∅	∅	0	0	∅	299	i	k	∅	∅	-	⁵³	∅	I	K	∅	∅	_	_	∅	7	1	∅	∅	0	0	∅	300	i	k	∅	∅	-	⁵⁵	∅	I	K	∅	∅	_	_	∅	7	1	∅	∅	0	0	∅	301	i	k	∅	∅	ɦ	³¹	∅	I	K	∅	∅	H	_	∅	7	1	∅	∅	3	0	∅																							302	i	k	∅	∅	-	⁵⁵	∅	I	K	∅	∅	_	_	∅	7	1	∅	∅	0	0	∅	303	i	k	∅	∅	ɦ	³¹	∅	I	K	∅	∅	H	_	∅	7	1	∅	∅	3	0	∅																						
3	0.7500	2	0.5000	776	298	-	i	k	∅	³³	∅	∅	_	I	K	∅	_	∅	∅	0	7	1	∅	0	∅	∅	299	-	i	k	∅	⁵³	∅	∅	_	I	K	∅	_	∅	∅	0	7	1	∅	0	∅	∅	300	-	i	k	∅	⁵⁵	∅	∅	_	I	K	∅	_	∅	∅	0	7	1	∅	0	∅	∅	301	ɦ	i	k	∅	³¹	∅	∅	H	I	K	∅	_	∅	∅	3	7	1	∅	0	∅	∅																							302	-	i	k	∅	⁵⁵	∅	∅	_	I	K	∅	_	∅	∅	0	7	1	∅	0	∅	∅	303	ɦ	i	k	∅	³¹	∅	∅	H	I	K	∅	_	∅	∅	3	7	1	∅	0	∅	∅																						
4	1.0000	1	0.2500	776	298	³³	-	i	k	∅	∅	∅	_	_	I	K	∅	∅	∅	0	0	7	1	∅	∅	∅	299	⁵³	-	i	k	∅	∅	∅	_	_	I	K	∅	∅	∅	0	0	7	1	∅	∅	∅	300	⁵⁵	-	i	k	∅	∅	∅	_	_	I	K	∅	∅	∅	0	0	7	1	∅	∅	∅	301	³¹	ɦ	i	k	∅	∅	∅	_	H	I	K	∅	∅	∅	0	3	7	1	∅	∅	∅																							302	⁵⁵	-	i	k	∅	∅	∅	_	_	I	K	∅	∅	∅	0	0	7	1	∅	∅	∅	303	³¹	ɦ	i	k	∅	∅	∅	_	H	I	K	∅	∅	∅	0	3	7	1	∅	∅	∅																						
1	0.3333	3	1.0000	788																																													304	m	∅	∅	∅	a	¹¹	∅	M	∅	∅	∅	A	_	∅	4	∅	∅	∅	7	0	∅																							305	m	∅	∅	∅	a	³³	∅	M	∅	∅	∅	A	_	∅	4	∅	∅	∅	7	0	∅	306	m̥	∅	∅	∅	a	¹¹	∅	M	∅	∅	∅	A	_	∅	4	∅	∅	∅	7	0	∅																							307	m	∅	∅	∅	ɛ	³³	∅	M	∅	∅	∅	E	_	∅	4	∅	∅	∅	7	0	∅
2	0.6667	2	0.6667	788																																													304	a	m	∅	∅	¹¹	∅	∅	A	M	∅	∅	_	∅	∅	7	4	∅	∅	0	∅	∅																							305	a	m	∅	∅	³³	∅	∅	A	M	∅	∅	_	∅	∅	7	4	∅	∅	0	∅	∅	306	a	m̥	∅	∅	¹¹	∅	∅	A	M	∅	∅	_	∅	∅	7	4	∅	∅	0	∅	∅																							307	ɛ	m	∅	∅	³³	∅	∅	E	M	∅	∅	_	∅	∅	7	4	∅	∅	0	∅	∅
3	1.0000	1	0.3333	788																																													304	¹¹	a	m	∅	∅	∅	∅	_	A	M	∅	∅	∅	∅	0	7	4	∅	∅	∅	∅																							305	³³	a	m	∅	∅	∅	∅	_	A	M	∅	∅	∅	∅	0	7	4	∅	∅	∅	∅	306	¹¹	a	m̥	∅	∅	∅	∅	_	A	M	∅	∅	∅	∅	0	7	4	∅	∅	∅	∅																							307	³³	ɛ	m	∅	∅	∅	∅	_	E	M	∅	∅	∅	∅	0	7	4	∅	∅	∅	∅
1	0.3333	3	1.0000	789																																																																																																															308	s	∅	∅	∅	ə	⁰	∅	S	∅	∅	∅	E	_	∅	3	∅	∅	∅	7	0	∅																							309	θ	∅	∅	∅	ə	³³	∅	D	∅	∅	∅	E	_	∅	3	∅	∅	∅	7	0	∅
2	0.6667	2	0.6667	789																																																																																																															308	ə	s	∅	∅	⁰	∅	∅	E	S	∅	∅	_	∅	∅	7	3	∅	∅	0	∅	∅																							309	ə	θ	∅	∅	³³	∅	∅	E	D	∅	∅	_	∅	∅	7	3	∅	∅	0	∅	∅
3	1.0000	1	0.3333	789																																																																																																															308	⁰	ə	s	∅	∅	∅	∅	_	E	S	∅	∅	∅	∅	0	7	3	∅	∅	∅	∅																							309	³³	ə	θ	∅	∅	∅	∅	_	E	D	∅	∅	∅	∅	0	7	3	∅	∅	∅	∅
1	0.3333	3	1.0000	800	310	k	∅	∅	∅	ɛ	³³	∅	K	∅	∅	∅	E	_	∅	1	∅	∅	∅	7	0	∅																							311	k	∅	∅	∅	i	¹¹	∅	K	∅	∅	∅	I	_	∅	1	∅	∅	∅	7	0	∅																																													312	k	∅	∅	∅	ə	⁰	∅	K	∅	∅	∅	E	_	∅	1	∅	∅	∅	7	0	∅																							313	k	∅	∅	∅	ə	⁵⁵	∅	K	∅	∅	∅	E	_	∅	1	∅	∅	∅	7	0	∅
2	0.6667	2	0.6667	800	310	ɛ	k	∅	∅	³³	∅	∅	E	K	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																							311	i	k	∅	∅	¹¹	∅	∅	I	K	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																																													312	ə	k	∅	∅	⁰	∅	∅	E	K	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																							313	ə	k	∅	∅	⁵⁵	∅	∅	E	K	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅
3	1.0000	1	0.3333	800	310	³³	ɛ	k	∅	∅	∅	∅	_	E	K	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																							311	¹¹	i	k	∅	∅	∅	∅	_	I	K	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																																													312	⁰	ə	k	∅	∅	∅	∅	_	E	K	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																							313	⁵⁵	ə	k	∅	∅	∅	∅	_	E	K	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅
1	0.3333	3	1.0000	801	314	n	∅	∅	∅	i	³³	∅	N	∅	∅	∅	I	_	∅	4	∅	∅	∅	7	0	∅																							315	n	∅	∅	∅	i	⁵⁵	∅	N	∅	∅	∅	I	_	∅	4	∅	∅	∅	7	0	∅																							316	n	∅	∅	∅	ei	³⁵	∅	N	∅	∅	∅	E	_	∅	4	∅	∅	∅	7	0	∅	317	n̥	∅	∅	∅	i	⁵⁵	∅	N	∅	∅	∅	I	_	∅	4	∅	∅	∅	7	0	∅																							318	n	∅	∅	∅	i	⁵⁵	∅	N	∅	∅	∅	I	_	∅	4	∅	∅	∅	7	0	∅
2	0.6667	2	0.6667	801	314	i	n	∅	∅	³³	∅	∅	I	N	∅	∅	_	∅	∅	7	4	∅	∅	0	∅	∅																							315	i	n	∅	∅	⁵⁵	∅	∅	I	N	∅	∅	_	∅	∅	7	4	∅	∅	0	∅	∅																							316	ei	n	∅	∅	³⁵	∅	∅	E	N	∅	∅	_	∅	∅	7	4	∅	∅	0	∅	∅	317	i	n̥	∅	∅	⁵⁵	∅	∅	I	N	∅	∅	_	∅	∅	7	4	∅	∅	0	∅	∅																							318	i	n	∅	∅	⁵⁵	∅	∅	I	N	∅	∅	_	∅	∅	7	4	∅	∅	0	∅	∅
3	1.0000	1	0.3333	801	314	³³	i	n	∅	∅	∅	∅	_	I	N	∅	∅	∅	∅	0	7	4	∅	∅	∅	∅																							315	⁵⁵	i	n	∅	∅	∅	∅	_	I	N	∅	∅	∅	∅	0	7	4	∅	∅	∅	∅																							316	³⁵	ei	n	∅	∅	∅	∅	_	E	N	∅	∅	∅	∅	0	7	4	∅	∅	∅	∅	317	⁵⁵	i	n̥	∅	∅	∅	∅	_	I	N	∅	∅	∅	∅	0	7	4	∅	∅	∅	∅																							318	⁵⁵	i	n	∅	∅	∅	∅	_	I	N	∅	∅	∅	∅	0	7	4	∅	∅	∅	∅
1	0.2500	4	1.0000	815	319	kʰ	∅	∅	∅	ɛ	-	³³	K	∅	∅	∅	E	_	_	1	∅	∅	∅	7	0	0																							320	kʰ	∅	∅	∅	ɔ	-	⁵⁵	K	∅	∅	∅	U	_	_	1	∅	∅	∅	7	0	0																							321	kʰ	∅	∅	∅	ɛ̃	-	³⁵	K	∅	∅	∅	E	_	_	1	∅	∅	∅	7	0	0	322	kʰ	∅	∅	∅	a	ɴ	⁵⁵	K	∅	∅	∅	A	N	_	1	∅	∅	∅	7	4	0																																												
2	0.5000	3	0.7500	815	319	ɛ	kʰ	∅	∅	-	³³	∅	E	K	∅	∅	_	_	∅	7	1	∅	∅	0	0	∅																							320	ɔ	kʰ	∅	∅	-	⁵⁵	∅	U	K	∅	∅	_	_	∅	7	1	∅	∅	0	0	∅																							321	ɛ̃	kʰ	∅	∅	-	³⁵	∅	E	K	∅	∅	_	_	∅	7	1	∅	∅	0	0	∅	322	a	kʰ	∅	∅	ɴ	⁵⁵	∅	A	K	∅	∅	N	_	∅	7	1	∅	∅	4	0	∅																																												
3	0.7500	2	0.5000	815	319	-	ɛ	kʰ	∅	³³	∅	∅	_	E	K	∅	_	∅	∅	0	7	1	∅	0	∅	∅																							320	-	ɔ	kʰ	∅	⁵⁵	∅	∅	_	U	K	∅	_	∅	∅	0	7	1	∅	0	∅	∅																							321	-	ɛ̃	kʰ	∅	³⁵	∅	∅	_	E	K	∅	_	∅	∅	0	7	1	∅	0	∅	∅	322	ɴ	a	kʰ	∅	⁵⁵	∅	∅	N	A	K	∅	_	∅	∅	4	7	1	∅	0	∅	∅																																												
4	1.0000	1	0.2500	815	319	³³	-	ɛ	kʰ	∅	∅	∅	_	_	E	K	∅	∅	∅	0	0	7	1	∅	∅	∅																							320	⁵⁵	-	ɔ	kʰ	∅	∅	∅	_	_	U	K	∅	∅	∅	0	0	7	1	∅	∅	∅																							321	³⁵	-	ɛ̃	kʰ	∅	∅	∅	_	_	E	K	∅	∅	∅	0	0	7	1	∅	∅	∅	322	⁵⁵	ɴ	a	kʰ	∅	∅	∅	_	N	A	K	∅	∅	∅	0	4	7	1	∅	∅	∅																																												
1	0.2500	4	1.0000	823	323	kʰ	∅	∅	∅	l	ə	¹¹	K	∅	∅	∅	L	E	_	1	∅	∅	∅	5	7	0																							324	kʰ	∅	∅	∅	l	i	¹¹	K	∅	∅	∅	L	I	_	1	∅	∅	∅	5	7	0	325	kʰ	∅	∅	∅	l	i	⁵⁵	K	∅	∅	∅	L	I	_	1	∅	∅	∅	5	7	0	326	kʰ	∅	∅	∅	l	ei	³³	K	∅	∅	∅	L	E	_	1	∅	∅	∅	5	7	0	327	kʰ	∅	∅	∅	l	ei	¹¹	K	∅	∅	∅	L	E	_	1	∅	∅	∅	5	7	0	328	kʰ	∅	∅	∅	l	i	³³	K	∅	∅	∅	L	I	_	1	∅	∅	∅	5	7	0	329	kʰ	∅	∅	∅	l	i	³³	K	∅	∅	∅	L	I	_	1	∅	∅	∅	5	7	0
2	0.5000	3	0.7500	823	323	l	kʰ	∅	∅	ə	¹¹	∅	L	K	∅	∅	E	_	∅	5	1	∅	∅	7	0	∅																							324	l	kʰ	∅	∅	i	¹¹	∅	L	K	∅	∅	I	_	∅	5	1	∅	∅	7	0	∅	325	l	kʰ	∅	∅	i	⁵⁵	∅	L	K	∅	∅	I	_	∅	5	1	∅	∅	7	0	∅	326	l	kʰ	∅	∅	ei	³³	∅	L	K	∅	∅	E	_	∅	5	1	∅	∅	7	0	∅	327	l	kʰ	∅	∅	ei	¹¹	∅	L	K	∅	∅	E	_	∅	5	1	∅	∅	7	0	∅	328	l	kʰ	∅	∅	i	³³	∅	L	K	∅	∅	I	_	∅	5	1	∅	∅	7	0	∅	329	l	kʰ	∅	∅	i	³³	∅	L	K	∅	∅	I	_	∅	5	1	∅	∅	7	0	∅
3	0.7500	2	0.5000	823	323	ə	l	kʰ	∅	¹¹	∅	∅	E	L	K	∅	_	∅	∅	7	5	1	∅	0	∅	∅																							324	i	l	kʰ	∅	¹¹	∅	∅	I	L	K	∅	_	∅	∅	7	5	1	∅	0	∅	∅	325	i	l	kʰ	∅	⁵⁵	∅	∅	I	L	K	∅	_	∅	∅	7	5	1	∅	0	∅	∅	326	ei	l	kʰ	∅	³³	∅	∅	E	L	K	∅	_	∅	∅	7	5	1	∅	0	∅	∅	327	ei	l	kʰ	∅	¹¹	∅	∅	E	L	K	∅	_	∅	∅	7	5	1	∅	0	∅	∅	328	i	l	kʰ	∅	³³	∅	∅	I	L	K	∅	_	∅	∅	7	5	1	∅	0	∅	∅	329	i	l	kʰ	∅	³³	∅	∅	I	L	K	∅	_	∅	∅	7	5	1	∅	0	∅	∅
4	1.0000	1	0.2500	823	323	¹¹	ə	l	kʰ	∅	∅	∅	_	E	L	K	∅	∅	∅	0	7	5	1	∅	∅	∅																							324	¹¹	i	l	kʰ	∅	∅	∅	_	I	L	K	∅	∅	∅	0	7	5	1	∅	∅	∅	325	⁵⁵	i	l	kʰ	∅	∅	∅	_	I	L	K	∅	∅	∅	0	7	5	1	∅	∅	∅	326	³³	ei	l	kʰ	∅	∅	∅	_	E	L	K	∅	∅	∅	0	7	5	1	∅	∅	∅	327	¹¹	ei	l	kʰ	∅	∅	∅	_	E	L	K	∅	∅	∅	0	7	5	1	∅	∅	∅	328	³³	i	l	kʰ	∅	∅	∅	_	I	L	K	∅	∅	∅	0	7	5	1	∅	∅	∅	329	³³	i	l	kʰ	∅	∅	∅	_	I	L	K	∅	∅	∅	0	7	5	1	∅	∅	∅
1	0.3333	3	1.0000	835	330	ʔ	∅	∅	∅	u	¹¹	∅	H	∅	∅	∅	Y	_	∅	1	∅	∅	∅	7	0	∅																							331	ʔ	∅	∅	∅	u	¹¹	∅	H	∅	∅	∅	Y	_	∅	1	∅	∅	∅	7	0	∅	332	ʔ	∅	∅	∅	o	⁵⁵	∅	H	∅	∅	∅	U	_	∅	1	∅	∅	∅	7	0	∅	333	ʔ	∅	∅	∅	u	³³	∅	H	∅	∅	∅	Y	_	∅	1	∅	∅	∅	7	0	∅	334	ʔ	∅	∅	∅	o	¹¹	∅	H	∅	∅	∅	U	_	∅	1	∅	∅	∅	7	0	∅	335	ʔ	∅	∅	∅	o	³³	∅	H	∅	∅	∅	U	_	∅	1	∅	∅	∅	7	0	∅	336	-	∅	∅	∅	o	³³	∅	_	∅	∅	∅	U	_	∅	0	∅	∅	∅	7	0	∅
2	0.6667	2	0.6667	835	330	u	ʔ	∅	∅	¹¹	∅	∅	Y	H	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																							331	u	ʔ	∅	∅	¹¹	∅	∅	Y	H	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅	332	o	ʔ	∅	∅	⁵⁵	∅	∅	U	H	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅	333	u	ʔ	∅	∅	³³	∅	∅	Y	H	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅	334	o	ʔ	∅	∅	¹¹	∅	∅	U	H	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅	335	o	ʔ	∅	∅	³³	∅	∅	U	H	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅	336	o	-	∅	∅	³³	∅	∅	U	_	∅	∅	_	∅	∅	7	0	∅	∅	0	∅	∅
3	1.0000	1	0.3333	835	330	¹¹	u	ʔ	∅	∅	∅	∅	_	Y	H	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																							331	¹¹	u	ʔ	∅	∅	∅	∅	_	Y	H	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅	332	⁵⁵	o	ʔ	∅	∅	∅	∅	_	U	H	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅	333	³³	u	ʔ	∅	∅	∅	∅	_	Y	H	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅	334	¹¹	o	ʔ	∅	∅	∅	∅	_	U	H	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅	335	³³	o	ʔ	∅	∅	∅	∅	_	U	H	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅	336	³³	o	-	∅	∅	∅	∅	_	U	_	∅	∅	∅	∅	0	7	0	∅	∅	∅	∅
1	0.2500	4	1.0000	848	337	n	∅	∅	∅	o	-	¹¹	N	∅	∅	∅	U	_	_	4	∅	∅	∅	7	0	0																							338	n	∅	∅	∅	o	-	¹¹	N	∅	∅	∅	U	_	_	4	∅	∅	∅	7	0	0																							339	n	∅	∅	∅	ɔ̃	-	³³	N	∅	∅	∅	U	_	_	4	∅	∅	∅	7	0	0	340	n̥	∅	∅	∅	ɔ	ɴ	¹¹	N	∅	∅	∅	U	N	_	4	∅	∅	∅	7	4	0																							341	n	∅	∅	∅	ʊ	-	³³	N	∅	∅	∅	Y	_	_	4	∅	∅	∅	7	0	0
2	0.5000	3	0.7500	848	337	o	n	∅	∅	-	¹¹	∅	U	N	∅	∅	_	_	∅	7	4	∅	∅	0	0	∅																							338	o	n	∅	∅	-	¹¹	∅	U	N	∅	∅	_	_	∅	7	4	∅	∅	0	0	∅																							339	ɔ̃	n	∅	∅	-	³³	∅	U	N	∅	∅	_	_	∅	7	4	∅	∅	0	0	∅	340	ɔ	n̥	∅	∅	ɴ	¹¹	∅	U	N	∅	∅	N	_	∅	7	4	∅	∅	4	0	∅																							341	ʊ	n	∅	∅	-	³³	∅	Y	N	∅	∅	_	_	∅	7	4	∅	∅	0	0	∅
3	0.7500	2	0.5000	848	337	-	o	n	∅	¹¹	∅	∅	_	U	N	∅	_	∅	∅	0	7	4	∅	0	∅	∅																							338	-	o	n	∅	¹¹	∅	∅	_	U	N	∅	_	∅	∅	0	7	4	∅	0	∅	∅																							339	-	ɔ̃	n	∅	³³	∅	∅	_	U	N	∅	_	∅	∅	0	7	4	∅	0	∅	∅	340	ɴ	ɔ	n̥	∅	¹¹	∅	∅	N	U	N	∅	_	∅	∅	4	7	4	∅	0	∅	∅																							341	-	ʊ	n	∅	³³	∅	∅	_	Y	N	∅	_	∅	∅	0	7	4	∅	0	∅	∅
4	1.0000	1	0.2500	848	337	¹¹	-	o	n	∅	∅	∅	_	_	U	N	∅	∅	∅	0	0	7	4	∅	∅	∅																							338	¹¹	-	o	n	∅	∅	∅	_	_	U	N	∅	∅	∅	0	0	7	4	∅	∅	∅																							339	³³	-	ɔ̃	n	∅	∅	∅	_	_	U	N	∅	∅	∅	0	0	7	4	∅	∅	∅	340	¹¹	ɴ	ɔ	n̥	∅	∅	∅	_	N	U	N	∅	∅	∅	0	4	7	4	∅	∅	∅																							341	³³	-	ʊ	n	∅	∅	∅	_	_	Y	N	∅	∅	∅	0	0	7	4	∅	∅	∅
1	0.3333	3	1.0000	849																																																																																																															342	k	∅	∅	∅	ə	⁰	∅	K	∅	∅	∅	E	_	∅	1	∅	∅	∅	7	0	∅																							343	k	∅	∅	∅	ə	³³	∅	K	∅	∅	∅	E	_	∅	1	∅	∅	∅	7	0	∅
2	0.6667	2	0.6667	849																																																																																																															342	ə	k	∅	∅	⁰	∅	∅	E	K	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																							343	ə	k	∅	∅	³³	∅	∅	E	K	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅
3	1.0000	1	0.3333	849																																																																																																															342	⁰	ə	k	∅	∅	∅	∅	_	E	K	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																							343	³³	ə	k	∅	∅	∅	∅	_	E	K	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅
1	0.2500	4	1.0000	859	344	d	∅	∅	∅	ə	-	³³	T	∅	∅	∅	E	_	_	1	∅	∅	∅	7	0	0																							345	d	∅	∅	∅	i	-	⁵⁵	T	∅	∅	∅	I	_	_	1	∅	∅	∅	7	0	0																							346	d	∅	∅	∅	ei	-	⁵⁵	T	∅	∅	∅	E	_	_	1	∅	∅	∅	7	0	0	347	ˀd	∅	∅	∅	ei	-	⁵⁵	T	∅	∅	∅	E	_	_	1	∅	∅	∅	7	0	0	348	d	∅	∅	∅	i	ɦ	³¹	T	∅	∅	∅	I	H	_	1	∅	∅	∅	7	3	0	349	ɗ	∅	∅	∅	i	-	⁵⁵	T	∅	∅	∅	I	_	_	1	∅	∅	∅	7	0	0
2	0.5000	3	0.7500	859	344	ə	d	∅	∅	-	³³	∅	E	T	∅	∅	_	_	∅	7	1	∅	∅	0	0	∅																							345	i	d	∅	∅	-	⁵⁵	∅	I	T	∅	∅	_	_	∅	7	1	∅	∅	0	0	∅																							346	ei	d	∅	∅	-	⁵⁵	∅	E	T	∅	∅	_	_	∅	7	1	∅	∅	0	0	∅	347	ei	ˀd	∅	∅	-	⁵⁵	∅	E	T	∅	∅	_	_	∅	7	1	∅	∅	0	0	∅	348	i	d	∅	∅	ɦ	³¹	∅	I	T	∅	∅	H	_	∅	7	1	∅	∅	3	0	∅	349	i	ɗ	∅	∅	-	⁵⁵	∅	I	T	∅	∅	_	_	∅	7	1	∅	∅	0	0	∅
