index	index_p	rindex	rindex_p	cogid	id_ClassicalNahuatl	segment_ClassicalNahuatl	segment_ClassicalNahuatl_L1	segment_ClassicalNahuatl_L2	segment_ClassicalNahuatl_L3	segment_ClassicalNahuatl_R1	segment_ClassicalNahuatl_R2	segment_ClassicalNahuatl_R3	SC_ClassicalNahuatl	SC_ClassicalNahuatl_L1	SC_ClassicalNahuatl_L2	SC_ClassicalNahuatl_L3	SC_ClassicalNahuatl_R1	SC_ClassicalNahuatl_R2	SC_ClassicalNahuatl_R3	PROSODY_ClassicalNahuatl	PROSODY_ClassicalNahuatl_L1	PROSODY_ClassicalNahuatl_L2	PROSODY_ClassicalNahuatl_L3	PROSODY_ClassicalNahuatl_R1	PROSODY_ClassicalNahuatl_R2	PROSODY_ClassicalNahuatl_R3	id_JalupaNahuat	segment_JalupaNahuat	segment_JalupaNahuat_L1	segment_JalupaNahuat_L2	segment_JalupaNahuat_L3	segment_JalupaNahuat_R1	segment_JalupaNahuat_R2	segment_JalupaNahuat_R3	SC_JalupaNahuat	SC_JalupaNahuat_L1	SC_JalupaNahuat_L2	SC_JalupaNahuat_L3	SC_JalupaNahuat_R1	SC_JalupaNahuat_R2	SC_JalupaNahuat_R3	PROSODY_JalupaNahuat	PROSODY_JalupaNahuat_L1	PROSODY_JalupaNahuat_L2	PROSODY_JalupaNahuat_L3	PROSODY_JalupaNahuat_R1	PROSODY_JalupaNahuat_R2	PROSODY_JalupaNahuat_R3	id_MecayapanNahuat	segment_MecayapanNahuat	segment_MecayapanNahuat_L1	segment_MecayapanNahuat_L2	segment_MecayapanNahuat_L3	segment_MecayapanNahuat_R1	segment_MecayapanNahuat_R2	segment_MecayapanNahuat_R3	SC_MecayapanNahuat	SC_MecayapanNahuat_L1	SC_MecayapanNahuat_L2	SC_MecayapanNahuat_L3	SC_MecayapanNahuat_R1	SC_MecayapanNahuat_R2	SC_MecayapanNahuat_R3	PROSODY_MecayapanNahuat	PROSODY_MecayapanNahuat_L1	PROSODY_MecayapanNahuat_L2	PROSODY_MecayapanNahuat_L3	PROSODY_MecayapanNahuat_R1	PROSODY_MecayapanNahuat_R2	PROSODY_MecayapanNahuat_R3	id_NorthPueblaNahuatl	segment_NorthPueblaNahuatl	segment_NorthPueblaNahuatl_L1	segment_NorthPueblaNahuatl_L2	segment_NorthPueblaNahuatl_L3	segment_NorthPueblaNahuatl_R1	segment_NorthPueblaNahuatl_R2	segment_NorthPueblaNahuatl_R3	SC_NorthPueblaNahuatl	SC_NorthPueblaNahuatl_L1	SC_NorthPueblaNahuatl_L2	SC_NorthPueblaNahuatl_L3	SC_NorthPueblaNahuatl_R1	SC_NorthPueblaNahuatl_R2	SC_NorthPueblaNahuatl_R3	PROSODY_NorthPueblaNahuatl	PROSODY_NorthPueblaNahuatl_L1	PROSODY_NorthPueblaNahuatl_L2	PROSODY_NorthPueblaNahuatl_L3	PROSODY_NorthPueblaNahuatl_R1	PROSODY_NorthPueblaNahuatl_R2	PROSODY_NorthPueblaNahuatl_R3	id_PajapanNahuat	segment_PajapanNahuat	segment_PajapanNahuat_L1	segment_PajapanNahuat_L2	segment_PajapanNahuat_L3	segment_PajapanNahuat_R1	segment_PajapanNahuat_R2	segment_PajapanNahuat_R3	SC_PajapanNahuat	SC_PajapanNahuat_L1	SC_PajapanNahuat_L2	SC_PajapanNahuat_L3	SC_PajapanNahuat_R1	SC_PajapanNahuat_R2	SC_PajapanNahuat_R3	PROSODY_PajapanNahuat	PROSODY_PajapanNahuat_L1	PROSODY_PajapanNahuat_L2	PROSODY_PajapanNahuat_L3	PROSODY_PajapanNahuat_R1	PROSODY_PajapanNahuat_R2	PROSODY_PajapanNahuat_R3	id_Pipil	segment_Pipil	segment_Pipil_L1	segment_Pipil_L2	segment_Pipil_L3	segment_Pipil_R1	segment_Pipil_R2	segment_Pipil_R3	SC_Pipil	SC_Pipil_L1	SC_Pipil_L2	SC_Pipil_L3	SC_Pipil_R1	SC_Pipil_R2	SC_Pipil_R3	PROSODY_Pipil	PROSODY_Pipil_L1	PROSODY_Pipil_L2	PROSODY_Pipil_L3	PROSODY_Pipil_R1	PROSODY_Pipil_R2	PROSODY_Pipil_R3	id_Pochutec	segment_Pochutec	segment_Pochutec_L1	segment_Pochutec_L2	segment_Pochutec_L3	segment_Pochutec_R1	segment_Pochutec_R2	segment_Pochutec_R3	SC_Pochutec	SC_Pochutec_L1	SC_Pochutec_L2	SC_Pochutec_L3	SC_Pochutec_R1	SC_Pochutec_R2	SC_Pochutec_R3	PROSODY_Pochutec	PROSODY_Pochutec_L1	PROSODY_Pochutec_L2	PROSODY_Pochutec_L3	PROSODY_Pochutec_R1	PROSODY_Pochutec_R2	PROSODY_Pochutec_R3	id_ProtoAztecan	segment_ProtoAztecan	segment_ProtoAztecan_L1	segment_ProtoAztecan_L2	segment_ProtoAztecan_L3	segment_ProtoAztecan_R1	segment_ProtoAztecan_R2	segment_ProtoAztecan_R3	SC_ProtoAztecan	SC_ProtoAztecan_L1	SC_ProtoAztecan_L2	SC_ProtoAztecan_L3	SC_ProtoAztecan_R1	SC_ProtoAztecan_R2	SC_ProtoAztecan_R3	PROSODY_ProtoAztecan	PROSODY_ProtoAztecan_L1	PROSODY_ProtoAztecan_L2	PROSODY_ProtoAztecan_L3	PROSODY_ProtoAztecan_R1	PROSODY_ProtoAztecan_R2	PROSODY_ProtoAztecan_R3	id_TetelcingoNahuatl	segment_TetelcingoNahuatl	segment_TetelcingoNahuatl_L1	segment_TetelcingoNahuatl_L2	segment_TetelcingoNahuatl_L3	segment_TetelcingoNahuatl_R1	segment_TetelcingoNahuatl_R2	segment_TetelcingoNahuatl_R3	SC_TetelcingoNahuatl	SC_TetelcingoNahuatl_L1	SC_TetelcingoNahuatl_L2	SC_TetelcingoNahuatl_L3	SC_TetelcingoNahuatl_R1	SC_TetelcingoNahuatl_R2	SC_TetelcingoNahuatl_R3	PROSODY_TetelcingoNahuatl	PROSODY_TetelcingoNahuatl_L1	PROSODY_TetelcingoNahuatl_L2	PROSODY_TetelcingoNahuatl_L3	PROSODY_TetelcingoNahuatl_R1	PROSODY_TetelcingoNahuatl_R2	PROSODY_TetelcingoNahuatl_R3
5	0.4545	7	0.6364	84	100	-	-	tʃ	i	+	-	i	_	_	T	I	_	_	I	0	0	1	7	0	0	7																																													101	-	i	tʃ	i	-	-	-	_	I	T	I	_	_	_	0	7	1	7	0	0	0																							102	n	i	tʃ	i	-	-	-	N	I	T	I	_	_	_	4	7	1	7	0	0	0	103	m	o	tʃ	i	-	-	-	M	U	T	I	_	_	_	4	7	1	7	0	0	0	104	-	-	-	ɨ	+	tʃ	ɨ	_	_	_	I	_	T	I	0	0	0	7	0	1	7	105	-	iː	tʃ	iː	-	-	-	_	I	T	I	_	_	_	0	7	1	7	0	0	0
6	0.5455	6	0.5455	84	100	+	-	-	tʃ	-	i	n	_	_	_	T	_	I	N	0	0	0	1	0	7	4																																													101	-	-	i	tʃ	-	-	-	_	_	I	T	_	_	_	0	0	7	1	0	0	0																							102	-	n	i	tʃ	-	-	-	_	N	I	T	_	_	_	0	4	7	1	0	0	0	103	-	m	o	tʃ	-	-	-	_	M	U	T	_	_	_	0	4	7	1	0	0	0	104	+	-	-	-	tʃ	ɨ	-	_	_	_	_	T	I	_	0	0	0	0	1	7	0	105	-	-	iː	tʃ	-	-	-	_	_	I	T	_	_	_	0	0	7	1	0	0	0
7	0.6364	5	0.4545	84	100	-	+	-	-	i	n	-	_	_	_	_	I	N	_	0	0	0	0	7	4	0																																													101	-	-	-	i	-	-	-	_	_	_	I	_	_	_	0	0	0	7	0	0	0																							102	-	-	n	i	-	-	-	_	_	N	I	_	_	_	0	0	4	7	0	0	0	103	-	-	m	o	-	-	-	_	_	M	U	_	_	_	0	0	4	7	0	0	0	104	tʃ	+	-	-	ɨ	-	+	T	_	_	_	I	_	_	1	0	0	0	7	0	0	105	-	-	-	iː	-	-	-	_	_	_	I	_	_	_	0	0	0	7	0	0	0
8	0.7273	4	0.3636	84	100	i	-	+	-	n	-	-	I	_	_	_	N	_	_	7	0	0	0	4	0	0																																													101	-	-	-	-	-	-	-	_	_	_	_	_	_	_	0	0	0	0	0	0	0																							102	-	-	-	n	-	-	-	_	_	_	N	_	_	_	0	0	0	4	0	0	0	103	-	-	-	m	-	-	-	_	_	_	M	_	_	_	0	0	0	4	0	0	0	104	ɨ	tʃ	+	-	-	+	m	I	T	_	_	_	_	M	7	1	0	0	0	0	4	105	-	-	-	-	-	-	-	_	_	_	_	_	_	_	0	0	0	0	0	0	0
9	0.8182	3	0.2727	84	100	n	i	-	+	-	-	∅	N	I	_	_	_	_	∅	4	7	0	0	0	0	∅																																													101	-	-	-	-	-	-	∅	_	_	_	_	_	_	∅	0	0	0	0	0	0	∅																							102	-	-	-	-	-	-	∅	_	_	_	_	_	_	∅	0	0	0	0	0	0	∅	103	-	-	-	-	-	-	∅	_	_	_	_	_	_	∅	0	0	0	0	0	0	∅	104	-	ɨ	tʃ	+	+	m	∅	_	I	T	_	_	M	∅	0	7	1	0	0	4	∅	105	-	-	-	-	-	-	∅	_	_	_	_	_	_	∅	0	0	0	0	0	0	∅
10	0.9091	2	0.1818	84	100	-	n	i	-	-	∅	∅	_	N	I	_	_	∅	∅	0	4	7	0	0	∅	∅																																													101	-	-	-	-	-	∅	∅	_	_	_	_	_	∅	∅	0	0	0	0	0	∅	∅																							102	-	-	-	-	-	∅	∅	_	_	_	_	_	∅	∅	0	0	0	0	0	∅	∅	103	-	-	-	-	-	∅	∅	_	_	_	_	_	∅	∅	0	0	0	0	0	∅	∅	104	+	-	ɨ	tʃ	m	∅	∅	_	_	I	T	M	∅	∅	0	0	7	1	4	∅	∅	105	-	-	-	-	-	∅	∅	_	_	_	_	_	∅	∅	0	0	0	0	0	∅	∅
11	1.0000	1	0.0909	84	100	-	-	n	i	∅	∅	∅	_	_	N	I	∅	∅	∅	0	0	4	7	∅	∅	∅																																													101	-	-	-	-	∅	∅	∅	_	_	_	_	∅	∅	∅	0	0	0	0	∅	∅	∅																							102	-	-	-	-	∅	∅	∅	_	_	_	_	∅	∅	∅	0	0	0	0	∅	∅	∅	103	-	-	-	-	∅	∅	∅	_	_	_	_	∅	∅	∅	0	0	0	0	∅	∅	∅	104	m	+	-	ɨ	∅	∅	∅	M	_	_	I	∅	∅	∅	4	0	0	7	∅	∅	∅	105	-	-	-	-	∅	∅	∅	_	_	_	_	∅	∅	∅	0	0	0	0	∅	∅	∅
1	0.2000	5	1.0000	85																																													106	t	∅	∅	∅	oː	p	o	T	∅	∅	∅	U	P	U	1	∅	∅	∅	7	1	7																							107	t	∅	∅	∅	oː	p	o	T	∅	∅	∅	U	P	U	1	∅	∅	∅	7	1	7																																																																																								
2	0.4000	4	0.8000	85																																													106	oː	t	∅	∅	p	o	h	U	T	∅	∅	P	U	H	7	1	∅	∅	1	7	3																							107	oː	t	∅	∅	p	o	h	U	T	∅	∅	P	U	H	7	1	∅	∅	1	7	3																																																																																								
3	0.6000	3	0.6000	85																																													106	p	oː	t	∅	o	h	∅	P	U	T	∅	U	H	∅	1	7	1	∅	7	3	∅																							107	p	oː	t	∅	o	h	∅	P	U	T	∅	U	H	∅	1	7	1	∅	7	3	∅																																																																																								
4	0.8000	2	0.4000	85																																													106	o	p	oː	t	h	∅	∅	U	P	U	T	H	∅	∅	7	1	7	1	3	∅	∅																							107	o	p	oː	t	h	∅	∅	U	P	U	T	H	∅	∅	7	1	7	1	3	∅	∅																																																																																								
5	1.0000	1	0.2000	85																																													106	h	o	p	oː	∅	∅	∅	H	U	P	U	∅	∅	∅	3	7	1	7	∅	∅	∅																							107	h	o	p	oː	∅	∅	∅	H	U	P	U	∅	∅	∅	3	7	1	7	∅	∅	∅																																																																																								
1	0.2000	5	1.0000	88	108	-	∅	∅	∅	kx	i	+	_	∅	∅	∅	K	I	_	0	∅	∅	∅	1	7	0	109	i	∅	∅	∅	kx	i	-	I	∅	∅	∅	K	I	_	7	∅	∅	∅	1	7	0	110	i	∅	∅	∅	kx	i	-	I	∅	∅	∅	K	I	_	7	∅	∅	∅	1	7	0	111	i	∅	∅	∅	kx	i	-	I	∅	∅	∅	K	I	_	7	∅	∅	∅	1	7	0	112	i	∅	∅	∅	kx	i	-	I	∅	∅	∅	K	I	_	7	∅	∅	∅	1	7	0	113	-	∅	∅	∅	kx	i	-	_	∅	∅	∅	K	I	_	0	∅	∅	∅	1	7	0																							114	ɨ	∅	∅	∅	kx	ɨ	-	I	∅	∅	∅	K	I	_	7	∅	∅	∅	1	7	0	115	i	∅	∅	∅	kx	iː	-	I	∅	∅	∅	K	I	_	7	∅	∅	∅	1	7	0
2	0.4000	4	0.8000	88	108	kx	-	∅	∅	i	+	tɬ	K	_	∅	∅	I	_	T	1	0	∅	∅	7	0	1	109	kx	i	∅	∅	i	-	-	K	I	∅	∅	I	_	_	1	7	∅	∅	7	0	0	110	kx	i	∅	∅	i	-	-	K	I	∅	∅	I	_	_	1	7	∅	∅	7	0	0	111	kx	i	∅	∅	i	-	-	K	I	∅	∅	I	_	_	1	7	∅	∅	7	0	0	112	kx	i	∅	∅	i	-	-	K	I	∅	∅	I	_	_	1	7	∅	∅	7	0	0	113	kx	-	∅	∅	i	-	-	K	_	∅	∅	I	_	_	1	0	∅	∅	7	0	0																							114	kx	ɨ	∅	∅	ɨ	-	-	K	I	∅	∅	I	_	_	1	7	∅	∅	7	0	0	115	kx	i	∅	∅	iː	-	-	K	I	∅	∅	I	_	_	1	7	∅	∅	7	0	0
3	0.6000	3	0.6000	88	108	i	kx	-	∅	+	tɬ	∅	I	K	_	∅	_	T	∅	7	1	0	∅	0	1	∅	109	i	kx	i	∅	-	-	∅	I	K	I	∅	_	_	∅	7	1	7	∅	0	0	∅	110	i	kx	i	∅	-	-	∅	I	K	I	∅	_	_	∅	7	1	7	∅	0	0	∅	111	i	kx	i	∅	-	-	∅	I	K	I	∅	_	_	∅	7	1	7	∅	0	0	∅	112	i	kx	i	∅	-	-	∅	I	K	I	∅	_	_	∅	7	1	7	∅	0	0	∅	113	i	kx	-	∅	-	-	∅	I	K	_	∅	_	_	∅	7	1	0	∅	0	0	∅																							114	ɨ	kx	ɨ	∅	-	-	∅	I	K	I	∅	_	_	∅	7	1	7	∅	0	0	∅	115	iː	kx	i	∅	-	-	∅	I	K	I	∅	_	_	∅	7	1	7	∅	0	0	∅
4	0.8000	2	0.4000	88	108	+	i	kx	-	tɬ	∅	∅	_	I	K	_	T	∅	∅	0	7	1	0	1	∅	∅	109	-	i	kx	i	-	∅	∅	_	I	K	I	_	∅	∅	0	7	1	7	0	∅	∅	110	-	i	kx	i	-	∅	∅	_	I	K	I	_	∅	∅	0	7	1	7	0	∅	∅	111	-	i	kx	i	-	∅	∅	_	I	K	I	_	∅	∅	0	7	1	7	0	∅	∅	112	-	i	kx	i	-	∅	∅	_	I	K	I	_	∅	∅	0	7	1	7	0	∅	∅	113	-	i	kx	-	-	∅	∅	_	I	K	_	_	∅	∅	0	7	1	0	0	∅	∅																							114	-	ɨ	kx	ɨ	-	∅	∅	_	I	K	I	_	∅	∅	0	7	1	7	0	∅	∅	115	-	iː	kx	i	-	∅	∅	_	I	K	I	_	∅	∅	0	7	1	7	0	∅	∅
5	1.0000	1	0.2000	88	108	tɬ	+	i	kx	∅	∅	∅	T	_	I	K	∅	∅	∅	1	0	7	1	∅	∅	∅	109	-	-	i	kx	∅	∅	∅	_	_	I	K	∅	∅	∅	0	0	7	1	∅	∅	∅	110	-	-	i	kx	∅	∅	∅	_	_	I	K	∅	∅	∅	0	0	7	1	∅	∅	∅	111	-	-	i	kx	∅	∅	∅	_	_	I	K	∅	∅	∅	0	0	7	1	∅	∅	∅	112	-	-	i	kx	∅	∅	∅	_	_	I	K	∅	∅	∅	0	0	7	1	∅	∅	∅	113	-	-	i	kx	∅	∅	∅	_	_	I	K	∅	∅	∅	0	0	7	1	∅	∅	∅																							114	-	-	ɨ	kx	∅	∅	∅	_	_	I	K	∅	∅	∅	0	0	7	1	∅	∅	∅	115	-	-	iː	kx	∅	∅	∅	_	_	I	K	∅	∅	∅	0	0	7	1	∅	∅	∅
1	0.1111	9	1.0000	90	116	t	∅	∅	∅	eː	-	n	T	∅	∅	∅	E	_	N	1	∅	∅	∅	7	0	4																							117	t	∅	∅	∅	eː	-	n	T	∅	∅	∅	E	_	N	1	∅	∅	∅	7	0	4	118	t	∅	∅	∅	e	-	n	T	∅	∅	∅	E	_	N	1	∅	∅	∅	7	0	4	119	t	∅	∅	∅	eː	-	n	T	∅	∅	∅	E	_	N	1	∅	∅	∅	7	0	4	120	t	∅	∅	∅	eː	-	n	T	∅	∅	∅	E	_	N	1	∅	∅	∅	7	0	4																							121	t	∅	∅	∅	eː	-	n	T	∅	∅	∅	E	_	N	1	∅	∅	∅	7	0	4	122	t	∅	∅	∅	i	e	n	T	∅	∅	∅	I	E	N	1	∅	∅	∅	7	7	4
2	0.2222	8	0.8889	90	116	eː	t	∅	∅	-	n	+	E	T	∅	∅	_	N	_	7	1	∅	∅	0	4	0																							117	eː	t	∅	∅	-	n	+	E	T	∅	∅	_	N	_	7	1	∅	∅	0	4	0	118	e	t	∅	∅	-	n	+	E	T	∅	∅	_	N	_	7	1	∅	∅	0	4	0	119	eː	t	∅	∅	-	n	+	E	T	∅	∅	_	N	_	7	1	∅	∅	0	4	0	120	eː	t	∅	∅	-	n	+	E	T	∅	∅	_	N	_	7	1	∅	∅	0	4	0																							121	eː	t	∅	∅	-	n	+	E	T	∅	∅	_	N	_	7	1	∅	∅	0	4	0	122	i	t	∅	∅	e	n	+	I	T	∅	∅	E	N	_	7	1	∅	∅	7	4	0
3	0.3333	7	0.7778	90	116	-	eː	t	∅	n	+	t	_	E	T	∅	N	_	T	0	7	1	∅	4	0	1																							117	-	eː	t	∅	n	+	t	_	E	T	∅	N	_	T	0	7	1	∅	4	0	1	118	-	e	t	∅	n	+	t	_	E	T	∅	N	_	T	0	7	1	∅	4	0	1	119	-	eː	t	∅	n	+	t	_	E	T	∅	N	_	T	0	7	1	∅	4	0	1	120	-	eː	t	∅	n	+	t	_	E	T	∅	N	_	T	0	7	1	∅	4	0	1																							121	-	eː	t	∅	n	+	t	_	E	T	∅	N	_	T	0	7	1	∅	4	0	1	122	e	i	t	∅	n	+	t	E	I	T	∅	N	_	T	7	7	1	∅	4	0	1
4	0.4444	6	0.6667	90	116	n	-	eː	t	+	t	o	N	_	E	T	_	T	U	4	0	7	1	0	1	7																							117	n	-	eː	t	+	t	o	N	_	E	T	_	T	U	4	0	7	1	0	1	7	118	n	-	e	t	+	t	o	N	_	E	T	_	T	U	4	0	7	1	0	1	7	119	n	-	eː	t	+	t	o	N	_	E	T	_	T	U	4	0	7	1	0	1	7	120	n	-	eː	t	+	t	u	N	_	E	T	_	T	Y	4	0	7	1	0	1	7																							121	n	-	eː	t	+	t	o	N	_	E	T	_	T	U	4	0	7	1	0	1	7	122	n	e	i	t	+	t	iː	N	E	I	T	_	T	I	4	7	7	1	0	1	7
5	0.5556	5	0.5556	90	116	+	n	-	eː	t	o	k	_	N	_	E	T	U	K	0	4	0	7	1	7	1																							117	+	n	-	eː	t	o	ʔ	_	N	_	E	T	U	H	0	4	0	7	1	7	1	118	+	n	-	e	t	o	k	_	N	_	E	T	U	K	0	4	0	7	1	7	1	119	+	n	-	eː	t	o	k	_	N	_	E	T	U	K	0	4	0	7	1	7	1	120	+	n	-	eː	t	u	k	_	N	_	E	T	Y	K	0	4	0	7	1	7	1																							121	+	n	-	eː	t	o	k	_	N	_	E	T	U	K	0	4	0	7	1	7	1	122	+	n	e	i	t	iː	k	_	N	E	I	T	I	K	0	4	7	7	1	7	1
6	0.6667	4	0.4444	90	116	t	+	n	-	o	k	-	T	_	N	_	U	K	_	1	0	4	0	7	1	0																							117	t	+	n	-	o	ʔ	-	T	_	N	_	U	H	_	1	0	4	0	7	1	0	118	t	+	n	-	o	k	-	T	_	N	_	U	K	_	1	0	4	0	7	1	0	119	t	+	n	-	o	k	-	T	_	N	_	U	K	_	1	0	4	0	7	1	0	120	t	+	n	-	u	k	-	T	_	N	_	Y	K	_	1	0	4	0	7	1	0																							121	t	+	n	-	o	k	-	T	_	N	_	U	K	_	1	0	4	0	7	1	0	122	t	+	n	e	iː	k	a	T	_	N	E	I	K	A	1	0	4	7	7	1	7
7	0.7778	3	0.3333	90	116	o	t	+	n	k	-	∅	U	T	_	N	K	_	∅	7	1	0	4	1	0	∅																							117	o	t	+	n	ʔ	-	∅	U	T	_	N	H	_	∅	7	1	0	4	1	0	∅	118	o	t	+	n	k	-	∅	U	T	_	N	K	_	∅	7	1	0	4	1	0	∅	119	o	t	+	n	k	-	∅	U	T	_	N	K	_	∅	7	1	0	4	1	0	∅	120	u	t	+	n	k	-	∅	Y	T	_	N	K	_	∅	7	1	0	4	1	0	∅																							121	o	t	+	n	k	-	∅	U	T	_	N	K	_	∅	7	1	0	4	1	0	∅	122	iː	t	+	n	k	a	∅	I	T	_	N	K	A	∅	7	1	0	4	1	7	∅
8	0.8889	2	0.2222	90	116	k	o	t	+	-	∅	∅	K	U	T	_	_	∅	∅	1	7	1	0	0	∅	∅																							117	ʔ	o	t	+	-	∅	∅	H	U	T	_	_	∅	∅	1	7	1	0	0	∅	∅	118	k	o	t	+	-	∅	∅	K	U	T	_	_	∅	∅	1	7	1	0	0	∅	∅	119	k	o	t	+	-	∅	∅	K	U	T	_	_	∅	∅	1	7	1	0	0	∅	∅	120	k	u	t	+	-	∅	∅	K	Y	T	_	_	∅	∅	1	7	1	0	0	∅	∅																							121	k	o	t	+	-	∅	∅	K	U	T	_	_	∅	∅	1	7	1	0	0	∅	∅	122	k	iː	t	+	a	∅	∅	K	I	T	_	A	∅	∅	1	7	1	0	7	∅	∅
9	1.0000	1	0.1111	90	116	-	k	o	t	∅	∅	∅	_	K	U	T	∅	∅	∅	0	1	7	1	∅	∅	∅																							117	-	ʔ	o	t	∅	∅	∅	_	H	U	T	∅	∅	∅	0	1	7	1	∅	∅	∅	118	-	k	o	t	∅	∅	∅	_	K	U	T	∅	∅	∅	0	1	7	1	∅	∅	∅	119	-	k	o	t	∅	∅	∅	_	K	U	T	∅	∅	∅	0	1	7	1	∅	∅	∅	120	-	k	u	t	∅	∅	∅	_	K	Y	T	∅	∅	∅	0	1	7	1	∅	∅	∅																							121	-	k	o	t	∅	∅	∅	_	K	U	T	∅	∅	∅	0	1	7	1	∅	∅	∅	122	a	k	iː	t	∅	∅	∅	A	K	I	T	∅	∅	∅	7	1	7	1	∅	∅	∅
1	0.1250	8	1.0000	93	123	k	∅	∅	∅	w	a	l	K	∅	∅	∅	W	A	L	1	∅	∅	∅	6	7	5																																													124	k	∅	∅	∅	w	a	l	K	∅	∅	∅	W	A	L	1	∅	∅	∅	6	7	5																																																																																									125	k	∅	∅	∅	w	a	l	K	∅	∅	∅	W	A	L	1	∅	∅	∅	6	7	5
2	0.2500	7	0.8750	93	123	w	k	∅	∅	a	l	-	W	K	∅	∅	A	L	_	6	1	∅	∅	7	5	0																																													124	w	k	∅	∅	a	l	i	W	K	∅	∅	A	L	I	6	1	∅	∅	7	5	7																																																																																									125	w	k	∅	∅	a	l	iː	W	K	∅	∅	A	L	I	6	1	∅	∅	7	5	7
3	0.3750	6	0.7500	93	123	a	w	k	∅	l	-	+	A	W	K	∅	L	_	_	7	6	1	∅	5	0	0																																													124	a	w	k	∅	l	i	-	A	W	K	∅	L	I	_	7	6	1	∅	5	7	0																																																																																									125	a	w	k	∅	l	iː	-	A	W	K	∅	L	I	_	7	6	1	∅	5	7	0
4	0.5000	5	0.6250	93	123	l	a	w	k	-	+	l	L	A	W	K	_	_	L	5	7	6	1	0	0	5																																													124	l	a	w	k	i	-	-	L	A	W	K	I	_	_	5	7	6	1	7	0	0																																																																																									125	l	a	w	k	iː	-	-	L	A	W	K	I	_	_	5	7	6	1	7	0	0
5	0.6250	4	0.5000	93	123	-	l	a	w	+	l	i	_	L	A	W	_	L	I	0	5	7	6	0	5	7																																													124	i	l	a	w	-	-	-	I	L	A	W	_	_	_	7	5	7	6	0	0	0																																																																																									125	iː	l	a	w	-	-	-	I	L	A	W	_	_	_	7	5	7	6	0	0	0
6	0.7500	3	0.3750	93	123	+	-	l	a	l	i	∅	_	_	L	A	L	I	∅	0	0	5	7	5	7	∅																																													124	-	i	l	a	-	-	∅	_	I	L	A	_	_	∅	0	7	5	7	0	0	∅																																																																																									125	-	iː	l	a	-	-	∅	_	I	L	A	_	_	∅	0	7	5	7	0	0	∅
7	0.8750	2	0.2500	93	123	l	+	-	l	i	∅	∅	L	_	_	L	I	∅	∅	5	0	0	5	7	∅	∅																																													124	-	-	i	l	-	∅	∅	_	_	I	L	_	∅	∅	0	0	7	5	0	∅	∅																																																																																									125	-	-	iː	l	-	∅	∅	_	_	I	L	_	∅	∅	0	0	7	5	0	∅	∅
8	1.0000	1	0.1250	93	123	i	l	+	-	∅	∅	∅	I	L	_	_	∅	∅	∅	7	5	0	0	∅	∅	∅																																													124	-	-	-	i	∅	∅	∅	_	_	_	I	∅	∅	∅	0	0	0	7	∅	∅	∅																																																																																									125	-	-	-	iː	∅	∅	∅	_	_	_	I	∅	∅	∅	0	0	0	7	∅	∅	∅
1	0.1667	6	1.0000	94																							126	j	∅	∅	∅	e	k	+	J	∅	∅	∅	E	K	_	6	∅	∅	∅	7	1	0	127	j	∅	∅	∅	eː	k	+	J	∅	∅	∅	E	K	_	6	∅	∅	∅	7	1	0																							128	j	∅	∅	∅	e	k	+	J	∅	∅	∅	E	K	_	6	∅	∅	∅	7	1	0	129	j	∅	∅	∅	eː	k	-	J	∅	∅	∅	E	K	_	6	∅	∅	∅	7	1	0																							130	j	∅	∅	∅	eː	k	+	J	∅	∅	∅	E	K	_	6	∅	∅	∅	7	1	0																						
2	0.3333	5	0.8333	94																							126	e	j	∅	∅	k	+	t	E	J	∅	∅	K	_	T	7	6	∅	∅	1	0	1	127	eː	j	∅	∅	k	+	t	E	J	∅	∅	K	_	T	7	6	∅	∅	1	0	1																							128	e	j	∅	∅	k	+	t	E	J	∅	∅	K	_	T	7	6	∅	∅	1	0	1	129	eː	j	∅	∅	k	-	-	E	J	∅	∅	K	_	_	7	6	∅	∅	1	0	0																							130	eː	j	∅	∅	k	+	tɬ	E	J	∅	∅	K	_	T	7	6	∅	∅	1	0	1																						
3	0.5000	4	0.6667	94																							126	k	e	j	∅	+	t	i	K	E	J	∅	_	T	I	1	7	6	∅	0	1	7	127	k	eː	j	∅	+	t	i	K	E	J	∅	_	T	I	1	7	6	∅	0	1	7																							128	k	e	j	∅	+	t	i	K	E	J	∅	_	T	I	1	7	6	∅	0	1	7	129	k	eː	j	∅	-	-	-	K	E	J	∅	_	_	_	1	7	6	∅	0	0	0																							130	k	eː	j	∅	+	tɬ	ɨ	K	E	J	∅	_	T	I	1	7	6	∅	0	1	7																						
4	0.6667	3	0.5000	94																							126	+	k	e	j	t	i	∅	_	K	E	J	T	I	∅	0	1	7	6	1	7	∅	127	+	k	eː	j	t	i	∅	_	K	E	J	T	I	∅	0	1	7	6	1	7	∅																							128	+	k	e	j	t	i	∅	_	K	E	J	T	I	∅	0	1	7	6	1	7	∅	129	-	k	eː	j	-	-	∅	_	K	E	J	_	_	∅	0	1	7	6	0	0	∅																							130	+	k	eː	j	tɬ	ɨ	∅	_	K	E	J	T	I	∅	0	1	7	6	1	7	∅																						
