index	index_p	rindex	rindex_p	cogid	id_ClassicalNahuatl	segment_ClassicalNahuatl	segment_ClassicalNahuatl_L1	segment_ClassicalNahuatl_L2	segment_ClassicalNahuatl_L3	segment_ClassicalNahuatl_R1	segment_ClassicalNahuatl_R2	segment_ClassicalNahuatl_R3	SC_ClassicalNahuatl	SC_ClassicalNahuatl_L1	SC_ClassicalNahuatl_L2	SC_ClassicalNahuatl_L3	SC_ClassicalNahuatl_R1	SC_ClassicalNahuatl_R2	SC_ClassicalNahuatl_R3	PROSODY_ClassicalNahuatl	PROSODY_ClassicalNahuatl_L1	PROSODY_ClassicalNahuatl_L2	PROSODY_ClassicalNahuatl_L3	PROSODY_ClassicalNahuatl_R1	PROSODY_ClassicalNahuatl_R2	PROSODY_ClassicalNahuatl_R3	id_JalupaNahuat	segment_JalupaNahuat	segment_JalupaNahuat_L1	segment_JalupaNahuat_L2	segment_JalupaNahuat_L3	segment_JalupaNahuat_R1	segment_JalupaNahuat_R2	segment_JalupaNahuat_R3	SC_JalupaNahuat	SC_JalupaNahuat_L1	SC_JalupaNahuat_L2	SC_JalupaNahuat_L3	SC_JalupaNahuat_R1	SC_JalupaNahuat_R2	SC_JalupaNahuat_R3	PROSODY_JalupaNahuat	PROSODY_JalupaNahuat_L1	PROSODY_JalupaNahuat_L2	PROSODY_JalupaNahuat_L3	PROSODY_JalupaNahuat_R1	PROSODY_JalupaNahuat_R2	PROSODY_JalupaNahuat_R3	id_MecayapanNahuat	segment_MecayapanNahuat	segment_MecayapanNahuat_L1	segment_MecayapanNahuat_L2	segment_MecayapanNahuat_L3	segment_MecayapanNahuat_R1	segment_MecayapanNahuat_R2	segment_MecayapanNahuat_R3	SC_MecayapanNahuat	SC_MecayapanNahuat_L1	SC_MecayapanNahuat_L2	SC_MecayapanNahuat_L3	SC_MecayapanNahuat_R1	SC_MecayapanNahuat_R2	SC_MecayapanNahuat_R3	PROSODY_MecayapanNahuat	PROSODY_MecayapanNahuat_L1	PROSODY_MecayapanNahuat_L2	PROSODY_MecayapanNahuat_L3	PROSODY_MecayapanNahuat_R1	PROSODY_MecayapanNahuat_R2	PROSODY_MecayapanNahuat_R3	id_NorthPueblaNahuatl	segment_NorthPueblaNahuatl	segment_NorthPueblaNahuatl_L1	segment_NorthPueblaNahuatl_L2	segment_NorthPueblaNahuatl_L3	segment_NorthPueblaNahuatl_R1	segment_NorthPueblaNahuatl_R2	segment_NorthPueblaNahuatl_R3	SC_NorthPueblaNahuatl	SC_NorthPueblaNahuatl_L1	SC_NorthPueblaNahuatl_L2	SC_NorthPueblaNahuatl_L3	SC_NorthPueblaNahuatl_R1	SC_NorthPueblaNahuatl_R2	SC_NorthPueblaNahuatl_R3	PROSODY_NorthPueblaNahuatl	PROSODY_NorthPueblaNahuatl_L1	PROSODY_NorthPueblaNahuatl_L2	PROSODY_NorthPueblaNahuatl_L3	PROSODY_NorthPueblaNahuatl_R1	PROSODY_NorthPueblaNahuatl_R2	PROSODY_NorthPueblaNahuatl_R3	id_PajapanNahuat	segment_PajapanNahuat	segment_PajapanNahuat_L1	segment_PajapanNahuat_L2	segment_PajapanNahuat_L3	segment_PajapanNahuat_R1	segment_PajapanNahuat_R2	segment_PajapanNahuat_R3	SC_PajapanNahuat	SC_PajapanNahuat_L1	SC_PajapanNahuat_L2	SC_PajapanNahuat_L3	SC_PajapanNahuat_R1	SC_PajapanNahuat_R2	SC_PajapanNahuat_R3	PROSODY_PajapanNahuat	PROSODY_PajapanNahuat_L1	PROSODY_PajapanNahuat_L2	PROSODY_PajapanNahuat_L3	PROSODY_PajapanNahuat_R1	PROSODY_PajapanNahuat_R2	PROSODY_PajapanNahuat_R3	id_Pipil	segment_Pipil	segment_Pipil_L1	segment_Pipil_L2	segment_Pipil_L3	segment_Pipil_R1	segment_Pipil_R2	segment_Pipil_R3	SC_Pipil	SC_Pipil_L1	SC_Pipil_L2	SC_Pipil_L3	SC_Pipil_R1	SC_Pipil_R2	SC_Pipil_R3	PROSODY_Pipil	PROSODY_Pipil_L1	PROSODY_Pipil_L2	PROSODY_Pipil_L3	PROSODY_Pipil_R1	PROSODY_Pipil_R2	PROSODY_Pipil_R3	id_Pochutec	segment_Pochutec	segment_Pochutec_L1	segment_Pochutec_L2	segment_Pochutec_L3	segment_Pochutec_R1	segment_Pochutec_R2	segment_Pochutec_R3	SC_Pochutec	SC_Pochutec_L1	SC_Pochutec_L2	SC_Pochutec_L3	SC_Pochutec_R1	SC_Pochutec_R2	SC_Pochutec_R3	PROSODY_Pochutec	PROSODY_Pochutec_L1	PROSODY_Pochutec_L2	PROSODY_Pochutec_L3	PROSODY_Pochutec_R1	PROSODY_Pochutec_R2	PROSODY_Pochutec_R3	id_ProtoAztecan	segment_ProtoAztecan	segment_ProtoAztecan_L1	segment_ProtoAztecan_L2	segment_ProtoAztecan_L3	segment_ProtoAztecan_R1	segment_ProtoAztecan_R2	segment_ProtoAztecan_R3	SC_ProtoAztecan	SC_ProtoAztecan_L1	SC_ProtoAztecan_L2	SC_ProtoAztecan_L3	SC_ProtoAztecan_R1	SC_ProtoAztecan_R2	SC_ProtoAztecan_R3	PROSODY_ProtoAztecan	PROSODY_ProtoAztecan_L1	PROSODY_ProtoAztecan_L2	PROSODY_ProtoAztecan_L3	PROSODY_ProtoAztecan_R1	PROSODY_ProtoAztecan_R2	PROSODY_ProtoAztecan_R3	id_TetelcingoNahuatl	segment_TetelcingoNahuatl	segment_TetelcingoNahuatl_L1	segment_TetelcingoNahuatl_L2	segment_TetelcingoNahuatl_L3	segment_TetelcingoNahuatl_R1	segment_TetelcingoNahuatl_R2	segment_TetelcingoNahuatl_R3	SC_TetelcingoNahuatl	SC_TetelcingoNahuatl_L1	SC_TetelcingoNahuatl_L2	SC_TetelcingoNahuatl_L3	SC_TetelcingoNahuatl_R1	SC_TetelcingoNahuatl_R2	SC_TetelcingoNahuatl_R3	PROSODY_TetelcingoNahuatl	PROSODY_TetelcingoNahuatl_L1	PROSODY_TetelcingoNahuatl_L2	PROSODY_TetelcingoNahuatl_L3	PROSODY_TetelcingoNahuatl_R1	PROSODY_TetelcingoNahuatl_R2	PROSODY_TetelcingoNahuatl_R3
10	0.9091	2	0.1818	56	88	+	-	e	t	tɬ	∅	∅	_	_	E	T	T	∅	∅	0	0	7	1	1	∅	∅																																													89	+	-	e	t	tɬ	∅	∅	_	_	E	T	T	∅	∅	0	0	7	1	1	∅	∅																																																																																									90	-	tɬ	e	t	-	∅	∅	_	T	E	T	_	∅	∅	0	1	7	1	0	∅	∅
11	1.0000	1	0.0909	56	88	tɬ	+	-	e	∅	∅	∅	T	_	_	E	∅	∅	∅	1	0	0	7	∅	∅	∅																																													89	tɬ	+	-	e	∅	∅	∅	T	_	_	E	∅	∅	∅	1	0	0	7	∅	∅	∅																																																																																									90	-	-	tɬ	e	∅	∅	∅	_	_	T	E	∅	∅	∅	0	0	1	7	∅	∅	∅
1	0.1111	9	1.0000	57																																													91	t	∅	∅	∅	e	k	s	T	∅	∅	∅	E	K	S	1	∅	∅	∅	7	1	3																							92	t	∅	∅	∅	e	k	s	T	∅	∅	∅	E	K	S	1	∅	∅	∅	7	1	3	93	t	∅	∅	∅	e	k	s	T	∅	∅	∅	E	K	S	1	∅	∅	∅	7	1	3																																																																		
2	0.2222	8	0.8889	57																																													91	e	t	∅	∅	k	s	i	E	T	∅	∅	K	S	I	7	1	∅	∅	1	3	7																							92	e	t	∅	∅	k	s	i	E	T	∅	∅	K	S	I	7	1	∅	∅	1	3	7	93	e	t	∅	∅	k	s	i	E	T	∅	∅	K	S	I	7	1	∅	∅	1	3	7																																																																		
3	0.3333	7	0.7778	57																																													91	k	e	t	∅	s	i	s	K	E	T	∅	S	I	S	1	7	1	∅	3	7	3																							92	k	e	t	∅	s	i	s	K	E	T	∅	S	I	S	1	7	1	∅	3	7	3	93	k	e	t	∅	s	i	s	K	E	T	∅	S	I	S	1	7	1	∅	3	7	3																																																																		
4	0.4444	6	0.6667	57																																													91	s	k	e	t	i	s	-	S	K	E	T	I	S	_	3	1	7	1	7	3	0																							92	s	k	e	t	i	s	-	S	K	E	T	I	S	_	3	1	7	1	7	3	0	93	s	k	e	t	i	s	+	S	K	E	T	I	S	_	3	1	7	1	7	3	0																																																																		
5	0.5556	5	0.5556	57																																													91	i	s	k	e	s	-	-	I	S	K	E	S	_	_	7	3	1	7	3	0	0																							92	i	s	k	e	s	-	-	I	S	K	E	S	_	_	7	3	1	7	3	0	0	93	i	s	k	e	s	+	t	I	S	K	E	S	_	T	7	3	1	7	3	0	1																																																																		
6	0.6667	4	0.4444	57																																													91	s	i	s	k	-	-	-	S	I	S	K	_	_	_	3	7	3	1	0	0	0																							92	s	i	s	k	-	-	-	S	I	S	K	_	_	_	3	7	3	1	0	0	0	93	s	i	s	k	+	t	i	S	I	S	K	_	T	I	3	7	3	1	0	1	7																																																																		
7	0.7778	3	0.3333	57																																													91	-	s	i	s	-	-	∅	_	S	I	S	_	_	∅	0	3	7	3	0	0	∅																							92	-	s	i	s	-	-	∅	_	S	I	S	_	_	∅	0	3	7	3	0	0	∅	93	+	s	i	s	t	i	∅	_	S	I	S	T	I	∅	0	3	7	3	1	7	∅																																																																		
8	0.8889	2	0.2222	57																																													91	-	-	s	i	-	∅	∅	_	_	S	I	_	∅	∅	0	0	3	7	0	∅	∅																							92	-	-	s	i	-	∅	∅	_	_	S	I	_	∅	∅	0	0	3	7	0	∅	∅	93	t	+	s	i	i	∅	∅	T	_	S	I	I	∅	∅	1	0	3	7	7	∅	∅																																																																		
9	1.0000	1	0.1111	57																																													91	-	-	-	s	∅	∅	∅	_	_	_	S	∅	∅	∅	0	0	0	3	∅	∅	∅																							92	-	-	-	s	∅	∅	∅	_	_	_	S	∅	∅	∅	0	0	0	3	∅	∅	∅	93	i	t	+	s	∅	∅	∅	I	T	_	S	∅	∅	∅	7	1	0	3	∅	∅	∅																																																																		
1	0.1000	10	1.0000	79	94	-	∅	∅	∅	-	-	i	_	∅	∅	∅	_	_	I	0	∅	∅	∅	0	0	7	95	i	∅	∅	∅	j	+	u	I	∅	∅	∅	J	_	Y	7	∅	∅	∅	6	0	7																							96	-	∅	∅	∅	-	-	i	_	∅	∅	∅	_	_	I	0	∅	∅	∅	0	0	7																																																																			97	-	∅	∅	∅	-	-	ɨ	_	∅	∅	∅	_	_	I	0	∅	∅	∅	0	0	7																						
2	0.2000	9	0.9000	79	94	-	-	∅	∅	-	i	h	_	_	∅	∅	_	I	H	0	0	∅	∅	0	7	3	95	j	i	∅	∅	+	u	h	J	I	∅	∅	_	Y	H	6	7	∅	∅	0	7	3																							96	-	-	∅	∅	-	i	h	_	_	∅	∅	_	I	H	0	0	∅	∅	0	7	3																																																																			97	-	-	∅	∅	-	ɨ	-	_	_	∅	∅	_	I	_	0	0	∅	∅	0	7	0																						
3	0.3000	8	0.8000	79	94	-	-	-	∅	i	h	w	_	_	_	∅	I	H	W	0	0	0	∅	7	3	6	95	+	j	i	∅	u	h	w	_	J	I	∅	Y	H	W	0	6	7	∅	7	3	6																							96	-	-	-	∅	i	h	w	_	_	_	∅	I	H	W	0	0	0	∅	7	3	6																																																																			97	-	-	-	∅	ɨ	-	w	_	_	_	∅	I	_	W	0	0	0	∅	7	0	6																						
4	0.4000	7	0.7000	79	94	i	-	-	-	h	w	i	I	_	_	_	H	W	I	7	0	0	0	3	6	7	95	u	+	j	i	h	w	i	Y	_	J	I	H	W	I	7	0	6	7	3	6	7																							96	i	-	-	-	h	w	i	I	_	_	_	H	W	I	7	0	0	0	3	6	7																																																																			97	ɨ	-	-	-	-	w	ɨ	I	_	_	_	_	W	I	7	0	0	0	0	6	7																						
5	0.5000	6	0.6000	79	94	h	i	-	-	w	i	+	H	I	_	_	W	I	_	3	7	0	0	6	7	0	95	h	u	+	j	w	i	+	H	Y	_	J	W	I	_	3	7	0	6	6	7	0																							96	h	i	-	-	w	i	+	H	I	_	_	W	I	_	3	7	0	0	6	7	0																																																																			97	-	ɨ	-	-	w	ɨ	-	_	I	_	_	W	I	_	0	7	0	0	6	7	0																						
6	0.6000	5	0.5000	79	94	w	h	i	-	i	+	tɬ	W	H	I	_	I	_	T	6	3	7	0	7	0	1	95	w	h	u	+	i	+	j	W	H	Y	_	I	_	J	6	3	7	0	7	0	6																							96	w	h	i	-	i	+	tɬ	W	H	I	_	I	_	T	6	3	7	0	7	0	1																																																																			97	w	-	ɨ	-	ɨ	-	-	W	_	I	_	I	_	_	6	0	7	0	7	0	0																						
7	0.7000	4	0.4000	79	94	i	w	h	i	+	tɬ	-	I	W	H	I	_	T	_	7	6	3	7	0	1	0	95	i	w	h	u	+	j	u	I	W	H	Y	_	J	Y	7	6	3	7	0	6	7																							96	i	w	h	i	+	tɬ	-	I	W	H	I	_	T	_	7	6	3	7	0	1	0																																																																			97	ɨ	w	-	ɨ	-	-	-	I	W	_	I	_	_	_	7	6	0	7	0	0	0																						
8	0.8000	3	0.3000	79	94	+	i	w	h	tɬ	-	∅	_	I	W	H	T	_	∅	0	7	6	3	1	0	∅	95	+	i	w	h	j	u	∅	_	I	W	H	J	Y	∅	0	7	6	3	6	7	∅																							96	+	i	w	h	tɬ	-	∅	_	I	W	H	T	_	∅	0	7	6	3	1	0	∅																																																																			97	-	ɨ	w	-	-	-	∅	_	I	W	_	_	_	∅	0	7	6	0	0	0	∅																						
9	0.9000	2	0.2000	79	94	tɬ	+	i	w	-	∅	∅	T	_	I	W	_	∅	∅	1	0	7	6	0	∅	∅	95	j	+	i	w	u	∅	∅	J	_	I	W	Y	∅	∅	6	0	7	6	7	∅	∅																							96	tɬ	+	i	w	-	∅	∅	T	_	I	W	_	∅	∅	1	0	7	6	0	∅	∅																																																																			97	-	-	ɨ	w	-	∅	∅	_	_	I	W	_	∅	∅	0	0	7	6	0	∅	∅																						
10	1.0000	1	0.1000	79	94	-	tɬ	+	i	∅	∅	∅	_	T	_	I	∅	∅	∅	0	1	0	7	∅	∅	∅	95	u	j	+	i	∅	∅	∅	Y	J	_	I	∅	∅	∅	7	6	0	7	∅	∅	∅																							96	-	tɬ	+	i	∅	∅	∅	_	T	_	I	∅	∅	∅	0	1	0	7	∅	∅	∅																																																																			97	-	-	-	ɨ	∅	∅	∅	_	_	_	I	∅	∅	∅	0	0	0	7	∅	∅	∅																						
1	0.1429	7	1.0000	81																																													98	ts	∅	∅	∅	o	h	m	C	∅	∅	∅	U	H	M	2	∅	∅	∅	7	3	4																							99	ts	∅	∅	∅	o	h	m	C	∅	∅	∅	U	H	M	2	∅	∅	∅	7	3	4																																																																																								
2	0.2857	6	0.8571	81																																													98	o	ts	∅	∅	h	m	i	U	C	∅	∅	H	M	I	7	2	∅	∅	3	4	7																							99	o	ts	∅	∅	h	m	i	U	C	∅	∅	H	M	I	7	2	∅	∅	3	4	7																																																																																								
3	0.4286	5	0.7143	81																																													98	h	o	ts	∅	m	i	+	H	U	C	∅	M	I	_	3	7	2	∅	4	7	0																							99	h	o	ts	∅	m	i	+	H	U	C	∅	M	I	_	3	7	2	∅	4	7	0																																																																																								
4	0.5714	4	0.5714	81																																													98	m	h	o	ts	i	+	ʔ	M	H	U	C	I	_	H	4	3	7	2	7	0	1																							99	m	h	o	ts	i	+	t	M	H	U	C	I	_	T	4	3	7	2	7	0	1																																																																																								
5	0.7143	3	0.4286	81																																													98	i	m	h	o	+	ʔ	∅	I	M	H	U	_	H	∅	7	4	3	7	0	1	∅																							99	i	m	h	o	+	t	∅	I	M	H	U	_	T	∅	7	4	3	7	0	1	∅																																																																																								
6	0.8571	2	0.2857	81																																													98	+	i	m	h	ʔ	∅	∅	_	I	M	H	H	∅	∅	0	7	4	3	1	∅	∅																							99	+	i	m	h	t	∅	∅	_	I	M	H	T	∅	∅	0	7	4	3	1	∅	∅																																																																																								
7	1.0000	1	0.1429	81																																													98	ʔ	+	i	m	∅	∅	∅	H	_	I	M	∅	∅	∅	1	0	7	4	∅	∅	∅																							99	t	+	i	m	∅	∅	∅	T	_	I	M	∅	∅	∅	1	0	7	4	∅	∅	∅																																																																																								
1	0.0909	11	1.0000	83	100	tɬ	∅	∅	∅	e	-	-	T	∅	∅	∅	E	_	_	1	∅	∅	∅	7	0	0	101	t	∅	∅	∅	i	-	-	T	∅	∅	∅	I	_	_	1	∅	∅	∅	7	0	0	102	t	∅	∅	∅	i	ʔ	-	T	∅	∅	∅	I	H	_	1	∅	∅	∅	7	1	0	103	tɬ	∅	∅	∅	e	-	-	T	∅	∅	∅	E	_	_	1	∅	∅	∅	7	0	0	104	t	∅	∅	∅	i	-	-	T	∅	∅	∅	I	_	_	1	∅	∅	∅	7	0	0	105	t	∅	∅	∅	iː	-	-	T	∅	∅	∅	I	_	_	1	∅	∅	∅	7	0	0	106	t	∅	∅	∅	e	-	-	T	∅	∅	∅	E	_	_	1	∅	∅	∅	7	0	0	107	tɬ	∅	∅	∅	a	h	i	T	∅	∅	∅	A	H	I	1	∅	∅	∅	7	3	7	108	tɬ	∅	∅	∅	e	-	-	T	∅	∅	∅	E	_	_	1	∅	∅	∅	7	0	0
2	0.1818	10	0.9091	83	100	e	tɬ	∅	∅	-	-	+	E	T	∅	∅	_	_	_	7	1	∅	∅	0	0	0	101	i	t	∅	∅	-	-	+	I	T	∅	∅	_	_	_	7	1	∅	∅	0	0	0	102	i	t	∅	∅	ʔ	-	+	I	T	∅	∅	H	_	_	7	1	∅	∅	1	0	0	103	e	tɬ	∅	∅	-	-	+	E	T	∅	∅	_	_	_	7	1	∅	∅	0	0	0	104	i	t	∅	∅	-	-	+	I	T	∅	∅	_	_	_	7	1	∅	∅	0	0	0	105	iː	t	∅	∅	-	-	+	I	T	∅	∅	_	_	_	7	1	∅	∅	0	0	0	106	e	t	∅	∅	-	-	+	E	T	∅	∅	_	_	_	7	1	∅	∅	0	0	0	107	a	tɬ	∅	∅	h	i	+	A	T	∅	∅	H	I	_	7	1	∅	∅	3	7	0	108	e	tɬ	∅	∅	-	-	+	E	T	∅	∅	_	_	_	7	1	∅	∅	0	0	0
3	0.2727	9	0.8182	83	100	-	e	tɬ	∅	-	+	-	_	E	T	∅	_	_	_	0	7	1	∅	0	0	0	101	-	i	t	∅	-	+	-	_	I	T	∅	_	_	_	0	7	1	∅	0	0	0	102	ʔ	i	t	∅	-	+	-	H	I	T	∅	_	_	_	1	7	1	∅	0	0	0	103	-	e	tɬ	∅	-	+	-	_	E	T	∅	_	_	_	0	7	1	∅	0	0	0	104	-	i	t	∅	-	+	-	_	I	T	∅	_	_	_	0	7	1	∅	0	0	0	105	-	iː	t	∅	-	+	-	_	I	T	∅	_	_	_	0	7	1	∅	0	0	0	106	-	e	t	∅	-	+	-	_	E	T	∅	_	_	_	0	7	1	∅	0	0	0	107	h	a	tɬ	∅	i	+	-	H	A	T	∅	I	_	_	3	7	1	∅	7	0	0	108	-	e	tɬ	∅	-	+	ts	_	E	T	∅	_	_	C	0	7	1	∅	0	0	2
4	0.3636	8	0.7273	83	100	-	-	e	tɬ	+	-	-	_	_	E	T	_	_	_	0	0	7	1	0	0	0	101	-	-	i	t	+	-	-	_	_	I	T	_	_	_	0	0	7	1	0	0	0	102	-	ʔ	i	t	+	-	-	_	H	I	T	_	_	_	0	1	7	1	0	0	0	103	-	-	e	tɬ	+	-	-	_	_	E	T	_	_	_	0	0	7	1	0	0	0	104	-	-	i	t	+	-	-	_	_	I	T	_	_	_	0	0	7	1	0	0	0	105	-	-	iː	t	+	-	-	_	_	I	T	_	_	_	0	0	7	1	0	0	0	106	-	-	e	t	+	-	-	_	_	E	T	_	_	_	0	0	7	1	0	0	0	107	i	h	a	tɬ	+	-	-	I	H	A	T	_	_	_	7	3	7	1	0	0	0	108	-	-	e	tɬ	+	ts	i	_	_	E	T	_	C	I	0	0	7	1	0	2	7
5	0.4545	7	0.6364	83	100	+	-	-	e	-	-	-	_	_	_	E	_	_	_	0	0	0	7	0	0	0	101	+	-	-	i	-	-	-	_	_	_	I	_	_	_	0	0	0	7	0	0	0	102	+	-	ʔ	i	-	-	-	_	_	H	I	_	_	_	0	0	1	7	0	0	0	103	+	-	-	e	-	-	-	_	_	_	E	_	_	_	0	0	0	7	0	0	0	104	+	-	-	i	-	-	-	_	_	_	I	_	_	_	0	0	0	7	0	0	0	105	+	-	-	iː	-	-	-	_	_	_	I	_	_	_	0	0	0	7	0	0	0	106	+	-	-	e	-	-	-	_	_	_	E	_	_	_	0	0	0	7	0	0	0	107	+	i	h	a	-	-	-	_	I	H	A	_	_	_	0	7	3	7	0	0	0	108	+	-	-	e	ts	i	n	_	_	_	E	C	I	N	0	0	0	7	2	7	4
6	0.5455	6	0.5455	83	100	-	+	-	-	-	-	-	_	_	_	_	_	_	_	0	0	0	0	0	0	0	101	-	+	-	-	-	-	-	_	_	_	_	_	_	_	0	0	0	0	0	0	0	102	-	+	-	ʔ	-	-	-	_	_	_	H	_	_	_	0	0	0	1	0	0	0	103	-	+	-	-	-	-	-	_	_	_	_	_	_	_	0	0	0	0	0	0	0	104	-	+	-	-	-	-	-	_	_	_	_	_	_	_	0	0	0	0	0	0	0	105	-	+	-	-	-	-	-	_	_	_	_	_	_	_	0	0	0	0	0	0	0	106	-	+	-	-	-	-	-	_	_	_	_	_	_	_	0	0	0	0	0	0	0	107	-	+	i	h	-	-	-	_	_	I	H	_	_	_	0	0	7	3	0	0	0	108	ts	+	-	-	i	n	+	C	_	_	_	I	N	_	2	0	0	0	7	4	0
7	0.6364	5	0.4545	83	100	-	-	+	-	-	-	tɬ	_	_	_	_	_	_	T	0	0	0	0	0	0	1	101	-	-	+	-	-	-	t	_	_	_	_	_	_	T	0	0	0	0	0	0	1	102	-	-	+	-	-	-	t	_	_	_	_	_	_	T	0	0	0	0	0	0	1	103	-	-	+	-	-	-	tɬ	_	_	_	_	_	_	T	0	0	0	0	0	0	1	104	-	-	+	-	-	-	t	_	_	_	_	_	_	T	0	0	0	0	0	0	1	105	-	-	+	-	-	-	t	_	_	_	_	_	_	T	0	0	0	0	0	0	1	106	-	-	+	-	-	-	t	_	_	_	_	_	_	T	0	0	0	0	0	0	1	107	-	-	+	i	-	-	tɬ	_	_	_	I	_	_	T	0	0	0	7	0	0	1	108	i	ts	+	-	n	+	tɬ	I	C	_	_	N	_	T	7	2	0	0	4	0	1
8	0.7273	4	0.3636	83	100	-	-	-	+	-	tɬ	-	_	_	_	_	_	T	_	0	0	0	0	0	1	0	101	-	-	-	+	-	t	-	_	_	_	_	_	T	_	0	0	0	0	0	1	0	102	-	-	-	+	-	t	i	_	_	_	_	_	T	I	0	0	0	0	0	1	7	103	-	-	-	+	-	tɬ	-	_	_	_	_	_	T	_	0	0	0	0	0	1	0	104	-	-	-	+	-	t	-	_	_	_	_	_	T	_	0	0	0	0	0	1	0	105	-	-	-	+	-	t	-	_	_	_	_	_	T	_	0	0	0	0	0	1	0	106	-	-	-	+	-	t	-	_	_	_	_	_	T	_	0	0	0	0	0	1	0	107	-	-	-	+	-	tɬ	-	_	_	_	_	_	T	_	0	0	0	0	0	1	0	108	n	i	ts	+	+	tɬ	iː	N	I	C	_	_	T	I	4	7	2	0	0	1	7
9	0.8182	3	0.2727	83	100	-	-	-	-	tɬ	-	∅	_	_	_	_	T	_	∅	0	0	0	0	1	0	∅	101	-	-	-	-	t	-	∅	_	_	_	_	T	_	∅	0	0	0	0	1	0	∅	102	-	-	-	-	t	i	∅	_	_	_	_	T	I	∅	0	0	0	0	1	7	∅	103	-	-	-	-	tɬ	-	∅	_	_	_	_	T	_	∅	0	0	0	0	1	0	∅	104	-	-	-	-	t	-	∅	_	_	_	_	T	_	∅	0	0	0	0	1	0	∅	105	-	-	-	-	t	-	∅	_	_	_	_	T	_	∅	0	0	0	0	1	0	∅	106	-	-	-	-	t	-	∅	_	_	_	_	T	_	∅	0	0	0	0	1	0	∅	107	-	-	-	-	tɬ	-	∅	_	_	_	_	T	_	∅	0	0	0	0	1	0	∅	108	+	n	i	ts	tɬ	iː	∅	_	N	I	C	T	I	∅	0	4	7	2	1	7	∅
10	0.9091	2	0.1818	83	100	tɬ	-	-	-	-	∅	∅	T	_	_	_	_	∅	∅	1	0	0	0	0	∅	∅	101	t	-	-	-	-	∅	∅	T	_	_	_	_	∅	∅	1	0	0	0	0	∅	∅	102	t	-	-	-	i	∅	∅	T	_	_	_	I	∅	∅	1	0	0	0	7	∅	∅	103	tɬ	-	-	-	-	∅	∅	T	_	_	_	_	∅	∅	1	0	0	0	0	∅	∅	104	t	-	-	-	-	∅	∅	T	_	_	_	_	∅	∅	1	0	0	0	0	∅	∅	105	t	-	-	-	-	∅	∅	T	_	_	_	_	∅	∅	1	0	0	0	0	∅	∅	106	t	-	-	-	-	∅	∅	T	_	_	_	_	∅	∅	1	0	0	0	0	∅	∅	107	tɬ	-	-	-	-	∅	∅	T	_	_	_	_	∅	∅	1	0	0	0	0	∅	∅	108	tɬ	+	n	i	iː	∅	∅	T	_	N	I	I	∅	∅	1	0	4	7	7	∅	∅
11	1.0000	1	0.0909	83	100	-	tɬ	-	-	∅	∅	∅	_	T	_	_	∅	∅	∅	0	1	0	0	∅	∅	∅	101	-	t	-	-	∅	∅	∅	_	T	_	_	∅	∅	∅	0	1	0	0	∅	∅	∅	102	i	t	-	-	∅	∅	∅	I	T	_	_	∅	∅	∅	7	1	0	0	∅	∅	∅	103	-	tɬ	-	-	∅	∅	∅	_	T	_	_	∅	∅	∅	0	1	0	0	∅	∅	∅	104	-	t	-	-	∅	∅	∅	_	T	_	_	∅	∅	∅	0	1	0	0	∅	∅	∅	105	-	t	-	-	∅	∅	∅	_	T	_	_	∅	∅	∅	0	1	0	0	∅	∅	∅	106	-	t	-	-	∅	∅	∅	_	T	_	_	∅	∅	∅	0	1	0	0	∅	∅	∅	107	-	tɬ	-	-	∅	∅	∅	_	T	_	_	∅	∅	∅	0	1	0	0	∅	∅	∅	108	iː	tɬ	+	n	∅	∅	∅	I	T	_	N	∅	∅	∅	7	1	0	4	∅	∅	∅
1	0.0909	11	1.0000	84	109	m	∅	∅	∅	i	tʃ	-	M	∅	∅	∅	I	T	_	4	∅	∅	∅	7	1	0																																													110	m	∅	∅	∅	i	tʃ	i	M	∅	∅	∅	I	T	I	4	∅	∅	∅	7	1	7																							111	m	∅	∅	∅	i	tʃ	i	M	∅	∅	∅	I	T	I	4	∅	∅	∅	7	1	7	112	m	∅	∅	∅	i	tʃ	o	M	∅	∅	∅	I	T	U	4	∅	∅	∅	7	1	7	113	m	∅	∅	∅	ɨ	-	-	M	∅	∅	∅	I	_	_	4	∅	∅	∅	7	0	0	114	m	∅	∅	∅	iː	tʃ	iː	M	∅	∅	∅	I	T	I	4	∅	∅	∅	7	1	7
2	0.1818	10	0.9091	84	109	i	m	∅	∅	tʃ	-	-	I	M	∅	∅	T	_	_	7	4	∅	∅	1	0	0																																													110	i	m	∅	∅	tʃ	i	-	I	M	∅	∅	T	I	_	7	4	∅	∅	1	7	0																							111	i	m	∅	∅	tʃ	i	n	I	M	∅	∅	T	I	N	7	4	∅	∅	1	7	4	112	i	m	∅	∅	tʃ	o	m	I	M	∅	∅	T	U	M	7	4	∅	∅	1	7	4	113	ɨ	m	∅	∅	-	-	-	I	M	∅	∅	_	_	_	7	4	∅	∅	0	0	0	114	iː	m	∅	∅	tʃ	iː	-	I	M	∅	∅	T	I	_	7	4	∅	∅	1	7	0
