index	index_p	rindex	rindex_p	cogid	id_MonpaBalemu	segment_MonpaBalemu	segment_MonpaBalemu_L1	segment_MonpaBalemu_L2	segment_MonpaBalemu_L3	segment_MonpaBalemu_R1	segment_MonpaBalemu_R2	segment_MonpaBalemu_R3	SC_MonpaBalemu	SC_MonpaBalemu_L1	SC_MonpaBalemu_L2	SC_MonpaBalemu_L3	SC_MonpaBalemu_R1	SC_MonpaBalemu_R2	SC_MonpaBalemu_R3	PROSODY_MonpaBalemu	PROSODY_MonpaBalemu_L1	PROSODY_MonpaBalemu_L2	PROSODY_MonpaBalemu_L3	PROSODY_MonpaBalemu_R1	PROSODY_MonpaBalemu_R2	PROSODY_MonpaBalemu_R3	id_MonpaDirang	segment_MonpaDirang	segment_MonpaDirang_L1	segment_MonpaDirang_L2	segment_MonpaDirang_L3	segment_MonpaDirang_R1	segment_MonpaDirang_R2	segment_MonpaDirang_R3	SC_MonpaDirang	SC_MonpaDirang_L1	SC_MonpaDirang_L2	SC_MonpaDirang_L3	SC_MonpaDirang_R1	SC_MonpaDirang_R2	SC_MonpaDirang_R3	PROSODY_MonpaDirang	PROSODY_MonpaDirang_L1	PROSODY_MonpaDirang_L2	PROSODY_MonpaDirang_L3	PROSODY_MonpaDirang_R1	PROSODY_MonpaDirang_R2	PROSODY_MonpaDirang_R3	id_MonpaDirangDum	segment_MonpaDirangDum	segment_MonpaDirangDum_L1	segment_MonpaDirangDum_L2	segment_MonpaDirangDum_L3	segment_MonpaDirangDum_R1	segment_MonpaDirangDum_R2	segment_MonpaDirangDum_R3	SC_MonpaDirangDum	SC_MonpaDirangDum_L1	SC_MonpaDirangDum_L2	SC_MonpaDirangDum_L3	SC_MonpaDirangDum_R1	SC_MonpaDirangDum_R2	SC_MonpaDirangDum_R3	PROSODY_MonpaDirangDum	PROSODY_MonpaDirangDum_L1	PROSODY_MonpaDirangDum_L2	PROSODY_MonpaDirangDum_L3	PROSODY_MonpaDirangDum_R1	PROSODY_MonpaDirangDum_R2	PROSODY_MonpaDirangDum_R3	id_MonpaKalaktang	segment_MonpaKalaktang	segment_MonpaKalaktang_L1	segment_MonpaKalaktang_L2	segment_MonpaKalaktang_L3	segment_MonpaKalaktang_R1	segment_MonpaKalaktang_R2	segment_MonpaKalaktang_R3	SC_MonpaKalaktang	SC_MonpaKalaktang_L1	SC_MonpaKalaktang_L2	SC_MonpaKalaktang_L3	SC_MonpaKalaktang_R1	SC_MonpaKalaktang_R2	SC_MonpaKalaktang_R3	PROSODY_MonpaKalaktang	PROSODY_MonpaKalaktang_L1	PROSODY_MonpaKalaktang_L2	PROSODY_MonpaKalaktang_L3	PROSODY_MonpaKalaktang_R1	PROSODY_MonpaKalaktang_R2	PROSODY_MonpaKalaktang_R3	id_MonpaNamsu	segment_MonpaNamsu	segment_MonpaNamsu_L1	segment_MonpaNamsu_L2	segment_MonpaNamsu_L3	segment_MonpaNamsu_R1	segment_MonpaNamsu_R2	segment_MonpaNamsu_R3	SC_MonpaNamsu	SC_MonpaNamsu_L1	SC_MonpaNamsu_L2	SC_MonpaNamsu_L3	SC_MonpaNamsu_R1	SC_MonpaNamsu_R2	SC_MonpaNamsu_R3	PROSODY_MonpaNamsu	PROSODY_MonpaNamsu_L1	PROSODY_MonpaNamsu_L2	PROSODY_MonpaNamsu_L3	PROSODY_MonpaNamsu_R1	PROSODY_MonpaNamsu_R2	PROSODY_MonpaNamsu_R3	id_MonpaSangti	segment_MonpaSangti	segment_MonpaSangti_L1	segment_MonpaSangti_L2	segment_MonpaSangti_L3	segment_MonpaSangti_R1	segment_MonpaSangti_R2	segment_MonpaSangti_R3	SC_MonpaSangti	SC_MonpaSangti_L1	SC_MonpaSangti_L2	SC_MonpaSangti_L3	SC_MonpaSangti_R1	SC_MonpaSangti_R2	SC_MonpaSangti_R3	PROSODY_MonpaSangti	PROSODY_MonpaSangti_L1	PROSODY_MonpaSangti_L2	PROSODY_MonpaSangti_L3	PROSODY_MonpaSangti_R1	PROSODY_MonpaSangti_R2	PROSODY_MonpaSangti_R3	id_MonpaTembang	segment_MonpaTembang	segment_MonpaTembang_L1	segment_MonpaTembang_L2	segment_MonpaTembang_L3	segment_MonpaTembang_R1	segment_MonpaTembang_R2	segment_MonpaTembang_R3	SC_MonpaTembang	SC_MonpaTembang_L1	SC_MonpaTembang_L2	SC_MonpaTembang_L3	SC_MonpaTembang_R1	SC_MonpaTembang_R2	SC_MonpaTembang_R3	PROSODY_MonpaTembang	PROSODY_MonpaTembang_L1	PROSODY_MonpaTembang_L2	PROSODY_MonpaTembang_L3	PROSODY_MonpaTembang_R1	PROSODY_MonpaTembang_R2	PROSODY_MonpaTembang_R3	id_MonpaTomko	segment_MonpaTomko	segment_MonpaTomko_L1	segment_MonpaTomko_L2	segment_MonpaTomko_L3	segment_MonpaTomko_R1	segment_MonpaTomko_R2	segment_MonpaTomko_R3	SC_MonpaTomko	SC_MonpaTomko_L1	SC_MonpaTomko_L2	SC_MonpaTomko_L3	SC_MonpaTomko_R1	SC_MonpaTomko_R2	SC_MonpaTomko_R3	PROSODY_MonpaTomko	PROSODY_MonpaTomko_L1	PROSODY_MonpaTomko_L2	PROSODY_MonpaTomko_L3	PROSODY_MonpaTomko_R1	PROSODY_MonpaTomko_R2	PROSODY_MonpaTomko_R3
2	0.1818	10	0.9091	773	210	a	g	∅	∅	ɾ	a	ŋ	A	K	∅	∅	R	A	N	7	1	∅	∅	5	7	4																																													211	ă	g	∅	∅	z	a	ŋ	A	K	∅	∅	S	A	N	7	1	∅	∅	3	7	4	212	a	g	∅	∅	ɾ	a	ŋ	A	K	∅	∅	R	A	N	7	1	∅	∅	5	7	4																							213	a	g	∅	∅	ɾ	a	ŋ	A	K	∅	∅	R	A	N	7	1	∅	∅	5	7	4																						
3	0.2727	9	0.8182	773	210	ɾ	a	g	∅	a	ŋ	tʃ	R	A	K	∅	A	N	T	5	7	1	∅	7	4	1																																													211	z	ă	g	∅	a	ŋ	tʃ	S	A	K	∅	A	N	T	3	7	1	∅	7	4	1	212	ɾ	a	g	∅	a	ŋ	tʃ	R	A	K	∅	A	N	T	5	7	1	∅	7	4	1																							213	ɾ	a	g	∅	a	ŋ	tʃ	R	A	K	∅	A	N	T	5	7	1	∅	7	4	1																						
4	0.3636	8	0.7273	773	210	a	ɾ	a	g	ŋ	tʃ	i	A	R	A	K	N	T	I	7	5	7	1	4	1	7																																													211	a	z	ă	g	ŋ	tʃ	i	A	S	A	K	N	T	I	7	3	7	1	4	1	7	212	a	ɾ	a	g	ŋ	tʃ	i	A	R	A	K	N	T	I	7	5	7	1	4	1	7																							213	a	ɾ	a	g	ŋ	tʃ	i	A	R	A	K	N	T	I	7	5	7	1	4	1	7																						
5	0.4545	7	0.6364	773	210	ŋ	a	ɾ	a	tʃ	i	ŋ	N	A	R	A	T	I	N	4	7	5	7	1	7	4																																													211	ŋ	a	z	ă	tʃ	i	ŋ	N	A	S	A	T	I	N	4	7	3	7	1	7	4	212	ŋ	a	ɾ	a	tʃ	i	ŋ	N	A	R	A	T	I	N	4	7	5	7	1	7	4																							213	ŋ	a	ɾ	a	tʃ	i	ŋ	N	A	R	A	T	I	N	4	7	5	7	1	7	4																						
6	0.5455	6	0.5455	773	210	tʃ	ŋ	a	ɾ	i	ŋ	n	T	N	A	R	I	N	N	1	4	7	5	7	4	4																																													211	tʃ	ŋ	a	z	i	ŋ	n	T	N	A	S	I	N	N	1	4	7	3	7	4	4	212	tʃ	ŋ	a	ɾ	i	ŋ	n	T	N	A	R	I	N	N	1	4	7	5	7	4	4																							213	tʃ	ŋ	a	ɾ	i	ŋ	n	T	N	A	R	I	N	N	1	4	7	5	7	4	4																						
7	0.6364	5	0.4545	773	210	i	tʃ	ŋ	a	ŋ	n	a	I	T	N	A	N	N	A	7	1	4	7	4	4	7																																													211	i	tʃ	ŋ	a	ŋ	n	a	I	T	N	A	N	N	A	7	1	4	7	4	4	7	212	i	tʃ	ŋ	a	ŋ	n	a	I	T	N	A	N	N	A	7	1	4	7	4	4	7																							213	i	tʃ	ŋ	a	ŋ	n	a	I	T	N	A	N	N	A	7	1	4	7	4	4	7																						
8	0.7273	4	0.3636	773	210	ŋ	i	tʃ	ŋ	n	a	ŋ	N	I	T	N	N	A	N	4	7	1	4	4	7	4																																													211	ŋ	i	tʃ	ŋ	n	a	-	N	I	T	N	N	A	_	4	7	1	4	4	7	0	212	ŋ	i	tʃ	ŋ	n	a	ŋ	N	I	T	N	N	A	N	4	7	1	4	4	7	4																							213	ŋ	i	tʃ	ŋ	n	a	ŋ	N	I	T	N	N	A	N	4	7	1	4	4	7	4																						
9	0.8182	3	0.2727	773	210	n	ŋ	i	tʃ	a	ŋ	∅	N	N	I	T	A	N	∅	4	4	7	1	7	4	∅																																													211	n	ŋ	i	tʃ	a	-	∅	N	N	I	T	A	_	∅	4	4	7	1	7	0	∅	212	n	ŋ	i	tʃ	a	ŋ	∅	N	N	I	T	A	N	∅	4	4	7	1	7	4	∅																							213	n	ŋ	i	tʃ	a	ŋ	∅	N	N	I	T	A	N	∅	4	4	7	1	7	4	∅																						
10	0.9091	2	0.1818	773	210	a	n	ŋ	i	ŋ	∅	∅	A	N	N	I	N	∅	∅	7	4	4	7	4	∅	∅																																													211	a	n	ŋ	i	-	∅	∅	A	N	N	I	_	∅	∅	7	4	4	7	0	∅	∅	212	a	n	ŋ	i	ŋ	∅	∅	A	N	N	I	N	∅	∅	7	4	4	7	4	∅	∅																							213	a	n	ŋ	i	ŋ	∅	∅	A	N	N	I	N	∅	∅	7	4	4	7	4	∅	∅																						
11	1.0000	1	0.0909	773	210	ŋ	a	n	ŋ	∅	∅	∅	N	A	N	N	∅	∅	∅	4	7	4	4	∅	∅	∅																																													211	-	a	n	ŋ	∅	∅	∅	_	A	N	N	∅	∅	∅	0	7	4	4	∅	∅	∅	212	ŋ	a	n	ŋ	∅	∅	∅	N	A	N	N	∅	∅	∅	4	7	4	4	∅	∅	∅																							213	ŋ	a	n	ŋ	∅	∅	∅	N	A	N	N	∅	∅	∅	4	7	4	4	∅	∅	∅																						
1	0.2000	5	1.0000	774																							214	tʃ	∅	∅	∅	i	n	a	T	∅	∅	∅	I	N	A	1	∅	∅	∅	7	4	7	215	tʃ	∅	∅	∅	i	n	a	T	∅	∅	∅	I	N	A	1	∅	∅	∅	7	4	7																																													216	tʃ	∅	∅	∅	i	n	a	T	∅	∅	∅	I	N	A	1	∅	∅	∅	7	4	7																							217	tʃ	∅	∅	∅	i	n	a	T	∅	∅	∅	I	N	A	1	∅	∅	∅	7	4	7
2	0.4000	4	0.8000	774																							214	i	tʃ	∅	∅	n	a	ŋ	I	T	∅	∅	N	A	N	7	1	∅	∅	4	7	4	215	i	tʃ	∅	∅	n	a	ŋ	I	T	∅	∅	N	A	N	7	1	∅	∅	4	7	4																																													216	i	tʃ	∅	∅	n	a	ŋ	I	T	∅	∅	N	A	N	7	1	∅	∅	4	7	4																							217	i	tʃ	∅	∅	n	a	ŋ	I	T	∅	∅	N	A	N	7	1	∅	∅	4	7	4
3	0.6000	3	0.6000	774																							214	n	i	tʃ	∅	a	ŋ	∅	N	I	T	∅	A	N	∅	4	7	1	∅	7	4	∅	215	n	i	tʃ	∅	a	ŋ	∅	N	I	T	∅	A	N	∅	4	7	1	∅	7	4	∅																																													216	n	i	tʃ	∅	a	ŋ	∅	N	I	T	∅	A	N	∅	4	7	1	∅	7	4	∅																							217	n	i	tʃ	∅	a	ŋ	∅	N	I	T	∅	A	N	∅	4	7	1	∅	7	4	∅
4	0.8000	2	0.4000	774																							214	a	n	i	tʃ	ŋ	∅	∅	A	N	I	T	N	∅	∅	7	4	7	1	4	∅	∅	215	a	n	i	tʃ	ŋ	∅	∅	A	N	I	T	N	∅	∅	7	4	7	1	4	∅	∅																																													216	a	n	i	tʃ	ŋ	∅	∅	A	N	I	T	N	∅	∅	7	4	7	1	4	∅	∅																							217	a	n	i	tʃ	ŋ	∅	∅	A	N	I	T	N	∅	∅	7	4	7	1	4	∅	∅
5	1.0000	1	0.2000	774																							214	ŋ	a	n	i	∅	∅	∅	N	A	N	I	∅	∅	∅	4	7	4	7	∅	∅	∅	215	ŋ	a	n	i	∅	∅	∅	N	A	N	I	∅	∅	∅	4	7	4	7	∅	∅	∅																																													216	ŋ	a	n	i	∅	∅	∅	N	A	N	I	∅	∅	∅	4	7	4	7	∅	∅	∅																							217	ŋ	a	n	i	∅	∅	∅	N	A	N	I	∅	∅	∅	4	7	4	7	∅	∅	∅
1	0.2000	5	1.0000	819																							218	z	∅	∅	∅	a	m	b	S	∅	∅	∅	A	M	P	3	∅	∅	∅	7	4	1	219	z	∅	∅	∅	a	m	b	S	∅	∅	∅	A	M	P	3	∅	∅	∅	7	4	1																							220	z	∅	∅	∅	a	m	b	S	∅	∅	∅	A	M	P	3	∅	∅	∅	7	4	1	221	z	∅	∅	∅	a	m	b	S	∅	∅	∅	A	M	P	3	∅	∅	∅	7	4	1	222	z	∅	∅	∅	a	m	b	S	∅	∅	∅	A	M	P	3	∅	∅	∅	7	4	1	223	z	∅	∅	∅	a	m	b	S	∅	∅	∅	A	M	P	3	∅	∅	∅	7	4	1
2	0.4000	4	0.8000	819																							218	a	z	∅	∅	m	b	a	A	S	∅	∅	M	P	A	7	3	∅	∅	4	1	7	219	a	z	∅	∅	m	b	a	A	S	∅	∅	M	P	A	7	3	∅	∅	4	1	7																							220	a	z	∅	∅	m	b	a	A	S	∅	∅	M	P	A	7	3	∅	∅	4	1	7	221	a	z	∅	∅	m	b	a	A	S	∅	∅	M	P	A	7	3	∅	∅	4	1	7	222	a	z	∅	∅	m	b	a	A	S	∅	∅	M	P	A	7	3	∅	∅	4	1	7	223	a	z	∅	∅	m	b	a	A	S	∅	∅	M	P	A	7	3	∅	∅	4	1	7
3	0.6000	3	0.6000	819																							218	m	a	z	∅	b	a	∅	M	A	S	∅	P	A	∅	4	7	3	∅	1	7	∅	219	m	a	z	∅	b	a	∅	M	A	S	∅	P	A	∅	4	7	3	∅	1	7	∅																							220	m	a	z	∅	b	a	∅	M	A	S	∅	P	A	∅	4	7	3	∅	1	7	∅	221	m	a	z	∅	b	a	∅	M	A	S	∅	P	A	∅	4	7	3	∅	1	7	∅	222	m	a	z	∅	b	a	∅	M	A	S	∅	P	A	∅	4	7	3	∅	1	7	∅	223	m	a	z	∅	b	a	∅	M	A	S	∅	P	A	∅	4	7	3	∅	1	7	∅
4	0.8000	2	0.4000	819																							218	b	m	a	z	a	∅	∅	P	M	A	S	A	∅	∅	1	4	7	3	7	∅	∅	219	b	m	a	z	a	∅	∅	P	M	A	S	A	∅	∅	1	4	7	3	7	∅	∅																							220	b	m	a	z	a	∅	∅	P	M	A	S	A	∅	∅	1	4	7	3	7	∅	∅	221	b	m	a	z	a	∅	∅	P	M	A	S	A	∅	∅	1	4	7	3	7	∅	∅	222	b	m	a	z	a	∅	∅	P	M	A	S	A	∅	∅	1	4	7	3	7	∅	∅	223	b	m	a	z	a	∅	∅	P	M	A	S	A	∅	∅	1	4	7	3	7	∅	∅
5	1.0000	1	0.2000	819																							218	a	b	m	a	∅	∅	∅	A	P	M	A	∅	∅	∅	7	1	4	7	∅	∅	∅	219	a	b	m	a	∅	∅	∅	A	P	M	A	∅	∅	∅	7	1	4	7	∅	∅	∅																							220	a	b	m	a	∅	∅	∅	A	P	M	A	∅	∅	∅	7	1	4	7	∅	∅	∅	221	a	b	m	a	∅	∅	∅	A	P	M	A	∅	∅	∅	7	1	4	7	∅	∅	∅	222	a	b	m	a	∅	∅	∅	A	P	M	A	∅	∅	∅	7	1	4	7	∅	∅	∅	223	a	b	m	a	∅	∅	∅	A	P	M	A	∅	∅	∅	7	1	4	7	∅	∅	∅
1	0.3333	3	1.0000	827	224	bʱ	∅	∅	∅	i	-	∅	P	∅	∅	∅	I	_	∅	1	∅	∅	∅	7	0	∅																							225	bʱ	∅	∅	∅	i	-	∅	P	∅	∅	∅	I	_	∅	1	∅	∅	∅	7	0	∅	226	bʱ	∅	∅	∅	i	-	∅	P	∅	∅	∅	I	_	∅	1	∅	∅	∅	7	0	∅	227	b	∅	∅	∅	i	h̥	∅	P	∅	∅	∅	I	H	∅	1	∅	∅	∅	7	3	∅	228	b	∅	∅	∅	i	h̥	∅	P	∅	∅	∅	I	H	∅	1	∅	∅	∅	7	3	∅	229	bʱ	∅	∅	∅	i	-	∅	P	∅	∅	∅	I	_	∅	1	∅	∅	∅	7	0	∅																						
2	0.6667	2	0.6667	827	224	i	bʱ	∅	∅	-	∅	∅	I	P	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																							225	i	bʱ	∅	∅	-	∅	∅	I	P	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅	226	i	bʱ	∅	∅	-	∅	∅	I	P	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅	227	i	b	∅	∅	h̥	∅	∅	I	P	∅	∅	H	∅	∅	7	1	∅	∅	3	∅	∅	228	i	b	∅	∅	h̥	∅	∅	I	P	∅	∅	H	∅	∅	7	1	∅	∅	3	∅	∅	229	i	bʱ	∅	∅	-	∅	∅	I	P	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																						
3	1.0000	1	0.3333	827	224	-	i	bʱ	∅	∅	∅	∅	_	I	P	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																							225	-	i	bʱ	∅	∅	∅	∅	_	I	P	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅	226	-	i	bʱ	∅	∅	∅	∅	_	I	P	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅	227	h̥	i	b	∅	∅	∅	∅	H	I	P	∅	∅	∅	∅	3	7	1	∅	∅	∅	∅	228	h̥	i	b	∅	∅	∅	∅	H	I	P	∅	∅	∅	∅	3	7	1	∅	∅	∅	∅	229	-	i	bʱ	∅	∅	∅	∅	_	I	P	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																						
1	0.2000	5	1.0000	854	230	p	∅	∅	∅	a	i	pʰ	P	∅	∅	∅	A	I	P	1	∅	∅	∅	7	7	1																																													231	p	∅	∅	∅	a	i	p	P	∅	∅	∅	A	I	P	1	∅	∅	∅	7	7	1																																																																			232	p	∅	∅	∅	e	-	p	P	∅	∅	∅	E	_	P	1	∅	∅	∅	7	0	1
2	0.4000	4	0.8000	854	230	a	p	∅	∅	i	pʰ	u	A	P	∅	∅	I	P	Y	7	1	∅	∅	7	1	7																																													231	a	p	∅	∅	i	p	u	A	P	∅	∅	I	P	Y	7	1	∅	∅	7	1	7																																																																			232	e	p	∅	∅	-	p	u	E	P	∅	∅	_	P	Y	7	1	∅	∅	0	1	7
3	0.6000	3	0.6000	854	230	i	a	p	∅	pʰ	u	∅	I	A	P	∅	P	Y	∅	7	7	1	∅	1	7	∅																																													231	i	a	p	∅	p	u	∅	I	A	P	∅	P	Y	∅	7	7	1	∅	1	7	∅																																																																			232	-	e	p	∅	p	u	∅	_	E	P	∅	P	Y	∅	0	7	1	∅	1	7	∅
4	0.8000	2	0.4000	854	230	pʰ	i	a	p	u	∅	∅	P	I	A	P	Y	∅	∅	1	7	7	1	7	∅	∅																																													231	p	i	a	p	u	∅	∅	P	I	A	P	Y	∅	∅	1	7	7	1	7	∅	∅																																																																			232	p	-	e	p	u	∅	∅	P	_	E	P	Y	∅	∅	1	0	7	1	7	∅	∅
5	1.0000	1	0.2000	854	230	u	pʰ	i	a	∅	∅	∅	Y	P	I	A	∅	∅	∅	7	1	7	7	∅	∅	∅																																													231	u	p	i	a	∅	∅	∅	Y	P	I	A	∅	∅	∅	7	1	7	7	∅	∅	∅																																																																			232	u	p	-	e	∅	∅	∅	Y	P	_	E	∅	∅	∅	7	1	0	7	∅	∅	∅
1	0.1250	8	1.0000	855																							233	b	∅	∅	∅	e	ŋ	k	P	∅	∅	∅	E	N	K	1	∅	∅	∅	7	4	1																																													234	b	∅	∅	∅	e	ŋ	k	P	∅	∅	∅	E	N	K	1	∅	∅	∅	7	4	1	235	b	∅	∅	∅	e	ŋ	k	P	∅	∅	∅	E	N	K	1	∅	∅	∅	7	4	1																																												
2	0.2500	7	0.8750	855																							233	e	b	∅	∅	ŋ	k	u	E	P	∅	∅	N	K	Y	7	1	∅	∅	4	1	7																																													234	e	b	∅	∅	ŋ	k	u	E	P	∅	∅	N	K	Y	7	1	∅	∅	4	1	7	235	e	b	∅	∅	ŋ	k	u	E	P	∅	∅	N	K	Y	7	1	∅	∅	4	1	7																																												
3	0.3750	6	0.7500	855																							233	ŋ	e	b	∅	k	u	ɾ	N	E	P	∅	K	Y	R	4	7	1	∅	1	7	5																																													234	ŋ	e	b	∅	k	u	-	N	E	P	∅	K	Y	_	4	7	1	∅	1	7	0	235	ŋ	e	b	∅	k	u	-	N	E	P	∅	K	Y	_	4	7	1	∅	1	7	0																																												
4	0.5000	5	0.6250	855																							233	k	ŋ	e	b	u	ɾ	t	K	N	E	P	Y	R	T	1	4	7	1	7	5	1																																													234	k	ŋ	e	b	u	-	t̪	K	N	E	P	Y	_	T	1	4	7	1	7	0	1	235	k	ŋ	e	b	u	-	t̪	K	N	E	P	Y	_	T	1	4	7	1	7	0	1																																												
5	0.6250	4	0.5000	855																							233	u	k	ŋ	e	ɾ	t	a	Y	K	N	E	R	T	A	7	1	4	7	5	1	7																																													234	u	k	ŋ	e	-	t̪	a	Y	K	N	E	_	T	A	7	1	4	7	0	1	7	235	u	k	ŋ	e	-	t̪	a	Y	K	N	E	_	T	A	7	1	4	7	0	1	7																																												
6	0.7500	3	0.3750	855																							233	ɾ	u	k	ŋ	t	a	∅	R	Y	K	N	T	A	∅	5	7	1	4	1	7	∅																																													234	-	u	k	ŋ	t̪	a	∅	_	Y	K	N	T	A	∅	0	7	1	4	1	7	∅	235	-	u	k	ŋ	t̪	a	∅	_	Y	K	N	T	A	∅	0	7	1	4	1	7	∅																																												
7	0.8750	2	0.2500	855																							233	t	ɾ	u	k	a	∅	∅	T	R	Y	K	A	∅	∅	1	5	7	1	7	∅	∅																																													234	t̪	-	u	k	a	∅	∅	T	_	Y	K	A	∅	∅	1	0	7	1	7	∅	∅	235	t̪	-	u	k	a	∅	∅	T	_	Y	K	A	∅	∅	1	0	7	1	7	∅	∅																																												
8	1.0000	1	0.1250	855																							233	a	t	ɾ	u	∅	∅	∅	A	T	R	Y	∅	∅	∅	7	1	5	7	∅	∅	∅																																													234	a	t̪	-	u	∅	∅	∅	A	T	_	Y	∅	∅	∅	7	1	0	7	∅	∅	∅	235	a	t̪	-	u	∅	∅	∅	A	T	_	Y	∅	∅	∅	7	1	0	7	∅	∅	∅																																												
1	0.1667	6	1.0000	856																																													236	k	∅	∅	∅	j	a	k	K	∅	∅	∅	J	A	K	1	∅	∅	∅	6	7	1																																																																			237	k	∅	∅	∅	j	a	k	K	∅	∅	∅	J	A	K	1	∅	∅	∅	6	7	1																						
2	0.3333	5	0.8333	856																																													236	j	k	∅	∅	a	k	p	J	K	∅	∅	A	K	P	6	1	∅	∅	7	1	1																																																																			237	j	k	∅	∅	a	k	p	J	K	∅	∅	A	K	P	6	1	∅	∅	7	1	1																						
3	0.5000	4	0.6667	856																																													236	a	j	k	∅	k	p	a	A	J	K	∅	K	P	A	7	6	1	∅	1	1	7																																																																			237	a	j	k	∅	k	p	a	A	J	K	∅	K	P	A	7	6	1	∅	1	1	7																						
4	0.6667	3	0.5000	856																																													236	k	a	j	k	p	a	∅	K	A	J	K	P	A	∅	1	7	6	1	1	7	∅																																																																			237	k	a	j	k	p	a	∅	K	A	J	K	P	A	∅	1	7	6	1	1	7	∅																						
5	0.8333	2	0.3333	856																																													236	p	k	a	j	a	∅	∅	P	K	A	J	A	∅	∅	1	1	7	6	7	∅	∅																																																																			237	p	k	a	j	a	∅	∅	P	K	A	J	A	∅	∅	1	1	7	6	7	∅	∅																						
6	1.0000	1	0.1667	856																																													236	a	p	k	a	∅	∅	∅	A	P	K	A	∅	∅	∅	7	1	1	7	∅	∅	∅																																																																			237	a	p	k	a	∅	∅	∅	A	P	K	A	∅	∅	∅	7	1	1	7	∅	∅	∅																						
1	0.5000	2	1.0000	863	238	s	∅	∅	∅	e	∅	∅	S	∅	∅	∅	E	∅	∅	3	∅	∅	∅	7	∅	∅																							239	s	∅	∅	∅	e	∅	∅	S	∅	∅	∅	E	∅	∅	3	∅	∅	∅	7	∅	∅	240	s	∅	∅	∅	e	∅	∅	S	∅	∅	∅	E	∅	∅	3	∅	∅	∅	7	∅	∅																																																																																								
2	1.0000	1	0.5000	863	238	e	s	∅	∅	∅	∅	∅	E	S	∅	∅	∅	∅	∅	7	3	∅	∅	∅	∅	∅																							239	e	s	∅	∅	∅	∅	∅	E	S	∅	∅	∅	∅	∅	7	3	∅	∅	∅	∅	∅	240	e	s	∅	∅	∅	∅	∅	E	S	∅	∅	∅	∅	∅	7	3	∅	∅	∅	∅	∅																																																																																								
1	0.3333	3	1.0000	864																							241	g	∅	∅	∅	o	ŋ	∅	K	∅	∅	∅	U	N	∅	1	∅	∅	∅	7	4	∅																																													242	g	∅	∅	∅	o	ŋ	∅	K	∅	∅	∅	U	N	∅	1	∅	∅	∅	7	4	∅																																																																		
2	0.6667	2	0.6667	864																							241	o	g	∅	∅	ŋ	∅	∅	U	K	∅	∅	N	∅	∅	7	1	∅	∅	4	∅	∅																																													242	o	g	∅	∅	ŋ	∅	∅	U	K	∅	∅	N	∅	∅	7	1	∅	∅	4	∅	∅																																																																		
3	1.0000	1	0.3333	864																							241	ŋ	o	g	∅	∅	∅	∅	N	U	K	∅	∅	∅	∅	4	7	1	∅	∅	∅	∅																																													242	ŋ	o	g	∅	∅	∅	∅	N	U	K	∅	∅	∅	∅	4	7	1	∅	∅	∅	∅																																																																		
1	0.3333	3	1.0000	865																																																																																																															243	z	∅	∅	∅	a	s	∅	S	∅	∅	∅	A	S	∅	3	∅	∅	∅	7	3	∅	244	z	∅	∅	∅	a	s	∅	S	∅	∅	∅	A	S	∅	3	∅	∅	∅	7	3	∅																						
2	0.6667	2	0.6667	865																																																																																																															243	a	z	∅	∅	s	∅	∅	A	S	∅	∅	S	∅	∅	7	3	∅	∅	3	∅	∅	244	a	z	∅	∅	s	∅	∅	A	S	∅	∅	S	∅	∅	7	3	∅	∅	3	∅	∅																						
3	1.0000	1	0.3333	865																																																																																																															243	s	a	z	∅	∅	∅	∅	S	A	S	∅	∅	∅	∅	3	7	3	∅	∅	∅	∅	244	s	a	z	∅	∅	∅	∅	S	A	S	∅	∅	∅	∅	3	7	3	∅	∅	∅	∅																						
1	0.2000	5	1.0000	872	245	pʰ	∅	∅	∅	u	ŋ	k	P	∅	∅	∅	Y	N	K	1	∅	∅	∅	7	4	1																																													246	pʰ	∅	∅	∅	u	ŋ	k	P	∅	∅	∅	Y	N	K	1	∅	∅	∅	7	4	1																																																																																								
2	0.4000	4	0.8000	872	245	u	pʰ	∅	∅	ŋ	k	a	Y	P	∅	∅	N	K	A	7	1	∅	∅	4	1	7																																													246	u	pʰ	∅	∅	ŋ	k	a	Y	P	∅	∅	N	K	A	7	1	∅	∅	4	1	7																																																																																								
3	0.6000	3	0.6000	872	245	ŋ	u	pʰ	∅	k	a	∅	N	Y	P	∅	K	A	∅	4	7	1	∅	1	7	∅																																													246	ŋ	u	pʰ	∅	k	a	∅	N	Y	P	∅	K	A	∅	4	7	1	∅	1	7	∅																																																																																								
4	0.8000	2	0.4000	872	245	k	ŋ	u	pʰ	a	∅	∅	K	N	Y	P	A	∅	∅	1	4	7	1	7	∅	∅																																													246	k	ŋ	u	pʰ	a	∅	∅	K	N	Y	P	A	∅	∅	1	4	7	1	7	∅	∅																																																																																								
