index	index_p	rindex	rindex_p	cogid	id_MonpaBalemu	segment_MonpaBalemu	segment_MonpaBalemu_L1	segment_MonpaBalemu_L2	segment_MonpaBalemu_L3	segment_MonpaBalemu_R1	segment_MonpaBalemu_R2	segment_MonpaBalemu_R3	SC_MonpaBalemu	SC_MonpaBalemu_L1	SC_MonpaBalemu_L2	SC_MonpaBalemu_L3	SC_MonpaBalemu_R1	SC_MonpaBalemu_R2	SC_MonpaBalemu_R3	PROSODY_MonpaBalemu	PROSODY_MonpaBalemu_L1	PROSODY_MonpaBalemu_L2	PROSODY_MonpaBalemu_L3	PROSODY_MonpaBalemu_R1	PROSODY_MonpaBalemu_R2	PROSODY_MonpaBalemu_R3	id_MonpaDirang	segment_MonpaDirang	segment_MonpaDirang_L1	segment_MonpaDirang_L2	segment_MonpaDirang_L3	segment_MonpaDirang_R1	segment_MonpaDirang_R2	segment_MonpaDirang_R3	SC_MonpaDirang	SC_MonpaDirang_L1	SC_MonpaDirang_L2	SC_MonpaDirang_L3	SC_MonpaDirang_R1	SC_MonpaDirang_R2	SC_MonpaDirang_R3	PROSODY_MonpaDirang	PROSODY_MonpaDirang_L1	PROSODY_MonpaDirang_L2	PROSODY_MonpaDirang_L3	PROSODY_MonpaDirang_R1	PROSODY_MonpaDirang_R2	PROSODY_MonpaDirang_R3	id_MonpaDirangDum	segment_MonpaDirangDum	segment_MonpaDirangDum_L1	segment_MonpaDirangDum_L2	segment_MonpaDirangDum_L3	segment_MonpaDirangDum_R1	segment_MonpaDirangDum_R2	segment_MonpaDirangDum_R3	SC_MonpaDirangDum	SC_MonpaDirangDum_L1	SC_MonpaDirangDum_L2	SC_MonpaDirangDum_L3	SC_MonpaDirangDum_R1	SC_MonpaDirangDum_R2	SC_MonpaDirangDum_R3	PROSODY_MonpaDirangDum	PROSODY_MonpaDirangDum_L1	PROSODY_MonpaDirangDum_L2	PROSODY_MonpaDirangDum_L3	PROSODY_MonpaDirangDum_R1	PROSODY_MonpaDirangDum_R2	PROSODY_MonpaDirangDum_R3	id_MonpaKalaktang	segment_MonpaKalaktang	segment_MonpaKalaktang_L1	segment_MonpaKalaktang_L2	segment_MonpaKalaktang_L3	segment_MonpaKalaktang_R1	segment_MonpaKalaktang_R2	segment_MonpaKalaktang_R3	SC_MonpaKalaktang	SC_MonpaKalaktang_L1	SC_MonpaKalaktang_L2	SC_MonpaKalaktang_L3	SC_MonpaKalaktang_R1	SC_MonpaKalaktang_R2	SC_MonpaKalaktang_R3	PROSODY_MonpaKalaktang	PROSODY_MonpaKalaktang_L1	PROSODY_MonpaKalaktang_L2	PROSODY_MonpaKalaktang_L3	PROSODY_MonpaKalaktang_R1	PROSODY_MonpaKalaktang_R2	PROSODY_MonpaKalaktang_R3	id_MonpaNamsu	segment_MonpaNamsu	segment_MonpaNamsu_L1	segment_MonpaNamsu_L2	segment_MonpaNamsu_L3	segment_MonpaNamsu_R1	segment_MonpaNamsu_R2	segment_MonpaNamsu_R3	SC_MonpaNamsu	SC_MonpaNamsu_L1	SC_MonpaNamsu_L2	SC_MonpaNamsu_L3	SC_MonpaNamsu_R1	SC_MonpaNamsu_R2	SC_MonpaNamsu_R3	PROSODY_MonpaNamsu	PROSODY_MonpaNamsu_L1	PROSODY_MonpaNamsu_L2	PROSODY_MonpaNamsu_L3	PROSODY_MonpaNamsu_R1	PROSODY_MonpaNamsu_R2	PROSODY_MonpaNamsu_R3	id_MonpaSangti	segment_MonpaSangti	segment_MonpaSangti_L1	segment_MonpaSangti_L2	segment_MonpaSangti_L3	segment_MonpaSangti_R1	segment_MonpaSangti_R2	segment_MonpaSangti_R3	SC_MonpaSangti	SC_MonpaSangti_L1	SC_MonpaSangti_L2	SC_MonpaSangti_L3	SC_MonpaSangti_R1	SC_MonpaSangti_R2	SC_MonpaSangti_R3	PROSODY_MonpaSangti	PROSODY_MonpaSangti_L1	PROSODY_MonpaSangti_L2	PROSODY_MonpaSangti_L3	PROSODY_MonpaSangti_R1	PROSODY_MonpaSangti_R2	PROSODY_MonpaSangti_R3	id_MonpaTembang	segment_MonpaTembang	segment_MonpaTembang_L1	segment_MonpaTembang_L2	segment_MonpaTembang_L3	segment_MonpaTembang_R1	segment_MonpaTembang_R2	segment_MonpaTembang_R3	SC_MonpaTembang	SC_MonpaTembang_L1	SC_MonpaTembang_L2	SC_MonpaTembang_L3	SC_MonpaTembang_R1	SC_MonpaTembang_R2	SC_MonpaTembang_R3	PROSODY_MonpaTembang	PROSODY_MonpaTembang_L1	PROSODY_MonpaTembang_L2	PROSODY_MonpaTembang_L3	PROSODY_MonpaTembang_R1	PROSODY_MonpaTembang_R2	PROSODY_MonpaTembang_R3	id_MonpaTomko	segment_MonpaTomko	segment_MonpaTomko_L1	segment_MonpaTomko_L2	segment_MonpaTomko_L3	segment_MonpaTomko_R1	segment_MonpaTomko_R2	segment_MonpaTomko_R3	SC_MonpaTomko	SC_MonpaTomko_L1	SC_MonpaTomko_L2	SC_MonpaTomko_L3	SC_MonpaTomko_R1	SC_MonpaTomko_R2	SC_MonpaTomko_R3	PROSODY_MonpaTomko	PROSODY_MonpaTomko_L1	PROSODY_MonpaTomko_L2	PROSODY_MonpaTomko_L3	PROSODY_MonpaTomko_R1	PROSODY_MonpaTomko_R2	PROSODY_MonpaTomko_R3
3	0.5000	4	0.6667	454																																													212	r	u	kʰ	∅	l	a	-	R	Y	K	∅	L	A	_	5	7	1	∅	5	7	0	213	r	u	k	∅	b	a	n	R	Y	K	∅	P	A	N	5	7	1	∅	1	7	4																							214	r	u	kʰ	∅	l	a	-	R	Y	K	∅	L	A	_	5	7	1	∅	5	7	0																																												
4	0.6667	3	0.5000	454																																													212	l	r	u	kʰ	a	-	∅	L	R	Y	K	A	_	∅	5	5	7	1	7	0	∅	213	b	r	u	k	a	n	∅	P	R	Y	K	A	N	∅	1	5	7	1	7	4	∅																							214	l	r	u	kʰ	a	-	∅	L	R	Y	K	A	_	∅	5	5	7	1	7	0	∅																																												
5	0.8333	2	0.3333	454																																													212	a	l	r	u	-	∅	∅	A	L	R	Y	_	∅	∅	7	5	5	7	0	∅	∅	213	a	b	r	u	n	∅	∅	A	P	R	Y	N	∅	∅	7	1	5	7	4	∅	∅																							214	a	l	r	u	-	∅	∅	A	L	R	Y	_	∅	∅	7	5	5	7	0	∅	∅																																												
6	1.0000	1	0.1667	454																																													212	-	a	l	r	∅	∅	∅	_	A	L	R	∅	∅	∅	0	7	5	5	∅	∅	∅	213	n	a	b	r	∅	∅	∅	N	A	P	R	∅	∅	∅	4	7	1	5	∅	∅	∅																							214	-	a	l	r	∅	∅	∅	_	A	L	R	∅	∅	∅	0	7	5	5	∅	∅	∅																																												
1	0.5000	2	1.0000	463	215	t	∅	∅	∅	o	∅	∅	T	∅	∅	∅	U	∅	∅	1	∅	∅	∅	7	∅	∅																																													216	t	∅	∅	∅	o	∅	∅	T	∅	∅	∅	U	∅	∅	1	∅	∅	∅	7	∅	∅																																																																																								
2	1.0000	1	0.5000	463	215	o	t	∅	∅	∅	∅	∅	U	T	∅	∅	∅	∅	∅	7	1	∅	∅	∅	∅	∅																																													216	o	t	∅	∅	∅	∅	∅	U	T	∅	∅	∅	∅	∅	7	1	∅	∅	∅	∅	∅																																																																																								
1	0.2000	5	1.0000	464																							217	t	∅	∅	∅	o	tʃ	a	T	∅	∅	∅	U	T	A	1	∅	∅	∅	7	1	7	218	t	∅	∅	∅	o	tʃ	a	T	∅	∅	∅	U	T	A	1	∅	∅	∅	7	1	7																							219	t	∅	∅	∅	o	tʃ	a	T	∅	∅	∅	U	T	A	1	∅	∅	∅	7	1	7	220	t	∅	∅	∅	o	tʃ	a	T	∅	∅	∅	U	T	A	1	∅	∅	∅	7	1	7	221	t	∅	∅	∅	o	ʃ	a	T	∅	∅	∅	U	S	A	1	∅	∅	∅	7	3	7																						
2	0.4000	4	0.8000	464																							217	o	t	∅	∅	tʃ	a	ŋ	U	T	∅	∅	T	A	N	7	1	∅	∅	1	7	4	218	o	t	∅	∅	tʃ	a	ŋ	U	T	∅	∅	T	A	N	7	1	∅	∅	1	7	4																							219	o	t	∅	∅	tʃ	a	ŋ	U	T	∅	∅	T	A	N	7	1	∅	∅	1	7	4	220	o	t	∅	∅	tʃ	a	ŋ	U	T	∅	∅	T	A	N	7	1	∅	∅	1	7	4	221	o	t	∅	∅	ʃ	a	ŋ	U	T	∅	∅	S	A	N	7	1	∅	∅	3	7	4																						
3	0.6000	3	0.6000	464																							217	tʃ	o	t	∅	a	ŋ	∅	T	U	T	∅	A	N	∅	1	7	1	∅	7	4	∅	218	tʃ	o	t	∅	a	ŋ	∅	T	U	T	∅	A	N	∅	1	7	1	∅	7	4	∅																							219	tʃ	o	t	∅	a	ŋ	∅	T	U	T	∅	A	N	∅	1	7	1	∅	7	4	∅	220	tʃ	o	t	∅	a	ŋ	∅	T	U	T	∅	A	N	∅	1	7	1	∅	7	4	∅	221	ʃ	o	t	∅	a	ŋ	∅	S	U	T	∅	A	N	∅	3	7	1	∅	7	4	∅																						
4	0.8000	2	0.4000	464																							217	a	tʃ	o	t	ŋ	∅	∅	A	T	U	T	N	∅	∅	7	1	7	1	4	∅	∅	218	a	tʃ	o	t	ŋ	∅	∅	A	T	U	T	N	∅	∅	7	1	7	1	4	∅	∅																							219	a	tʃ	o	t	ŋ	∅	∅	A	T	U	T	N	∅	∅	7	1	7	1	4	∅	∅	220	a	tʃ	o	t	ŋ	∅	∅	A	T	U	T	N	∅	∅	7	1	7	1	4	∅	∅	221	a	ʃ	o	t	ŋ	∅	∅	A	S	U	T	N	∅	∅	7	3	7	1	4	∅	∅																						
5	1.0000	1	0.2000	464																							217	ŋ	a	tʃ	o	∅	∅	∅	N	A	T	U	∅	∅	∅	4	7	1	7	∅	∅	∅	218	ŋ	a	tʃ	o	∅	∅	∅	N	A	T	U	∅	∅	∅	4	7	1	7	∅	∅	∅																							219	ŋ	a	tʃ	o	∅	∅	∅	N	A	T	U	∅	∅	∅	4	7	1	7	∅	∅	∅	220	ŋ	a	tʃ	o	∅	∅	∅	N	A	T	U	∅	∅	∅	4	7	1	7	∅	∅	∅	221	ŋ	a	ʃ	o	∅	∅	∅	N	A	S	U	∅	∅	∅	4	7	3	7	∅	∅	∅																						
1	0.5000	2	1.0000	483	222	w	∅	∅	∅	a	∅	∅	W	∅	∅	∅	A	∅	∅	6	∅	∅	∅	7	∅	∅	223	w	∅	∅	∅	a	∅	∅	W	∅	∅	∅	A	∅	∅	6	∅	∅	∅	7	∅	∅	224	w	∅	∅	∅	a	∅	∅	W	∅	∅	∅	A	∅	∅	6	∅	∅	∅	7	∅	∅																							225	w	∅	∅	∅	a	∅	∅	W	∅	∅	∅	A	∅	∅	6	∅	∅	∅	7	∅	∅	226	w	∅	∅	∅	a	∅	∅	W	∅	∅	∅	A	∅	∅	6	∅	∅	∅	7	∅	∅	227	w	∅	∅	∅	a	∅	∅	W	∅	∅	∅	A	∅	∅	6	∅	∅	∅	7	∅	∅	228	w	∅	∅	∅	a	∅	∅	W	∅	∅	∅	A	∅	∅	6	∅	∅	∅	7	∅	∅
2	1.0000	1	0.5000	483	222	a	w	∅	∅	∅	∅	∅	A	W	∅	∅	∅	∅	∅	7	6	∅	∅	∅	∅	∅	223	a	w	∅	∅	∅	∅	∅	A	W	∅	∅	∅	∅	∅	7	6	∅	∅	∅	∅	∅	224	a	w	∅	∅	∅	∅	∅	A	W	∅	∅	∅	∅	∅	7	6	∅	∅	∅	∅	∅																							225	a	w	∅	∅	∅	∅	∅	A	W	∅	∅	∅	∅	∅	7	6	∅	∅	∅	∅	∅	226	a	w	∅	∅	∅	∅	∅	A	W	∅	∅	∅	∅	∅	7	6	∅	∅	∅	∅	∅	227	a	w	∅	∅	∅	∅	∅	A	W	∅	∅	∅	∅	∅	7	6	∅	∅	∅	∅	∅	228	a	w	∅	∅	∅	∅	∅	A	W	∅	∅	∅	∅	∅	7	6	∅	∅	∅	∅	∅
1	0.2000	5	1.0000	493																																													229	ɾ	∅	∅	∅	i	d	o	R	∅	∅	∅	I	T	U	5	∅	∅	∅	7	1	7	230	ɾ	∅	∅	∅	i	d	o	R	∅	∅	∅	I	T	U	5	∅	∅	∅	7	1	7	231	ɾ	∅	∅	∅	i	d	o	R	∅	∅	∅	I	T	U	5	∅	∅	∅	7	1	7	232	ɾ	∅	∅	∅	i	d	o	R	∅	∅	∅	I	T	U	5	∅	∅	∅	7	1	7	233	ɾ	∅	∅	∅	i	d	o	R	∅	∅	∅	I	T	U	5	∅	∅	∅	7	1	7																						
2	0.4000	4	0.8000	493																																													229	i	ɾ	∅	∅	d	o	n	I	R	∅	∅	T	U	N	7	5	∅	∅	1	7	4	230	i	ɾ	∅	∅	d	o	n	I	R	∅	∅	T	U	N	7	5	∅	∅	1	7	4	231	i	ɾ	∅	∅	d	o	n	I	R	∅	∅	T	U	N	7	5	∅	∅	1	7	4	232	i	ɾ	∅	∅	d	o	n	I	R	∅	∅	T	U	N	7	5	∅	∅	1	7	4	233	i	ɾ	∅	∅	d	o	n	I	R	∅	∅	T	U	N	7	5	∅	∅	1	7	4																						
3	0.6000	3	0.6000	493																																													229	d	i	ɾ	∅	o	n	∅	T	I	R	∅	U	N	∅	1	7	5	∅	7	4	∅	230	d	i	ɾ	∅	o	n	∅	T	I	R	∅	U	N	∅	1	7	5	∅	7	4	∅	231	d	i	ɾ	∅	o	n	∅	T	I	R	∅	U	N	∅	1	7	5	∅	7	4	∅	232	d	i	ɾ	∅	o	n	∅	T	I	R	∅	U	N	∅	1	7	5	∅	7	4	∅	233	d	i	ɾ	∅	o	n	∅	T	I	R	∅	U	N	∅	1	7	5	∅	7	4	∅																						
4	0.8000	2	0.4000	493																																													229	o	d	i	ɾ	n	∅	∅	U	T	I	R	N	∅	∅	7	1	7	5	4	∅	∅	230	o	d	i	ɾ	n	∅	∅	U	T	I	R	N	∅	∅	7	1	7	5	4	∅	∅	231	o	d	i	ɾ	n	∅	∅	U	T	I	R	N	∅	∅	7	1	7	5	4	∅	∅	232	o	d	i	ɾ	n	∅	∅	U	T	I	R	N	∅	∅	7	1	7	5	4	∅	∅	233	o	d	i	ɾ	n	∅	∅	U	T	I	R	N	∅	∅	7	1	7	5	4	∅	∅																						
5	1.0000	1	0.2000	493																																													229	n	o	d	i	∅	∅	∅	N	U	T	I	∅	∅	∅	4	7	1	7	∅	∅	∅	230	n	o	d	i	∅	∅	∅	N	U	T	I	∅	∅	∅	4	7	1	7	∅	∅	∅	231	n	o	d	i	∅	∅	∅	N	U	T	I	∅	∅	∅	4	7	1	7	∅	∅	∅	232	n	o	d	i	∅	∅	∅	N	U	T	I	∅	∅	∅	4	7	1	7	∅	∅	∅	233	n	o	d	i	∅	∅	∅	N	U	T	I	∅	∅	∅	4	7	1	7	∅	∅	∅																						
1	0.3333	3	1.0000	508	234	ŋ	∅	∅	∅	a	m	∅	N	∅	∅	∅	A	M	∅	4	∅	∅	∅	7	4	∅	235	ŋ	∅	∅	∅	a	m	∅	N	∅	∅	∅	A	M	∅	4	∅	∅	∅	7	4	∅																																													236	ŋ	∅	∅	∅	a	m	∅	N	∅	∅	∅	A	M	∅	4	∅	∅	∅	7	4	∅	237	ŋ	∅	∅	∅	a	m	∅	N	∅	∅	∅	A	M	∅	4	∅	∅	∅	7	4	∅	238	ŋ	∅	∅	∅	a	m	∅	N	∅	∅	∅	A	M	∅	4	∅	∅	∅	7	4	∅	239	ŋ	∅	∅	∅	a	m	∅	N	∅	∅	∅	A	M	∅	4	∅	∅	∅	7	4	∅
2	0.6667	2	0.6667	508	234	a	ŋ	∅	∅	m	∅	∅	A	N	∅	∅	M	∅	∅	7	4	∅	∅	4	∅	∅	235	a	ŋ	∅	∅	m	∅	∅	A	N	∅	∅	M	∅	∅	7	4	∅	∅	4	∅	∅																																													236	a	ŋ	∅	∅	m	∅	∅	A	N	∅	∅	M	∅	∅	7	4	∅	∅	4	∅	∅	237	a	ŋ	∅	∅	m	∅	∅	A	N	∅	∅	M	∅	∅	7	4	∅	∅	4	∅	∅	238	a	ŋ	∅	∅	m	∅	∅	A	N	∅	∅	M	∅	∅	7	4	∅	∅	4	∅	∅	239	a	ŋ	∅	∅	m	∅	∅	A	N	∅	∅	M	∅	∅	7	4	∅	∅	4	∅	∅
3	1.0000	1	0.3333	508	234	m	a	ŋ	∅	∅	∅	∅	M	A	N	∅	∅	∅	∅	4	7	4	∅	∅	∅	∅	235	m	a	ŋ	∅	∅	∅	∅	M	A	N	∅	∅	∅	∅	4	7	4	∅	∅	∅	∅																																													236	m	a	ŋ	∅	∅	∅	∅	M	A	N	∅	∅	∅	∅	4	7	4	∅	∅	∅	∅	237	m	a	ŋ	∅	∅	∅	∅	M	A	N	∅	∅	∅	∅	4	7	4	∅	∅	∅	∅	238	m	a	ŋ	∅	∅	∅	∅	M	A	N	∅	∅	∅	∅	4	7	4	∅	∅	∅	∅	239	m	a	ŋ	∅	∅	∅	∅	M	A	N	∅	∅	∅	∅	4	7	4	∅	∅	∅	∅
1	0.1000	10	1.0000	509																																													240	t̪	∅	∅	∅	i	n	u	T	∅	∅	∅	I	N	Y	1	∅	∅	∅	7	4	7	241	-	∅	∅	∅	-	-	-	_	∅	∅	∅	_	_	_	0	∅	∅	∅	0	0	0																																																																																								
2	0.2000	9	0.9000	509																																													240	i	t̪	∅	∅	n	u	ŋ	I	T	∅	∅	N	Y	N	7	1	∅	∅	4	7	4	241	-	-	∅	∅	-	-	ŋ	_	_	∅	∅	_	_	N	0	0	∅	∅	0	0	4																																																																																								
3	0.3000	8	0.8000	509																																													240	n	i	t̪	∅	u	ŋ	a	N	I	T	∅	Y	N	A	4	7	1	∅	7	4	7	241	-	-	-	∅	-	ŋ	a	_	_	_	∅	_	N	A	0	0	0	∅	0	4	7																																																																																								
4	0.4000	7	0.7000	509																																													240	u	n	i	t̪	ŋ	a	m	Y	N	I	T	N	A	M	7	4	7	1	4	7	4	241	-	-	-	-	ŋ	a	m	_	_	_	_	N	A	M	0	0	0	0	4	7	4																																																																																								
5	0.5000	6	0.6000	509																																													240	ŋ	u	n	i	a	m	tʰ	N	Y	N	I	A	M	T	4	7	4	7	7	4	1	241	ŋ	-	-	-	a	m	tʰ	N	_	_	_	A	M	T	4	0	0	0	7	4	1																																																																																								
6	0.6000	5	0.5000	509																																													240	a	ŋ	u	n	m	tʰ	u	A	N	Y	N	M	T	Y	7	4	7	4	4	1	7	241	a	ŋ	-	-	m	tʰ	u	A	N	_	_	M	T	Y	7	4	0	0	4	1	7																																																																																								
7	0.7000	4	0.4000	509																																													240	m	a	ŋ	u	tʰ	u	r	M	A	N	Y	T	Y	R	4	7	4	7	1	7	5	241	m	a	ŋ	-	tʰ	u	r	M	A	N	_	T	Y	R	4	7	4	0	1	7	5																																																																																								
8	0.8000	3	0.3000	509																																													240	tʰ	m	a	ŋ	u	r	∅	T	M	A	N	Y	R	∅	1	4	7	4	7	5	∅	241	tʰ	m	a	ŋ	u	r	∅	T	M	A	N	Y	R	∅	1	4	7	4	7	5	∅																																																																																								
9	0.9000	2	0.2000	509																																													240	u	tʰ	m	a	r	∅	∅	Y	T	M	A	R	∅	∅	7	1	4	7	5	∅	∅	241	u	tʰ	m	a	r	∅	∅	Y	T	M	A	R	∅	∅	7	1	4	7	5	∅	∅																																																																																								
10	1.0000	1	0.1000	509																																													240	r	u	tʰ	m	∅	∅	∅	R	Y	T	M	∅	∅	∅	5	7	1	4	∅	∅	∅	241	r	u	tʰ	m	∅	∅	∅	R	Y	T	M	∅	∅	∅	5	7	1	4	∅	∅	∅																																																																																								
1	0.2000	5	1.0000	517	242	t	∅	∅	∅	i	ŋ	p	T	∅	∅	∅	I	N	P	1	∅	∅	∅	7	4	1																																													243	t	∅	∅	∅	i	ŋ	p	T	∅	∅	∅	I	N	P	1	∅	∅	∅	7	4	1																																																																																								
2	0.4000	4	0.8000	517	242	i	t	∅	∅	ŋ	p	u	I	T	∅	∅	N	P	Y	7	1	∅	∅	4	1	7																																													243	i	t	∅	∅	ŋ	p	u	I	T	∅	∅	N	P	Y	7	1	∅	∅	4	1	7																																																																																								
3	0.6000	3	0.6000	517	242	ŋ	i	t	∅	p	u	∅	N	I	T	∅	P	Y	∅	4	7	1	∅	1	7	∅																																													243	ŋ	i	t	∅	p	u	∅	N	I	T	∅	P	Y	∅	4	7	1	∅	1	7	∅																																																																																								
4	0.8000	2	0.4000	517	242	p	ŋ	i	t	u	∅	∅	P	N	I	T	Y	∅	∅	1	4	7	1	7	∅	∅																																													243	p	ŋ	i	t	u	∅	∅	P	N	I	T	Y	∅	∅	1	4	7	1	7	∅	∅																																																																																								
5	1.0000	1	0.2000	517	242	u	p	ŋ	i	∅	∅	∅	Y	P	N	I	∅	∅	∅	7	1	4	7	∅	∅	∅																																													243	u	p	ŋ	i	∅	∅	∅	Y	P	N	I	∅	∅	∅	7	1	4	7	∅	∅	∅																																																																																								
1	0.1667	6	1.0000	518																							244	t	∅	∅	∅	o	ŋ	tʃ	T	∅	∅	∅	U	N	T	1	∅	∅	∅	7	4	1																																													245	t	∅	∅	∅	o	ŋ	tʃ	T	∅	∅	∅	U	N	T	1	∅	∅	∅	7	4	1	246	t	∅	∅	∅	o	ŋ	tʃ	T	∅	∅	∅	U	N	T	1	∅	∅	∅	7	4	1	247	t	∅	∅	∅	o	ŋ	tʃ	T	∅	∅	∅	U	N	T	1	∅	∅	∅	7	4	1																						
2	0.3333	5	0.8333	518																							244	o	t	∅	∅	ŋ	tʃ	e	U	T	∅	∅	N	T	E	7	1	∅	∅	4	1	7																																													245	o	t	∅	∅	ŋ	tʃ	e	U	T	∅	∅	N	T	E	7	1	∅	∅	4	1	7	246	o	t	∅	∅	ŋ	tʃ	e	U	T	∅	∅	N	T	E	7	1	∅	∅	4	1	7	247	o	t	∅	∅	ŋ	tʃ	e	U	T	∅	∅	N	T	E	7	1	∅	∅	4	1	7																						
3	0.5000	4	0.6667	518																							244	ŋ	o	t	∅	tʃ	e	n	N	U	T	∅	T	E	N	4	7	1	∅	1	7	4																																													245	ŋ	o	t	∅	tʃ	e	n	N	U	T	∅	T	E	N	4	7	1	∅	1	7	4	246	ŋ	o	t	∅	tʃ	e	n	N	U	T	∅	T	E	N	4	7	1	∅	1	7	4	247	ŋ	o	t	∅	tʃ	e	n	N	U	T	∅	T	E	N	4	7	1	∅	1	7	4																						
4	0.6667	3	0.5000	518																							244	tʃ	ŋ	o	t	e	n	∅	T	N	U	T	E	N	∅	1	4	7	1	7	4	∅																																													245	tʃ	ŋ	o	t	e	n	∅	T	N	U	T	E	N	∅	1	4	7	1	7	4	∅	246	tʃ	ŋ	o	t	e	n	∅	T	N	U	T	E	N	∅	1	4	7	1	7	4	∅	247	tʃ	ŋ	o	t	e	n	∅	T	N	U	T	E	N	∅	1	4	7	1	7	4	∅																						
5	0.8333	2	0.3333	518																							244	e	tʃ	ŋ	o	n	∅	∅	E	T	N	U	N	∅	∅	7	1	4	7	4	∅	∅																																													245	e	tʃ	ŋ	o	n	∅	∅	E	T	N	U	N	∅	∅	7	1	4	7	4	∅	∅	246	e	tʃ	ŋ	o	n	∅	∅	E	T	N	U	N	∅	∅	7	1	4	7	4	∅	∅	247	e	tʃ	ŋ	o	n	∅	∅	E	T	N	U	N	∅	∅	7	1	4	7	4	∅	∅																						
6	1.0000	1	0.1667	518																							244	n	e	tʃ	ŋ	∅	∅	∅	N	E	T	N	∅	∅	∅	4	7	1	4	∅	∅	∅																																													245	n	e	tʃ	ŋ	∅	∅	∅	N	E	T	N	∅	∅	∅	4	7	1	4	∅	∅	∅	246	n	e	tʃ	ŋ	∅	∅	∅	N	E	T	N	∅	∅	∅	4	7	1	4	∅	∅	∅	247	n	e	tʃ	ŋ	∅	∅	∅	N	E	T	N	∅	∅	∅	4	7	1	4	∅	∅	∅																						
1	0.2500	4	1.0000	535	248	s	∅	∅	∅	o	s	o	S	∅	∅	∅	U	S	U	3	∅	∅	∅	7	3	7																							249	s	∅	∅	∅	o	s	o	S	∅	∅	∅	U	S	U	3	∅	∅	∅	7	3	7	250	s	∅	∅	∅	o	s	o	S	∅	∅	∅	U	S	U	3	∅	∅	∅	7	3	7	251	s	∅	∅	∅	o	s	o	S	∅	∅	∅	U	S	U	3	∅	∅	∅	7	3	7	252	s	∅	∅	∅	o	s	o	S	∅	∅	∅	U	S	U	3	∅	∅	∅	7	3	7	253	s	∅	∅	∅	ŭ	s	u	S	∅	∅	∅	Y	S	Y	3	∅	∅	∅	7	3	7	254	s	∅	∅	∅	o	s	o	S	∅	∅	∅	U	S	U	3	∅	∅	∅	7	3	7
2	0.5000	3	0.7500	535	248	o	s	∅	∅	s	o	∅	U	S	∅	∅	S	U	∅	7	3	∅	∅	3	7	∅																							249	o	s	∅	∅	s	o	∅	U	S	∅	∅	S	U	∅	7	3	∅	∅	3	7	∅	250	o	s	∅	∅	s	o	∅	U	S	∅	∅	S	U	∅	7	3	∅	∅	3	7	∅	251	o	s	∅	∅	s	o	∅	U	S	∅	∅	S	U	∅	7	3	∅	∅	3	7	∅	252	o	s	∅	∅	s	o	∅	U	S	∅	∅	S	U	∅	7	3	∅	∅	3	7	∅	253	ŭ	s	∅	∅	s	u	∅	Y	S	∅	∅	S	Y	∅	7	3	∅	∅	3	7	∅	254	o	s	∅	∅	s	o	∅	U	S	∅	∅	S	U	∅	7	3	∅	∅	3	7	∅
3	0.7500	2	0.5000	535	248	s	o	s	∅	o	∅	∅	S	U	S	∅	U	∅	∅	3	7	3	∅	7	∅	∅																							249	s	o	s	∅	o	∅	∅	S	U	S	∅	U	∅	∅	3	7	3	∅	7	∅	∅	250	s	o	s	∅	o	∅	∅	S	U	S	∅	U	∅	∅	3	7	3	∅	7	∅	∅	251	s	o	s	∅	o	∅	∅	S	U	S	∅	U	∅	∅	3	7	3	∅	7	∅	∅	252	s	o	s	∅	o	∅	∅	S	U	S	∅	U	∅	∅	3	7	3	∅	7	∅	∅	253	s	ŭ	s	∅	u	∅	∅	S	Y	S	∅	Y	∅	∅	3	7	3	∅	7	∅	∅	254	s	o	s	∅	o	∅	∅	S	U	S	∅	U	∅	∅	3	7	3	∅	7	∅	∅
4	1.0000	1	0.2500	535	248	o	s	o	s	∅	∅	∅	U	S	U	S	∅	∅	∅	7	3	7	3	∅	∅	∅																							249	o	s	o	s	∅	∅	∅	U	S	U	S	∅	∅	∅	7	3	7	3	∅	∅	∅	250	o	s	o	s	∅	∅	∅	U	S	U	S	∅	∅	∅	7	3	7	3	∅	∅	∅	251	o	s	o	s	∅	∅	∅	U	S	U	S	∅	∅	∅	7	3	7	3	∅	∅	∅	252	o	s	o	s	∅	∅	∅	U	S	U	S	∅	∅	∅	7	3	7	3	∅	∅	∅	253	u	s	ŭ	s	∅	∅	∅	Y	S	Y	S	∅	∅	∅	7	3	7	3	∅	∅	∅	254	o	s	o	s	∅	∅	∅	U	S	U	S	∅	∅	∅	7	3	7	3	∅	∅	∅
1	0.2000	5	1.0000	562	255	s	∅	∅	∅	a	ŋ	k	S	∅	∅	∅	A	N	K	3	∅	∅	∅	7	4	1																																													256	s	∅	∅	∅	a	ŋ	k	S	∅	∅	∅	A	N	K	3	∅	∅	∅	7	4	1																																																																																								
2	0.4000	4	0.8000	562	255	a	s	∅	∅	ŋ	k	a	A	S	∅	∅	N	K	A	7	3	∅	∅	4	1	7																																													256	a	s	∅	∅	ŋ	k	a	A	S	∅	∅	N	K	A	7	3	∅	∅	4	1	7																																																																																								
3	0.6000	3	0.6000	562	255	ŋ	a	s	∅	k	a	∅	N	A	S	∅	K	A	∅	4	7	3	∅	1	7	∅																																													256	ŋ	a	s	∅	k	a	∅	N	A	S	∅	K	A	∅	4	7	3	∅	1	7	∅																																																																																								
