COGID	Beijing	Changsha	Chaozhou	Chengdu	Fuzhou	Guangzhou	Hankou	Jinan	Meixian	Nanchang	Shanghai	Shuangfeng	Suzhou	Taiyuan	Wenzhou	XiAn	Xiamen	Yangzhou	ZhongyuanYinyun
144-16																	s a ⁵¹		
161-16																	h j ɔ ŋ ⁵⁵		
166-16																	k w ɔ ŋ ⁵⁵		
170-16																	l ɪ ²⁴		
171-16																	tʰ u ¹¹		
173-16																	l w a t ³²		
174-16																	n w i ³³		
175-16																	ts w a n ²⁴		
176-16																	l j ɔ ŋ ⁵¹		
177-16																	p a k ³²		
179-16																	l j ɔ k ³²		
181-16																	p ɪ ŋ ⁵⁵		
182-16																	kʰ i ²⁴		
189-16																	k w a n ⁵⁵		
191-16																	t ɔ ŋ ⁵⁵		
193-16																	l ɪ ŋ ⁵¹		
198-16																	t ɪ n ¹¹		
199-16																	h j ɔ ŋ ⁵⁵		
2-17																i ²¹			
4-17																tɕʰ i ²⁴			
5-17																ʈʂ w a ŋ ⁵⁵			
6-17																ʂ aː ²¹			
7-17																ʂ w a ŋ ⁵⁵			
8-17																ɕ j a ⁵⁵			
9-17																p u ²⁴			
17-17																ʈʂ u ŋ ²¹			
31-17																tɕ j ou ⁵³			
32-17																j e ⁵³			
33-17																l y ⁵³			
38-17																l j ə ⁵⁵			
40-17																x w ə ŋ ²⁴			
42-17																u ⁵³			
43-17																tɕ i ŋ ⁵³			
46-17																w a ŋ ²⁴			
52-17																l j a ŋ ⁵⁵			
53-17																n ə ²⁴			
56-17																tɕ i ²¹			
59-17																tʰ a ²¹			
60-17																ʈʂ w a ŋ ⁵⁵			
64-17																l i ŋ ⁵⁵			
68-17																tɕ iaː ⁵⁵			
85-17																w ei ⁵⁵			
86-17																t i ²¹			
87-17																ʈʂ u ⁵⁵			
93-17																n i ⁵³			
98-17																l ɛ ²⁴			
109-17																ɕ i ⁵⁵			
115-17																t au ⁵³			
118-17																tɕ j e ⁵⁵			
124-17																tɕ j a ⁵³			
127-17																ʈʂ u ⁵⁵			
133-17																tʰ au ²¹			
144-17																ʂ a ⁵³			
161-17																ɕ j a ŋ ²¹			
166-17																k w a ŋ ²¹			
170-17																l j au ²⁴			
171-17																tʰ u ⁵⁵			
173-17																n y ²⁴			
174-17																l w ei ⁵⁵			
175-17																ʈʂʰ ɥ a ²⁴			
176-17																l j a ŋ ⁵³			
177-17																p a ²¹			
179-17																l j ou ²⁴			
181-17																p i ²¹			
182-17																tɕʰ i ²⁴			
189-17																k w a ²¹			
191-17																t u ŋ ²¹			
193-17																l ə ŋ ⁵³			
198-17																t ə ŋ ⁵⁵			
199-17																ɕ j o ŋ ²¹			
2-18																		t j ə ʔ ⁴	
4-18																		tɕʰ j ə ʔ ⁴	
5-18																		ts w ɑ ŋ ⁵⁵	
6-18																		s a ²¹	
7-18																		s w ɑ ŋ ⁵⁵	
8-18																		ɕ j ɑ ⁵⁵	
9-18																		p o ʔ ⁴	
17-18																		ts o ŋ ²¹	
31-18																		tɕ j ɤɯ ⁴²	
32-18																		j ɑ ⁴²	
33-18																		l y ⁴²	
38-18																		l j ə ⁵⁵	
40-18																		x w ə n ³⁴	
42-18																		u ⁴²	
43-18																		tɕ i n ⁴²	
46-18																		w ɑ ŋ ³⁴	
52-18																		l j ɑ ŋ ⁵⁵	
53-18																		n ə ³⁴	
56-18																		tɕ i ²¹	
59-18																		tʰ a ²¹	
60-18																		ts w ɑ ŋ ⁵⁵	
64-18																		l i ⁵⁵	
68-18																		tɕ ɪː ⁵⁵	
85-18																		w əi ⁵⁵	
86-18																		t i ²¹	
87-18																		ts u ⁵⁵	
93-18																		n i ⁴²	
98-18																		l ɛ ³⁴	
109-18																		ɕ i ⁵⁵	
115-18																		t ɔ ⁴²	
118-18																		tɕ j ɑ ʔ ⁴	
124-18																		tɕ j a ⁴²	
127-18																		ts w o ⁵⁵	
133-18																		tʰ ɤɯ ²¹	
144-18																		s a ⁴²	
161-18																		ɕ j ɑ ŋ ²¹	
166-18																		k w ɑ ŋ ²¹	
170-18																		l j ə ³⁴	
171-18																		tʰ u ⁵⁵	
173-18																		l w ə ʔ ⁴	
174-18																		n w ɛ ⁵⁵	
175-18																		tɕʰ ɥ ɪː ³⁴	
176-18																		l j ɑ ŋ ⁴²	
177-18																		p a ʔ ⁴	
179-18																		l j ɤɯ ʔ ⁴	
181-18																		p i ²¹	
182-18																		tɕʰ i ³⁴	
189-18																		k w uoː ²¹	
191-18																		t o ŋ ²¹	
193-18																		l ə n ⁴²	
198-18																		t ə n ⁵⁵	
199-18																		ɕ j ɑ ŋ ²¹	
2-19																			j ə ²¹⁴
4-19																			tsʰ j ə ²¹⁴
5-19																			ts w a ŋ ⁵¹
6-19																			ʃ a m ⁵⁵
7-19																			ʃ j a ŋ ⁵¹
8-19																			x j a ⁵¹
9-19																			p u ²¹⁴
17-19																			ts u ŋ ⁵⁵
31-19																			k j u ³⁵
32-19																			j e ³⁵
33-19																			l j u ³⁵
38-19																			l j ə ⁵¹
40-19																			j u n ⁵⁵
42-19																			u ³⁵
43-19																			ts j ə n ³⁵
46-19																			w a ŋ ⁵⁵
52-19																			l j a ŋ ⁵¹
53-19																			n j ə n ⁵⁵
56-19																			k i m ⁵⁵
59-19																			tʰ a ⁵⁵
60-19																			ts w a ŋ ⁵¹
64-19																			l i n ⁵¹
68-19																			k j a n ⁵¹
85-19																			w ei ⁵¹
86-19																			t i ⁵⁵
87-19																			ts u ⁵¹
93-19																			n i ³⁵
98-19																			l j ai ⁵⁵
109-19																			s i n ⁵¹
115-19																			t au ³⁵
118-19																			ts j e ⁵⁵
124-19																			k j a ³⁵
127-19																			ts w au ⁵¹
133-19																			tʰ j au ⁵⁵
144-19																			ʃ a ³⁵
161-19																			x j u ŋ ⁵⁵
166-19																			k w a ŋ ⁵⁵
170-19																			l j ə ⁵⁵
171-19																			tʰ u ⁵¹
173-19																			n j u ²¹⁴
174-19																			n w ei ⁵¹
175-19																			tsʰ w a n ⁵⁵
176-19																			l j a ŋ ³⁵
177-19																			p a ²¹⁴
179-19																			l j u ²¹⁴
181-19																			p i n ⁵⁵
182-19																			kʰ i ⁵⁵
189-19																			k w a n ⁵⁵
191-19																			t u ŋ ⁵⁵
193-19																			l ə n ³⁵
198-19																			t ə n ⁵¹
199-19																			x j u ŋ ⁵⁵
