COGID	AntangWesternSandong	BanliangYangAn	DujiangEasternSandong	JiaoliPandong	JiarongSouthernSandong	JiuqianSouthernSandong	Pandong	RenliEasternSandong	SanjiangEasternSandong	ShuigenCentralSandong	ShuiweiSouthernSandong	ShuiyaoSouthernSandong	TangnianYangAn	TangzhouWesternSandong	TingpaiWesternSandong	ZhongheCentralSandong
4606-5					h aː n ¹											
5207-5					m a n ¹											
7280-5					t j aːu ¹											
6983-5					ʔ j i t ¹											
5168-5					t aː ŋ ¹											
1264-5					s t u ¹											
915-5					t aːu ¹											
1767-5					t u ŋ ¹											
10901-5					t j a n ¹											
10867-5					ˀd a ŋ ¹											
417-5					k j a n ¹											
2285-5					pʰ m aːu ¹											
11002-5					ʔ ȶ i t ¹											
6348-5					ˀm ai ¹											
6349-5					m aː n ¹											
10602-5					ˀb aː n ¹											
5654-5					ɕ j a n ¹											
880-5					ˀm e ¹											
983-5					h aː n ¹											
2033-5					t o ¹											
1433-5					s j a ¹											
1467-5					p aː k ¹											
469-5					t j a m ¹											
3127-5					s j a ¹											
4623-5					h a ¹											
7099-5					l j aː k ¹											
4726-5					ɕ e n ¹											
10465-5					ˀb aː n ¹											
5519-5					h ə n ¹											
5893-5					t m a n ¹											
2857-5					t a n ¹											
3645-5					h aː n ¹											
3032-5					ɕ j a n ¹											
2088-5					ɕ j a n ¹											
2463-5					t aːu ¹											
4794-5					ȵ i ¹											
4569-5					l u ŋ ¹											
4586-5					t t u ¹											
4552-5					k a ¹											
3228-5					q o ŋ ¹											
3245-5					j a ¹											
6651-5					l aː k ¹											
6652-5					ⁿb aː n ¹											
1817-5					l aː k ¹											
1818-5					ˀb j aː k ¹											
11052-5					ˀn o ¹											
1230-5					l aː k ¹											
3380-5					h a k ¹											
8174-5					h a m ¹											
8599-5					ʔ j a m ¹											
7782-5					pʰ j ai ¹											
8294-5					l i k ¹											
8514-5					h a ¹											
9669-5					l j a k ¹											
8531-5					t aːu ¹											
7954-5					p u k ¹											
9968-5					h a m ¹											
8040-5					t a ¹											
9304-5					t i ¹											
8345-5					t o k ¹											
8765-5					t o k ¹											
8849-5					s i ŋ ¹											
9286-5					t j a ŋ ¹											
9581-5					ɕ a n ¹											
9267-5					l a ¹											
8497-5					ts j e n ¹											
7602-5					t aː p ¹											
8431-5					ɕ j a n ¹											
10036-5					s u k ¹											
10019-5					l a k ¹											
9216-5					ȵ e ¹											
8074-5					q aː t ¹											
9511-5					qʰ a n ¹											
8243-5					ʔ j a m ¹											
9250-5					t j a m ¹											
7568-5					h a ¹											
8832-5					k aːu ¹											
8057-5					ȵ e ¹											
7716-5					h u p ¹											
9899-5					t i ¹											
7585-5					k aːu ¹											
8582-5					ˀb j a ¹											
9097-5					h a m ¹											
10125-5					f a ¹											
9460-5					l aːu ¹											
9649-5					u t ¹											
9870-5					ˀn a p ¹											
8680-5					h a m ¹											
7699-5					ȶ i t ¹											
9001-5					s j aː t ¹											
9494-5					t i p ¹											
7666-5					ɕ a n ¹											
9598-5					t a k ¹											
8023-5					q a m ¹											
6882-6						s ə t ¹										
6485-6						ˀb ə n ¹										
4690-6						m aː n ¹										
5671-6						t v ə n ¹										
4272-6						s t aː p ¹										
10935-6						t aːu ¹										
4760-6						ɕ j a n ¹										
1881-6						v a n ¹										
4777-6						ɕ ə t ¹										
10969-6						v a n ¹										
10970-6						ˀm a ¹										
10206-6						v a n ¹										
6565-6						t j a n ¹										
1281-6						ʔ j a n ¹										
10569-6						ˀn a m ¹										
6899-6						t j a ŋ ¹										
7081-6						k aːu ¹										
4090-6						t a m ¹										
2197-6						h a m ¹										
3352-6						t i ¹										
3892-6						ɕ ə t ¹										
1071-6						q a m ¹										
10313-6						ˀm ai ¹										
2671-6						t j ə t ¹										
5502-6						s u k ¹										
7382-6						t a n ¹										
932-6						t aː ŋ ¹										
533-6						ˀm ai ¹										
4159-6						v a ¹										
2804-6						l u k ¹										
5451-6						ɣ a ¹										
5773-6						t aːu ¹										
6933-6						t aːu ¹										
4657-6						t aːu ¹										
4658-6						t j a ŋ ¹										
6966-6						h i ¹										
5351-6						ɣ a ¹										
4073-6						t aːu ¹										
2163-6						ˀb j a ŋ ¹										
1121-6						s a ¹										
5790-6						v aː ŋ ¹										
10413-6						ˀm a ¹										
6731-6						ˀm a ¹										
1645-6						ˀm a ¹										
4914-6						ˀm a ¹										
6175-6						ȵ a ¹										
3092-6						s a n ¹										
1247-6						l j aː n ¹										
5620-6						s j u ¹										
4897-6						ˀm a ¹										
4811-6						ⁿb aː ŋ ¹										
1213-6						k aːu ¹										
11019-6						m aː ŋ ¹										
11020-6						k aːu ¹										
2129-6						t aː p ¹										
3211-6						h aː n ¹										
714-6						l o k ¹										
1729-6						k a ¹										
3679-6						ˀm a ¹										
1054-6						s u ¹										
7448-6						h a m ¹										
582-6						s j i ¹										
4743-6						s a n ¹										
5419-6						l j a n ¹										
5601-6						ˀb aː n ¹										
2705-6						h a m ¹										
6381-6						ˀn a ŋ ¹										
1017-6						t a ¹										
645-6						l aː k ¹										
273-6						m ə t ¹										
4338-6						t j a k ¹										
2533-6						t aːu ¹										
1089-6						q a p ¹										
843-6						ˀn a n ¹										
2787-6						ɕ ə t ¹										
4462-6						ˀn u n ¹										
10918-6						h a n ¹										
6582-6						h a ¹										
2070-6						k a ¹										
3075-6						s p a k ¹										
10848-6						v a ¹										
2480-6						s ə n ¹										
2214-6						t aːu ¹										
7225-6						h ə t ¹										
3515-6						ʔ j a m ¹										
2588-6						s ə n ¹										
2908-6						ˀb j aː k ¹										
2393-6						ˀn a ¹										
1156-6						ˀm a ¹										
2374-6						t a ¹										
2146-6						k a ¹										
5133-6						ˀn a ŋ ¹										
4981-6						l u k ¹										
10239-6						ˀm a ¹										
599-6						l j ə t ¹										
5048-6						t aːu ¹										
6331-6						h a ¹										
290-6						qʰ aː n ¹										
311-6						h aː k ¹										
3430-6						s j a ¹										
5369-6						s j a ¹										
2749-6						t a n ¹										
2621-6						l j a k ¹										
1181-6						t a k ¹										
949-6						t j u ¹										
2839-6						t a n ¹										
861-6						l aː k ¹										
6773-6						l aː k ¹										
5739-6						l aː k ¹										
5740-6						s ə t ¹										
3550-6						ɕ u m ¹										
4445-6						ts ə t ¹										
680-6						l aː ŋ ¹										
817-6						t aː n ¹										
782-6						pʰ j ə t ¹										
10396-6						s j u ¹										
4606-6						h aː n ¹										
5207-6						m a n ¹										
7280-6						ts j a ¹										
6983-6						ʔ j ə t ¹										
5168-6						t aː ŋ ¹										
1264-6						s t u ¹										
915-6						t aːu ¹										
1767-6						t u ŋ ¹										
10901-6						t j a n ¹										
10867-6						ˀd aː ŋ ¹										
417-6						t j a n ¹										
2285-6						pʰ m aːu ¹										
11002-6						ʔ ȶ ə t ¹										
6348-6						ˀm ai ¹										
6349-6						m aː n ¹										
10602-6						ˀb ə n ¹										
5654-6						ɕ j a n ¹										
880-6						ˀm a ¹										
983-6						h aː n ¹										
2033-6						t o ¹										
1433-6						s j a ¹										
1467-6						p aː k ¹										
469-6						t j a m ¹										
3127-6						s j a ¹										
4623-6						h a ¹										
7099-6						l j aː k ¹										
4726-6						ɕ e n ¹										
10465-6						ˀb aː n ¹										
5519-6						h aː n ¹										
5893-6						t m a n ¹										
2857-6						t a n ¹										
3645-6						h aː n ¹										
3032-6						ɕ j a n ¹										
2088-6						t j a n ¹										
2463-6						t aːu ¹										
4794-6						ȵ i ¹										
4569-6						l u ŋ ¹										
4586-6						ts t u ¹										
4552-6						t a ¹										
3228-6						q aː ŋ ¹										
3245-6						j a ¹										
6651-6						l aː k ¹										
6652-6						ⁿb aː n ¹										
1817-6						l aː k ¹										
1818-6						ˀb j aː k ¹										
11052-6						ˀm a ¹										
1230-6						l aː k ¹										
3380-6						h a k ¹										
8174-6						h a m ¹										
8599-6						ʔ j a m ¹										
7782-6						pʰ j aːu ¹										
8294-6						l aː k ¹										
8514-6						h a ¹										
9669-6						l j a k ¹										
8531-6						t aːu ¹										
7954-6						p u k ¹										
9968-6						h a m ¹										
8040-6						t a ¹										
9304-6						t i ¹										
8345-6						t o k ¹										
8765-6						ȶ o k ¹										
8849-6						s a ŋ ¹										
9286-6						t j a ŋ ¹										
9581-6						s a n ¹										
9267-6						l a ¹										
8497-6						ts a n ¹										
7602-6						t aː p ¹										
8431-6						ɕ j a n ¹										
10036-6						s u k ¹										
10019-6						l aː k ¹										
9216-6						ˀm e ¹										
8074-6						ȶ aː t ¹										
9511-6						qʰ a n ¹										
8243-6						ʔ j a m ¹										
9250-6						t j a n ¹										
7568-6						s a ¹										
8832-6						k aːu ¹										
8057-6						ˀm e ¹										
7716-6						h u p ¹										
9899-6						t aːu ¹										
7585-6						k aːu ¹										
8582-6						ˀb j a ¹										
9097-6						h a m ¹										
10125-6						v a ¹										
9460-6						l aːu ¹										
9649-6						ts ə t ¹										
9870-6						ˀn a p ¹										
8680-6						ˀn a m ¹										
7699-6						ȶ i t ¹										
9001-6						ɕ j a t ¹										
9494-6						t i p ¹										
7666-6						ɕ ə n ¹										
9598-6						t a k ¹										
8023-6						q a m ¹										
6882-7							s ə t ¹									
6485-7							ⁿb aː n ¹									
4690-7							m a n ¹									
5671-7							ⁿd j a n ¹									
4272-7							s a p ¹									
10935-7							t aːu ¹									
4760-7							h j a n ¹									
1881-7							v a n ¹									
4777-7							h j a t ¹									
10969-7							v a n ¹									
10970-7							n u ¹									
10206-7							v a n ¹									
6565-7							ⁿd j a n ¹									
1281-7							j a n ¹									
10569-7							n a m ¹									
6899-7							pʰ j a ŋ ¹									
7081-7							k aːu ¹									
4090-7							ⁿd a m ¹									
2197-7							h u m ¹									
3352-7							t i ¹									
3892-7							h j a t ¹									
1071-7							q a m ¹									
10313-7							m ai ¹									
2671-7							t j a t ¹									
5502-7							h a k ¹									
7382-7							t w a n ¹									
932-7							k aː ŋ ¹									
533-7							m ai ¹									
4159-7							v a ¹									
2804-7							h a k ¹									
5451-7							ɣ a ¹									
5773-7							ʔ aːu ¹									
6933-7							ʔ aːu ¹									
4657-7							ʔ aːu ¹									
4658-7							v j a ŋ ¹									
6966-7							h i ¹									
5351-7							ɣ a ¹									
4073-7							t aːu ¹									
2163-7							ⁿb j a n ¹									
1121-7							h j a ¹									
5790-7							h aː ŋ ¹									
10413-7							m a ¹									
6731-7							m a ¹									
1645-7							m a ¹									
4914-7							m a ¹									
6175-7							n a ¹									
3092-7							h aː ŋ ¹									
1247-7							l j e n ¹									
5620-7							ɕ j u ¹									
4897-7							ɣ a ¹									
4811-7							ⁿb aː ŋ ¹									
1213-7							k aːu ¹									
11019-7							m aː ŋ ¹									
11020-7							k aːu ¹									
2129-7							t aː t ¹									
3211-7							h aː n ¹									
714-7							l a k ¹									
1729-7							k a ¹									
3679-7							m a ¹									
1054-7							ɕ j əu ¹									
7448-7							h a m ¹									
582-7							ɕ t i ¹									
4743-7							h w a n ¹									
5419-7							l j a n ¹									
5601-7							ⁿb aː n ¹									
2705-7							h a m ¹									
6381-7							n aː ŋ ¹									
1017-7							k a ¹									
645-7							l aː k ¹									
273-7							m ə t ¹									
4338-7							ⁿd j a k ¹									
2533-7							k i ¹									
1089-7							t aː p ¹									
843-7							n a n ¹									
2787-7							h w a t ¹									
4462-7							h a ŋ ¹									
10918-7							h a n ¹									
6582-7							h a ¹									
2070-7							k a ¹									
3075-7							ȵ a k ¹									
10848-7							v a ¹									
2480-7							s aː n ¹									
2214-7							k aːu ¹									
7225-7							h ə t ¹									
3515-7							j a m ¹									
2588-7							s aː n ¹									
2908-7							ⁿb j a k ¹									
2393-7							n a ¹									
1156-7							n ai ¹									
2374-7							t a ¹									
2146-7							k a ¹									
5133-7							n a ŋ ¹									
4981-7							h i k ¹									
10239-7							m a ¹									
599-7							h j a t ¹									
5048-7							k o ¹									
6331-7							h a ¹									
290-7							ȶ i n ¹									
311-7							h aː k ¹									
3430-7							m j u ¹									
5369-7							m j u ¹									
2749-7							ȶ w a n ¹									
2621-7							n j a p ¹									
1181-7							t a k ¹									
949-7							pʰ j u ¹									
2839-7							t i ŋ ¹									
861-7							l aː k ¹									
6773-7							l aː k ¹									
5739-7							l aː k ¹									
5740-7							h a t ¹									
3550-7							h j a m ¹									
4445-7							ȶ a t ¹									
680-7							l aː ŋ ¹									
817-7							ⁿd ə n ¹									
782-7							pʰ j a t ¹									
10396-7							n j u ¹									
4606-7							h aː ŋ ¹									
5207-7							m a n ¹									
7280-7							ȶ m a ¹									
6983-7							j w a t ¹									
5168-7							k u ŋ ¹									
1264-7							ɕ t u ¹									
915-7							t aːu ¹									
1767-7							h u ŋ ¹									
10901-7							t j a n ¹									
10867-7							ⁿd aː ŋ ¹									
417-7							ⁿd j a n ¹									
2285-7							pʰ n a ¹									
11002-7							a t ¹									
6348-7							m e ¹									
6349-7							m aː n ¹									
10602-7							ⁿb aː n ¹									
5654-7							h j e n ¹									
880-7							m e ¹									
983-7							h aː n ¹									
2033-7							t o ¹									
1433-7							ⁿd j a ¹									
1467-7							ⁿd aː k ¹									
469-7							ⁿd j a m ¹									
3127-7							m j u ¹									
4623-7							h a ¹									
7099-7							l j a k ¹									
4726-7							h j e n ¹									
10465-7							ⁿb aː n ¹									
5519-7							h ə n ¹									
5893-7							k j e n ¹									
2857-7							t i ŋ ¹									
3645-7							ɣ aː n ¹									
3032-7							h j e n ¹									
2088-7							v j a n ¹									
2463-7							t aːu ¹									
4794-7							n i ¹									
4569-7							l u ŋ ¹									
4586-7							ɕ ȶ u ¹									
4552-7							k a ¹									
3228-7							k u ŋ ¹									
3245-7							j a ¹									
6651-7							l aː k ¹									
6652-7							ⁿb aː n ¹									
1817-7							l aː k ¹									
1818-7							ⁿb j a k ¹									
11052-7							n u ¹									
1230-7							l aː k ¹									
3380-7							h aː k ¹									
8174-7							h u m ¹									
8599-7							j a m ¹									
7782-7							pʰ j a ¹									
8294-7							l i k ¹									
8514-7							h a ¹									
9669-7							l j a k ¹									
8531-7							t aːu ¹									
7954-7							ʔ u k ¹									
9968-7							h a m ¹									
8040-7							t a ¹									
9304-7							t i ¹									
8345-7							t i k ¹									
8765-7							ȶ a k ¹									
8849-7							h k a ŋ ¹									
9286-7							ⁿd j a ŋ ¹									
9581-7							h w ə ŋ ¹									
9267-7							l j a ¹									
8497-7							ȶ w ə n ¹									
7602-7							t aː k ¹									
8431-7							v j a n ¹									
10036-7							h i k ¹									
10019-7							l aː k ¹									
9216-7							n e ¹									
8074-7							t a t ¹									
9511-7							k aː n ¹									
8243-7							ɣ a m ¹									
9250-7							t j a m ¹									
7568-7							ɣ a ¹									
8832-7							k aːu ¹									
8057-7							m e ¹									
7716-7							h aː p ¹									
9899-7							t i ¹									
7585-7							k aːu ¹									
8582-7							ⁿb j a ¹									
9097-7							h a m ¹									
10125-7							v a ¹									
9460-7							n aːu ¹									
9649-7							ȶ w a t ¹									
9870-7							n a t ¹									
8680-7							n a m ¹									
7699-7							t i t ¹									
9001-7							h j a t ¹									
9494-7							t a t ¹									
7666-7							h j a n ¹									
9598-7							t a k ¹									
8023-7							q a m ¹									
6882-8								s ə t ¹								
6485-8								ⁿb aː n ¹								
4690-8								m aː n ¹								
5671-8								ⁿd z ə n ¹								
4272-8								s t aː p ¹								
10935-8								t aːu ¹								
4760-8								h j a n ¹								
1881-8								v a n ¹								
4777-8								h j ə t ¹								
10969-8								v a n ¹								
10970-8								n a ¹								
10206-8								v a n ¹								
6565-8								t j a n ¹								
1281-8								j a n ¹								
10569-8								h a m ¹								
6899-8								pʰ j a ŋ ¹								
7081-8								k aːu ¹								
4090-8								ⁿd a m ¹								
2197-8								h a m ¹								
3352-8								t i ¹								
3892-8								h j ə t ¹								
1071-8								q a m ¹								
10313-8								m ai ¹								
2671-8								t j ə t ¹								
5502-8								f ə k ¹								
7382-8								t a ŋ ¹								
932-8								k aː ŋ ¹								
533-8								m ai ¹								
4159-8								f a ¹								
2804-8								l u k ¹								
5451-8								ɣ a ¹								
5773-8								ʔ aːu ¹								
6933-8								ʔ aːu ¹								
4657-8								ʔ aːu ¹								
4658-8								v j a ŋ ¹								
6966-8								h i ¹								
5351-8								ɣ a ¹								
4073-8								t aːu ¹								
2163-8								ⁿb j a ŋ ¹								
1121-8								f a ¹								
5790-8								f aː ŋ ¹								
10413-8								m a ¹								
6731-8								m a ¹								
1645-8								m a ¹								
4914-8								m a ¹								
6175-8								n a ¹								
3092-8								s i ŋ ¹								
1247-8								l j a n ¹								
5620-8								s j u ¹								
4897-8								n a ¹								
4811-8								ⁿb aː ŋ ¹								
1213-8								k aːu ¹								
11019-8								m aː ŋ ¹								
11020-8								k aːu ¹								
2129-8								t aː t ¹								
3211-8								h aː n ¹								
714-8								l o k ¹								
1729-8								k a ¹								
3679-8								m a ¹								
1054-8								s u ¹								
7448-8								h a m ¹								
582-8								s t i ¹								
4743-8								h a n ¹								
5419-8								l j a n ¹								
5601-8								ⁿb i n ¹								
2705-8								h a m ¹								
6381-8								h a ŋ ¹								
1017-8								k a ¹								
645-8								l aː k ¹								
273-8								m ə t ¹								
4338-8								ⁿd j a k ¹								
2533-8								k aːu ¹								
1089-8								q aː p ¹								
843-8								n a n ¹								
2787-8								h w aː t ¹								
4462-8								n a n ¹								
10918-8								h a n ¹								
6582-8								h a ¹								
2070-8								k a ¹								
3075-8								s p a k ¹								
10848-8								f a ¹								
2480-8								z ə n ¹								
2214-8								k aːu ¹								
7225-8								h aː t ¹								
3515-8								j a m ¹								
2588-8								z ə n ¹								
2908-8								ⁿb j aː k ¹								
2393-8								n a ¹								
1156-8								m a ¹								
2374-8								t aːu ¹								
2146-8								k a ¹								
5133-8								n a ŋ ¹								
4981-8								l u k ¹								
10239-8								m a ¹								
599-8								l j ə t ¹								
5048-8								t aːu ¹								
6331-8								h a ¹								
290-8								ⁿd i n ¹								
311-8								h aː k ¹								
3430-8								m j a ¹								
5369-8								m j a ¹								
2749-8								t a n ¹								
2621-8								l j a k ¹								
1181-8								t a k ¹								
949-8								t j u ¹								
2839-8								t aː ŋ ¹								
861-8								l aː k ¹								
6773-8								l aː k ¹								
5739-8								l aː k ¹								
5740-8								s ə t ¹								
3550-8								h j u m ¹								
4445-8								ɣ ə t ¹								
680-8								l aː ŋ ¹								
817-8								t aː n ¹								
782-8								pʰ j ə t ¹								
10396-8								ɕ j u ¹								
4606-8								h aː n ¹								
5207-8								m a n ¹								
7280-8								ⁿd j a ¹								
6983-8								j ə t ¹								
5168-8								ⁿb aː ŋ ¹								
1264-8								ɕ t u ¹								
915-8								t aːu ¹								
1767-8								t u ŋ ¹								
10901-8								ⁿd j a n ¹								
10867-8								ⁿd aː ŋ ¹								
417-8								ⁿd j a n ¹								
2285-8								pʰ m aːu ¹								
11002-8								ȶ i t ¹								
6348-8								m ai ¹								
6349-8								m aː n ¹								
10602-8								ⁿb aː n ¹								
5654-8								h j a n ¹								
880-8								m e ¹								
983-8								h aː n ¹								
2033-8								t o ¹								
1433-8								ⁿd j a ¹								
1467-8								p aː k ¹								
469-8								ⁿd j a m ¹								
3127-8								m j a ¹								
4623-8								h a ¹								
7099-8								l j aː k ¹								
4726-8								h j e n ¹								
10465-8								ⁿb aː n ¹								
5519-8								h ə n ¹								
5893-8								ⁿd m a n ¹								
2857-8								t aː ŋ ¹								
3645-8								h aː n ¹								
3032-8								h j a n ¹								
2088-8								v j a n ¹								
2463-8								t aːu ¹								
4794-8								n i ¹								
4569-8								l u ŋ ¹								
4586-8								t u ¹								
4552-8								k a ¹								
3228-8								k aː ŋ ¹								
3245-8								j a ¹								
6651-8								l aː k ¹								
6652-8								ⁿb aː n ¹								
1817-8								l aː k ¹								
1818-8								ⁿb j aː k ¹								
11052-8								n a ¹								
1230-8								l aː k ¹								
3380-8								h a k ¹								
8174-8								h a m ¹								
8599-8								j a m ¹								
7782-8								ⁿd j u ¹								
8294-8								l aː k ¹								
8514-8								h a ¹								
9669-8								l j a k ¹								
8531-8								t aːu ¹								
7954-8								p u k ¹								
9968-8								h a m ¹								
8040-8								t a ¹								
9304-8								t i ¹								
8345-8								t o k ¹								
8765-8								t o k ¹								
8849-8								s k a ŋ ¹								
9286-8								ⁿd j aː ŋ ¹								
9581-8								s a n ¹								
9267-8								l j a ¹								
8497-8								ȶ a n ¹								
7602-8								p aː p ¹								
8431-8								v j a n ¹								
10036-8								h a k ¹								
10019-8								l aː k ¹								
9216-8								m e ¹								
8074-8								ȶ aː t ¹								
9511-8								k a n ¹								
8243-8								j a m ¹								
9250-8								t j a m ¹								
7568-8								s a ¹								
8832-8								k aːu ¹								
8057-8								m e ¹								
7716-8								h u p ¹								
9899-8								t i ¹								
7585-8								k aːu ¹								
8582-8								ⁿb j u ¹								
9097-8								h a m ¹								
10125-8								f a ¹								
9460-8								l a ¹								
9649-8								ɣ ə t ¹								
9870-8								n a p ¹								
8680-8								h a m ¹								
7699-8								ȶ i t ¹								
9001-8								s j a t ¹								
9494-8								t i p ¹								
7666-8								h j ə n ¹								
9598-8								t a k ¹								
8023-8								q a m ¹								
6882-9									s ə t ¹							
6485-9									ⁿb aː n ¹							
4690-9									m aː n ¹							
5671-9									ⁿd z a n ¹							
4272-9									s t u p ¹							
10935-9									t aːu ¹							
4760-9									h j a n ¹							
1881-9									f a n ¹							
4777-9									h j ə t ¹							
10969-9									f a n ¹							
10970-9									n a ¹							
10206-9									f a n ¹							
6565-9									t j a n ¹							
1281-9									ʔ j a n ¹							
10569-9									h a m ¹							
6899-9									pʰ j a ŋ ¹							
7081-9									k aːu ¹							
4090-9									ⁿd a m ¹							
2197-9									h a m ¹							
3352-9									t i ¹							
3892-9									h j ə t ¹							
1071-9									q a m ¹							
10313-9									m ai ¹							
2671-9									t j ə t ¹							
5502-9									f ə k ¹							
7382-9									t a n ¹							
932-9									k aː ŋ ¹							
533-9									m ai ¹							
4159-9									f a ¹							
2804-9									h a k ¹							
5451-9									ɣ a ¹							
5773-9									ʔ aːu ¹							
6933-9									ʔ aːu ¹							
4657-9									ʔ aːu ¹							
4658-9									v j a ŋ ¹							
6966-9									h i ¹							
5351-9									ɣ a ¹							
4073-9									t aːu ¹							
2163-9									ⁿb j a n ¹							
1121-9									f a ¹							
5790-9									f aː ŋ ¹							
10413-9									m a ¹							
6731-9									m a ¹							
1645-9									m a ¹							
4914-9									m a ¹							
6175-9									n a ¹							
3092-9									s i ŋ ¹							
1247-9									l j aː n ¹							
5620-9									ɕ j u ¹							
4897-9									m a ¹							
4811-9									ⁿb aː ŋ ¹							
1213-9									k aːu ¹							
11019-9									m aː ŋ ¹							
11020-9									k aːu ¹							
2129-9									t aː p ¹							
3211-9									h aː n ¹							
714-9									l o k ¹							
1729-9									k a ¹							
3679-9									m a ¹							
1054-9									ɕ u ¹							
7448-9									h a m ¹							
582-9									ɕ t i ¹							
4743-9									h a n ¹							
5419-9									l j a n ¹							
5601-9									ⁿb aː n ¹							
2705-9									h a m ¹							
6381-9									n aː ŋ ¹							
1017-9									t a ¹							
645-9									l aː k ¹							
273-9									m ə t ¹							
4338-9									ⁿd j a k ¹							
2533-9									k i ¹							
1089-9									t u p ¹							
843-9									n a n ¹							
2787-9									h w ə t ¹							
4462-9									n a n ¹							
10918-9									h a n ¹							
6582-9									h a ¹							
2070-9									k a ¹							
3075-9									s p a k ¹							
10848-9									f a ¹							
2480-9									z ə n ¹							
2214-9									k aːu ¹							
7225-9									h aː t ¹							
3515-9									t j a m ¹							
2588-9									z ə n ¹							
2908-9									pʰ j aː k ¹							
2393-9									n a ¹							
1156-9									m a ¹							
2374-9									t a ¹							
2146-9									k a ¹							
5133-9									n a ŋ ¹							
4981-9									l u k ¹							
10239-9									m a ¹							
599-9									l j ə t ¹							
5048-9									k aːu ¹							
6331-9									h a ¹							
290-9									ⁿd i n ¹							
311-9									h aː k ¹							
3430-9									m j a ¹							
5369-9									m j a ¹							
2749-9									t a n ¹							
2621-9									l j a k ¹							
1181-9									t a k ¹							
949-9									pʰ j u ¹							
2839-9									t i ŋ ¹							
861-9									l aː k ¹							
6773-9									l aː k ¹							
5739-9									l aː k ¹							
5740-9									h ə t ¹							
3550-9									h j u m ¹							
4445-9									ɣ u t ¹							
680-9									l aː ŋ ¹							
817-9									t aː n ¹							
782-9									pʰ j ə t ¹							
10396-9									ɕ j u ¹							
4606-9									h aː n ¹							
5207-9									m a n ¹							
7280-9									ⁿd a ¹							
6983-9									ʔ j u t ¹							
5168-9									ⁿb aː ŋ ¹							
1264-9									ɕ t u ¹							
915-9									t aːu ¹							
1767-9									t u ŋ ¹							
10901-9									ⁿd j a ŋ ¹							
10867-9									ⁿd o ŋ ¹							
417-9									ⁿd j aː n ¹							
2285-9									pʰ s aːu ¹							
11002-9									t ȶ ə t ¹							
6348-9									m ai ¹							
6349-9									m aː n ¹							
10602-9									ⁿb aː n ¹							
5654-9									h j a n ¹							
880-9									m aːu ¹							
983-9									h aː n ¹							
2033-9									t o ¹							
1433-9									ɕ j a ¹							
1467-9									p aː k ¹							
469-9									t j a m ¹							
3127-9									m j a ¹							
4623-9									h a ¹							
7099-9									l j aː k ¹							
4726-9									h j e n ¹							
10465-9									ⁿb aː n ¹							
5519-9									h ə n ¹							
5893-9									t m a n ¹							
2857-9									t i ŋ ¹							
3645-9									h aː n ¹							
3032-9									h j a n ¹							
2088-9									v j a n ¹							
2463-9									t aːu ¹							
4794-9									n i ¹							
4569-9									l u ŋ ¹							
4586-9									t u ¹							
4552-9									t a ¹							
3228-9									k aː ŋ ¹							
3245-9									j a ¹							
6651-9									l aː k ¹							
6652-9									ⁿb aː n ¹							
1817-9									l aː k ¹							
1818-9									ⁿb j aː k ¹							
11052-9									n a ¹							
1230-9									l aː k ¹							
3380-9									h a k ¹							
8174-9									h a m ¹							
8599-9									t j a m ¹							
7782-9									ⁿd j u ¹							
8294-9									l aː k ¹							
8514-9									h a ¹							
9669-9									l j a k ¹							
8531-9									t aːu ¹							
7954-9									p u k ¹							
9968-9									h a m ¹							
8040-9									t a ¹							
9304-9									t i ¹							
8345-9									t o k ¹							
8765-9									t o k ¹							
8849-9									s a ŋ ¹							
9286-9									ⁿd j a ŋ ¹							
9581-9									s a n ¹							
9267-9									l j a ¹							
8497-9									ȶ ə n ¹							
7602-9									t aː p ¹							
8431-9									v j a n ¹							
10036-9									h a k ¹							
10019-9									l aː k ¹							
9216-9									m e ¹							
8074-9									ȶ aː t ¹							
9511-9									k a n ¹							
8243-9									ʔ j a m ¹							
9250-9									t j a m ¹							
7568-9									s a ¹							
8832-9									k aːu ¹							
8057-9									m e ¹							
7716-9									h u p ¹							
9899-9									t i ¹							
7585-9									k aːu ¹							
8582-9									ⁿb j u ¹							
9097-9									h a m ¹							
10125-9									f a ¹							
9460-9									m aːu ¹							
9649-9									ɣ ə t ¹							
9870-9									n a p ¹							
8680-9									h a m ¹							
7699-9									ȶ i t ¹							
9001-9									h j aː t ¹							
9494-9									t i p ¹							
7666-9									h j ə n ¹							
9598-9									t a k ¹							
8023-9									q a m ¹							
6882-10										z ə t ¹						
6485-10										ˀb aː n ¹						
4690-10										m aː n ¹						
5671-10										ⁿd z ə n ¹						
4272-10										s t aː p ¹						
10935-10										t aːu ¹						
4760-10										ɕ j a n ¹						
1881-10										v a n ¹						
4777-10										ɕ ə t ¹						
10969-10										v a n ¹						
10970-10										ȵ aːu ¹						
10206-10										v a n ¹						
6565-10										t j a n ¹						
1281-10										ʔ j a n ¹						
10569-10										h a m ¹						
6899-10										pʰ j a ŋ ¹						
7081-10										k a ¹						
4090-10										ⁿd a m ¹						
2197-10										h u m ¹						
3352-10										t i ¹						
3892-10										ɕ ə t ¹						
1071-10										q a m ¹						
10313-10										ˀm ai ¹						
2671-10										t j ə t ¹						
5502-10										f aː k ¹						
7382-10										ⁿd a n ¹						
932-10										k aː ŋ ¹						
533-10										ˀm ai ¹						
