COGID	Arhuaco	Atanque	Bari	Boruca	Bribri	Buglere	Cabecar	CentralTunebo	Chibcha	Chimila	Cogui	Dorasque	Malayo	MalekuJaika	Ngabere	Pech	Rama	SanBlasKuna	Teribe
253-11											Ø Ø Ø Ø Ø Ø								
310-11											Ø Ø								
321-11											Ø Ø Ø								
432-11											Ø Ø Ø								
486-11											Ø Ø Ø								
1062-11											Ø Ø Ø Ø								
4-12												Ø u ʃ ʃ ʃ ʃ ʃ u u u							
113-12												ʃ ʃ ʃ ʃ Ø Ø ʃ Ø Ø u Ø u							
270-12												ʃ Ø Ø ʃ Ø ʃ ʃ ʃ Ø u ʃ							
424-12												Ø Ø Ø u Ø Ø Ø Ø Ø							
1078-12												Ø Ø Ø Ø Ø							
1272-12												Ø u Ø u Ø Ø Ø Ø Ø							
1293-12												Ø Ø ʃ Ø							
42-12												Ø ʃ ʃ Ø ʃ ʃ ʃ							
421-12												Ø Ø u ʃ							
900-12												Ø Ø Ø u u Ø							
361-12												Ø Ø Ø Ø Ø u u Ø Ø							
470-12												ʃ ʃ ʃ ʃ ʃ ʃ ʃ Ø							
584-12												Ø Ø Ø Ø							
961-12												Ø Ø u u Ø Ø Ø Ø Ø Ø Ø							
1057-12												Ø Ø Ø Ø Ø Ø Ø							
1203-12												ʃ Ø ʃ Ø Ø							
813-12												Ø Ø ʃ Ø Ø ʃ							
349-12												Ø Ø Ø Ø Ø u Ø Ø u Ø							
527-12												Ø Ø Ø Ø Ø Ø Ø Ø							
71-12												Ø Ø Ø Ø Ø u Ø Ø							
676-12												Ø Ø Ø Ø Ø Ø Ø Ø Ø							
685-12												Ø Ø Ø ʃ ʃ ʃ Ø							
59-12												Ø Ø Ø Ø Ø Ø Ø Ø Ø							
294-12												Ø u Ø Ø Ø Ø n Ø							
697-12												Ø Ø Ø Ø							
437-12												Ø Ø Ø							
745-12												Ø Ø Ø Ø u							
485-12												u u Ø u Ø u							
1296-12												Ø u Ø Ø Ø Ø							
538-12												Ø Ø Ø Ø ʃ Ø Ø Ø							
126-12												Ø Ø n Ø Ø n Ø							
316-12												Ø Ø Ø							
979-12												Ø Ø Ø Ø Ø							
1128-12												Ø Ø Ø Ø							
30-12												Ø Ø							
173-12												Ø Ø Ø Ø Ø							
413-12												Ø Ø Ø Ø Ø Ø							
842-12												Ø Ø Ø Ø Ø Ø							
4-13													Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø						
113-13													Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø						
270-13													Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø						
424-13													Ø Ø Ø Ø Ø Ø Ø Ø Ø						
1272-13													Ø Ø Ø Ø Ø Ø Ø Ø Ø						
1293-13													Ø Ø Ø Ø						
42-13													Ø Ø Ø Ø Ø Ø Ø Ø Ø						
421-13													Ø Ø Ø Ø						
900-13													Ø Ø Ø Ø Ø Ø Ø						
361-13													Ø Ø Ø Ø Ø Ø Ø Ø Ø						
470-13													Ø Ø Ø Ø Ø Ø Ø Ø						
651-13													Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø						
48-13													Ø Ø Ø Ø Ø Ø Ø Ø						
931-13													Ø Ø Ø Ø Ø Ø Ø Ø						
961-13													Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø						
1057-13													Ø Ø Ø Ø Ø Ø Ø Ø						
1203-13													Ø Ø Ø Ø Ø Ø						
1035-13													Ø Ø Ø Ø Ø Ø Ø Ø						
1251-13													Ø Ø Ø Ø Ø Ø						
1414-13													Ø Ø Ø Ø						
527-13													Ø Ø Ø Ø Ø Ø Ø Ø						
71-13													Ø Ø Ø Ø Ø Ø Ø Ø						
169-13													Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø						
237-13													Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø						
1386-13													Ø Ø Ø Ø Ø Ø Ø Ø Ø						
294-13													Ø Ø Ø Ø Ø Ø Ø Ø						
906-13													Ø Ø Ø Ø Ø Ø Ø Ø						
1193-13													Ø Ø Ø Ø Ø Ø Ø Ø						
1342-13													Ø Ø Ø Ø						
157-13													Ø Ø Ø Ø Ø Ø Ø Ø Ø						
401-13													Ø Ø Ø Ø Ø Ø						
437-13													Ø Ø Ø						
745-13													Ø Ø Ø Ø Ø						
756-13													Ø Ø Ø Ø Ø Ø						
880-13													Ø Ø Ø Ø Ø Ø Ø Ø Ø						
923-13													Ø Ø Ø Ø Ø Ø						
1052-13													Ø Ø Ø Ø Ø Ø						
267-13													Ø Ø Ø Ø Ø						
282-13													Ø Ø Ø Ø Ø Ø Ø Ø						
445-13													Ø Ø Ø Ø Ø Ø						
485-13													Ø Ø Ø Ø Ø Ø						
675-13													Ø Ø Ø Ø Ø Ø Ø Ø						
1245-13													Ø Ø Ø Ø Ø						
1327-13													Ø Ø Ø Ø Ø						
218-13													Ø Ø Ø Ø Ø Ø						
372-13													Ø Ø Ø Ø Ø						
538-13													Ø Ø Ø Ø Ø Ø Ø Ø						
573-13													Ø Ø Ø Ø Ø						
601-13													Ø Ø Ø Ø Ø Ø Ø Ø						
825-13													Ø Ø Ø Ø Ø Ø Ø Ø						
1089-13													Ø Ø Ø Ø Ø Ø						
126-13													Ø Ø Ø Ø Ø Ø Ø Ø						
715-13													Ø Ø Ø Ø Ø Ø						
843-13													Ø Ø Ø Ø Ø Ø Ø Ø						
1209-13													Ø Ø Ø Ø Ø Ø Ø Ø Ø						
1267-13													Ø Ø Ø Ø Ø						
34-13													Ø Ø Ø Ø Ø Ø Ø Ø						
100-13													Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø						
212-13													Ø Ø Ø Ø						
253-13													Ø Ø Ø Ø Ø Ø						
310-13													Ø Ø						
321-13													Ø Ø						
1062-13													Ø Ø Ø Ø						
1102-13													Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø						
4-14														Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø					
113-14														Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø					
270-14														Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø					
424-14														Ø Ø Ø Ø Ø Ø Ø Ø					
1078-14														Ø Ø Ø Ø Ø					
1272-14														Ø Ø Ø Ø Ø Ø Ø Ø Ø					
1293-14														Ø Ø Ø Ø					
42-14														Ø Ø Ø Ø Ø Ø Ø Ø					
900-14														Ø Ø Ø Ø Ø Ø					
361-14														Ø Ø Ø Ø Ø Ø Ø Ø Ø					
470-14														Ø Ø Ø Ø Ø Ø Ø Ø					
651-14														Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø					
48-14														Ø Ø Ø Ø Ø Ø Ø Ø					
1057-14														Ø Ø Ø Ø Ø Ø					
813-14														Ø Ø Ø Ø Ø Ø					
1414-14														Ø Ø Ø Ø					
169-14														Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø					
676-14														Ø Ø Ø Ø Ø Ø Ø Ø Ø					
685-14														Ø Ø Ø Ø Ø Ø Ø					
1386-14														Ø Ø Ø Ø Ø Ø Ø Ø Ø					
294-14														Ø Ø Ø Ø Ø Ø Ø Ø					
84-14														Ø Ø Ø Ø					
437-14														Ø Ø Ø					
609-14														Ø Ø Ø Ø Ø Ø					
756-14														Ø Ø Ø Ø Ø Ø					
282-14														Ø Ø Ø Ø Ø Ø Ø Ø Ø					
1245-14														Ø Ø Ø Ø Ø					
1327-14														Ø Ø Ø Ø Ø					
372-14														Ø Ø Ø Ø Ø					
538-14														Ø Ø Ø Ø Ø Ø Ø Ø Ø					
385-14														Ø Ø Ø Ø					
411-14														Ø Ø Ø Ø Ø					
454-14														Ø Ø Ø Ø Ø Ø					
1128-14														Ø Ø Ø Ø Ø					
1209-14														Ø Ø Ø Ø Ø Ø Ø Ø					
1254-14														Ø Ø Ø Ø Ø Ø					
319-14														Ø Ø					
400-14														Ø Ø					
448-14														Ø Ø Ø Ø					
568-14														Ø Ø Ø Ø Ø Ø Ø					
842-14														Ø Ø Ø					
4-15															Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø				
113-15															Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø				
270-15															Ø Ø Ø Ø Ø Ø Ø Ø				
424-15															Ø Ø Ø Ø Ø Ø Ø Ø Ø				
1078-15															Ø Ø Ø Ø Ø				
1272-15															Ø Ø Ø Ø Ø Ø Ø Ø Ø				
1293-15															Ø Ø Ø Ø				
42-15															Ø Ø Ø Ø Ø Ø Ø Ø				
421-15															Ø Ø Ø Ø				
900-15															Ø Ø Ø Ø Ø Ø Ø				
361-15															Ø Ø Ø Ø Ø Ø Ø Ø Ø				
470-15															Ø Ø Ø Ø Ø Ø Ø Ø Ø				
584-15															Ø Ø Ø Ø Ø Ø Ø				
48-15															Ø Ø Ø Ø Ø Ø Ø Ø Ø				
1057-15															Ø Ø Ø Ø Ø Ø Ø				
1035-15															Ø Ø Ø Ø Ø Ø Ø Ø				
349-15															Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø				
527-15															Ø Ø Ø Ø Ø Ø Ø Ø				
237-15															Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø				
685-15															Ø Ø Ø Ø Ø Ø Ø				
1386-15															Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø				
59-15															Ø Ø Ø Ø Ø Ø Ø Ø				
697-15															Ø Ø Ø Ø				
906-15															Ø Ø Ø Ø Ø Ø Ø Ø Ø				
1342-15															Ø Ø Ø Ø Ø				
84-15															Ø Ø Ø Ø				
609-15															Ø Ø Ø Ø Ø Ø				
923-15															Ø Ø Ø Ø Ø Ø				
267-15															Ø Ø Ø Ø Ø Ø				
283-15															Ø Ø Ø Ø Ø Ø				
221-15															Ø Ø Ø Ø Ø Ø Ø Ø				
293-15															Ø Ø Ø Ø Ø				
573-15															Ø Ø Ø Ø Ø Ø Ø				
825-15															Ø Ø Ø Ø Ø Ø Ø Ø				
1087-15															Ø Ø				
316-15															Ø Ø Ø				
642-15															Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø				
666-15															Ø Ø Ø Ø				
843-15															Ø Ø Ø Ø Ø Ø Ø Ø Ø				
979-15															Ø Ø Ø Ø Ø Ø				
1209-15															Ø Ø Ø Ø Ø Ø Ø				
1260-15															Ø Ø Ø Ø				
173-15															Ø Ø Ø Ø				
333-15															Ø Ø				
387-15															Ø Ø Ø				
413-15															Ø Ø Ø Ø Ø Ø				
479-15															Ø Ø Ø Ø Ø				
495-15															Ø Ø Ø Ø Ø				
711-15															Ø Ø				
792-15															Ø Ø Ø Ø				
944-15															Ø Ø Ø Ø Ø Ø Ø Ø Ø				
1003-15															Ø Ø				
424-16																Ø Ø Ø Ø Ø Ø Ø Ø Ø			
1078-16																Ø Ø Ø Ø Ø			
1272-16																Ø Ø Ø Ø Ø Ø Ø Ø Ø			
1293-16																Ø Ø Ø Ø			
470-16																Ø Ø Ø Ø Ø Ø Ø Ø			
584-16																Ø Ø Ø Ø Ø Ø Ø			
651-16																Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø			
48-16																Ø Ø Ø Ø Ø Ø Ø Ø			
931-16																Ø Ø Ø Ø Ø Ø Ø Ø			
813-16																Ø Ø Ø Ø Ø Ø			
1035-16																Ø Ø Ø Ø Ø Ø Ø Ø			
1116-16																Ø Ø Ø Ø Ø Ø Ø			
1251-16																Ø Ø Ø Ø Ø Ø			
1414-16																Ø Ø Ø Ø			
71-16																Ø Ø Ø Ø Ø Ø Ø Ø			
169-16																Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø			
1193-16																Ø Ø Ø Ø Ø Ø Ø Ø Ø			
445-16																Ø Ø Ø Ø Ø Ø			
675-16																Ø Ø Ø Ø Ø Ø Ø Ø Ø			
218-16																Ø Ø Ø Ø Ø Ø			
293-16																Ø Ø Ø Ø Ø Ø Ø			
1326-16																Ø Ø Ø Ø			
430-16																Ø Ø Ø			
1125-16																Ø Ø Ø Ø			
183-16																Ø Ø Ø			
319-16																Ø Ø			
4-17																	Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø		
113-17																	Ø Ø Ø Ø k Ø Ø Ø u Ø		
270-17																	Ø Ø Ø Ø u Ø u Ø		
424-17																	Ø u Ø Ø Ø Ø		
1078-17																	k u Ø Ø Ø		
1272-17																	Ø u Ø Ø		
1293-17																	Ø Ø Ø Ø		
42-17																	Ø Ø Ø Ø Ø Ø Ø Ø		
421-17																	Ø Ø Ø		
470-17																	Ø k k k		
584-17																	k Ø		
651-17																	Ø k k Ø Ø u Ø Ø k Ø		
48-17																	Ø Ø k Ø Ø Ø Ø		
931-17																	Ø Ø Ø Ø Ø Ø		
961-17																	k Ø Ø Ø Ø Ø Ø Ø Ø		
1203-17																	u Ø Ø		
813-17																	Ø k Ø		
1116-17																	Ø Ø Ø		
1414-17																	Ø u Ø Ø		
349-17																	k u Ø Ø Ø		
676-17																	Ø Ø Ø u u u k Ø		
1386-17																	Ø u Ø Ø Ø Ø Ø Ø		
294-17																	Ø Ø Ø Ø Ø Ø Ø Ø		
697-17																	Ø Ø Ø Ø		
906-17																	Ø Ø Ø Ø Ø Ø Ø Ø Ø		
1342-17																	Ø Ø Ø Ø		
437-17																	Ø Ø		
221-17																	Ø Ø Ø Ø Ø Ø		
427-17																	Ø Ø Ø Ø Ø		
573-17																	Ø Ø Ø Ø Ø Ø		
825-17																	Ø Ø Ø Ø Ø Ø Ø Ø		
1214-17																	Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø		
1326-17																	Ø Ø Ø Ø		
385-17																	Ø Ø Ø		
1254-17																	k Ø Ø		
97-17																	Ø Ø Ø Ø Ø Ø		
319-17																	Ø Ø		
408-17																	Ø Ø Ø Ø		
448-17																	Ø Ø Ø Ø		
1044-17																	Ø Ø Ø Ø		
4-18																		Ø Ø ŋ Ø Ø o o o o o	
113-18																		o o o o k o o Ø Ø o o o	
270-18																		Ø Ø Ø Ø Ø o Ø Ø o o	
424-18																		Ø Ø Ø Ø Ø ŋ Ø o o	
1078-18																		k Ø Ø Ø o	
1272-18																		Ø o Ø o o Ø Ø Ø Ø	
1293-18																		ŋ o Ø Ø	
421-18																		Ø Ø Ø Ø	
900-18																		Ø Ø o Ø o Ø o	
361-18																		ŋ o o o k o o o o	
584-18																		k o o o Ø k o	
651-18																		Ø Ø Ø Ø ŋ Ø Ø Ø Ø Ø	
48-18																		o Ø o o Ø o o o	
1057-18																		Ø o o o o o o	
1203-18																		Ø o Ø Ø Ø	
1035-18																		Ø Ø Ø Ø Ø Ø Ø Ø	
1116-18																		Ø Ø Ø Ø Ø Ø Ø	
1251-18																		Ø Ø Ø o Ø Ø	
349-18																		o o o Ø Ø Ø Ø Ø ŋ o	
71-18																		k Ø Ø Ø Ø Ø Ø Ø	
237-18																		Ø Ø o o o o o o o o o o o o	
676-18																		k Ø Ø Ø Ø Ø Ø Ø Ø o	
685-18																		Ø o Ø o o Ø o	
1386-18																		Ø Ø Ø o o o o o Ø	
697-18																		Ø Ø Ø Ø	
906-18																		Ø Ø Ø Ø Ø Ø Ø Ø o	
157-18																		Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø	
401-18																		Ø Ø o Ø Ø Ø	
609-18																		Ø o Ø o o o	
1181-18																		Ø Ø Ø Ø Ø Ø Ø Ø	
267-18																		o Ø Ø Ø Ø	
1327-18																		Ø Ø ŋ Ø Ø	
221-18																		Ø Ø o o o	
427-18																		Ø Ø Ø Ø	
573-18																		o o o Ø Ø Ø Ø	
1089-18																		Ø o Ø Ø o Ø o	
1230-18																		Ø Ø Ø ŋ Ø ŋ Ø	
316-18																		Ø Ø Ø	
454-18																		Ø Ø Ø Ø Ø Ø	
666-18																		Ø Ø Ø Ø	
1125-18																		Ø Ø Ø Ø Ø Ø	
1209-18																		Ø Ø Ø Ø Ø ŋ Ø Ø	
1260-18																		Ø Ø Ø Ø Ø	
1415-18																		Ø o Ø Ø	
34-18																		Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø	
212-18																		Ø Ø Ø Ø Ø Ø Ø Ø Ø	
252-18																		Ø o	
413-18																		Ø Ø	
443-18																		Ø Ø Ø	
486-18																		Ø Ø Ø Ø Ø Ø o	
539-18																		Ø Ø Ø	
792-18																		Ø Ø Ø Ø o	
4-19																			Ø o k
113-19																			Ø k
270-19																			Ø
424-19																			Ø k k
1078-19																			k
1272-19																			Ø o k
1293-19																			Ø
42-19																			k
421-19																			k Ø o
900-19																			Ø Ø
361-19																			Ø k
470-19																			ʃ
651-19																			Ø k
931-19																			u Ø Ø Ø
961-19																			k u k Ø k
1057-19																			k
813-19																			k
1035-19																			Ø Ø Ø Ø Ø Ø Ø Ø
349-19																			k
237-19																			Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø
1386-19																			Ø Ø Ø Ø Ø Ø Ø Ø Ø
84-19																			
157-19																			Ø Ø o Ø Ø Ø Ø Ø
1181-19																			Ø Ø Ø
283-19																			Ø Ø Ø k Ø Ø
625-19																			Ø Ø Ø Ø Ø
293-19																			Ø Ø Ø Ø Ø Ø k
411-19																			k Ø
430-19																			Ø Ø
971-19																			k k
979-19																			Ø Ø Ø Ø Ø
100-19																			Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø
249-19																			Ø Ø Ø Ø
441-19																			Ø k
479-19																			Ø k Ø
711-19																			Ø Ø Ø Ø
