COGID	Arhuaco	Atanque	Bari	Boruca	Bribri	Buglere	Cabecar	CentralTunebo	Chibcha	Chimila	Cogui	Dorasque	Malayo	MalekuJaika	Ngabere	Pech	Rama	SanBlasKuna	Teribe
385-14														Ø Ø Ø Ø					
411-14														Ø Ø Ø Ø Ø					
454-14														Ø Ø Ø Ø Ø Ø					
4-15															Ø ʊ a Ø a				
113-15															ʊ Ø Ø Ø Ø Ø				
270-15															Ø Ø Ø				
424-15															Ø Ø a a a a a a a				
1078-15															Ø Ø a				
1272-15															Ø Ø a Ø ʊ a a a Ø				
1293-15															Ø Ø ɾ a				
42-15															Ø ʊ a a a a				
421-15															Ø Ø m Ø				
900-15															Ø Ø a a Ø				
361-15															Ø Ø a a k a a				
470-15															a Ø Ø ʊ a a Ø Ø				
584-15															Ø Ø a Ø Ø a				
48-15															a ɾ a a a a m				
1057-15															Ø Ø k Ø a Ø Ø				
1035-15															ɾ Ø ɾ ɾ Ø ɾ				
349-15															Ø ʊ Ø Ø a Ø a Ø Ø				
527-15															Ø Ø Ø a Ø a a Ø				
237-15															a a a a ɾ Ø Ø a Ø Ø Ø Ø ɾ Ø				
685-15															Ø i Ø Ø Ø Ø Ø				
1386-15															Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø				
59-15															Ø Ø Ø Ø ɾ i Ø				
697-15															Ø Ø Ø ɾ				
906-15															i ɾ Ø Ø Ø ɾ Ø Ø ɾ				
1342-15															Ø Ø ɾ a a				
84-15															Ø Ø Ø Ø				
609-15															k Ø a Ø Ø Ø				
923-15															Ø Ø Ø Ø Ø ɾ				
267-15															Ø Ø Ø Ø Ø Ø				
283-15															Ø k Ø				
221-15															Ø Ø Ø Ø Ø Ø k Ø				
293-15															Ø Ø Ø ɾ k				
573-15															Ø Ø Ø Ø Ø Ø Ø				
825-15															Ø Ø Ø Ø Ø Ø Ø i				
1087-15															k				
316-15															m Ø ʊ				
642-15															Ø Ø ɾ ɾ ɾ ɾ ɾ Ø Ø Ø ɾ Ø Ø Ø i				
666-15															Ø Ø Ø Ø				
424-16																Ø Ø Ø Ø Ø Ø Ø Ø Ø			
1078-16																Ø Ø Ø Ø Ø			
1272-16																Ø Ø Ø Ø Ø Ø Ø Ø Ø			
1293-16																Ø Ø Ø Ø			
470-16																Ø Ø Ø Ø Ø Ø Ø Ø			
584-16																Ø Ø Ø Ø Ø Ø Ø			
651-16																Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø			
48-16																Ø Ø Ø Ø Ø Ø Ø Ø			
931-16																Ø Ø Ø Ø Ø Ø Ø Ø			
813-16																Ø Ø Ø Ø Ø Ø			
1035-16																Ø Ø Ø Ø Ø Ø Ø Ø			
1116-16																Ø Ø Ø Ø Ø Ø Ø			
1251-16																Ø Ø Ø Ø Ø Ø			
1414-16																Ø Ø Ø Ø			
71-16																Ø Ø Ø Ø Ø Ø Ø Ø			
169-16																Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø			
1193-16																Ø Ø Ø Ø Ø Ø Ø Ø Ø			
445-16																Ø Ø Ø Ø Ø Ø			
675-16																Ø Ø Ø Ø Ø Ø Ø Ø Ø			
218-16																Ø Ø Ø Ø Ø Ø			
293-16																Ø Ø Ø Ø Ø Ø Ø			
1326-16																Ø Ø Ø Ø			
430-16																Ø Ø Ø			
4-17																	Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø		
113-17																	Ø u Ø Ø k Ø Ø Ø Ø Ø u Ø		
270-17																	Ø Ø u Ø Ø u u u Ø		
424-17																	Ø u u Ø Ø Ø Ø		
1078-17																	k u Ø Ø Ø		
1272-17																	Ø Ø Ø Ø Ø Ø		
1293-17																	Ø Ø Ø Ø		
42-17																	k Ø Ø Ø Ø Ø Ø Ø		
421-17																	k Ø Ø Ø		
470-17																	Ø Ø Ø Ø Ø Ø k		
584-17																	k Ø k k k k k		
651-17																	Ø Ø Ø Ø Ø u Ø k Ø Ø		
48-17																	Ø u Ø Ø Ø Ø Ø		
931-17																	Ø Ø Ø Ø Ø Ø Ø Ø		
961-17																	k Ø Ø k Ø Ø Ø Ø Ø Ø Ø		
1203-17																	u Ø Ø		
813-17																	Ø Ø k k Ø		
1116-17																	Ø Ø Ø Ø Ø Ø		
1414-17																	Ø u Ø Ø		
349-17																	Ø u Ø k Ø Ø Ø Ø		
676-17																	k Ø Ø Ø Ø Ø Ø Ø		
1386-17																	Ø u Ø Ø Ø Ø Ø Ø		
294-17																	Ø Ø u Ø Ø Ø k Ø		
697-17																	Ø Ø Ø Ø		
906-17																	Ø Ø Ø Ø Ø Ø Ø Ø Ø		
1342-17																	Ø k Ø Ø		
437-17																	k Ø		
221-17																	Ø Ø Ø Ø Ø Ø		
427-17																	Ø Ø Ø Ø Ø		
573-17																	Ø Ø Ø Ø Ø Ø		
825-17																	Ø Ø Ø Ø Ø Ø Ø Ø		
1214-17																	Ø Ø Ø Ø Ø Ø Ø k Ø Ø Ø Ø Ø		
1326-17																	Ø Ø k		
385-17																	Ø Ø Ø		
4-18																		Ø Ø ŋ ŋ ŋ ŋ ŋ ŋ ŋ ŋ	
113-18																		ŋ ŋ ŋ ŋ k o ŋ Ø Ø ŋ o ŋ	
270-18																		ŋ ŋ Ø ŋ Ø ŋ Ø ŋ ŋ ŋ	
424-18																		Ø Ø ŋ ŋ ŋ ŋ ŋ Ø ŋ	
1078-18																		k Ø ŋ ŋ ŋ	
1272-18																		Ø Ø ŋ Ø Ø ŋ ŋ ŋ ŋ	
1293-18																		Ø o ŋ Ø	
421-18																		ŋ o Ø ŋ	
900-18																		Ø ŋ o Ø ŋ ŋ o	
361-18																		Ø o ŋ ŋ k ŋ Ø o o	
584-18																		k o ŋ ŋ ŋ ŋ Ø	
651-18																		Ø Ø ŋ ŋ ŋ ŋ k ŋ Ø ŋ	
48-18																		ŋ Ø ŋ ŋ ŋ ŋ Ø Ø	
1057-18																		ŋ o ŋ ŋ ŋ Ø o	
1203-18																		o o Ø Ø Ø	
1035-18																		Ø Ø o ŋ ŋ ŋ ŋ ŋ	
1116-18																		ŋ Ø ŋ ŋ ŋ ŋ ŋ	
1251-18																		Ø ŋ Ø Ø ŋ ŋ	
349-18																		ŋ ŋ ŋ k o Ø o o ŋ o	
71-18																		k Ø Ø ŋ ŋ ŋ ŋ ŋ	
237-18																		ŋ Ø ŋ Ø o o o Ø ŋ ŋ o ŋ ŋ ŋ	
676-18																		ŋ ŋ Ø Ø ŋ ŋ ŋ ŋ ŋ Ø	
685-18																		Ø Ø ŋ ŋ ŋ ŋ o	
1386-18																		Ø ŋ Ø ŋ Ø Ø ŋ ŋ ŋ	
697-18																		Ø ŋ Ø Ø	
906-18																		Ø Ø o Ø o Ø ŋ Ø Ø	
157-18																		ŋ ŋ ŋ o o k Ø o ŋ Ø ŋ	
401-18																		ŋ Ø Ø o ŋ Ø	
609-18																		k o ŋ ŋ ŋ o	
1181-18																		ŋ Ø Ø ŋ Ø Ø ŋ ŋ	
267-18																		Ø ŋ ŋ Ø ŋ	
1327-18																		k o k k k	
221-18																		ŋ o ŋ k ŋ	
427-18																		Ø Ø Ø Ø	
573-18																		ŋ ŋ o Ø Ø Ø Ø	
1089-18																		k Ø ŋ k Ø Ø o	
1230-18																		k o ŋ ŋ Ø ŋ Ø	
316-18																		Ø o o	
454-18																		ŋ Ø Ø Ø ŋ Ø	
666-18																		Ø Ø Ø ŋ	
4-19																			ɾ o t a ɾ ɾ ɾ ɾ ɾ
113-19																			ɾ a ɾ k ɾ a k ɾ a ɾ
270-19																			ɾ a a u n n a ɾ
424-19																			u u ɾ ɾ ɾ ɾ a
1078-19																			k u
1272-19																			ɾ ʃ ɾ ɾ n a
1293-19																			a a a
42-19																			k ɾ a u n
421-19																			k ɪ
900-19																			Ø a
361-19																			a a k a a a a a
470-19																			ʃ ʃ
651-19																			t t t ʃ t t k a
931-19																			t t u t
961-19																			k u a k a a a a a a
1057-19																			a a a n a
813-19																			n ɪ a k a
1035-19																			o
349-19																			a a k a a a a a
237-19																			n n
1386-19																			Ø Ø a a a a
84-19																			t
157-19																			t o a a a a a
1181-19																			Ø t
283-19																			a k a
625-19																			Ø Ø Ø Ø Ø
293-19																			a Ø Ø Ø k
411-19																			k Ø
430-19																			Ø Ø
