COGID	Arhuaco	Atanque	Bari	Boruca	Bribri	Buglere	Cabecar	CentralTunebo	Chibcha	Chimila	Cogui	Dorasque	Malayo	MalekuJaika	Ngabere	Pech	Rama	SanBlasKuna	Teribe
270-19																			ɾ ɸ u n n a ɾ
424-19																			ɸ u u k a
1078-19																			k u
1272-19																			ɸ ɾ ʃ k n a
1293-19																			ɸ a a
42-19																			k ɾ a u n
421-19																			k ɪ
900-19																			ɸ e
361-19																			a a k a a a a a
470-19																			ʃ ʃ
651-19																			t t t ʃ t t k a
931-19																			u ɸ
961-19																			k u k a a
1057-19																			a a a k a
813-19																			n e a k a
1035-19																			o k
349-19																			a a k a a a a a
237-19																			n k k n
1386-19																			Ø Ø a a a a e
84-19																			t
157-19																			t o a a a a a
1181-19																			Ø a
283-19																			a k a a
625-19																			Ø Ø Ø Ø Ø
