COGID	AntangWesternSandong	BanliangYangAn	DujiangEasternSandong	JiaoliPandong	JiarongSouthernSandong	JiuqianSouthernSandong	Pandong	RenliEasternSandong	SanjiangEasternSandong	ShuigenCentralSandong	ShuiweiSouthernSandong	ShuiyaoSouthernSandong	TangnianYangAn	TangzhouWesternSandong	TingpaiWesternSandong	ZhongheCentralSandong
6933-10										ʔ aːu ¹						
4657-10										ʔ aːu ¹						
4658-10										v j a n ¹						
6966-10										h i ¹						
5351-10										ˀɣ a ¹						
4073-10										t aːu ¹						
2163-10										ˀb j aː n ¹						
1121-10										f a ¹						
5790-10										ɣ aː n ¹						
10413-10										ˀm a ¹						
6731-10										ˀm a ¹						
1645-10										ˀm a ¹						
4914-10										ˀm a ¹						
6175-10										ȵ a ¹						
3092-10										s i n ¹						
1247-10										l j aː n ¹						
5620-10										s j u ¹						
4897-10										h a ¹						
4811-10										ⁿb aː ŋ ¹						
1213-10										k aːu ¹						
11019-10										ʁ aː ŋ ¹						
11020-10										k aːu ¹						
2129-10										ʔ aː p ¹						
3211-10										ŋ aː n ¹						
714-10										l a k ¹						
1729-10										k a ¹						
3679-10										ˀm a ¹						
1054-10										m a ¹						
7448-10										h a m ¹						
582-10										m i ¹						
4743-10										ɕ e n ¹						
5419-10										l j ə n ¹						
5601-10										ˀb aː n ¹						
2705-10										h a m ¹						
6381-10										l o ŋ ¹						
1017-10										t a ¹						
645-10										l aː k ¹						
273-10										m ə t ¹						
4338-10										t j a k ¹						
2533-10										k i ¹						
1089-10										t u p ¹						
843-10										n a n ¹						
2787-10										s u t ¹						
4462-10										ˀn aː n ¹						
10918-10										h a n ¹						
6582-10										h a ¹						
2070-10										k a ¹						
3075-10										s p aː k ¹						
10848-10										v a ¹						
2480-10										z ə n ¹						
2214-10										k a ¹						
7225-10										h ə t ¹						
3515-10										t j a m ¹						
2588-10										z ə n ¹						
2908-10										pʰ j aː k ¹						
2393-10										ˀn a ¹						
1156-10										n ai ¹						
2374-10										t a ¹						
2146-10										k a ¹						
5133-10										ˀn a m ¹						
4981-10										l u k ¹						
10239-10										ˀm a ¹						
599-10										ˀn j u t ¹						
5048-10										t o ¹						
6331-10										h a ¹						
290-10										t i n ¹						
311-10										h aː k ¹						
3430-10										m j a ¹						
5369-10										m j a ¹						
2749-10										k ə n ¹						
2621-10										l j a k ¹						
1181-10										t a k ¹						
949-10										t j u ¹						
6882-11											s aː t ¹					
6485-11											ˀb ə n ¹					
4690-11											m aː n ¹					
5671-11											ʔ x ə n ¹					
4272-11											l t aː p ¹					
10935-11											p e ¹					
4760-11											ɕ j e n ¹					
1881-11											v a n ¹					
4777-11											ɕ ə t ¹					
10969-11											v a n ¹					
10970-11											n u ¹					
10206-11											v a n ¹					
6565-11											k w aː n ¹					
1281-11											ʔ j a n ¹					
10569-11											ˀŋ a m ¹					
6899-11											pʰ j a ŋ ¹					
7081-11											k o ¹					
4090-11											t a m ¹					
2197-11											h u m ¹					
3352-11											t i ¹					
3892-11											ɕ ə t ¹					
1071-11											q a m ¹					
10313-11											m ai ¹					
2671-11											t j ə t ¹					
5502-11											v a k ¹					
7382-11											k ə n ¹					
932-11											t i n ¹					
533-11											m ai ¹					
4159-11											v a ¹					
2804-11											l u k ¹					
5451-11											ɣ a ¹					
5773-11											ʔ aːu ¹					
6933-11											ʔ aːu ¹					
4657-11											ʔ aːu ¹					
4658-11											v j a n ¹					
6966-11											h i ¹					
5351-11											ˀɣ a ¹					
4073-11											t a ¹					
2163-11											ˀb j a n ¹					
1121-11											s a ¹					
5790-11											v aː ŋ ¹					
10413-11											ˀm a ¹					
6731-11											ˀm a ¹					
1645-11											ˀm a ¹					
4914-11											ˀm a ¹					
6175-11											ˀn a ¹					
3092-11											s a n ¹					
1247-11											l j a n ¹					
5620-11											s j u ¹					
4897-11											ˀm a ¹					
4811-11											ⁿb aː ŋ ¹					
1213-11											k aːu ¹					
11019-11											ʁ aː ŋ ¹					
11020-11											k aːu ¹					
2129-11											t aː p ¹					
3211-11											n aː n ¹					
714-11											l aː k ¹					
1729-11											k a ¹					
3679-11											ˀm a ¹					
1054-11											s a ¹					
7448-11											h u m ¹					
582-11											s a ¹					
4743-11											ɕ ə n ¹					
5419-11											l j ə n ¹					
5601-11											ˀb aː n ¹					
2705-11											h a m ¹					
6381-11											l o ŋ ¹					
1017-11											p a ¹					
645-11											l aː k ¹					
273-11											m aː t ¹					
4338-11											t j a k ¹					
2533-11											k a ¹					
1089-11											t u p ¹					
843-11											n a n ¹					
2787-11											ɕ u t ¹					
4462-11											n aː n ¹					
10918-11											h a n ¹					
6582-11											h a ¹					
2070-11											k a ¹					
3075-11											s p a k ¹					
10848-11											v a ¹					
2480-11											t ə n ¹					
2214-11											k a ¹					
7225-11											h ə t ¹					
3515-11											p j a m ¹					
2588-11											t ə n ¹					
2908-11											pʰ j aː k ¹					
2393-11											ˀn a ¹					
1156-11											n o ¹					
2374-11											t a ¹					
2146-11											k a ¹					
5133-11											ˀn a m ¹					
4981-11											l u k ¹					
10239-11											ˀm a ¹					
599-11											ˀn j u t ¹					
5048-11											t o ¹					
6331-11											h a ¹					
290-11											t i n ¹					
311-11											h aː k ¹					
3430-11											m j a ¹					
5369-11											m j a ¹					
2749-11											k ə n ¹					
2621-11											l j a k ¹					
1181-11											t a k ¹					
949-11											t j u ¹					
6882-12												s ə t ¹				
6485-12												ˀb ə n ¹				
4690-12												m aː n ¹				
5671-12												k h ə n ¹				
4272-12												l t a k ¹				
10935-12												p e ¹				
4760-12												ɕ j eː n ¹				
1881-12												v a n ¹				
4777-12												ɕ a t ¹				
10969-12												v a n ¹				
10970-12												n u ¹				
10206-12												v a n ¹				
6565-12												k w aː n ¹				
1281-12												ʔ j a n ¹				
10569-12												ˀn a m ¹				
6899-12												t j a ŋ ¹				
7081-12												k a ¹				
4090-12												ⁿd a m ¹				
2197-12												h ə m ¹				
3352-12												t i ¹				
3892-12												ɕ a t ¹				
1071-12												q a m ¹				
10313-12												m ai ¹				
2671-12												ⁿd j i t ¹				
5502-12												s i k ¹				
7382-12												k u n ¹				
932-12												t i ŋ ¹				
533-12												m ai ¹				
4159-12												v a ¹				
2804-12												l u k ¹				
5451-12												ɣ a ¹				
5773-12												ʔ aːu ¹				
6933-12												ʔ aːu ¹				
4657-12												ʔ aːu ¹				
4658-12												v j a n ¹				
6966-12												h i ¹				
5351-12												ˀɣ a ¹				
4073-12												t aːu ¹				
2163-12												ˀb j aː n ¹				
1121-12												v a ¹				
5790-12												v aː n ¹				
10413-12												ˀm a ¹				
6731-12												ˀm a ¹				
1645-12												ˀm a ¹				
4914-12												ˀm a ¹				
6175-12												ȵ a ¹				
3092-12												s aː n ¹				
1247-12												l j a n ¹				
5620-12												s j u ¹				
4897-12												h a ¹				
4811-12												ⁿb aː ŋ ¹				
1213-12												k aːi ¹				
11019-12												ʁ aː ŋ ¹				
11020-12												k aːi ¹				
2129-12												ʔ aː p ¹				
3211-12												ŋ aː n ¹				
714-12												l a k ¹				
1729-12												t a ¹				
3679-12												ˀm a ¹				
1054-12												s a ¹				
7448-12												h a m ¹				
582-12												s e ¹				
4743-12												ɕ eː n ¹				
5419-12												l j i n ¹				
5601-12												ˀb aː n ¹				
2705-12												h a m ¹				
6381-12												l o ŋ ¹				
1017-12												t a ¹				
645-12												l aː k ¹				
273-12												m ə t ¹				
4338-12												t j a k ¹				
2533-12												k i ¹				
1089-12												t aː p ¹				
843-12												n a n ¹				
2787-12												s a t ¹				
4462-12												ˀn aː n ¹				
10918-12												h a n ¹				
6582-12												h a ¹				
2070-12												k a ¹				
3075-12												s p aː k ¹				
10848-12												v a ¹				
2480-12												z ə n ¹				
2214-12												k a ¹				
7225-12												h ə t ¹				
3515-12												t j a m ¹				
2588-12												z ə n ¹				
2908-12												pʰ j aː k ¹				
2393-12												ˀn a ¹				
1156-12												n ai ¹				
2374-12												t a ¹				
2146-12												t a ¹				
5133-12												ˀn a m ¹				
4981-12												l u k ¹				
10239-12												ˀm a ¹				
599-12												ˀn j u t ¹				
5048-12												t o ¹				
6331-12												h a ¹				
290-12												t a n ¹				
311-12												h aː k ¹				
3430-12												m j a ¹				
5369-12												m j a ¹				
2749-12												k o n ¹				
2621-12												l j a k ¹				
1181-12												t a k ¹				
949-12												t j u ¹				
6882-13													z ə t ¹			
6485-13													m ə n ¹			
4690-13													l aː n ¹			
5671-13													l ə n ¹			
4272-13													l t aː p ¹			
10935-13													p e ¹			
4760-13													h j i n ¹			
1881-13													p a n ¹			
4777-13													h ə t ¹			
10969-13													p a n ¹			
10970-13													n u ¹			
10206-13													p a n ¹			
6565-13													k j aː n ¹			
1281-13													j ə n ¹			
10569-13													n a m ¹			
6899-13													pʰ j a m ¹			
7081-13													k ui ¹			
4090-13													tʰ a m ¹			
2197-13													h u m ¹			
3352-13													t i ¹			
3892-13													h ə t ¹			
1071-13													q a m ¹			
10313-13													m ai ¹			
2671-13													j ə t ¹			
5502-13													s a k ¹			
7382-13													q u n ¹			
932-13													t i ŋ ¹			
533-13													m ai ¹			
4159-13													v a ¹			
2804-13													l u k ¹			
5451-13													ɣ a ¹			
5773-13													ʔ a ¹			
6933-13													ʔ a ¹			
4657-13													ʔ a ¹			
4658-13													v j ə n ¹			
6966-13													h i ¹			
5351-13													ɣ a ¹			
4073-13													t aːu ¹			
2163-13													m j aː n ¹			
1121-13													s a ¹			
5790-13													p aː n ¹			
10413-13													m a ¹			
6731-13													m a ¹			
1645-13													m a ¹			
4914-13													m a ¹			
6175-13													n a ¹			
3092-13													ȶʰ aː n ¹			
1247-13													l j ə n ¹			
5620-13													s j u ¹			
4897-13													n a ¹			
4811-13													ⁿb aː ŋ ¹			
1213-13													q a ¹			
11019-13													l aː ŋ ¹			
11020-13													q a ¹			
2129-13													ʔ aː p ¹			
3211-13													ŋ aː n ¹			
714-13													l a k ¹			
1729-13													k a ¹			
3679-13													m a ¹			
1054-13													m j a ¹			
7448-13													h u m ¹			
582-13													s i ¹			
4743-13													h u n ¹			
5419-13													l j ə n ¹			
5601-13													m aː n ¹			
2705-13													h a m ¹			
6381-13													ȵ o ŋ ¹			
1017-13													t a ¹			
645-13													l aː k ¹			
273-13													m a t ¹			
4338-13													t j a k ¹			
2533-13													k i ¹			
1089-13													t u p ¹			
843-13													ȵ a n ¹			
2787-13													h u t ¹			
4462-13													n a n ¹			
10918-13													h a n ¹			
6582-13													h a ¹			
2070-13													k a ¹			
3075-13													s p aː k ¹			
10848-13													v a ¹			
2480-13													z ə n ¹			
2214-13													k a ¹			
7225-13													h ə t ¹			
3515-13													p j a m ¹			
2588-13													z ə n ¹			
2908-13													m j aː k ¹			
2393-13													n a ¹			
1156-13													n ai ¹			
2374-13													t a ¹			
2146-13													k a ¹			
5133-13													n a m ¹			
4981-13													l u k ¹			
10239-13													m a ¹			
599-13													n j u t ¹			
5048-13													k o ¹			
6331-13													h a ¹			
290-13													t i n ¹			
311-13													h aː k ¹			
3430-13													m j a ¹			
5369-13													m j a ¹			
2749-13													ȶ u n ¹			
2621-13													l j a k ¹			
1181-13													t a k ¹			
949-13													t j u ¹			
6882-14														s aː t ¹		
6485-14														ˀm ə n ¹		
4690-14														m aː n ¹		
5671-14														x ə n ¹		
4272-14														l t aː p ¹		
10935-14														p əi ¹		
4760-14														v j ə n ¹		
1881-14														v a n ¹		
4777-14														ɕ ə t ¹		
10969-14														v a n ¹		
10970-14														n i ¹		
10206-14														v a n ¹		
6565-14														k w u n ¹		
1281-14														ʔ j ə n ¹		
10569-14														ˀn a m ¹		
6899-14														pʰ j a ŋ ¹		
7081-14														k u ¹		
4090-14														ⁿd a m ¹		
2197-14														h u m ¹		
3352-14														t i ¹		
3892-14														ɕ ə t ¹		
1071-14														q a m ¹		
10313-14														m əi ¹		
2671-14														ⁿd j ə t ¹		
5502-14														f a k ¹		
7382-14														k u n ¹		
932-14														t i ŋ ¹		
533-14														m əi ¹		
4159-14														v a ¹		
2804-14														l u k ¹		
5451-14														ɣ a ¹		
5773-14														ʔ a ¹		
6933-14														ʔ a ¹		
4657-14														ʔ a ¹		
4658-14														v j ə n ¹		
6966-14														h i ¹		
5351-14														ˀɣ a ¹		
4073-14														t aːu ¹		
2163-14														ˀm j e n ¹		
1121-14														f e ¹		
5790-14														ɣ aː n ¹		
10413-14														ˀm a ¹		
6731-14														ˀm a ¹		
1645-14														ˀm a ¹		
4914-14														ˀm a ¹		
6175-14														ȵ a ¹		
3092-14														s i n ¹		
1247-14														l j i n ¹		
5620-14														s j u ¹		
4897-14														h a ¹		
4811-14														ⁿb aː n ¹		
1213-14														k aːu ¹		
11019-14														ʁ aː ŋ ¹		
11020-14														k aːu ¹		
2129-14														ʔ i p ¹		
3211-14														n aː n ¹		
714-14														l aː k ¹		
1729-14														k a ¹		
3679-14														ˀm əi ¹		
1054-14														m e ¹		
7448-14														h u m ¹		
582-14														s e ¹		
4743-14														ɕ u n ¹		
5419-14														l j ə n ¹		
5601-14														ˀm aː n ¹		
2705-14														h a m ¹		
6381-14														l o ŋ ¹		
1017-14														p a ¹		
645-14														l aː k ¹		
273-14														m aː t ¹		
4338-14														t j a k ¹		
2533-14														k i ¹		
1089-14														t u p ¹		
843-14														n a n ¹		
2787-14														s u t ¹		
4462-14														n u n ¹		
10918-14														h a n ¹		
6582-14														h a ¹		
2070-14														k a ¹		
3075-14														s p a k ¹		
10848-14														v a ¹		
2480-14														z ə n ¹		
2214-14														k aːu ¹		
7225-14														x ə t ¹		
3515-14														p j a m ¹		
2588-14														z ə n ¹		
2908-14														pʰ j e k ¹		
2393-14														ˀn a ¹		
1156-14														n əi ¹		
2374-14														t a ¹		
2146-14														k a ¹		
5133-14														ˀn a m ¹		
4981-14														l u k ¹		
10239-14														ˀm əi ¹		
599-14														ˀn j u t ¹		
5048-14														t o ¹		
6331-14														h a ¹		
290-14														t i n ¹		
311-14														h aː k ¹		
3430-14														m j e ¹		
5369-14														m j e ¹		
2749-14														k u n ¹		
2621-14														l j a k ¹		
1181-14														t a k ¹		
949-14														t j u ¹		
6882-15															z aː t ¹	
6485-15															ˀb ə n ¹	
4690-15															m aː n ¹	
5671-15															h a n ¹	
4272-15															l t aː p ¹	
10935-15															p e ¹	
4760-15															v j a n ¹	
1881-15															v a n ¹	
4777-15															ɕ a t ¹	
10969-15															v a n ¹	
10970-15															n u ¹	
10206-15															v a n ¹	
6565-15															k w a n ¹	
1281-15															ʔ j a n ¹	
10569-15															ˀn a m ¹	
6899-15															pʰ j a ŋ ¹	
7081-15															k ui ¹	
4090-15															ⁿd a m ¹	
2197-15															h u m ¹	
3352-15															t i ¹	
3892-15															ɕ a t ¹	
1071-15															q a m ¹	
10313-15															m ai ¹	
2671-15															ⁿd j a t ¹	
5502-15															v w a k ¹	
7382-15															k w a n ¹	
932-15															t i ŋ ¹	
533-15															m ai ¹	
4159-15															v a ¹	
2804-15															l u k ¹	
5451-15															ˀɣ a ¹	
5773-15															ʔ aːu ¹	
6933-15															ʔ aːu ¹	
4657-15															ʔ aːu ¹	
4658-15															v j a n ¹	
6966-15															h i ¹	
5351-15															ˀɣ a ¹	
4073-15															t aːu ¹	
2163-15															ˀb j a n ¹	
1121-15															f j a ¹	
5790-15															ɣ aː ŋ ¹	
10413-15															ˀm a ¹	
6731-15															ˀm a ¹	
1645-15															ˀm a ¹	
4914-15															ˀm a ¹	
6175-15															ˀn a ¹	
3092-15															s i n ¹	
1247-15															l j a n ¹	
5620-15															m j u ¹	
4897-15															ˀm a ¹	
4811-15															ⁿb aː ŋ ¹	
1213-15															k aːu ¹	
11019-15															ʁ aː ŋ ¹	
11020-15															k aːu ¹	
2129-15															t aː p ¹	
3211-15															n aː n ¹	
714-15															l a k ¹	
1729-15															k a ¹	
3679-15															ˀm a ¹	
1054-15															m j a ¹	
7448-15															h u m ¹	
582-15															m a ¹	
4743-15															ɕ w a n ¹	
5419-15															l j a n ¹	
5601-15															ˀb aː n ¹	
2705-15															h a m ¹	
6381-15															l o ŋ ¹	
1017-15															p a ¹	
645-15															l aː k ¹	
273-15															m aː t ¹	
4338-15															t j a k ¹	
2533-15															k i ¹	
1089-15															t u p ¹	
843-15															n a n ¹	
2787-15															ɕ a t ¹	
4462-15															n aː n ¹	
10918-15															h a n ¹	
6582-15															h a ¹	
2070-15															k a ¹	
3075-15															s p a k ¹	
10848-15															v a ¹	
2480-15															z ə n ¹	
2214-15															k aːu ¹	
7225-15															h ə t ¹	
3515-15															p j a m ¹	
2588-15															z ə n ¹	
2908-15															pʰ j a k ¹	
2393-15															ˀn a ¹	
1156-15															n o ¹	
2374-15															t a ¹	
2146-15															k a ¹	
5133-15															ˀn a n ¹	
4981-15															l u k ¹	
10239-15															ˀm a ¹	
599-15															ˀn j uː t ¹	
5048-15															t o ¹	
6331-15															h a ¹	
290-15															t i n ¹	
311-15															h aː k ¹	
3430-15															m j a ¹	
5369-15															m j a ¹	
2749-15															k a n ¹	
2621-15															l j a k ¹	
1181-15															t a k ¹	
949-15															t j u ¹	
6882-16																s ə t ¹
6485-16																ˀb ə n ¹
4690-16																m aː n ¹
5671-16																k h ə n ¹
4272-16																l t a k ¹
10935-16																p e ¹
4760-16																ɕ j e n ¹
1881-16																m a n ¹
4777-16																ɕ ə t ¹
10969-16																m a n ¹
10970-16																n u ¹
10206-16																m a n ¹
6565-16																k w aː n ¹
1281-16																ʔ j e n ¹
10569-16																h a m ¹
6899-16																pʰ j a ŋ ¹
7081-16																k u ¹
4090-16																ⁿd a m ¹
2197-16																h u m ¹
3352-16																t i ¹
3892-16																ɕ ə t ¹
1071-16																q a m ¹
10313-16																m ai ¹
2671-16																t j ə t ¹
5502-16																f a k ¹
7382-16																k u n ¹
932-16																t i ŋ ¹
533-16																m ai ¹
4159-16																v a ¹
2804-16																l u k ¹
5451-16																h a ¹
5773-16																ʔ aːu ¹
6933-16																ʔ aːu ¹
4657-16																ʔ aːu ¹
4658-16																v j a n ¹
6966-16																h i ¹
5351-16																ˀɣ a ¹
4073-16																t aːu ¹
2163-16																ˀb j aː n ¹
1121-16																f a ¹
5790-16																ɣ aː n ¹
10413-16																ˀm a ¹
6731-16																ˀm a ¹
1645-16																ˀm a ¹
4914-16																ˀm a ¹
6175-16																n a ¹
3092-16																s i n ¹
1247-16																l j e n ¹
5620-16																s j u ¹
4897-16																h a ¹
4811-16																ⁿb aː ŋ ¹
1213-16																k aːu ¹
11019-16																ʁ aː ŋ ¹
11020-16																k aːu ¹
2129-16																t aː p ¹
3211-16																n aː n ¹
714-16																l a k ¹
1729-16																k a ¹
3679-16																ˀm a ¹
1054-16																m a ¹
7448-16																h a m ¹
582-16																m a ¹
4743-16																ɕ e n ¹
5419-16																l j ə n ¹
5601-16																ˀb aː n ¹
2705-16																h a m ¹
6381-16																l o ŋ ¹
1017-16																t a ¹
645-16																l aː k ¹
273-16																m ə t ¹
4338-16																t j a k ¹
2533-16																k i ¹
1089-16																t u p ¹
843-16																n a n ¹
2787-16																s uː t ¹
4462-16																ˀn aː n ¹
10918-16																h a n ¹
6582-16																h a ¹
2070-16																k a ¹
3075-16																s p aː k ¹
10848-16																v a ¹
2480-16																z ə n ¹
2214-16																k a ¹
7225-16																h ə t ¹
3515-16																ʔ j a m ¹
2588-16																z ə n ¹
2908-16																pʰ j aː k ¹
2393-16																ˀn a ¹
1156-16																n ai ¹
2374-16																t a ¹
2146-16																k a ¹
5133-16																ˀn a m ¹
4981-16																l u k ¹
10239-16																ˀm a ¹
599-16																ˀn j uː t ¹
5048-16																t o ¹
6331-16																h a ¹
290-16																t i n ¹
311-16																h aː k ¹
3430-16																m j a ¹
5369-16																m j a ¹
2749-16																k o n ¹
2621-16																l j a k ¹
1181-16																t a k ¹
949-16																t j u ¹
