COGID	AntangWesternSandong	BanliangYangAn	DujiangEasternSandong	JiaoliPandong	JiarongSouthernSandong	JiuqianSouthernSandong	Pandong	RenliEasternSandong	SanjiangEasternSandong	ShuigenCentralSandong	ShuiweiSouthernSandong	ShuiyaoSouthernSandong	TangnianYangAn	TangzhouWesternSandong	TingpaiWesternSandong	ZhongheCentralSandong
5519-4				h a n ¹												
5893-4				t h a n ¹												
2857-4				t i n ¹												
3645-4				h a n ¹												
3032-4				ɕ j a n ¹												
2088-4				ɕ j a n ¹												
2463-4				p i ¹												
4794-4				f e ¹												
4569-4				l a ŋ ¹												
4586-4				ⁿd ʔ e ¹												
4552-4				p i ¹												
3228-4				k a ŋ ¹												
3245-4				j e ¹												
6651-4				l a ¹ ¹												
6652-4				k a n ¹												
1817-4				l a ¹ ¹												
1818-4				ⁿd j a t ¹												
11052-4				f e ¹												
1230-4				l a ¹ ¹												
3380-4				h u ¹ ¹												
8174-4				ɣ a m ¹												
8599-4				ⁿd j a m ¹												
7782-4				ⁿd j e ¹												
8294-4				l a t ¹												
8514-4				f e ¹												
9669-4				l j a ¹ ¹												
8531-4				p i ¹												
7954-4				ʔ u ¹ ¹												
9968-4				h a m ¹												
8040-4				p e ¹												
9304-4				p i ¹												
8345-4				ⁿd u ¹ ¹												
8765-4				ⁿd ə t ¹												
8849-4				ɕ a ŋ ¹												
9286-4				ⁿd j a ŋ ¹												
9581-4				n a n ¹												
9267-4				l j e ¹												
8497-4				ⁿd a n ¹												
7602-4				ʔ u ¹ ¹												
8431-4				ɕ j a n ¹												
10036-4				s u ¹ ¹												
10019-4				l a ¹ ¹												
9216-4				f e ¹												
8074-4				k a t ¹												
9511-4				ⁿd a n ¹												
8243-4				ⁿd j a m ¹												
9250-4				ⁿd j a ŋ ¹												
7568-4				f aːi ¹												
8832-4				p e ¹												
8057-4				f e ¹												
7716-4				h u t ¹												
9899-4				p e ¹												
7585-4				p e ¹												
8582-4				m j e ¹												
9097-4				l a m ¹												
10125-4				f e ¹												
9460-4				f aːi ¹												
9649-4				t w a t ¹												
9870-4				n a t ¹												
8680-4				m a m ¹												
7699-4				t i ¹ ¹												
9001-4				n j a t ¹												
9494-4				ⁿd i ¹ ¹												
7666-4				h a n ¹												
9598-4				t j a t ¹												
8023-4				k u m ¹												
9053-4				h ə t ¹												
10091-4				s ə t ¹												
10002-4				ⁿd j e ¹												
7765-4				p e ¹												
8800-4				f e ¹												
9934-4				p e ¹												
9985-4				ʔ e ¹												
7850-4				ⁿd u t ¹												
7816-4				k a m ¹												
8663-4				k u m ¹												
8697-4				t i ¹ ¹												
9615-4				ⁿd j a n ¹												
8362-4				t u t ¹												
8091-4				p e ¹												
8748-4				f e ¹												
22-4				p e ¹												
11084-4				s j e ¹												
7365-4				f aːi ¹												
4201-4				s p e ¹												
5841-4				f a ¹												
4640-4				p e ¹												
662-4				l a n ¹												
384-4				f e ¹												
5151-4				f e ¹												
1399-4				p e ¹												
5259-4				ⁿd j a t ¹												
10353-4				f a ¹												
10370-4				f e ¹												
7401-4				h a m ¹												
2958-4				f e ¹												
2770-4				f o ¹												
6434-4				l j a ¹ ¹												
6192-4				h j a t ¹												
2231-4				k u ¹ ¹												
5116-4				ʔ e ¹												
7297-4				s a t ¹												
3731-4				p e ¹ ¹												
748-4				n a m ¹												
2180-4				h a m ¹												
4107-4				m a m ¹												
2688-4				k w a n ¹												
616-4				k i ŋ ¹												
1898-4				ⁿd a ¹ ¹												
203-4				f a ¹												
897-4				ⁿd j e ¹												
10189-4				h j a n ¹												
1592-4				s a t ¹												
6088-4				ⁿd j a ŋ ¹												
2975-4				ⁿd a ŋ ¹												
6714-4				h u m ¹												
731-4				k a m ¹												
2722-4				j e ¹												
5637-4				k u t ¹												
765-4				l a t ¹												
1695-4				k i m ¹												
2112-4				m j e ¹												
6634-4				f a ¹												
7331-4				f a ¹												
7348-4				ⁿd a ŋ ¹												
6527-4				p i ¹												
3568-4				h a n ¹												
4378-4				f e ¹												
6292-4				ⁿd j a n ¹												
3585-4				n w a ŋ ¹												
4428-4				ⁿd a m ¹												
7046-4				h j a ŋ ¹												
1915-4				ⁿd j a m ¹												
4518-4				k a ŋ ¹												
2516-4				m j e ¹												
4480-4				k a n ¹												
2499-4				ⁿd j a t ¹												
5584-4				f e ¹												
2429-4				f e ¹												
5224-4				p e ¹												
3464-4				t w a t ¹												
10142-4				ⁿd a ŋ ¹												
6599-4				f i ¹												
10207-4				f e ¹												
2654-4				f a ¹												
367-4				f t a t ¹												
451-4				f a n ¹												
512-4				n j o ¹ ¹												
4845-4				j e ¹												
4915-4				k u t ¹												
10570-4				p i ¹												
5418-4				t e ¹ ¹												
3532-4				ⁿd a ¹												
310-4				p e ¹												
5368-4				f e m ¹												
4321-4				k a ¹ ¹												
5065-4				f e ¹												
5961-4				l u ¹ ¹												
1450-4				p e ¹												
10430-4				f e ¹												
6210-4				t ʔ e ¹												
5468-4				f a n ¹												
6685-4				h aːu ¹												
89-4				p e ¹												
153-4				f e ¹												
120-4				l j e ¹												
50-4				ⁿd j e ¹												
4947-4				ⁿd a ŋ ¹												
8866-4				l j a ¹ ¹												
9165-4				ⁿd a ¹ ¹												
7919-4				t a ŋ ¹												
9765-4				s o t ¹												
8883-4				p e ¹												
8646-4				ⁿd ⁿd a m ¹												
9686-4				ⁿd j a t ¹												
1536-4				l j u ¹												
8799-4				f e ¹												
9721-4				ⁿd a ¹												
8124-4				ⁿd j o n ¹												
8448-4				l a m ¹												
8714-4				t u t ¹												
5317-4				n u ¹ ¹												
1502-4				h i t ¹												
3109-4				ⁿd j a m ¹												
3334-4				p a ¹												
3840-4				n a n ¹												
7262-4				k a n ¹												
10635-4				ɣ u ¹ ¹												
697-4				f e ¹												
5031-4				ⁿd j e ¹												
224-4				t p e ¹												
186-4				ⁿd j a n ¹												
1484-4				f e ¹												
1933-4				f a ¹												
2939-4				ⁿd a ŋ ¹												
1000-4				p a ¹ ¹												
2551-4				k a ŋ ¹												
5552-4				f a t ¹												
3159-4				f j a ¹												
5876-4				ⁿd a ¹												
4862-4				p a ¹ ¹												
4008-4				k a ¹ ¹												
6774-4				f e ¹												
3875-4				f a ¹												
6036-4				ⁿd a e ¹												
6398-4				l j a ŋ ¹												
492-4				t j a ŋ ¹												
1627-4				k aː ŋ ¹												
5927-4				h a m ¹												
3951-4				l aːu ¹												
3049-4				f a ŋ ¹												
6684-4				l a ¹ ¹												
8260-4				t f e t ¹												
9564-4				f a ¹												
9443-4				p aːu ¹												
9148-4				k j e ¹												
9036-4				ⁿd o ¹												
8227-4				f e ¹												
8616-4				m a ŋ ¹												
11112-4				n j e ¹												
11163-4				m a n ¹												
11130-4				m a n ¹												
5241-4				p i ¹												
3398-4				ⁿd o ¹ ¹												
3696-4				ⁿd a ¹												
5722-4				h a ŋ ¹												
3317-4				h j e ¹												
4142-4				h a t ¹												
5705-4				ⁿd j u ¹ ¹												
6242-4				ⁿd j e ¹												
3194-4				ⁿd a ¹												
7419-4				f a ¹												
6070-4				p au ¹												
6158-4				ⁿd j e ¹												
6882-5					m i t ¹											
6485-5					x i n ¹											
4690-5					x i n ¹											
5671-5					f aː n ¹											
4272-5					ˀd t aː p ¹											
10935-5					q e ¹											
4760-5					m̥ j aː n ¹											
1881-5					s ə n ¹											
4777-5					s j i t ¹											
10969-5					s ə n ¹											
10970-5					v u ¹											
10206-5					s ə n ¹											
6565-5					ˀd j aː n ¹											
1281-5					ʔ j aː n ¹											
10569-5					n i m ¹											
6899-5					p j aː n ¹											
7081-5					q u ¹											
4090-5					q a m ¹											
2197-5					ˀɣ u m ¹											
3352-5					p au ¹											
3892-5					s ȶʰ aː t ¹											
1071-5					q a m ¹											
10313-5					m̥ aːi ¹											
2671-5					ˀd j aː k ¹											
5502-5					f aː k ¹											
7382-5					f aː n ¹											
932-5					t i ŋ ¹											
533-5					m̥ aːi ¹											
4159-5					f u ¹											
2804-5					n u t ¹											
5451-5					f a ¹											
5773-5					ʔ au ¹											
6933-5					ʔ au ¹											
4657-5					ʔ au ¹											
4658-5					f j aː n ¹											
6966-5					s i ¹											
5351-5					s a ¹											
4073-5					ⁿd aːi ¹											
2163-5					ŋ j aː n ¹											
1121-5					f m̥ a ¹											
5790-5					s u ŋ ¹											
10413-5					m̥ a ¹											
6731-5					m̥ a ¹											
1645-5					m̥ a ¹											
4914-5					m̥ a ¹											
6175-5					s aːi ¹											
3092-5					s i ŋ ¹											
1247-5					l j aː n ¹											
5620-5					m j u ¹											
4897-5					ʁ aːi ¹											
4811-5					ˀb i ŋ ¹											
1213-5					q aːi ¹											
11019-5					s i ŋ ¹											
11020-5					q aːi ¹											
2129-5					q aː p ¹											
3211-5					s i n ¹											
714-5					n a k ¹											
1729-5					q au ¹											
3679-5					m̥ a ¹											
1054-5					m a ¹											
7448-5					ˀɣ u m ¹											
582-5					m i ¹											
4743-5					f aː n ¹											
5419-5					l j aː n ¹											
5601-5					t i n ¹											
2705-5					ˀɣ i m ¹											
6381-5					l i ŋ ¹											
1017-5					ʁ i ¹											
645-5					l u p ¹											
273-5					m i t ¹											
4338-5					ˀd j aː k ¹											
2533-5					q i ¹											
1089-5					q u p ¹											
843-5					x i n ¹											
2787-5					s aː t ¹											
4462-5					x u n ¹											
10918-5					x ə n ¹											
6582-5					h u ¹											
2070-5					q au ¹											
3075-5					n j aː k ¹											
10848-5					f u ¹											
2480-5					x ə n ¹											
2214-5					q au ¹											
7225-5					x i t ¹											
3515-5					ʔ j aː m ¹											
2588-5					x ə n ¹											
2908-5					p j aː k ¹											
2393-5					s aːi ¹											
1156-5					s aːi ¹											
2374-5					ⁿd o ¹											
2146-5					q au ¹											
5133-5					l i ŋ ¹											
4981-5					m i p ¹											
10239-5					m̥ a ¹											
599-5					n j aː p ¹											
5048-5					q au ¹											
6331-5					s a ¹											
290-5					t i n ¹											
311-5					h aː t ¹											
3430-5					m j a ¹											
5369-5					m j a ¹											
2749-5					ˀd aː n ¹											
2621-5					l j aː p ¹											
1181-5					t a p ¹											
949-5					ⁿd j u ¹											
2839-5					t i n ¹											
861-5					m i k ¹											
6773-5					m i k ¹											
5739-5					m i k ¹											
5740-5					s i t ¹											
3550-5					f ˀɣ aː m ¹											
4445-5					p i t ¹											
680-5					l i ŋ ¹											
817-5					ȶʰ i n ¹											
782-5					p j aː k ¹											
10396-5					l j u ¹											
4606-5					s i n ¹											
5207-5					x i n ¹											
7280-5					ˀd m̥ a ¹											
6983-5					ʔ j i t ¹											
5168-5					ˀb u ŋ ¹											
1264-5					ˀd j u ¹											
915-5					t u ¹											
1767-5					ts u ŋ ¹											
10901-5					j aː ŋ ¹											
10867-5					t i ŋ ¹											
417-5					j aː n ¹											
2285-5					ˀd j a ¹											
11002-5					p i t ¹											
6348-5					m̥ aːi ¹											
6349-5					s i n ¹											
10602-5					x i n ¹											
5654-5					m̥ j aː n ¹											
880-5					f aːi ¹											
983-5					s i n ¹											
2033-5					ⁿd au ¹											
1433-5					m j a ¹											
1467-5					k u p ¹											
469-5					ʔ j aː m ¹											
3127-5					m j a ¹											
4623-5					s a ¹											
7099-5					l j aː k ¹											
4726-5					f aː n ¹											
10465-5					x i n ¹											
5519-5					x i n ¹											
5893-5					f j aː n ¹											
2857-5					t i n ¹											
3645-5					s ə n ¹											
3032-5					f j aː n ¹											
2088-5					f j aː n ¹											
2463-5					ʁ u ¹											
4794-5					f i ¹											
4569-5					l u ŋ ¹											
4586-5					ˀd ʔ u ¹											
4552-5					ʁ a ¹											
3228-5					q i ŋ ¹											
3245-5					j u ¹											
6651-5					l i k ¹											
6652-5					t i n ¹											
1817-5					l i k ¹											
1818-5					ˀd j aː k ¹											
11052-5					f u ¹											
1230-5					l i k ¹											
3380-5					ˀɣ aː k ¹											
8174-5					ˀɣ u m ¹											
8599-5					ʔ j aː m ¹											
7782-5					ⁿd j a ¹											
8294-5					l aː k ¹											
8514-5					f aːi ¹											
9669-5					l j aː k ¹											
8531-5					ʁ aːi ¹											
7954-5					k u p ¹											
9968-5					s u m ¹											
8040-5					t o ¹											
9304-5					p i ¹											
8345-5					t a p ¹											
8765-5					ˀd aː k ¹											
8849-5					s j aː n ¹											
9286-5					j aː ŋ ¹											
9581-5					f aː n ¹											
9267-5					l a ¹											
8497-5					f i n ¹											
7602-5					t aː p ¹											
8431-5					f j aː n ¹											
10036-5					ˀɣ u p ¹											
10019-5					l a k ¹											
9216-5					f e ¹											
8074-5					q i t ¹											
9511-5					ȶʰ i n ¹											
8243-5					ʔ j aː m ¹											
9250-5					ʔ j aː m ¹											
7568-5					f aːi ¹											
8832-5					q u ¹											
8057-5					f e ¹											
7716-5					h u p ¹											
9899-5					p i ¹											
7585-5					q au ¹											
8582-5					m j a ¹											
9097-5					l i m ¹											
10125-5					f u ¹											
9460-5					ʁ aːi ¹											
9649-5					p i t ¹											
9870-5					m i p ¹											
8680-5					ˀɣ i m ¹											
7699-5					t i t ¹											
9001-5					ŋ j aː t ¹											
9494-5					t i p ¹											
7666-5					f ȶʰ i n ¹											
9598-5					ˀd a k ¹											
8023-5					q a m ¹											
9053-5					s i t ¹											
10091-5					s j aː t ¹											
10002-5					t j au ¹											
7765-5					t au ¹											
8800-5					f e ¹											
9934-5					q au ¹											
9985-5					ʔ au ¹											
7850-5					t i p ¹											
7816-5					q a m ¹											
8663-5					q u m ¹											
8697-5					t i t ¹											
9615-5					ʔ j aː n ¹											
8362-5					t i t ¹											
8091-5					t au ¹											
8748-5					s a ¹											
22-5					ⁿd o ¹											
11084-5					s ʁ au ¹											
7365-5					f aːi ¹											
4201-5					s p i ¹											
5841-5					f aːi ¹											
4640-5					t o ¹											
662-5					l i n ¹											
384-5					f aːi ¹											
5151-5					f aːi ¹											
1399-5					ⁿd au ¹											
5259-5					ʔ j aː k ¹											
10353-5					s a ¹											
10370-5					f i ¹											
7401-5					ˀɣ u m ¹											
2958-5					s i ¹											
2770-5					n̥ o ¹											
6434-5					l j aː k ¹											
6192-5					s ȶʰ i t ¹											
2231-5					h aː t ¹											
5116-5					ⁿd u ¹											
7297-5					s j aː t ¹											
3731-5					t i k ¹											
748-5					ˀɣ i m ¹											
2180-5					ˀɣ u m ¹											
4107-5					ˀɣ i m ¹											
2688-5					f aː n ¹											
616-5					t i ŋ ¹											
1898-5					ˀd a p ¹											
203-5					m̥ aːi ¹											
897-5					ˀd j a ¹											
10189-5					f aː n ¹											
1592-5					s u k ¹											
6088-5					ˀd j aː n ¹											
2975-5					t i n ¹											
6714-5					ˀɣ u m ¹											
731-5					q a m ¹											
2722-5					j u ¹											
5637-5					h aː t ¹											
765-5					n i k ¹											
1695-5					q a m ¹											
2112-5					s j u ¹											
6634-5					m̥ a ¹											
7331-5					s aːi ¹											
7348-5					ˀb i ŋ ¹											
6527-5					p au ¹											
3568-5					s i n ¹											
4378-5					f aːi ¹											
6292-5					ˀd j aː n ¹											
3585-5					f aː n ¹											
4428-5					q a m ¹											
7046-5					f h aː n ¹											
1915-5					ʔ j aː m ¹											
4518-5					q u ŋ ¹											
2516-5					m j au ¹											
4480-5					t i n ¹											
2499-5					ˀd j aː k ¹											
5584-5					h o ¹											
2429-5					h a ¹											
5224-5					q au ¹											
3464-5					ˀd h aː k ¹											
10142-5					t i n ¹											
7159-5					s aː n ¹											
6599-5					v u ¹											
6837-5					x aː n ¹											
2654-5					f aːi ¹											
367-5					f j aː k ¹											
5858-5					l j au ¹											
451-5					s ə n ¹											
5944-5					x aː n ¹											
512-5					l j a k ¹											
7138-5					q aːi ¹											
4845-5					j u ¹											
4915-5					h aː t ¹											
10570-5					q u ¹											
5300-5					ˀd j aː n ¹											
5418-5					t i ¹ ¹											
1748-5					m i t ¹											
3532-5					ⁿd o ¹											
310-5					t a ¹											
5368-5					s ə m ¹											
4321-5					t i p ¹											
5065-5					q e ¹											
5961-5					l j p ¹											
1450-5					t au ¹											
10430-5					f e ¹											
6210-5					t q au ¹											
5468-5					x ə n ¹											
89-5					q a ¹											
4947-5					t i n ¹											
8866-5					l j aː k ¹											
9165-5					t i p ¹											
7919-5					t i n ¹											
9765-5					s j aː t ¹											
7520-5					ˀɣ u ¹											
8883-5					ⁿd o ¹											
8565-5					z aː ŋ ¹											
8646-5					ˀd q i m ¹											
9686-5					t j aː p ¹											
10108-5					ˀd j aː k ¹											
10073-5					q a m ¹											
1536-5					l j u ¹											
9131-5					h aː t ¹											
8799-5					ɣ aːu ¹											
9721-5					ⁿd o ¹											
8124-5					ʔ j aː m ¹											
8448-5					l aː m ¹											
8714-5					t i t ¹											
5317-5					n a p ¹											
1138-5					f j aː n ¹											
1502-5					m a t ¹											
3109-5					ˀd f a m ¹											
3334-5					pʰ o ¹											
3840-5					s i n ¹											
3748-5					ˀd j aː k ¹											
3015-5					t i p ¹											
7262-5					ȶʰ i n ¹											
10635-5					ˀɣ a k ¹											
697-5					j au ¹											
5031-5					t j a ¹											
1553-5					q a m ¹											
224-5					t p aːu ¹											
186-5					ˀd j aː m ¹											
5185-5					x i m ¹											
1484-5					f aːi ¹											
1933-5					f aːi ¹											
2939-5					t i n ¹											
1000-5					q aː p ¹											
2551-5					q i n ¹											
1646-5					f u ¹											
565-5					t au ¹											
5552-5					s i k ¹											
3159-5					f a ¹											
5876-5					ⁿd o ¹											
1299-5					s u n ¹											
4862-5					ˀɣ i p ¹											
1180-5					q au ¹											
4008-5					q a p ¹											
6774-5					f aːi ¹											
3875-5					f aːi ¹											
6036-5					ˀd a ¹											
6398-5					l j aː n ¹											
7063-5					t i n ¹											
492-5					tʰ j i m ¹											
5927-5					q a m ¹											
3049-5					s aː n ¹											
1850-5					l aː k ¹											
3262-5					l aː k ¹											
8260-5					ˀd j aː t ¹											
7551-5					t au ¹											
9564-5					f a ¹											
9545-5					h aː p ¹											
7833-5					ˀd j aː k ¹											
9036-5					ⁿd o ¹											
8904-5					x u ŋ ¹											
7683-5					q e m ¹											
8616-5					m aː ŋ ¹											
11112-5					n a ¹											
11163-5					s i n ¹											
11130-5					s i n ¹											
7315-5					q au ¹											
10652-5					n̥ o ¹											
10653-5					s aː n ¹											
3398-5					t aː t ¹											
2357-5					t u ŋ ¹											
3696-5					ⁿd o ¹											
1610-5					ˀɣ aː ŋ ¹											
10716-5					t aː p ¹											
5722-5					s i n ¹											
3317-5					n au u ¹											
4142-5					ȶʰ i t ¹											
5705-5					ˀd j a p ¹											
5980-5					q au p ¹											
6242-5					ˀd j a ¹											
1344-5					s u n ¹											
3194-5					ⁿd aːi ¹											
4411-5					ˀd k aː p ¹											
7419-5					f aːi ¹											
6070-5					ⁿd u ¹											
6139-5					s ə n ¹											
10295-5					f s aː n ¹											
6882-6						h ə t ¹										
6485-6						x ə n ¹										
4690-6						m u n ¹										
5671-6						ⁿd v ə n ¹										
4272-6						ˀd q aː p ¹										
10935-6						q e ¹										
4760-6						l j aː n ¹										
1881-6						s a n ¹										
4777-6						s i t ¹										
10969-6						s a n ¹										
10970-6						f u ¹										
10206-6						s a n ¹										
6565-6						ʔ j aː n ¹										
1281-6						ʔ j aː n ¹										
10569-6						ˀn u m ¹										
6899-6						ȶ j aː n ¹										
7081-6						q u ¹										
4090-6						t a m ¹										
2197-6						ʔ u m ¹										
3352-6						t au ¹										
3892-6						s aː t ¹										
1071-6						q u m ¹										
10313-6						f aːi ¹										
2671-6						ˀd j aː t ¹										
5502-6						f aː t ¹										
7382-6						ȶ aː n ¹										
932-6						t i ŋ ¹										
533-6						f aːi ¹										
4159-6						f e ¹										
2804-6						n a t ¹										
5451-6						f aːi ¹										
5773-6						ʔ aːi ¹										
6933-6						ʔ aːi ¹										
4657-6						ʔ aːi ¹										
4658-6						f j aː ŋ ¹										
6966-6						f i ¹										
5351-6						f e ¹										
4073-6						t aːi ¹										
2163-6						ˀb j aː n ¹										
1121-6						f a ¹										
5790-6						v ə ŋ ¹										
10413-6						f a ¹										
6731-6						f a ¹										
1645-6						f a ¹										
4914-6						f a ¹										
6175-6						f aːi ¹										
3092-6						s i ŋ ¹										
1247-6						l j aː n ¹										
5620-6						ˀd j a ¹										
4897-6						f aːi ¹										
4811-6						t a ŋ ¹										
1213-6						q aːi ¹										
11019-6						j a ŋ ¹										
11020-6						q aːi ¹										
2129-6						q ə p ¹										
3211-6						ˀn aː n ¹										
714-6						n̥ a t ¹										
1729-6						q aːi ¹										
3679-6						f a ¹										
1054-6						m a ¹										
7448-6						m u m ¹										
582-6						m j a ¹										
4743-6						ȵ aː n ¹										
5419-6						l j aː n ¹										
5601-6						t i n ¹										
2705-6						m u m ¹										
6381-6						n̥ a ŋ ¹										
1017-6						p aːi ¹										
645-6						j u t ¹										
273-6						m ə t ¹										
4338-6						ˀd j aː k ¹										
2533-6						q aːi ¹										
1089-6						q u p ¹										
843-6						ˀn a n ¹										
2787-6						m̥ aː t ¹										
4462-6						ˀn u n ¹										
10918-6						ʔ a n ¹										
6582-6						f aːi ¹										
2070-6						q aːi ¹										
3075-6						n aː k ¹										
10848-6						f e ¹										
2480-6						x ə n ¹										
2214-6						q aːi ¹										
7225-6						h ə t ¹										
3515-6						ʔ j aː m ¹										
2588-6						x ə n ¹										
2908-6						ˀb j aː k ¹										
2393-6						f aːi ¹										
1156-6						f aːi ¹										
2374-6						t aːi ¹										
2146-6						q aːi ¹										
5133-6						ˀn a ŋ ¹										
4981-6						m i t ¹										
10239-6						f a ¹										
599-6						s j aː t ¹										
5048-6						q aːi ¹										
6331-6						f aːi ¹										
290-6						t i n ¹										
311-6						h aː t ¹										
3430-6						m j a ¹										
5369-6						m j a ¹										
2749-6						ȶ aː n ¹										
2621-6						l j aː p ¹										
1181-6						t a t ¹										
949-6						ȶ j a ¹										
2839-6						t i n ¹										
861-6						ˀd i t ¹										
6773-6						ˀd i t ¹										
5739-6						ˀd i t ¹										
5740-6						s ə t ¹										
3550-6						f ʔ aː m ¹										
4445-6						pʰ aː t ¹										
680-6						l a ŋ ¹										
817-6						t ə n ¹										
782-6						p j aː t ¹										
10396-6						l j a ¹										
4606-6						ˀn aː n ¹										
5207-6						m a n ¹										
7280-6						ȶ m̥ a ¹										
6983-6						ʔ j i t ¹										
5168-6						q u ŋ ¹										
1264-6						ȶ ʔ a ¹										
915-6						t au ¹										
1767-6						ʔ u ŋ ¹										
10901-6						ʔ j aː ŋ ¹										
10867-6						t a ŋ ¹										
417-6						ʔ j aː n ¹										
2285-6						ȶ j a ¹										
11002-6						ˀd h i t ¹										
6348-6						f aːi ¹										
6349-6						j a n ¹										
10602-6						x ə n ¹										
5654-6						l j aː n ¹										
880-6						f e ¹										
983-6						ˀn aː n ¹										
2033-6						t au ¹										
1433-6						ˀd j a ¹										
1467-6						q u p ¹										
469-6						ȶ j aː m ¹										
3127-6						m j a ¹										
4623-6						f aːi ¹										
7099-6						l j aː k ¹										
4726-6						s aː n ¹										
10465-6						ʔ a n ¹										
5519-6						x ə n ¹										
5893-6						ʔ j aː n ¹										
2857-6						t i n ¹										
3645-6						s ə n ¹										
3032-6						f j aː n ¹										
2088-6						f j aː n ¹										
2463-6						p u ¹										
4794-6						f aːi ¹										
4569-6						l u ŋ ¹										
4586-6						ȶ ʔ a ¹										
4552-6						p aːi ¹										
3228-6						q u ŋ ¹										
3245-6						j a ¹										
6651-6						l a t ¹										
6652-6						t a n ¹										
1817-6						l a t ¹										
1818-6						ˀb j aː k ¹										
11052-6						f u ¹										
1230-6						l a t ¹										
3380-6						h ə t ¹										
8174-6						ʔ u n ¹										
8599-6						ʔ j aː m ¹										
7782-6						ȶ j a ¹										
8294-6						l aː t ¹										
8514-6						f aːi ¹										
9669-6						l j aː k ¹										
8531-6						p aːi ¹										
7954-6						q ə p ¹										
9968-6						s a m ¹										
8040-6						t au ¹										
9304-6						t aːi ¹										
8345-6						t aː p ¹										
8765-6						ˀd q aː k ¹										
8849-6						s aː ŋ ¹										
9286-6						ʔ j aː ŋ ¹										
9581-6						ȵ aː n ¹										
9267-6						l a ¹										
8497-6						ts aː n ¹										
7602-6						q ə p ¹										
8431-6						f j aː n ¹										
10036-6						s u t ¹										
10019-6						l a t ¹										
9216-6						f e ¹										
8074-6						q ə t ¹										
9511-6						t a n ¹										
8243-6						ʔ j aː n ¹										
9250-6						ʔ j aː n ¹										
7568-6						f aːi ¹										
8832-6						q u ¹										
8057-6						f e ¹										
7716-6						h u p ¹										
9899-6						t aːi ¹										
7585-6						q aːi ¹										
8582-6						ˀb j a ¹										
9097-6						ˀn u m ¹										
10125-6						f e ¹										
9460-6						j aːi ¹										
9649-6						pʰ aː t ¹										
9870-6						ˀn a p ¹										
8680-6						ˀn u m ¹										
7699-6						t i t ¹										
9001-6						s j aː t ¹										
9494-6						t i p ¹										
7666-6						ȵ aː n ¹										
9598-6						ˀd a k ¹										
8023-6						q u m ¹										
9053-6						s i t ¹										
10091-6						s j aː t ¹										
10002-6						ȶ j a ¹										
7765-6						t au ¹										
8800-6						f e ¹										
9934-6						q aːi ¹										
9985-6						ʔ aːi ¹										
7850-6						t aː p ¹										
7816-6						q a m ¹										
8663-6						ʔ u m ¹										
8697-6						t i t ¹										
9615-6						ȶ j aː n ¹										
8362-6						t ə t ¹										
8091-6						t au ¹										
8748-6						f aːi ¹										
22-6						t au ¹										
11084-6						s ʔ a ¹										
7365-6						f aːi ¹										
4201-6						s j i ¹										
5841-6						f e ¹										
4640-6						t au ¹										
662-6						j ə n ¹										
384-6						f aːi ¹										
5151-6						f e ¹										
1399-6						t au ¹										
5259-6						ʔ j aː t ¹										
10353-6						f aːi ¹										
10370-6						f aːi ¹										
7401-6						h u m ¹										
2958-6						f i ¹										
2770-6						f o ¹										
6434-6						l j aː k ¹										
6192-6						s i t ¹										
2231-6						h ə t ¹										
5116-6						t u ¹										
7297-6						s j aː p ¹										
3731-6						q ə t ¹										
748-6						ˀn u m ¹										
2180-6						ʔ a m ¹										
4107-6						ˀn u m ¹										
2688-6						f aː n ¹										
616-6						t i n ¹										
1898-6						ˀd a t ¹										
203-6						f aːi ¹										
897-6						ˀb j a ¹										
10189-6						s aː n ¹										
1592-6						s ə t ¹										
6088-6						ˀd j aː ŋ ¹										
2975-6						t a ŋ ¹										
6714-6						ʔ u n ¹										
731-6						q a m ¹										
2722-6						j u ¹										
5637-6						q ə t ¹										
765-6						j i t ¹										
1695-6						t u m ¹										
2112-6						s j a ¹										
6634-6						f a ¹										
7331-6						f aːi ¹										
7348-6						ˀb a ŋ ¹										
6527-6						t au ¹										
3568-6						s a n ¹										
4378-6						f e ¹										
6292-6						ȶ j aː n ¹										
3585-6						f aː n ¹										
4428-6						t a m ¹										
7046-6						m aː ŋ ¹										
1915-6						ʔ j aː m ¹										
4518-6						q u n ¹										
2516-6						s j a ¹										
4480-6						t a n ¹										
2499-6						ˀb j aː k ¹										
5584-6						f aːi ¹										
2429-6						f aːi ¹										
5224-6						q aːi ¹										
3464-6						ˀd h aː k ¹										
10142-6						t a ŋ ¹										
7159-6						ˀn aː n ¹										
6599-6						f a ¹										
10207-6						m̥ e ¹										
6837-6						x aː n ¹										
2654-6						f aːi ¹										
367-6						f u k ¹										
5858-6						l j a ¹										
451-6						s ə n ¹										
5944-6						h aː n ¹										
512-6						l j aː k ¹										
7138-6						ʔ au ¹										
4845-6						j a ¹										
4915-6						q aː t ¹										
10570-6						q i ¹										
5300-6						ˀb j aː n ¹										
5418-6						t i ¹ ¹										
1748-6						h i t ¹										
3532-6						t aːi ¹										
310-6						t e ¹										
5368-6						f ə n ¹										
4321-6						t u p ¹										
5065-6						q e ¹										
5961-6						l aː k ¹										
1450-6						t au ¹										
10430-6						f e ¹										
6210-6						t t i ¹										
5468-6						x ə n ¹										
6685-6						f e ¹										
89-6						q e ¹										
153-6						f e ¹										
120-6						ˀd j a ¹										
50-6						ʔ j a ¹										
4947-6						t i n ¹										
