COGID	AntangWesternSandong	BanliangYangAn	DujiangEasternSandong	JiaoliPandong	JiarongSouthernSandong	JiuqianSouthernSandong	Pandong	RenliEasternSandong	SanjiangEasternSandong	ShuigenCentralSandong	ShuiweiSouthernSandong	ShuiyaoSouthernSandong	TangnianYangAn	TangzhouWesternSandong	TingpaiWesternSandong	ZhongheCentralSandong
1399-4				ⁿd a ¹												
5259-4				ȶ j a t ¹												
10353-4				z a ¹												
10370-4				l a ¹												
7401-4				h a m ¹												
2958-4				z a ¹												
2770-4				l a ¹												
6434-4				l j u k ¹												
6192-4				h j a t ¹												
2231-4				k a t ¹												
5116-4				ⁿd u ¹												
7297-4				ɕ n a t ¹												
3731-4				k a t ¹												
748-4				ŋ a m ¹												
2180-4				h a m ¹												
4107-4				ŋ a m ¹												
2688-4				k a n ¹												
616-4				k a n ¹												
1898-4				j a t ¹												
203-4				l a ¹												
897-4				s j u ¹												
10189-4				h j a n ¹												
1592-4				ɣ a t ¹												
6088-4				t j a n ¹												
2975-4				kʰ a n ¹												
6714-4				ŋ a m ¹												
731-4				k a m ¹												
2722-4				j u ¹												
5637-4				k a t ¹												
765-4				l t a k ¹												
1695-4				k a m ¹												
2112-4				s j u ¹												
6634-4				l a ¹												
7331-4				n a ¹												
7348-4				kʰ a ŋ ¹												
6527-4				ⁿd a ¹												
3568-4				h a n ¹												
4378-4				z a ¹												
6292-4				t j a n ¹												
3585-4				ɕ a n ¹												
4428-4				k a m ¹												
7046-4				h j a n ¹												
1915-4				h j a m ¹												
4518-4				k a ŋ ¹												
2516-4				ɕ u ¹												
4480-4				k a n ¹												
2499-4				k j a t ¹												
5584-4				z a ¹												
2429-4				z a ¹												
5224-4				ⁿd a ¹												
3464-4				k w a t ¹												
10142-4				k a n ¹												
6599-4				n u ¹												
10207-4				l a ¹												
2654-4				ⁿd a ¹												
367-4				ȵ w ə t ¹												
451-4				l a m ¹												
512-4				l j u k ¹												
4845-4				l a ¹												
4915-4				k a t ¹												
10570-4				ⁿd u ¹												
5418-4				k a ¹ ¹												
3532-4				ⁿd a ¹												
310-4				ⁿd a ¹												
5368-4				l a ŋ ¹												
4321-4				k a ¹ ¹												
5065-4				ʔ u ¹												
5961-4				l a t ¹												
1450-4				ⁿd a ¹												
10430-4				z u ¹												
6210-4				ȶ ⁿd u ¹												
5468-4				l a ŋ ¹												
6685-4				z a ¹												
89-4				ⁿd a ¹												
153-4				z a ¹												
120-4				l j u ¹												
50-4				ʔ j a ¹												
4947-4				k a m ¹												
8866-4				l u ¹ ¹												
9165-4				k a ¹ ¹												
7919-4				k a m ¹												
9765-4				ȵ w ə t ¹												
8883-4				p u ¹												
8646-4				h k a m ¹												
9686-4				t j a t ¹												
1536-4				l j u ¹												
8799-4				tsʰ u ¹												
9721-4				ⁿd a ¹												
8124-4				h j a m ¹												
8448-4				l a m ¹												
8714-4				ȶ a t ¹												
5317-4				ŋ a ¹ ¹												
1502-4				ɣ a t ¹												
3109-4				h j u m ¹												
3334-4				ʔ u ¹												
3840-4				ŋ a m ¹												
7262-4				k a m ¹												
10635-4				ŋ a t ¹												
697-4				l u ¹												
5031-4				s j u ¹												
224-4				t q u ¹												
186-4				t j u n ¹												
1484-4				ⁿd a ¹												
1933-4				l a ¹												
2939-4				k a m ¹												
1000-4				kʰ u ¹ ¹												
2551-4				k a m ¹												
5552-4				f aː t ¹												
3159-4				h i a ¹												
5876-4				ⁿd a ¹												
4862-4				k a ¹ ¹												
4008-4				k u ¹ ¹												
6774-4				l a ¹												
3875-4				ⁿd a ¹												
6036-4				k j u ¹												
6398-4				l i ŋ ¹												
492-4				ts j a m ¹												
1627-4				kʰ a ŋ ¹												
5927-4				k aː m ¹												
3951-4				l a ¹												
3049-4				h a ŋ ¹												
6684-4				l a ¹ ¹												
8260-4				k u t ¹												
9564-4				ⁿd a ¹												
9443-4				ⁿd a ¹												
9148-4				k a a ¹												
9036-4				ⁿd a ¹												
8227-4				z a ¹												
8616-4				m a ŋ ¹												
11112-4				l j a ¹												
11163-4				h a m ¹												
11130-4				h a m ¹												
5241-4				ⁿd a ¹												
3398-4				k a t ¹												
3696-4				ⁿd a ¹												
5722-4				k aː ŋ ¹												
3317-4				ȶ j u ¹												
4142-4				k a t ¹												
5705-4				ȶ u ¹ ¹												
6242-4				ȶ j u ¹												
3194-4				ⁿd a ¹												
7419-4				l a ¹												
6070-4				ⁿd u ¹												
6158-4				ʔ j u ¹												
3293-4				h u u ŋ ¹												
4999-4				k aː a ¹												
10503-4				t l u ŋ ¹												
10764-4				f ⁿd a ¹												
2248-4				ⁿd a ¹												
2266-4				ⁿd a ¹												
8399-4				z a ¹												
9782-4				m aː t ¹												
9426-4				ⁿd a ¹												
7936-4				k a m ¹												
7799-4				a a ¹												
9855-4				l j a m ¹												
10733-4				ⁿd a ¹												
5520-4				t j a n ¹												
1367-4				h ə ŋ ¹												
4124-4				z a ¹												
4218-4				ʔ j u ¹												
6916-4				k a m ¹												
2446-4				ⁿd a ¹												
6469-4				h a ŋ ¹												
3351-4				t a ¹												
532-4				ⁿd i ¹												
1416-4				l u m ¹												
5334-4				ⁿd a ¹												
10797-4				l u ¹												
3858-4				l u ¹												
4497-4				ⁿd a ¹												
3662-4				ⁿd a ¹												
10256-4				l j u n ¹												
2622-4				s l u ¹												
4235-4				ⁿd a ¹												
6451-4				ⁿd i ¹												
5401-4				l j u ¹ ¹												
5807-4				ⁿd a ¹												
7208-4				ⁿd aːu ¹												
799-4				l j u ¹												
3263-4				l u ŋ ¹												
9477-4				ⁿd u ¹												
9738-4				f w aː t ¹												
8467-4				l a ¹												
9632-4				m u ¹												
9382-4				k u ŋ ¹												
1800-4				t l u ŋ ¹												
4964-4				l j u t ¹												
3791-4				h j u ŋ ¹												
1784-4				n e ¹												
6934-4				h j u ŋ ¹												
2051-4				ⁿd u ¹												
4304-4				l a ¹												
9951-4				l aːu u ¹												
7888-4				ⁿd u ¹												
7638-4				m j i n ¹												
966-4				k a m ¹												
434-4				kʰ e ¹												
6882-5					ɣ ə t ¹											
6485-5					ˀb o ŋ ¹											
4690-5					ŋ̊ o ŋ ¹											
5671-5					f ŋ̊ o n ¹											
4272-5					s q e p ¹											
10935-5					ⁿd a ¹											
4760-5					s j o n ¹											
1881-5					ŋ̊ o ŋ ¹											
4777-5					s ə t ¹											
10969-5					ŋ̊ o ŋ ¹											
10970-5					m̥ u ¹											
10206-5					ŋ̊ o ŋ ¹											
6565-5					ts j o n ¹											
1281-5					t j aː ŋ ¹											
10569-5					ŋ̊ o ŋ ¹											
6899-5					ȶ n o ŋ ¹											
7081-5					ʔ u ¹											
4090-5					t o ŋ ¹											
2197-5					n o ŋ ¹											
3352-5					ⁿd a ¹											
3892-5					s ɣ ə t ¹											
1071-5					kʰ o ŋ ¹											
10313-5					m̥ ai ¹											
2671-5					t j e p ¹											
5502-5					m o t ¹											
7382-5					ȶ o n ¹											
932-5					ˀb o ŋ ¹											
533-5					m̥ ai ¹											
4159-5					m̥ a ¹											
2804-5					n o t ¹											
5451-5					m̥ ai ¹											
5773-5					ʔ o ¹											
6933-5					ʔ o ¹											
4657-5					ʔ o ¹											
4658-5					s j aː ŋ ¹											
6966-5					ɕ u ¹											
5351-5					m̥ a ¹											
4073-5					ⁿd a ¹											
2163-5					s j aː ŋ ¹											
1121-5					f a ¹											
5790-5					h o ŋ ¹											
10413-5					m̥ a ¹											
6731-5					m̥ a ¹											
1645-5					m̥ a ¹											
4914-5					m̥ a ¹											
6175-5					m̥ a ¹											
3092-5					h o ŋ ¹											
1247-5					m j aː ŋ ¹											
5620-5					ȶ ə u ¹											
4897-5					m̥ a ¹											
4811-5					ˀb o ŋ ¹											
1213-5					tʰ a ¹											
11019-5					j o ŋ ¹											
11020-5					tʰ a ¹											
2129-5					q o p ¹											
3211-5					ŋ̊ aː ŋ ¹											
714-5					ŋ̊ o p ¹											
1729-5					tʰ a ¹											
3679-5					m̥ a ¹											
1054-5					m ə aːu ¹											
7448-5					n o n ¹											
582-5					m j aːi ¹											
4743-5					m o n ¹											
5419-5					m ŋ̊ aː ŋ ¹											
5601-5					ˀb o ŋ ¹											
2705-5					ŋ̊ o ŋ ¹											
6381-5					ŋ̊ o ŋ ¹											
1017-5					tʰ a ¹											
645-5					ŋ̊ o t ¹											
273-5					ɣ ə t ¹											
4338-5					t j e p ¹											
2533-5					tʰ a ¹											
1089-5					q o p ¹											
843-5					ŋ̊ aː ŋ ¹											
2787-5					m̥ ə t ¹											
4462-5					n o n ¹											
10918-5					h o ŋ ¹											
6582-5					m̥ u ¹											
2070-5					tʰ a ¹											
3075-5					ȵ o t ¹											
10848-5					m̥ a ¹											
2480-5					ˀb o ŋ ¹											
2214-5					tʰ ai ¹											
7225-5					ɣ ə t ¹											
3515-5					ˀb j aː ŋ ¹											
2588-5					ˀb o ŋ ¹											
2908-5					ˀb j e p ¹											
2393-5					m̥ a ¹											
1156-5					m̥ ai ¹											
2374-5					ⁿd a ¹											
2146-5					tʰ a ¹											
5133-5					ŋ̊ o ŋ ¹											
4981-5					ɣ o t ¹											
10239-5					m̥ a ¹											
599-5					s j e p ¹											
5048-5					ʔ o ¹											
6331-5					m̥ a ¹											
290-5					h o ŋ ¹											
311-5					h o t ¹											
3430-5					m j aːi ¹											
5369-5					m j aːi ¹											
2749-5					ȶ o n ¹											
2621-5					s j e p ¹											
1181-5					t o p ¹											
949-5					ȶ j u ¹											
2839-5					ȶ o ŋ ¹											
861-5					ɣ o t ¹											
6773-5					ɣ o p ¹											
5739-5					ɣ o t ¹											
5740-5					pʰ ə t ¹											
3550-5					s h aː ŋ ¹											
4445-5					pʰ ə t ¹											
680-5					j o ŋ ¹											
817-5					ȶ o ŋ ¹											
782-5					ˀb ɣ e t ¹											
10396-5					ŋ̊ j u ¹											
4606-5					ŋ̊ aː ŋ ¹											
5207-5					ŋ̊ o ŋ ¹											
7280-5					ȶ m̥ u ¹											
6983-5					t j ə t ¹											
5168-5					ˀb o ŋ ¹											
1264-5					ȶ j u ¹											
915-5					ⁿd a ¹											
1767-5					ˀb o ŋ ¹											
10901-5					s j o ŋ ¹											
10867-5					ˀb o ŋ ¹											
417-5					ts ŋ̊ o n ¹											
2285-5					ˀb ɕ aːi ¹											
11002-5					t o t ¹											
6348-5					m̥ ai ¹											
6349-5					j o ŋ ¹											
10602-5					ˀb o ŋ ¹											
5654-5					m j aː ŋ ¹											
880-5					m̥ ai ¹											
983-5					ŋ̊ aː ŋ ¹											
2033-5					ʔ o ¹											
1433-5					kʰ m̥ aːi ¹											
1467-5					q o p ¹											
469-5					ȶ j e ŋ ¹											
3127-5					m j aːi ¹											
4623-5					m̥ a ¹											
7099-5					m j e p ¹											
4726-5					s aː ŋ ¹											
10465-5					ˀb o ŋ ¹											
5519-5					ŋ̊ o ŋ ¹											
5893-5					f j o n ¹											
2857-5					ȶ o ŋ ¹											
3645-5					ŋ̊ o ŋ ¹											
3032-5					s j aː ŋ ¹											
2088-5					s j aː ŋ ¹											
2463-5					ʔ u ¹											
4794-5					m̥ a ¹											
4569-5					j o ŋ ¹											
4586-5					ȶ ʔ u ¹											
4552-5					tʰ a ¹											
3228-5					ˀb o ŋ ¹											
3245-5					m̥ a ¹											
6651-5					ŋ̊ o t ¹											
6652-5					ˀb o ŋ ¹											
1817-5					ŋ̊ o t ¹											
1818-5					ˀb j e p ¹											
11052-5					m̥ u ¹											
1230-5					ŋ̊ o t ¹											
3380-5					h o t ¹											
8174-5					ɣ o ŋ ¹											
8599-5					ˀb j aː ŋ ¹											
7782-5					t j aːu ¹											
8294-5					ȵ e p ¹											
8514-5					m̥ o ¹											
9669-5					m j e p ¹											
8531-5					tʰ a ¹											
7954-5					ʔ o ¹ ¹											
9968-5					h o ŋ ¹											
8040-5					tʰ a ¹											
9304-5					tʰ a ¹											
8345-5					q o p ¹											
8765-5					tʰ o p ¹											
8849-5					s aː ŋ ¹											
9286-5					ts j o ŋ ¹											
9581-5					ȵ o n ¹											
9267-5					ŋ̊ j a ¹											
8497-5					ts j o n ¹											
7602-5					q o p ¹											
8431-5					s j aː ŋ ¹											
10036-5					ɣ o t ¹											
10019-5					ŋ̊ o t ¹											
9216-5					m̥ ai ¹											
8074-5					q o p ¹											
9511-5					ˀb o ŋ ¹											
8243-5					t j aː ŋ ¹											
9250-5					tʰ j e ŋ ¹											
7568-5					ɕ a ¹											
8832-5					ʔ u ¹											
8057-5					m̥ ai ¹											
7716-5					h o p ¹											
9899-5					tʰ a ¹											
7585-5					tʰ a ¹											
8582-5					ˀb j aːi ¹											
9097-5					ɣ o ŋ ¹											
10125-5					m̥ a ¹											
9460-5					m̥ a ¹											
9649-5					pʰ ə t ¹											
9870-5					ŋ̊ o p ¹											
8680-5					ŋ̊ o ŋ ¹											
7699-5					ɣ o t ¹											
9001-5					ȵ j o ¹ ¹											
9494-5					q o p ¹											
7666-5					ȵ h o ŋ ¹											
9598-5					tʰ e p ¹											
8023-5					t o ŋ ¹											
9053-5					ɣ ə t ¹											
10091-5					s aː p ¹											
10002-5					t j aːu ¹											
7765-5					ⁿd a ¹											
8800-5					m̥ ai ¹											
9934-5					tʰ a ¹											
9985-5					ʔ o ¹											
7850-5					q o p ¹											
7816-5					t o ŋ ¹											
8663-5					t o ŋ ¹											
8697-5					ɣ o t ¹											
9615-5					t j aː ŋ ¹											
8362-5					ɣ o t ¹											
8091-5					ⁿd a ¹											
8748-5					m̥ a ¹											
22-5					ⁿd a ¹											
11084-5					s tʰ aːu ¹											
7365-5					m̥ a ¹											
4201-5					s j aːi ¹											
5841-5					m̥ a ¹											
4640-5					tʰ a ¹											
662-5					ŋ̊ o ŋ ¹											
384-5					m̥ a ¹											
5151-5					m̥ ai ¹											
1399-5					ʔ a ¹											
5259-5					tʰ j ə t ¹											
10353-5					m̥ a ¹											
10370-5					m̥ a ¹											
7401-5					h o ŋ ¹											
2958-5					ɕ o ¹											
2770-5					m̥ o ¹											
6434-5					ȵ j o p ¹											
6192-5					s ɣ ə t ¹											
2231-5					ɣ o t ¹											
5116-5					ʔ u ¹											
7297-5					s e p ¹											
3731-5					ˀb o p ¹											
748-5					ŋ̊ o ŋ ¹											
2180-5					h o ŋ ¹											
4107-5					ŋ̊ o ŋ ¹											
2688-5					f o n ¹											
616-5					kʰ o ŋ ¹											
1898-5					ɣ o t ¹											
203-5					m̥ ai ¹											
897-5					ˀb j aːi ¹											
10189-5					s aː ŋ ¹											
1592-5					ɣ o p ¹											
6088-5					t j aː ŋ ¹											
2975-5					kʰ o ŋ ¹											
6714-5					h o ŋ ¹											
731-5					kʰ o ŋ ¹											
2722-5					j u ¹											
5637-5					kʰ o t ¹											
765-5					j kʰ o p ¹											
1695-5					kʰ o ŋ ¹											
2112-5					ȶ j u ¹											
6634-5					m̥ a ¹											
7331-5					m̥ a ¹											
7348-5					ˀb o ŋ ¹											
6527-5					ⁿd a ¹											
3568-5					h o ŋ ¹											
4378-5					m̥ a ¹											
6292-5					t j aː ŋ ¹											
3585-5					m o ŋ ¹											
4428-5					t o ŋ ¹											
7046-5					s h aː ŋ ¹											
1915-5					t j aː ŋ ¹											
4518-5					kʰ o ŋ ¹											
2516-5					s o aːi ¹											
4480-5					ˀb o ŋ ¹											
2499-5					ˀb j e p ¹											
5584-5					ʔ o ¹											
2429-5					ʔ o ¹											
5224-5					tʰ a ¹											
3464-5					tʰ h e k ¹											
10142-5					ˀb o ŋ ¹											
7159-5					n o ŋ ¹											
6599-5					n a ¹											
6837-5					ŋ̊ o ŋ ¹											
2654-5					m̥ a ¹											
367-5					m o t ¹											
5858-5					ŋ̊ aː aːi ¹											
451-5					ŋ̊ o ŋ ¹											
5944-5					ŋ̊ o ŋ ¹											
512-5					m j aː p ¹											
7138-5					ʔ o ¹											
4845-5					m̥ a ¹											
4915-5					kʰ o p ¹											
10570-5					ʔ u ¹											
5300-5					ˀb j aː ŋ ¹											
5418-5					ȶ o ¹ ¹											
1748-5					q o t ¹											
3532-5					t a ¹											
310-5					tʰ a ¹											
5368-5					ŋ̊ o n ¹											
4321-5					q o p ¹											
5065-5					ⁿd a ¹											
5961-5					ŋ̊ o t ¹											
1450-5					tʰ a ¹											
10430-5					tʰ a ¹											
6210-5					t ⁿd aːu ¹											
5468-5					ŋ̊ o ŋ ¹											
89-5					tʰ a ¹											
4947-5					ˀb o ŋ ¹											
8866-5					s j aː p ¹											
9165-5					kʰ o p ¹											
7919-5					ˀb o ŋ ¹											
9765-5					s o t ¹											
7520-5					m̥ a ¹											
8883-5					ʔ o ¹											
8565-5					n o ŋ ¹											
8646-5					ts j o ŋ ¹											
9686-5					t j e p ¹											
10108-5					ˀb j e p ¹											
10073-5					t o ŋ ¹											
1536-5					m j u ¹											
9131-5					ŋ̊ o p ¹											
8799-5					ʔ o ¹											
9721-5					t ai ¹											
8124-5					ˀb j o ŋ ¹											
8448-5					ŋ̊ aː ŋ ¹											
8714-5					ȶ o t ¹											
5317-5					n o n ¹											
1138-5					tʰ j i ŋ ¹											
1502-5					ɣ ə t ¹											
3109-5					ˀd n i ŋ ¹											
3334-5					ⁿd a ¹											
3840-5					ŋ̊ aː ŋ ¹											
3748-5					ˀd j e p ¹											
3015-5					t o p ¹											
7262-5					kʰ o ŋ ¹											
10635-5					ɣ o t ¹											
697-5					m̥ a ¹											
5031-5					t j aːu ¹											
1553-5					q o ŋ ¹											
224-5					t ⁿb aːu ¹											
186-5					t j o ŋ ¹											
5185-5					ŋ̊ o ŋ ¹											
1484-5					m̥ a ¹											
1933-5					m̥ a ¹											
2939-5					ˀb o ŋ ¹											
1000-5					q aː p ¹											
2551-5					ˀb o ŋ ¹											
1646-5					tʰ a ¹											
565-5					ʔ o ¹											
5552-5					s v i t ¹											
3159-5					f a ¹											
5876-5					ˀd a ¹											
1299-5					ˀȵ o ŋ ¹											
4862-5					ˀb o ¹ ¹											
1180-5					ⁿd a ¹											
4008-5					q ə p ¹											
6774-5					m̥ a ¹											
3875-5					m̥ a ¹											
6036-5					ȶ j u ¹											
6398-5					m j aː ŋ ¹											
7063-5					ˀb o ŋ ¹											
492-5					tʰ j e p ¹											
5927-5					h o ŋ ¹											
3049-5					h o ŋ ¹											
1850-5					ŋ̊ aː t ¹											
3262-5					ŋ̊ aː t ¹											
8260-5					ȶ j aː n ¹											
7551-5					tʰ a ¹											
9564-5					m̥ a ¹											
9545-5					ŋ̊ o p ¹											
7833-5					t j aːu p ¹											
9036-5					ⁿd a ¹											
8904-5					ŋ̊ o ŋ ¹											
7683-5					t aː ŋ ¹											
8616-5					ŋ̊ aː ŋ ¹											
11112-5					s aː ¹											
11163-5					h o ŋ ¹											
11130-5					h o ŋ ¹											
7315-5					ɕ a ¹											
10652-5					m̥ a ¹											
10653-5					ŋ̊ o ŋ ¹											
3398-5					ȶ j t ¹											
2357-5					ˀb o ŋ ¹											
3696-5					t a ¹											
1610-5					kʰ aː ŋ ¹											
10716-5					ˀb o p ¹											
5722-5					h o ŋ ¹											
3317-5					ȶ au u ¹											
4142-5					h o t ¹											
5705-5					ȶ j u p ¹											
5980-5					ˀb o p ¹											
6242-5					ȶ j u ¹											
1344-5					h i ŋ ¹											
3194-5					ⁿd a ¹											
4411-5					ˀd u p ¹											
7419-5					m̥ a ¹											
6070-5					tʰ a ¹											
6139-5					ˀb o ŋ ¹											
10295-5					m aː ŋ ¹											
2821-5					m j aː ŋ ¹											
3293-5					ŋ̊ ŋ̊ aː ŋ ¹											
4999-5					ȶ j u ¹											
4039-5					ŋ̊ aː p ¹											
10273-5					tʰ a ¹											
4056-5					ŋ̊ aː ŋ ¹											
10503-5					f ŋ̊ aː ŋ ¹											
10764-5					m ⁿb u ¹											
2248-5					m̥ a ¹											
2266-5					v ai ¹											
3713-5					ˀb o ŋ ¹											
8399-5					n̥ aːi ¹											
8922-5					ˀd aːi ¹											
9426-5					ˀd o ¹											
7936-5					t j ŋ ¹											
7799-5					j u ¹											
9855-5					m ȶ aː ŋ ¹											
9751-5					ˀb j o p ¹											
1037-5					m̥ a ¹											
1367-5					l aː n ¹											
6916-5					ȶ o ŋ ¹											
2446-5					ⁿb a ¹											
6469-5					t u m ¹											
6510-5					ȵ ȶ o n ¹											
3414-5					m j aː ŋ ¹											
2889-5					ŋ̊ aː ai ¹											
4707-5					ˀd j u p ¹											
7418-5					t o ŋ ¹											
5099-5					ˀb o ŋ ¹											
401-5					m̥ o ¹											
5910-5					ȶ o ŋ ¹											
10482-5					j aːi ¹											
5688-5					m̥ o ¹											
2622-5					ɣ ə ə ¹											
4998-5					m̥ a ¹											
4235-5					tʰ ə ¹											
2341-5					v e ¹											
10884-5					ˀb o ŋ ¹											
3765-5					m̥ ai ¹											
7734-5					ˀb j aː ŋ ¹											
7902-5					ŋ̊ aː p ¹											
8731-5					ȶ aː p ¹											
8414-5					f ŋ̊ aː ŋ ¹											
9738-5					f j aː t ¹											
9632-5					m̥ a ¹											
1-5					ˀb a aːi ¹											
6260-5					ˀd aːi ¹											
5824-5					tʰ a ¹											
1784-5					ɕ o ¹											
7245-5					ˀȵ j ¹											
6544-5					ˀb j p ¹											
3500-5					t j m ¹											
1570-5					ˀb j ŋ ¹											
6122-5					j j aːi ¹											
2856-5					ʔ o ¹											
9181-5					ˀb o ŋ ¹											
8985-5					m̥ ai ¹											
8140-5					ˀb j i p ¹											
9115-5					ⁿd a ¹											
9834-5					ˀb j aːi p ¹											
8192-5					t j m ¹											
434-5					ⁿb e ¹											
10619-5					ɕ a ¹											
6882-6						h aː t ¹										
6485-6						ˀb o n ¹										
4690-6						h o n ¹										
5671-6						ts h aː n ¹										
4272-6						ȵ q o p ¹										
10935-6						ʔ o ¹										
4760-6						ȵ j aː n ¹										
1881-6						h aː n ¹										
4777-6						ȵ aː t ¹										
10969-6						h aː n ¹										
10970-6						m̥ u ¹										
10206-6						h aː n ¹										
6565-6						ts j aː n ¹										
1281-6						ʔ j aː n ¹										
10569-6						h a m ¹										
6899-6						t j aː ŋ ¹										
7081-6						ʔ o ¹										
4090-6						t a n ¹										
2197-6						h aː ŋ ¹										
3352-6						t o ¹										
3892-6						ȵ aː t ¹										
1071-6						q aː m ¹										
10313-6						m̥ a ¹										
2671-6						t j u t ¹										
5502-6						ȵ q aː t ¹										
7382-6						t aː n ¹										
932-6						ȶ aː ŋ ¹										
533-6						m̥ a ¹										
4159-6						m̥ a ¹										
2804-6						h aː ¹ ¹										
5451-6						m̥ a ¹										
5773-6						ʔ o ¹										
6933-6						ʔ o ¹										
4657-6						ʔ o ¹										
4658-6						t j aː ŋ ¹										
6966-6						ɕ a ¹										
5351-6						m̥ a ¹										
4073-6						t o ¹										
2163-6						t j aː ŋ ¹										
1121-6						f t a ¹										
5790-6						h aː ŋ ¹										
10413-6						m̥ a ¹										
6731-6						m̥ a ¹										
1645-6						m̥ a ¹										
4914-6						m̥ a ¹										
6175-6						m̥ a ¹										
3092-6						h aː ŋ ¹										
1247-6						ȵ j aː ŋ ¹										
5620-6						h a u ¹										
4897-6						m̥ a ¹										
4811-6						h aː ŋ ¹										
1213-6						ʔ o ¹										
11019-6						h aː ŋ ¹										
11020-6						ʔ o ¹										
2129-6						ʔ o p ¹										
3211-6						h aː n ¹										
714-6						h aː ¹ ¹										
1729-6						ʔ a ¹										
3679-6						m̥ a ¹										
1054-6						m̥ aː u ¹										
7448-6						h a m ¹										
582-6						m̥ j a ¹										
4743-6						ȵ aː n ¹										
5419-6						ȵ j aː n ¹										
5601-6						ˀb o ŋ ¹										
2705-6						h a m ¹										
6381-6						h aː ŋ ¹										
1017-6						ʔ o ¹										
645-6						m̥ aː p ¹										
273-6						h aː t ¹										
4338-6						t j u p ¹										
2533-6						t o ¹										
1089-6						q aː p ¹										
843-6						h aː n ¹										
2787-6						m̥ aː t ¹										
4462-6						h aː n ¹										
10918-6						h aː ŋ ¹										
6582-6						m̥ u ¹										
2070-6						ʔ a ¹										
3075-6						ȵ w aː t ¹										
10848-6						m̥ a ¹										
2480-6						ȶ o n ¹										
2214-6						ʔ o ¹										
7225-6						h aː t ¹										
3515-6						t j a ŋ ¹										
2588-6						ȶ o n ¹										
2908-6						t j aː t ¹										
2393-6						m̥ a ¹										
1156-6						m̥ a ¹										
2374-6						t a ¹										
2146-6						ʔ a ¹										
5133-6						h aː ŋ ¹										
4981-6						m̥ aː ¹ ¹										
10239-6						m̥ a ¹										
599-6						ȵ j u t ¹										
5048-6						ʔ o ¹										
6331-6						m̥ a ¹										
290-6						ȶ o ŋ ¹										
311-6						h aː t ¹										
3430-6						m j u ¹										
5369-6						m j u ¹										
2749-6						t aː n ¹										
2621-6						m̥ j u p ¹										
1181-6						t a ¹ ¹										
949-6						t j u ¹										
2839-6						ȶ o n ¹										
861-6						h aː t ¹										
6773-6						h aː ¹ ¹										
5739-6						h aː ¹ ¹										
5740-6						ts aː t ¹										
3550-6						ɕ u m ¹										
4445-6						ts o t ¹										
680-6						h aː ŋ ¹										
817-6						ȶ o n ¹										
782-6						t j aː t ¹										
10396-6						ȵ j u ¹										
4606-6						h aː n ¹										
5207-6						h a n ¹										
7280-6						ts m̥ u ¹										
6983-6						ʔ j aː t ¹										
5168-6						ȶ o ŋ ¹										
1264-6						ts ʔ u ¹										
915-6						t o ¹										
1767-6						ȶ aː ŋ ¹										
10901-6						ts j aː ŋ ¹										
10867-6						ȶ o ŋ ¹										
417-6						ts j aː n ¹										
2285-6						ˀb u u ¹										
11002-6						ts h aː t ¹										
6348-6						m̥ a ¹										
6349-6						m̥ aː ŋ ¹										
10602-6						ˀb o n ¹										
5654-6						m̥ j aː n ¹										
880-6						m̥ o ¹										
983-6						h aː n ¹										
2033-6						t o ¹										
1433-6						ˀŋ m̥ u ¹										
1467-6						t aː ¹ ¹										
469-6						t j u m ¹										
3127-6						m j u ¹										
4623-6						m̥ a ¹										
7099-6						ȵ j aː t ¹										
4726-6						s aː n ¹										
10465-6						ˀb aː ŋ ¹										
5519-6						h aː n ¹										
5893-6						ts n̥ aː n ¹										
2857-6						ȶ o n ¹										
3645-6						h aː ŋ ¹										
3032-6						t j aː ŋ ¹										
2088-6						t j aː n ¹										
2463-6						ʔ o ¹										
4794-6						m̥ a ¹										
4569-6						m̥ aː ŋ ¹										
4586-6						ts ʔ u ¹										
4552-6						ʔ o ¹										
3228-6						q o ŋ ¹										
3245-6						j a ¹										
6651-6						h aː p ¹										
6652-6						ȶ aː ŋ ¹										
1817-6						h aː p ¹										
1818-6						ˀb j aː t ¹										
11052-6						m̥ u ¹										
1230-6						h aː t ¹										
3380-6						h aː p ¹										
8174-6						h aː m ¹										
8599-6						t j a ŋ ¹										
7782-6						t j u ¹										
8294-6						ȵ o t ¹										
8514-6						m̥ o ¹										
9669-6						ȵ j aː t ¹										
8531-6						ʔ o ¹										
7954-6						ʔ o p ¹										
9968-6						h aː ŋ ¹										
8040-6						t a ¹										
9304-6						t o ¹										
8345-6						t o ¹ ¹										
8765-6						ts o p ¹										
8849-6						ȵ ȶ aː ŋ ¹										
9286-6						ts j aː ŋ ¹										
9581-6						ȵ aː n ¹										
9267-6						ȵ m̥ a ¹										
8497-6						ts ȶ aː n ¹										
7602-6						h o p ¹										
8431-6						t j aː n ¹										
10036-6						h aː p ¹										
10019-6						m̥ aː ¹ ¹										
9216-6						m̥ a ¹										
8074-6						k o t ¹										
9511-6						ȶ o ŋ ¹										
8243-6						t j a n ¹										
9250-6						t j aː n ¹										
7568-6						m̥ a ¹										
8832-6						ʔ o ¹										
8057-6						m̥ a ¹										
7716-6						h aː p ¹										
9899-6						t o ¹										
7585-6						ʔ o ¹										
8582-6						h j u ¹										
9097-6						h aː m ¹										
10125-6						m̥ a ¹										
9460-6						m̥ a ¹										
9649-6						ts aː t ¹										
9870-6						h aː p ¹										
8680-6						h a m ¹										
