COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
1151-7							b r̪ ɜ s̪
1119-7							ɑ l u
365-7							s̪ ŋ ɑ r̪ m ɜ
1480-7							j u ŋ
653-7							s̪ g o k p ɑ
1081-7							d o ŋ
1448-7							p ɑ ɜ n̪
1029-7							m ɑ ɾ
863-7							s̪ ɑ
539-7							d i l
610-7							ŋ ɑ
350-7							b ɜ ŋ ɑ o
871-7							o ŋ m ɑ
734-7							ɾ ɑ
431-7							kʰ i
1298-7							o ɾ b u l
929-7							d ɜ ŋ k i
1315-7							d ɑ k s̪ k ɜ n̪
964-7							m i n̪ d ɜ
836-7							m i
1644-7							b u s̪ d r̪ i ŋ
547-7							ɜ d ɑ
1048-7							k ɜ k ɑ
1692-7							n̪ o n̪ o
1306-7							b u
405-7							b o ŋ o
294-7							b u
661-7							b o ŋ o
413-7							s̪ ɜ s̪
996-7							d ɜ n̪
1012-7							d r̪ o b ɜ ɾ
181-7							pʰ r̪ i d ɾ o
1660-7							g u n̪ d ɑ
1440-7							d̪ i r̪ i ŋ
1652-7							l o
1037-7							s̪ ŋ i ŋ m ɑ
677-7							l ɜ n̪ m o
1561-7							s̪ ɜ ɾ b ɑ
447-7							s̪ k ɜ m b o
828-7							ɾ i ŋ m o
1247-7							ɜ ɜ d
391-7							g r̪ ɜ n̪ m o
972-7							ŋ i m o ɾ
531-7							d ɜ k r̪ i ŋ ɑ
253-7							o o
1282-7							d u n̪ d ɑ
812-7							j ɑ ŋ m o
245-7							d u ɾ u
1609-7							k ɑ ɾ b o
261-7							n̪ ɑ k p o
1143-7							m ɑ ɾ b o
1065-7							i k
1504-7							ŋ i s̪
1432-7							s̪ u m
634-7							b s̪ i
1255-7							d r̪ u s̪
488-7							ɾ g ɜ d
1004-7							u ɾ g u
506-7							u s̪ i k
1488-7							o ŋ ɜ s̪
1496-7							ŋ i s̪ u
1073-7							ɾ g ɑ
1617-7							s̪ u
1569-7							i
1593-7							g ɑ ɾ
1585-7							n̪ ɑ m
759-7							d ɑ m ɑ
1415-7							d̪ o ŋ
1215-7							d o s̪ ɑ d o s̪
422-7							l o s̪ o
310-7							ɜ g p o
189-7							g ɑ ŋ m ɑ
25-7							s̪ u s̪
9-7							l d o k s̪
57-7							d u ŋ s̪
17-7							s̪ k o m s̪
