COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
294-7							ʔ u ⁵³
301-7							j ɔ ʔ ³²
306-7							tʃʰ ʊ p ³
307-7							ŋ ɔ p ³
321-7							tʰ a ŋ ⁵³
331-7							m ɔ ³
332-7							l a m ⁵³
335-7							g j ɔ ³¹
336-7							n j a m ⁵³
340-7							ŋ au ⁵³
342-7							m j i ⁵³
360-7							dʒ ʊ p ³
376-7							ʃ ɔ ⁵
389-7							n ɔ ⁵³
395-7							n ɔ ³²
401-7							ʃ i ⁵³
404-7							d z a ŋ ³¹
408-7							d ɔ ⁵³
409-7							l ɔ ⁵³
413-7							d a n ³¹
421-7							m j ɔ ʔ ⁵
425-7							b i ⁵³
430-7							dʒ i ³²
442-7							d u ⁵³
447-7							tʰ u ŋ ⁵³
456-7							g ɔ ³¹
458-7							ʃ ɔ ⁴³
469-7							kʰ i ⁵³
475-7							m ɔ ³
477-7							n i ⁵
478-7							ɔ ⁵
480-7							g i ⁵
485-7							m j ɔ ³¹
499-7							m j a ŋ ³¹
500-7							m j a m ⁵³
501-7							tʰ u ⁵³
506-7							d i ⁵³
507-7							n ɔ ʔ ³²
509-7							l a ŋ ⁵³
510-7							b j u ŋ ³
511-7							l ɔ ʔ ³²
521-7							ʔ i ⁵³
525-7							n j i ⁵³
538-7							i ⁵³
539-7							d i n ⁵³
544-7							g j u ʔ ³²
550-7							d ɔ ʔ ³²
562-7							m j u ŋ ³
568-7							g u ³²
2-7							kʰ u ŋ ³
12-7							j a ŋ ⁵³
22-7							g u ŋ ³²
28-7							b i ³
