ID	DOCULECT	TOKENS	ALIGNMENT	COGID
404	MecayapanNahuat	t o t oː n i ʔ	- - - t o t oː n i ʔ - - - -	318
405	NorthPueblaNahuatl	t o t o n k i	- - - t o t o n - k i - - -	318
406	PajapanNahuat	t o t oː n i k	- - - t o t oː n i k - - - -	318
407	Pipil	t u t uː n i k	- - - t u t uː n i k - - - -	318
408	ProtoAztecan	t o + t oː n ɨ + k	t o + t oː - - n - - ɨ + k -	318
409	TetelcingoNahuatl	t o t u n + k iː	- - - t o t u n - - - + k iː	318
410	ClassicalNahuatl	aː + tɬ	- - - aː - + tɬ -	320
411	MecayapanNahuat	aː ʔ + t i	- - - aː ʔ + t i	320
412	NorthPueblaNahuatl	a + tɬ	- - - a - + tɬ -	320
413	PajapanNahuat	aː + t	- - - aː - + t -	320
414	Pipil	aː + t	- - - aː - + t -	320
415	Pochutec	a + t	- - - a - + t -	320
416	ProtoAztecan	aː + tɬ	- - - aː - + tɬ -	320
417	TetelcingoNahuatl	ø + ts i n + tɬ i	ø + ts i n + tɬ i	320
418	ClassicalNahuatl	tɬ e	tɬ e - - - -	323
419	JalupaNahuat	t a i	t a - - - i	323
420	MecayapanNahuat	t eː	t eː - - - -	323
421	NorthPueblaNahuatl	tɬ e n	tɬ e n - - -	323
422	PajapanNahuat	t eː	t eː - - - -	323
423	Pipil	t aː	t aː - - - -	323
424	Pochutec	t e	t e - - - -	323
425	ProtoAztecan	tɬ a	tɬ a - - - -	323
426	TetelcingoNahuatl	tɬ i n iː n u	tɬ i n iː n u	323
427	ClassicalNahuatl	i s t aː k	- i s t - - aː k - - -	324
428	JalupaNahuat	i s t aː k	- i s t - - aː k - - -	324
429	MecayapanNahuat	i s t aː ʔ	- i s t - - aː ʔ - - -	324
430	NorthPueblaNahuatl	i s t a k	- i s t - - a k - - -	324
431	PajapanNahuat	i s t aː k	- i s t - - aː k - - -	324
432	Pipil	i s t a k	- i s t - - a k - - -	324
433	ProtoAztecan	i s t aː + k ɨ	- i s t - - aː - + k ɨ	324
434	TetelcingoNahuatl	tʃ i pː p ø w a k	tʃ i pː p ø w a k - - -	324
435	ClassicalNahuatl	aː k	aː k - - -	326
436	JalupaNahuat	a i k	a - i k -	326
437	MecayapanNahuat	aː ʔ	aː ʔ - - -	326
438	NorthPueblaNahuatl	a k i n	a k i n -	326
439	PajapanNahuat	aː k	aː k - - -	326
440	Pochutec	a k	a k - - -	326
441	ProtoAztecan	aː k	aː k - - -	326
442	TetelcingoNahuatl	ø k iː n u	ø k iː n u	326
443	ClassicalNahuatl	s i w aː + tɬ	s i w aː + tɬ	328
444	JalupaNahuat	s u w a + t	s u w a + t	328
445	MecayapanNahuat	s i w aː + ʔ	s i w aː + ʔ	328
446	NorthPueblaNahuatl	s i w a + tɬ	s i w a + tɬ	328
447	PajapanNahuat	s o aː + t	s o - aː + t	328
448	Pipil	s i w aː + t	s i w aː + t	328
449	ProtoAztecan	s i	s i - - - -	328
450	TetelcingoNahuatl	s o w a + tɬ	s o w a + tɬ	328
451	ClassicalNahuatl	k o s + t i k	k o s - - - + t i k - -	330
452	MecayapanNahuat	k o s t i ʔ	k o s t i ʔ - - - - - -	330
453	NorthPueblaNahuatl	k o s t i k	k o s t i k - - - - - -	330
454	PajapanNahuat	g o s t i k	g o s t i k - - - - - -	330
455	ProtoAztecan	k o s + t ɨ + k	k o s - - - + t ɨ - + k	330
456	TetelcingoNahuatl	k o s t iː k	k o s t iː k - - - - - -	330
