ID	DOCULECT	TOKENS	ALIGNMENT	COGID
423	Pipil	j a w a l + n a h	j a w a l + n a h - -	224
424	ProtoAztecan	j a w a l + t ɨ + k	j a w a l + t ɨ - + k	224
425	TetelcingoNahuatl	j e w a l + t iː k	j e w a l + t iː k - -	224
426	ClassicalNahuatl	x aː l + l i	- - x aː - l - + l i	227
427	JalupaNahuat	x aː h l i	- - x aː h l i - - -	227
428	MecayapanNahuat	x aː h l i	- - x aː h l i - - -	227
429	NorthPueblaNahuatl	x a l i	- - x a - l i - - -	227
430	PajapanNahuat	x aː h l i	- - x aː h l i - - -	227
431	Pipil	aː + x aː l	aː + x aː - l - - - -	227
432	ProtoAztecan	x aː l + l ɨ	- - x aː - l - + l ɨ	227
433	TetelcingoNahuatl	x ø l iː	- - x ø - l iː - - -	227
434	ClassicalNahuatl	ʔ t o aː	- - - ʔ t o aː	228
435	MecayapanNahuat	k + i h t o a	k + i h t o a	228
436	NorthPueblaNahuatl	i h t o a	- - i h t o a	228
437	PajapanNahuat	i h t o a	- - i h t o a	228
438	TetelcingoNahuatl	ʰt o a	- - - - ʰt o a	228
439	JalupaNahuat	i h l i	i h l - i -	229
440	Pipil	i l w i a	i - l w i a	229
441	ClassicalNahuatl	t t a	- t t a	231
442	JalupaNahuat	i r a	i - r a	231
443	MecayapanNahuat	i t a	i - t a	231
444	NorthPueblaNahuatl	i t a	i - t a	231
445	PajapanNahuat	i t a	i - t a	231
446	Pipil	i t a	i - t a	231
447	Pochutec	i t a	i - t a	231
448	ProtoAztecan	ɨ h t a	ɨ h t a	231
449	TetelcingoNahuatl	ʰt a	- ʰt - a	231
450	ClassicalNahuatl	a tʃ + tɬ i	- - - - a tʃ - - + tɬ i	232
451	NorthPueblaNahuatl	a tʃ tɬ i	- - - - a tʃ tɬ i - - -	232
452	Pochutec	a x + t	- - - - a - x - + t -	232
453	ProtoAztecan	aː tʃ + tɬ ɨ	- - - - aː tʃ - - + tɬ ɨ	232
454	TetelcingoNahuatl	x iː n + ø tʃ + tɬ iː	x iː n + ø tʃ - - + tɬ iː	232
455	JalupaNahuat	j u h l u	j u h l u	233
456	MecayapanNahuat	j oː l	j oː - l -	233
457	PajapanNahuat	j oː l	j oː - l -	233
458	ClassicalNahuatl	m o + tɬ aː l i aː	m o + tɬ aː l i - aː - - - -	235
459	JalupaNahuat	m u + r a l i h + t u k	m u + r a l i h - + t u k	235
460	MecayapanNahuat	m o + t aː l i a	m o + t aː l i - a - - - -	235
461	NorthPueblaNahuatl	m o + tɬ a l i a	m o + tɬ a l i - a - - - -	235
462	PajapanNahuat	m o + t aː l i	m o + t aː l i - - - - - -	235
463	Pipil	m u + t aː l i a	m u + t aː l i - a - - - -	235
464	ProtoAztecan	m o + tɬ a l ɨ + h a	m o + tɬ a l ɨ - - + h a -	235
465	TetelcingoNahuatl	m o + tɬ ø l iː a	m o + tɬ ø l iː - a - - - -	235
466	ClassicalNahuatl	eː w a + tɬ	- eː w a - - + tɬ	237
467	NorthPueblaNahuatl	j e w a j o	j e w a j o - -	237
468	Pipil	eː w a j u	- eː w a j u - -	237
469	ProtoAztecan	eː w a + tɬ	- eː w a - - + tɬ	237
470	TetelcingoNahuatl	j e w a j o	j e w a j o - -	237
471	JalupaNahuat	b w e r a x t i	b w e r a x t i - -	239
472	PajapanNahuat	b e t a x	b - e t a x - - - -	239
473	Pochutec	k w e t e x + t	k w e t e x - - + t	239
474	ClassicalNahuatl	k o tʃ	k o tʃ -	240
475	JalupaNahuat	k u tʃ i	k u tʃ i	240
476	MecayapanNahuat	k o tʃ i	k o tʃ i	240
477	NorthPueblaNahuatl	k o tʃ i	k o tʃ i	240
478	PajapanNahuat	g o tʃ i	g o tʃ i	240
479	Pipil	k u tʃ i	k u tʃ i	240
480	Pochutec	k o tʃ i	k o tʃ i	240
481	ProtoAztecan	k o tʃ ɨ	k o tʃ ɨ	240
482	TetelcingoNahuatl	k o tʃ iː	k o tʃ iː	240
483	ClassicalNahuatl	p oː k + tɬ i	p oː k + tɬ i	249
484	JalupaNahuat	p uː k + t i	p uː k + t i	249
485	MecayapanNahuat	p oː k + t i	p oː k + t i	249
486	NorthPueblaNahuatl	p o k + tɬ i	p o k + tɬ i	249
487	PajapanNahuat	p oː k + t i	p oː k + t i	249
488	Pipil	p u k + t i	p u k + t i	249
489	ProtoAztecan	p oː k + tɬ ɨ	p oː k + tɬ ɨ	249
490	TetelcingoNahuatl	p u k + tɬ iː	p u k + tɬ iː	249
491	ClassicalNahuatl	m o + k e ts a	- - m o + - - - - k e ts a	251
492	MecayapanNahuat	m o + k e ts a	- - m o + - - - - k e ts a	251
493	NorthPueblaNahuatl	m o + t e l + k e ts a	- - m o + t e l + k e ts a	251
494	PajapanNahuat	m o + g e ts a	- - m o + - - - - g e ts a	251
495	Pipil	m u + k e ts a	- - m u + - - - - k e ts a	251
496	Pochutec	x + m o + k ts e	x + m o + - - - - k - ts e	251
497	ProtoAztecan	k ɨ ts a	- - - - - - - - - k ɨ ts a	251
498	TetelcingoNahuatl	m o + k e ts a	- - m o + - - - - k e ts a	251
499	ClassicalNahuatl	s iː tɬ a l + i n	s iː tɬ a l - - + i n	268
500	JalupaNahuat	s iː t a l	s iː t a l - - - - -	268
501	MecayapanNahuat	s iː t a l i n	s iː t a l i n - - -	268
502	NorthPueblaNahuatl	s i tɬ a l i	s i tɬ a l i - - - -	268
503	Pipil	s iː t a l	s iː t a l - - - - -	268
504	ProtoAztecan	s i tɬ a l ɨ + m	s i tɬ a l ɨ - + - m	268
505	TetelcingoNahuatl	s i tɬ a l iː	s i tɬ a l iː - - - -	268
506	ClassicalNahuatl	t e + tɬ	- - - - - t e + tɬ -	283
507	JalupaNahuat	x aː l + t e + t	x aː l - + t e + t -	283
508	MecayapanNahuat	t e ʔ + t i	t e ʔ - + t i - - -	283
509	NorthPueblaNahuatl	t e + tɬ	- - - - - t e + tɬ -	283
510	PajapanNahuat	t e + t	- - - - - t e + t -	283
511	Pipil	t e + t	- - - - - t e + t -	283
512	Pochutec	t o + t	- - - - - t o + t -	283
513	ProtoAztecan	t ə + tɬ	- - - - - t ə + tɬ -	283
514	TetelcingoNahuatl	t i e + t e + t u	t i - e + t e + t u	283
515	ClassicalNahuatl	t oː n a + t i w	t oː n a - - - + - - - - t i w	284
516	JalupaNahuat	r o n t i n	r o n - t i n - - - - - - - -	284
517	NorthPueblaNahuatl	t o n a l + ts i n + tɬ i	t o n a l - - + ts i n + tɬ i -	284
518	PajapanNahuat	t oː n a t i	t oː n a t i - - - - - - - - -	284
519	Pipil	t uː n a l	t uː n a l - - - - - - - - - -	284
520	Pochutec	t u n e l	t u n e l - - - - - - - - - -	284
521	TetelcingoNahuatl	t u n a l iː	t u n a l iː - - - - - - - - -	284
522	ClassicalNahuatl	aː + w i l aː n	- - aː + w i l aː n -	286
523	TetelcingoNahuatl	m + ø + b iː l ø n a	m + ø + b iː l ø n a	286
524	MecayapanNahuat	aː + p a t aː n i	aː + p a - t aː n i	288
525	PajapanNahuat	aː h k i a	- - - aː h k i - a	288
526	ClassicalNahuatl	k w i tɬ a p i l + l i	k w i tɬ a p i l + l i -	289
527	JalupaNahuat	b w i r a p i l	b w i r a p i l - - - -	289
528	MecayapanNahuat	k w i t a p iː l	k w i t a p iː l - - - -	289
529	NorthPueblaNahuatl	k w i tɬ a p i l	k w i tɬ a p i l - - - -	289
530	PajapanNahuat	b i t a p i l	b - i t a p i l - - - -	289
531	Pipil	k w i tɬ a p i l	k w i tɬ a p i l - - - -	289
532	ProtoAztecan	k w i tɬ a + p ɨ l	k w i tɬ a - - - + p ɨ l	289
533	TetelcingoNahuatl	k w iː tɬ a p iː l	k w iː tɬ a p iː l - - - -	289
534	ClassicalNahuatl	i n + oː n	- i n - + oː n	290
535	JalupaNahuat	h uː n i	h uː n i - - -	290
536	NorthPueblaNahuatl	i n + o n	- i n - + o n	290
537	PajapanNahuat	h oː n	h oː n - - - -	290
538	Pipil	u n i	- u n i - - -	290
539	ProtoAztecan	oː n	- oː n - - - -	290
540	TetelcingoNahuatl	iː n + u	- iː n - + u -	290
541	ClassicalNahuatl	i n + iː n	- i n - + iː n	293
542	JalupaNahuat	h iː n i	h iː n i - - -	293
543	MecayapanNahuat	i n + iː n	- i n - + iː n	293
544	NorthPueblaNahuatl	i n + i n	- i n - + i n	293
545	PajapanNahuat	h iː n	h iː n - - - -	293
546	Pipil	i n i	- i n i - - -	293
547	Pochutec	i n a	- i n a - - -	293
548	ProtoAztecan	i n	- i n - - - -	293
549	TetelcingoNahuatl	i n + i	- i n - + i -	293
550	ClassicalNahuatl	t e ʔ w aː + tɬ	t e ʔ w aː + tɬ	294
551	JalupaNahuat	t e h e	t e h - e - -	294
552	MecayapanNahuat	t e h	t e h - - - -	294
553	NorthPueblaNahuatl	t e h w a	t e h w a - -	294
554	PajapanNahuat	t e h a	t e h - a - -	294
555	Pipil	t a	t a - - - - -	294
556	ProtoAztecan	t ə h a	t ə h - a - -	294
557	TetelcingoNahuatl	t a h a	t a h - a - -	294
558	ClassicalNahuatl	n e n e + p i l + l i	n e n e - - - + p i l + l i	296
559	JalupaNahuat	n eː n e p i l	n eː n e p i l - - - - - - -	296
560	NorthPueblaNahuatl	n e n e p i l	n e n e p i l - - - - - - -	296
561	PajapanNahuat	n e n e p i l	n e n e p i l - - - - - - -	296
562	Pipil	n e n e p i l	n e n e p i l - - - - - - -	296
563	Pochutec	n e n e p i l	n e n e p i l - - - - - - -	296
564	ProtoAztecan	n ɨ n ɨ + p ɨ l	n ɨ n ɨ - - - + p ɨ l - - -	296
565	TetelcingoNahuatl	n e n e p iː l	n e n e p iː l - - - - - - -	296
566	ClassicalNahuatl	tɬ a n + tɬ i	tɬ a n + tɬ i -	313
567	JalupaNahuat	t aː n	t aː n - - - -	313
568	MecayapanNahuat	t a n + t i	t a n + t i -	313
569	NorthPueblaNahuatl	tɬ a n	tɬ a n - - - -	313
570	PajapanNahuat	t a n	t a n - - - -	313
571	Pipil	t a n	t a n - - - -	313
572	ProtoAztecan	tɬ a n	tɬ a n - - - -	313
573	TetelcingoNahuatl	tɬ a n + k o tʃ	tɬ a n + k o tʃ	313
574	ClassicalNahuatl	k w a w + tɬ	k w a w - + - - - tɬ	314
575	JalupaNahuat	k o i + t	k - o - i + - - - t	314
576	MecayapanNahuat	k w a w i + ʔ	k w a w i + - - - ʔ	314
577	NorthPueblaNahuatl	k o w i + tɬ	k - o w i + - - - tɬ	314
578	PajapanNahuat	b a w i + t	b - a w i + - - - t	314
579	Pipil	k w a w i + t	k w a w i + - - - t	314
580	Pochutec	k w a g u + t	k w a g u + - - - t	314
581	ProtoAztecan	k w a + w ɨ + tɬ	k w a - - + w ɨ + tɬ	314
582	TetelcingoNahuatl	k w a b iː + tɬ	k w a b iː + - - - tɬ	314
583	ClassicalNahuatl	oː m e	oː m e -	315
584	JalupaNahuat	uː m e	uː m e -	315
585	MecayapanNahuat	oː m e	oː m e -	315
586	NorthPueblaNahuatl	o m e	o m e -	315
587	PajapanNahuat	oː m e	oː m e -	315
588	Pipil	uː m e	uː m e -	315
589	Pochutec	o m e m	o m e m	315
590	ProtoAztecan	oː m ə	oː m ə -	315
591	TetelcingoNahuatl	u m e	u m e -	315
592	ClassicalNahuatl	n e ʔ + n e m i	n e ʔ + n e m i	316
593	JalupaNahuat	n e h + n e m i	n e h + n e m i	316
594	MecayapanNahuat	n e h + n e m i	n e h + n e m i	316
595	NorthPueblaNahuatl	n e h + n e m i	n e h + n e m i	316
596	PajapanNahuat	n e h + n e m i	n e h + n e m i	316
597	Pipil	n e h + n e m i	n e h + n e m i	316
598	ProtoAztecan	n ɨ h + n ɨ m i	n ɨ h + n ɨ m i	316
599	TetelcingoNahuatl	n e h + n e m iː	n e h + n e m iː	316
600	ClassicalNahuatl	t o + t oː n + k i	t o + t oː - - n - - - + k i	318
601	JalupaNahuat	t r uː n i k	- - - t - r uː n i k - - - -	318
602	MecayapanNahuat	t o t oː n i ʔ	- - - t o t oː n i ʔ - - - -	318
603	NorthPueblaNahuatl	t o t o n k i	- - - t o t o n - k i - - -	318
604	PajapanNahuat	t o t oː n i k	- - - t o t oː n i k - - - -	318
605	Pipil	t u t uː n i k	- - - t u t uː n i k - - - -	318
606	ProtoAztecan	t o + t oː n ɨ + k	t o + t oː - - n - - ɨ + k -	318
607	TetelcingoNahuatl	t o t u n + k iː	- - - t o t u n - - - + k iː	318
608	ClassicalNahuatl	aː + tɬ	- - - aː - + tɬ -	320
609	MecayapanNahuat	aː ʔ + t i	- - - aː ʔ + t i	320
610	NorthPueblaNahuatl	a + tɬ	- - - a - + tɬ -	320
611	PajapanNahuat	aː + t	- - - aː - + t -	320
612	Pipil	aː + t	- - - aː - + t -	320
613	Pochutec	a + t	- - - a - + t -	320
614	ProtoAztecan	aː + tɬ	- - - aː - + tɬ -	320
615	TetelcingoNahuatl	ø + ts i n + tɬ i	ø + ts i n + tɬ i	320
616	ClassicalNahuatl	t e ʔ w aː n	t e ʔ - w aː n - - - - -	322
617	JalupaNahuat	t o h o m e n	t o h o m e n - - - - -	322
618	MecayapanNahuat	t e h a m e h	t e h a m e h - - - - -	322
619	NorthPueblaNahuatl	t e h w a n	t e h - w a n - - - - -	322
620	PajapanNahuat	t e h a m e h	t e h a m e h - - - - -	322
621	Pipil	t e h e m e t	t e h e m e t - - - - -	322
622	Pochutec	t w e n	t - - - w e n - - - - -	322
623	ProtoAztecan	t ə h a + m ɨ + t	t ə h - - a - + m ɨ + t	322
624	TetelcingoNahuatl	t e h w a	t e h - w a - - - - - -	322
625	ClassicalNahuatl	tɬ e	tɬ e - - - -	323
626	JalupaNahuat	t a i	t a - - - i	323
627	MecayapanNahuat	t eː	t eː - - - -	323
628	NorthPueblaNahuatl	tɬ e n	tɬ e n - - -	323
629	PajapanNahuat	t eː	t eː - - - -	323
630	Pipil	t aː	t aː - - - -	323
631	Pochutec	t e	t e - - - -	323
632	ProtoAztecan	tɬ a	tɬ a - - - -	323
633	TetelcingoNahuatl	tɬ i n iː n u	tɬ i n iː n u	323
634	ClassicalNahuatl	i s t aː k	- i s t - - aː k - - -	324
635	JalupaNahuat	i s t aː k	- i s t - - aː k - - -	324
636	MecayapanNahuat	i s t aː ʔ	- i s t - - aː ʔ - - -	324
637	NorthPueblaNahuatl	i s t a k	- i s t - - a k - - -	324
638	PajapanNahuat	i s t aː k	- i s t - - aː k - - -	324
639	Pipil	i s t a k	- i s t - - a k - - -	324
640	ProtoAztecan	i s t aː + k ɨ	- i s t - - aː - + k ɨ	324
641	TetelcingoNahuatl	tʃ i pː p ø w a k	tʃ i pː p ø w a k - - -	324
642	ClassicalNahuatl	aː k	aː k - - -	326
643	JalupaNahuat	a i k	a - i k -	326
644	MecayapanNahuat	aː ʔ	aː ʔ - - -	326
645	NorthPueblaNahuatl	a k i n	a k i n -	326
646	PajapanNahuat	aː k	aː k - - -	326
647	Pochutec	a k	a k - - -	326
648	ProtoAztecan	aː k	aː k - - -	326
649	TetelcingoNahuatl	ø k iː n u	ø k iː n u	326
650	ClassicalNahuatl	s i w aː + tɬ	s i w aː + tɬ	328
651	JalupaNahuat	s u w a + t	s u w a + t	328
652	MecayapanNahuat	s i w aː + ʔ	s i w aː + ʔ	328
653	NorthPueblaNahuatl	s i w a + tɬ	s i w a + tɬ	328
654	PajapanNahuat	s o aː + t	s o - aː + t	328
655	Pipil	s i w aː + t	s i w aː + t	328
656	ProtoAztecan	s i	s i - - - -	328
657	TetelcingoNahuatl	s o w a + tɬ	s o w a + tɬ	328
658	ClassicalNahuatl	k o s + t i k	k o s - - - + t i k - -	330
659	MecayapanNahuat	k o s t i ʔ	k o s t i ʔ - - - - - -	330
660	NorthPueblaNahuatl	k o s t i k	k o s t i k - - - - - -	330
661	PajapanNahuat	g o s t i k	g o s t i k - - - - - -	330
662	ProtoAztecan	k o s + t ɨ + k	k o s - - - + t ɨ - + k	330
663	TetelcingoNahuatl	k o s t iː k	k o s t iː k - - - - - -	330
