COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
350-10										s e m a
352-10										tɕ i k a i
396-10										h u r ui s i
401-10										o s u
420-10										o ts u r u
424-10										o t a u
442-10										s i m e ts u k u
455-10										i k i r u
15-10										a r e
22-10										n a r i
24-10										m i n a
49-10										o n a ŋ o
78-10										a b u r a
89-10										k iː
130-10										m uː r u
149-10										k u r u
175-10										s u n a
183-10										h i
192-10										a o w a i
199-10										a ts ui
230-10										a n o h i t a
233-10										a n o h i t a r
250-10										h o k a n o
264-10										k i r i
274-10										n u r e t a
298-10										k e ŋ a w a i
303-10										h a r a w a t a
314-10										m o s i
354-10										a ts ui
369-10										k i r e r u
376-10										w a r u
415-10										m u s u b u
418-10										n uː
451-10										h o k o i
456-10										ts u n a
72-10										n i k u
80-10										t a m a ŋ o
104-10										a s i
118-10										s i n z oː
142-10										t o b u r u
150-10										n e t u r u
204-10										i b a
