index	index_p	rindex	rindex_p	cogid	id_cojubim	segment_cojubim	segment_cojubim_L1	segment_cojubim_L2	segment_cojubim_L3	segment_cojubim_R1	segment_cojubim_R2	segment_cojubim_R3	SC_cojubim	SC_cojubim_L1	SC_cojubim_L2	SC_cojubim_L3	SC_cojubim_R1	SC_cojubim_R2	SC_cojubim_R3	PROSODY_cojubim	PROSODY_cojubim_L1	PROSODY_cojubim_L2	PROSODY_cojubim_L3	PROSODY_cojubim_R1	PROSODY_cojubim_R2	PROSODY_cojubim_R3	id_jaru	segment_jaru	segment_jaru_L1	segment_jaru_L2	segment_jaru_L3	segment_jaru_R1	segment_jaru_R2	segment_jaru_R3	SC_jaru	SC_jaru_L1	SC_jaru_L2	SC_jaru_L3	SC_jaru_R1	SC_jaru_R2	SC_jaru_R3	PROSODY_jaru	PROSODY_jaru_L1	PROSODY_jaru_L2	PROSODY_jaru_L3	PROSODY_jaru_R1	PROSODY_jaru_R2	PROSODY_jaru_R3	id_kitemoka	segment_kitemoka	segment_kitemoka_L1	segment_kitemoka_L2	segment_kitemoka_L3	segment_kitemoka_R1	segment_kitemoka_R2	segment_kitemoka_R3	SC_kitemoka	SC_kitemoka_L1	SC_kitemoka_L2	SC_kitemoka_L3	SC_kitemoka_R1	SC_kitemoka_R2	SC_kitemoka_R3	PROSODY_kitemoka	PROSODY_kitemoka_L1	PROSODY_kitemoka_L2	PROSODY_kitemoka_L3	PROSODY_kitemoka_R1	PROSODY_kitemoka_R2	PROSODY_kitemoka_R3	id_more	segment_more	segment_more_L1	segment_more_L2	segment_more_L3	segment_more_R1	segment_more_R2	segment_more_R3	SC_more	SC_more_L1	SC_more_L2	SC_more_L3	SC_more_R1	SC_more_R2	SC_more_R3	PROSODY_more	PROSODY_more_L1	PROSODY_more_L2	PROSODY_more_L3	PROSODY_more_R1	PROSODY_more_R2	PROSODY_more_R3	id_orowin	segment_orowin	segment_orowin_L1	segment_orowin_L2	segment_orowin_L3	segment_orowin_R1	segment_orowin_R2	segment_orowin_R3	SC_orowin	SC_orowin_L1	SC_orowin_L2	SC_orowin_L3	SC_orowin_R1	SC_orowin_R2	SC_orowin_R3	PROSODY_orowin	PROSODY_orowin_L1	PROSODY_orowin_L2	PROSODY_orowin_L3	PROSODY_orowin_R1	PROSODY_orowin_R2	PROSODY_orowin_R3	id_tapakura	segment_tapakura	segment_tapakura_L1	segment_tapakura_L2	segment_tapakura_L3	segment_tapakura_R1	segment_tapakura_R2	segment_tapakura_R3	SC_tapakura	SC_tapakura_L1	SC_tapakura_L2	SC_tapakura_L3	SC_tapakura_R1	SC_tapakura_R2	SC_tapakura_R3	PROSODY_tapakura	PROSODY_tapakura_L1	PROSODY_tapakura_L2	PROSODY_tapakura_L3	PROSODY_tapakura_R1	PROSODY_tapakura_R2	PROSODY_tapakura_R3	id_tora	segment_tora	segment_tora_L1	segment_tora_L2	segment_tora_L3	segment_tora_R1	segment_tora_R2	segment_tora_R3	SC_tora	SC_tora_L1	SC_tora_L2	SC_tora_L3	SC_tora_R1	SC_tora_R2	SC_tora_R3	PROSODY_tora	PROSODY_tora_L1	PROSODY_tora_L2	PROSODY_tora_L3	PROSODY_tora_R1	PROSODY_tora_R2	PROSODY_tora_R3	id_urupa	segment_urupa	segment_urupa_L1	segment_urupa_L2	segment_urupa_L3	segment_urupa_R1	segment_urupa_R2	segment_urupa_R3	SC_urupa	SC_urupa_L1	SC_urupa_L2	SC_urupa_L3	SC_urupa_R1	SC_urupa_R2	SC_urupa_R3	PROSODY_urupa	PROSODY_urupa_L1	PROSODY_urupa_L2	PROSODY_urupa_L3	PROSODY_urupa_R1	PROSODY_urupa_R2	PROSODY_urupa_R3	id_wanyam	segment_wanyam	segment_wanyam_L1	segment_wanyam_L2	segment_wanyam_L3	segment_wanyam_R1	segment_wanyam_R2	segment_wanyam_R3	SC_wanyam	SC_wanyam_L1	SC_wanyam_L2	SC_wanyam_L3	SC_wanyam_R1	SC_wanyam_R2	SC_wanyam_R3	PROSODY_wanyam	PROSODY_wanyam_L1	PROSODY_wanyam_L2	PROSODY_wanyam_L3	PROSODY_wanyam_R1	PROSODY_wanyam_R2	PROSODY_wanyam_R3	id_wari	segment_wari	segment_wari_L1	segment_wari_L2	segment_wari_L3	segment_wari_R1	segment_wari_R2	segment_wari_R3	SC_wari	SC_wari_L1	SC_wari_L2	SC_wari_L3	SC_wari_R1	SC_wari_R2	SC_wari_R3	PROSODY_wari	PROSODY_wari_L1	PROSODY_wari_L2	PROSODY_wari_L3	PROSODY_wari_R1	PROSODY_wari_R2	PROSODY_wari_R3
9	0.9000	2	0.2000	97	190	-	-	m	u	-	∅	∅	_	_	M	Y	_	∅	∅	0	0	4	7	0	∅	∅	191	-	i	m	o	-	∅	∅	_	I	M	U	_	∅	∅	0	7	4	7	0	∅	∅																							192	-	-	m	o	-	∅	∅	_	_	M	U	_	∅	∅	0	0	4	7	0	∅	∅	193	s	a	m	o	i	∅	∅	S	A	M	U	I	∅	∅	3	7	4	7	7	∅	∅	194	-	-	m	u	-	∅	∅	_	_	M	Y	_	∅	∅	0	0	4	7	0	∅	∅	195	-	o	-	-	n	∅	∅	_	U	_	_	N	∅	∅	0	7	0	0	4	∅	∅																							196	j	a	m	u	n	∅	∅	J	A	M	Y	N	∅	∅	6	7	4	7	4	∅	∅	197	-	a	m	o	ɲ	∅	∅	_	A	M	U	N	∅	∅	0	7	4	7	4	∅	∅
10	1.0000	1	0.1000	97	190	-	-	-	m	∅	∅	∅	_	_	_	M	∅	∅	∅	0	0	0	4	∅	∅	∅	191	-	-	i	m	∅	∅	∅	_	_	I	M	∅	∅	∅	0	0	7	4	∅	∅	∅																							192	-	-	-	m	∅	∅	∅	_	_	_	M	∅	∅	∅	0	0	0	4	∅	∅	∅	193	i	s	a	m	∅	∅	∅	I	S	A	M	∅	∅	∅	7	3	7	4	∅	∅	∅	194	-	-	-	m	∅	∅	∅	_	_	_	M	∅	∅	∅	0	0	0	4	∅	∅	∅	195	n	-	o	-	∅	∅	∅	N	_	U	_	∅	∅	∅	4	0	7	0	∅	∅	∅																							196	n	j	a	m	∅	∅	∅	N	J	A	M	∅	∅	∅	4	6	7	4	∅	∅	∅	197	ɲ	-	a	m	∅	∅	∅	N	_	A	M	∅	∅	∅	4	0	7	4	∅	∅	∅
1	0.1429	7	1.0000	100																																													198	p	∅	∅	∅	i	tʃ	i	P	∅	∅	∅	I	T	I	1	∅	∅	∅	7	1	7																							199	p	∅	∅	∅	i	t	i	P	∅	∅	∅	I	T	I	1	∅	∅	∅	7	1	7																																																																																									200	p	∅	∅	∅	i	tʃ	i	P	∅	∅	∅	I	T	I	1	∅	∅	∅	7	1	7
2	0.2857	6	0.8571	100																																													198	i	p	∅	∅	tʃ	i	-	I	P	∅	∅	T	I	_	7	1	∅	∅	1	7	0																							199	i	p	∅	∅	t	i	k	I	P	∅	∅	T	I	K	7	1	∅	∅	1	7	1																																																																																									200	i	p	∅	∅	tʃ	i	n	I	P	∅	∅	T	I	N	7	1	∅	∅	1	7	4
3	0.4286	5	0.7143	100																																													198	tʃ	i	p	∅	i	-	-	T	I	P	∅	I	_	_	1	7	1	∅	7	0	0																							199	t	i	p	∅	i	k	o	T	I	P	∅	I	K	U	1	7	1	∅	7	1	7																																																																																									200	tʃ	i	p	∅	i	n	a	T	I	P	∅	I	N	A	1	7	1	∅	7	4	7
4	0.5714	4	0.5714	100																																													198	i	tʃ	i	p	-	-	-	I	T	I	P	_	_	_	7	1	7	1	0	0	0																							199	i	t	i	p	k	o	n	I	T	I	P	K	U	N	7	1	7	1	1	7	4																																																																																									200	i	tʃ	i	p	n	a	ɲ	I	T	I	P	N	A	N	7	1	7	1	4	7	4
5	0.7143	3	0.4286	100																																													198	-	i	tʃ	i	-	-	∅	_	I	T	I	_	_	∅	0	7	1	7	0	0	∅																							199	k	i	t	i	o	n	∅	K	I	T	I	U	N	∅	1	7	1	7	7	4	∅																																																																																									200	n	i	tʃ	i	a	ɲ	∅	N	I	T	I	A	N	∅	4	7	1	7	7	4	∅
6	0.8571	2	0.2857	100																																													198	-	-	i	tʃ	-	∅	∅	_	_	I	T	_	∅	∅	0	0	7	1	0	∅	∅																							199	o	k	i	t	n	∅	∅	U	K	I	T	N	∅	∅	7	1	7	1	4	∅	∅																																																																																									200	a	n	i	tʃ	ɲ	∅	∅	A	N	I	T	N	∅	∅	7	4	7	1	4	∅	∅
7	1.0000	1	0.1429	100																																													198	-	-	-	i	∅	∅	∅	_	_	_	I	∅	∅	∅	0	0	0	7	∅	∅	∅																							199	n	o	k	i	∅	∅	∅	N	U	K	I	∅	∅	∅	4	7	1	7	∅	∅	∅																																																																																									200	ɲ	a	n	i	∅	∅	∅	N	A	N	I	∅	∅	∅	4	7	4	7	∅	∅	∅
1	0.1667	6	1.0000	101	201	t	∅	∅	∅	a	t	a	T	∅	∅	∅	A	T	A	1	∅	∅	∅	7	1	7																																													202	t	∅	∅	∅	a	t	a	T	∅	∅	∅	A	T	A	1	∅	∅	∅	7	1	7																																																																																									203	t	∅	∅	∅	a	t	a	T	∅	∅	∅	A	T	A	1	∅	∅	∅	7	1	7																						
2	0.3333	5	0.8333	101	201	a	t	∅	∅	t	a	w	A	T	∅	∅	T	A	W	7	1	∅	∅	1	7	6																																													202	a	t	∅	∅	t	a	w	A	T	∅	∅	T	A	W	7	1	∅	∅	1	7	6																																																																																									203	a	t	∅	∅	t	a	w	A	T	∅	∅	T	A	W	7	1	∅	∅	1	7	6																						
3	0.5000	4	0.6667	101	201	t	a	t	∅	a	w	-	T	A	T	∅	A	W	_	1	7	1	∅	7	6	0																																													202	t	a	t	∅	a	w	-	T	A	T	∅	A	W	_	1	7	1	∅	7	6	0																																																																																									203	t	a	t	∅	a	w	i	T	A	T	∅	A	W	I	1	7	1	∅	7	6	7																						
4	0.6667	3	0.5000	101	201	a	t	a	t	w	-	∅	A	T	A	T	W	_	∅	7	1	7	1	6	0	∅																																													202	a	t	a	t	w	-	∅	A	T	A	T	W	_	∅	7	1	7	1	6	0	∅																																																																																									203	a	t	a	t	w	i	∅	A	T	A	T	W	I	∅	7	1	7	1	6	7	∅																						
5	0.8333	2	0.3333	101	201	w	a	t	a	-	∅	∅	W	A	T	A	_	∅	∅	6	7	1	7	0	∅	∅																																													202	w	a	t	a	-	∅	∅	W	A	T	A	_	∅	∅	6	7	1	7	0	∅	∅																																																																																									203	w	a	t	a	i	∅	∅	W	A	T	A	I	∅	∅	6	7	1	7	7	∅	∅																						
6	1.0000	1	0.1667	101	201	-	w	a	t	∅	∅	∅	_	W	A	T	∅	∅	∅	0	6	7	1	∅	∅	∅																																													202	-	w	a	t	∅	∅	∅	_	W	A	T	∅	∅	∅	0	6	7	1	∅	∅	∅																																																																																									203	i	w	a	t	∅	∅	∅	I	W	A	T	∅	∅	∅	7	6	7	1	∅	∅	∅																						
1	0.1111	9	1.0000	104	204	k	∅	∅	∅	i	p	-	K	∅	∅	∅	I	P	_	1	∅	∅	∅	7	1	0																																													205	k	∅	∅	∅	i	p	-	K	∅	∅	∅	I	P	_	1	∅	∅	∅	7	1	0	206	k	∅	∅	∅	e	f	-	K	∅	∅	∅	E	B	_	1	∅	∅	∅	7	3	0																																																																			207	k	∅	∅	∅	a	h	-	K	∅	∅	∅	A	H	_	1	∅	∅	∅	7	3	0	208	k	∅	∅	∅	a	h	w	K	∅	∅	∅	A	H	W	1	∅	∅	∅	7	3	6
2	0.2222	8	0.8889	104	204	i	k	∅	∅	p	-	u	I	K	∅	∅	P	_	Y	7	1	∅	∅	1	0	7																																													205	i	k	∅	∅	p	-	u	I	K	∅	∅	P	_	Y	7	1	∅	∅	1	0	7	206	e	k	∅	∅	f	-	e	E	K	∅	∅	B	_	E	7	1	∅	∅	3	0	7																																																																			207	a	k	∅	∅	h	-	i	A	K	∅	∅	H	_	I	7	1	∅	∅	3	0	7	208	a	k	∅	∅	h	w	e	A	K	∅	∅	H	W	E	7	1	∅	∅	3	6	7
3	0.3333	7	0.7778	104	204	p	i	k	∅	-	u	n	P	I	K	∅	_	Y	N	1	7	1	∅	0	7	4																																													205	p	i	k	∅	-	u	n	P	I	K	∅	_	Y	N	1	7	1	∅	0	7	4	206	f	e	k	∅	-	e	r	B	E	K	∅	_	E	R	3	7	1	∅	0	7	5																																																																			207	h	a	k	∅	-	i	r	H	A	K	∅	_	I	R	3	7	1	∅	0	7	5	208	h	a	k	∅	w	e	r	H	A	K	∅	W	E	R	3	7	1	∅	6	7	5
4	0.4444	6	0.6667	104	204	-	p	i	k	u	n	-	_	P	I	K	Y	N	_	0	1	7	1	7	4	0																																													205	-	p	i	k	u	n	-	_	P	I	K	Y	N	_	0	1	7	1	7	4	0	206	-	f	e	k	e	r	e	_	B	E	K	E	R	E	0	3	7	1	7	5	7																																																																			207	-	h	a	k	i	r	e	_	H	A	K	I	R	E	0	3	7	1	7	5	7	208	w	h	a	k	e	r	e	W	H	A	K	E	R	E	6	3	7	1	7	5	7
5	0.5556	5	0.5556	104	204	u	-	p	i	n	-	-	Y	_	P	I	N	_	_	7	0	1	7	4	0	0																																													205	u	-	p	i	n	-	-	Y	_	P	I	N	_	_	7	0	1	7	4	0	0	206	e	-	f	e	r	e	s	E	_	B	E	R	E	S	7	0	3	7	5	7	3																																																																			207	i	-	h	a	r	e	-	I	_	H	A	R	E	_	7	0	3	7	5	7	0	208	e	w	h	a	r	e	ɲ	E	W	H	A	R	E	N	7	6	3	7	5	7	4
6	0.6667	4	0.4444	104	204	n	u	-	p	-	-	-	N	Y	_	P	_	_	_	4	7	0	1	0	0	0																																													205	n	u	-	p	-	-	-	N	Y	_	P	_	_	_	4	7	0	1	0	0	0	206	r	e	-	f	e	s	i	R	E	_	B	E	S	I	5	7	0	3	7	3	7																																																																			207	r	i	-	h	e	-	-	R	I	_	H	E	_	_	5	7	0	3	7	0	0	208	r	e	w	h	e	ɲ	-	R	E	W	H	E	N	_	5	7	6	3	7	4	0
7	0.7778	3	0.3333	104	204	-	n	u	-	-	-	∅	_	N	Y	_	_	_	∅	0	4	7	0	0	0	∅																																													205	-	n	u	-	-	-	∅	_	N	Y	_	_	_	∅	0	4	7	0	0	0	∅	206	e	r	e	-	s	i	∅	E	R	E	_	S	I	∅	7	5	7	0	3	7	∅																																																																			207	e	r	i	-	-	-	∅	E	R	I	_	_	_	∅	7	5	7	0	0	0	∅	208	e	r	e	w	ɲ	-	∅	E	R	E	W	N	_	∅	7	5	7	6	4	0	∅
8	0.8889	2	0.2222	104	204	-	-	n	u	-	∅	∅	_	_	N	Y	_	∅	∅	0	0	4	7	0	∅	∅																																													205	-	-	n	u	-	∅	∅	_	_	N	Y	_	∅	∅	0	0	4	7	0	∅	∅	206	s	e	r	e	i	∅	∅	S	E	R	E	I	∅	∅	3	7	5	7	7	∅	∅																																																																			207	-	e	r	i	-	∅	∅	_	E	R	I	_	∅	∅	0	7	5	7	0	∅	∅	208	ɲ	e	r	e	-	∅	∅	N	E	R	E	_	∅	∅	4	7	5	7	0	∅	∅
9	1.0000	1	0.1111	104	204	-	-	-	n	∅	∅	∅	_	_	_	N	∅	∅	∅	0	0	0	4	∅	∅	∅																																													205	-	-	-	n	∅	∅	∅	_	_	_	N	∅	∅	∅	0	0	0	4	∅	∅	∅	206	i	s	e	r	∅	∅	∅	I	S	E	R	∅	∅	∅	7	3	7	5	∅	∅	∅																																																																			207	-	-	e	r	∅	∅	∅	_	_	E	R	∅	∅	∅	0	0	7	5	∅	∅	∅	208	-	ɲ	e	r	∅	∅	∅	_	N	E	R	∅	∅	∅	0	4	7	5	∅	∅	∅
1	0.1000	10	1.0000	105																																													209	s	∅	∅	∅	o	k	o	S	∅	∅	∅	U	K	U	3	∅	∅	∅	7	1	7																																													210	-	∅	∅	∅	-	-	-	_	∅	∅	∅	_	_	_	0	∅	∅	∅	0	0	0																																																																																								
2	0.2000	9	0.9000	105																																													209	o	s	∅	∅	k	o	tʃ	U	S	∅	∅	K	U	T	7	3	∅	∅	1	7	1																																													210	-	-	∅	∅	-	-	tʃ	_	_	∅	∅	_	_	T	0	0	∅	∅	0	0	1																																																																																								
3	0.3000	8	0.8000	105																																													209	k	o	s	∅	o	tʃ	e	K	U	S	∅	U	T	E	1	7	3	∅	7	1	7																																													210	-	-	-	∅	-	tʃ	i	_	_	_	∅	_	T	I	0	0	0	∅	0	1	7																																																																																								
4	0.4000	7	0.7000	105																																													209	o	k	o	s	tʃ	e	t	U	K	U	S	T	E	T	7	1	7	3	1	7	1																																													210	-	-	-	-	tʃ	i	p	_	_	_	_	T	I	P	0	0	0	0	1	7	1																																																																																								
5	0.5000	6	0.6000	105																																													209	tʃ	o	k	o	e	t	i	T	U	K	U	E	T	I	1	7	1	7	7	1	7																																													210	tʃ	-	-	-	i	p	i	T	_	_	_	I	P	I	1	0	0	0	7	1	7																																																																																								
6	0.6000	5	0.5000	105																																													209	e	tʃ	o	k	t	i	tʃ	E	T	U	K	T	I	T	7	1	7	1	1	7	1																																													210	i	tʃ	-	-	p	i	tʃ	I	T	_	_	P	I	T	7	1	0	0	1	7	1																																																																																								
7	0.7000	4	0.4000	105																																													209	t	e	tʃ	o	i	tʃ	e	T	E	T	U	I	T	E	1	7	1	7	7	1	7																																													210	p	i	tʃ	-	i	tʃ	i	P	I	T	_	I	T	I	1	7	1	0	7	1	7																																																																																								
8	0.8000	3	0.3000	105																																													209	i	t	e	tʃ	tʃ	e	∅	I	T	E	T	T	E	∅	7	1	7	1	1	7	∅																																													210	i	p	i	tʃ	tʃ	i	∅	I	P	I	T	T	I	∅	7	1	7	1	1	7	∅																																																																																								
9	0.9000	2	0.2000	105																																													209	tʃ	i	t	e	e	∅	∅	T	I	T	E	E	∅	∅	1	7	1	7	7	∅	∅																																													210	tʃ	i	p	i	i	∅	∅	T	I	P	I	I	∅	∅	1	7	1	7	7	∅	∅																																																																																								
10	1.0000	1	0.1000	105																																													209	e	tʃ	i	t	∅	∅	∅	E	T	I	T	∅	∅	∅	7	1	7	1	∅	∅	∅																																													210	i	tʃ	i	p	∅	∅	∅	I	T	I	P	∅	∅	∅	7	1	7	1	∅	∅	∅																																																																																								
1	0.1111	9	1.0000	106	211	t	∅	∅	∅	u	n	-	T	∅	∅	∅	Y	N	_	1	∅	∅	∅	7	4	0	212	t	∅	∅	∅	i	n	-	T	∅	∅	∅	I	N	_	1	∅	∅	∅	7	4	0	213	tʃ	∅	∅	∅	u	m	-	T	∅	∅	∅	Y	M	_	1	∅	∅	∅	7	4	0	214	t	∅	∅	∅	u	n	-	T	∅	∅	∅	Y	N	_	1	∅	∅	∅	7	4	0	215	t	∅	∅	∅	y	n	-	T	∅	∅	∅	Y	N	_	1	∅	∅	∅	7	4	0	216	tʃ	∅	∅	∅	u	m	-	T	∅	∅	∅	Y	M	_	1	∅	∅	∅	7	4	0	217	t	∅	∅	∅	u	n	-	T	∅	∅	∅	Y	N	_	1	∅	∅	∅	7	4	0																							218	t	∅	∅	∅	i	n	-	T	∅	∅	∅	I	N	_	1	∅	∅	∅	7	4	0	219	t	∅	∅	∅	e	n	e	T	∅	∅	∅	E	N	E	1	∅	∅	∅	7	4	7
2	0.2222	8	0.8889	106	211	u	t	∅	∅	n	-	-	Y	T	∅	∅	N	_	_	7	1	∅	∅	4	0	0	212	i	t	∅	∅	n	-	-	I	T	∅	∅	N	_	_	7	1	∅	∅	4	0	0	213	u	tʃ	∅	∅	m	-	-	Y	T	∅	∅	M	_	_	7	1	∅	∅	4	0	0	214	u	t	∅	∅	n	-	-	Y	T	∅	∅	N	_	_	7	1	∅	∅	4	0	0	215	y	t	∅	∅	n	-	-	Y	T	∅	∅	N	_	_	7	1	∅	∅	4	0	0	216	u	tʃ	∅	∅	m	-	-	Y	T	∅	∅	M	_	_	7	1	∅	∅	4	0	0	217	u	t	∅	∅	n	-	-	Y	T	∅	∅	N	_	_	7	1	∅	∅	4	0	0																							218	i	t	∅	∅	n	-	-	I	T	∅	∅	N	_	_	7	1	∅	∅	4	0	0	219	e	t	∅	∅	n	e	n	E	T	∅	∅	N	E	N	7	1	∅	∅	4	7	4
3	0.3333	7	0.7778	106	211	n	u	t	∅	-	-	-	N	Y	T	∅	_	_	_	4	7	1	∅	0	0	0	212	n	i	t	∅	-	-	-	N	I	T	∅	_	_	_	4	7	1	∅	0	0	0	213	m	u	tʃ	∅	-	-	i	M	Y	T	∅	_	_	I	4	7	1	∅	0	0	7	214	n	u	t	∅	-	-	-	N	Y	T	∅	_	_	_	4	7	1	∅	0	0	0	215	n	y	t	∅	-	-	e	N	Y	T	∅	_	_	E	4	7	1	∅	0	0	7	216	m	u	tʃ	∅	-	-	i	M	Y	T	∅	_	_	I	4	7	1	∅	0	0	7	217	n	u	t	∅	-	-	-	N	Y	T	∅	_	_	_	4	7	1	∅	0	0	0																							218	n	i	t	∅	-	-	i	N	I	T	∅	_	_	I	4	7	1	∅	0	0	7	219	n	e	t	∅	e	n	e	N	E	T	∅	E	N	E	4	7	1	∅	7	4	7
4	0.4444	6	0.6667	106	211	-	n	u	t	-	-	-	_	N	Y	T	_	_	_	0	4	7	1	0	0	0	212	-	n	i	t	-	-	j	_	N	I	T	_	_	J	0	4	7	1	0	0	6	213	-	m	u	tʃ	-	i	tʃ	_	M	Y	T	_	I	T	0	4	7	1	0	7	1	214	-	n	u	t	-	-	-	_	N	Y	T	_	_	_	0	4	7	1	0	0	0	215	-	n	y	t	-	e	s	_	N	Y	T	_	E	S	0	4	7	1	0	7	3	216	-	m	u	tʃ	-	i	tʃ	_	M	Y	T	_	I	T	0	4	7	1	0	7	1	217	-	n	u	t	-	-	-	_	N	Y	T	_	_	_	0	4	7	1	0	0	0																							218	-	n	i	t	-	i	ʃ	_	N	I	T	_	I	S	0	4	7	1	0	7	3	219	e	n	e	t	n	e	tʃ	E	N	E	T	N	E	T	7	4	7	1	4	7	1
5	0.5556	5	0.5556	106	211	-	-	n	u	-	-	a	_	_	N	Y	_	_	A	0	0	4	7	0	0	7	212	-	-	n	i	-	j	i	_	_	N	I	_	J	I	0	0	4	7	0	6	7	213	-	-	m	u	i	tʃ	e	_	_	M	Y	I	T	E	0	0	4	7	7	1	7	214	-	-	n	u	-	-	e	_	_	N	Y	_	_	E	0	0	4	7	0	0	7	215	-	-	n	y	e	s	i	_	_	N	Y	E	S	I	0	0	4	7	7	3	7	216	-	-	m	u	i	tʃ	i	_	_	M	Y	I	T	I	0	0	4	7	7	1	7	217	-	-	n	u	-	-	i	_	_	N	Y	_	_	I	0	0	4	7	0	0	7																							218	-	-	n	i	i	ʃ	i	_	_	N	I	I	S	I	0	0	4	7	7	3	7	219	n	e	n	e	e	tʃ	i	N	E	N	E	E	T	I	4	7	4	7	7	1	7
6	0.6667	4	0.4444	106	211	-	-	-	n	-	a	-	_	_	_	N	_	A	_	0	0	0	4	0	7	0	212	-	-	-	n	j	i	-	_	_	_	N	J	I	_	0	0	0	4	6	7	0	213	i	-	-	m	tʃ	e	-	I	_	_	M	T	E	_	7	0	0	4	1	7	0	214	-	-	-	n	-	e	ɲ	_	_	_	N	_	E	N	0	0	0	4	0	7	4	215	e	-	-	n	s	i	-	E	_	_	N	S	I	_	7	0	0	4	3	7	0	216	i	-	-	m	tʃ	i	-	I	_	_	M	T	I	_	7	0	0	4	1	7	0	217	-	-	-	n	-	i	-	_	_	_	N	_	I	_	0	0	0	4	0	7	0																							218	i	-	-	n	ʃ	i	ʔ	I	_	_	N	S	I	H	7	0	0	4	3	7	1	219	e	n	e	n	tʃ	i	ʔ	E	N	E	N	T	I	H	7	4	7	4	1	7	1
7	0.7778	3	0.3333	106	211	-	-	-	-	a	-	∅	_	_	_	_	A	_	∅	0	0	0	0	7	0	∅	212	j	-	-	-	i	-	∅	J	_	_	_	I	_	∅	6	0	0	0	7	0	∅	213	tʃ	i	-	-	e	-	∅	T	I	_	_	E	_	∅	1	7	0	0	7	0	∅	214	-	-	-	-	e	ɲ	∅	_	_	_	_	E	N	∅	0	0	0	0	7	4	∅	215	s	e	-	-	i	-	∅	S	E	_	_	I	_	∅	3	7	0	0	7	0	∅	216	tʃ	i	-	-	i	-	∅	T	I	_	_	I	_	∅	1	7	0	0	7	0	∅	217	-	-	-	-	i	-	∅	_	_	_	_	I	_	∅	0	0	0	0	7	0	∅																							218	ʃ	i	-	-	i	ʔ	∅	S	I	_	_	I	H	∅	3	7	0	0	7	1	∅	219	tʃ	e	n	e	i	ʔ	∅	T	E	N	E	I	H	∅	1	7	4	7	7	1	∅
8	0.8889	2	0.2222	106	211	a	-	-	-	-	∅	∅	A	_	_	_	_	∅	∅	7	0	0	0	0	∅	∅	212	i	j	-	-	-	∅	∅	I	J	_	_	_	∅	∅	7	6	0	0	0	∅	∅	213	e	tʃ	i	-	-	∅	∅	E	T	I	_	_	∅	∅	7	1	7	0	0	∅	∅	214	e	-	-	-	ɲ	∅	∅	E	_	_	_	N	∅	∅	7	0	0	0	4	∅	∅	215	i	s	e	-	-	∅	∅	I	S	E	_	_	∅	∅	7	3	7	0	0	∅	∅	216	i	tʃ	i	-	-	∅	∅	I	T	I	_	_	∅	∅	7	1	7	0	0	∅	∅	217	i	-	-	-	-	∅	∅	I	_	_	_	_	∅	∅	7	0	0	0	0	∅	∅																							218	i	ʃ	i	-	ʔ	∅	∅	I	S	I	_	H	∅	∅	7	3	7	0	1	∅	∅	219	i	tʃ	e	n	ʔ	∅	∅	I	T	E	N	H	∅	∅	7	1	7	4	1	∅	∅
9	1.0000	1	0.1111	106	211	-	a	-	-	∅	∅	∅	_	A	_	_	∅	∅	∅	0	7	0	0	∅	∅	∅	212	-	i	j	-	∅	∅	∅	_	I	J	_	∅	∅	∅	0	7	6	0	∅	∅	∅	213	-	e	tʃ	i	∅	∅	∅	_	E	T	I	∅	∅	∅	0	7	1	7	∅	∅	∅	214	ɲ	e	-	-	∅	∅	∅	N	E	_	_	∅	∅	∅	4	7	0	0	∅	∅	∅	215	-	i	s	e	∅	∅	∅	_	I	S	E	∅	∅	∅	0	7	3	7	∅	∅	∅	216	-	i	tʃ	i	∅	∅	∅	_	I	T	I	∅	∅	∅	0	7	1	7	∅	∅	∅	217	-	i	-	-	∅	∅	∅	_	I	_	_	∅	∅	∅	0	7	0	0	∅	∅	∅																							218	ʔ	i	ʃ	i	∅	∅	∅	H	I	S	I	∅	∅	∅	1	7	3	7	∅	∅	∅	219	ʔ	i	tʃ	e	∅	∅	∅	H	I	T	E	∅	∅	∅	1	7	1	7	∅	∅	∅
1	0.1250	8	1.0000	107																							220	j	∅	∅	∅	u	h	e	J	∅	∅	∅	Y	H	E	6	∅	∅	∅	7	3	7																																																																																																															221	-	∅	∅	∅	y	v	e	_	∅	∅	∅	Y	B	E	0	∅	∅	∅	7	3	7																																												
2	0.2500	7	0.8750	107																							220	u	j	∅	∅	h	e	n	Y	J	∅	∅	H	E	N	7	6	∅	∅	3	7	4																																																																																																															221	y	-	∅	∅	v	e	n	Y	_	∅	∅	B	E	N	7	0	∅	∅	3	7	4																																												
3	0.3750	6	0.7500	107																							220	h	u	j	∅	e	n	e	H	Y	J	∅	E	N	E	3	7	6	∅	7	4	7																																																																																																															221	v	y	-	∅	e	n	e	B	Y	_	∅	E	N	E	3	7	0	∅	7	4	7																																												
4	0.5000	5	0.6250	107																							220	e	h	u	j	n	e	s	E	H	Y	J	N	E	S	7	3	7	6	4	7	3																																																																																																															221	e	v	y	-	n	e	s	E	B	Y	_	N	E	S	7	3	7	0	4	7	3																																												
5	0.6250	4	0.5000	107																							220	n	e	h	u	e	s	i	N	E	H	Y	E	S	I	4	7	3	7	7	3	7																																																																																																															221	n	e	v	y	e	s	i	N	E	B	Y	E	S	I	4	7	3	7	7	3	7																																												
