index	index_p	rindex	rindex_p	cogid	id_Albanian	segment_Albanian	segment_Albanian_L1	segment_Albanian_L2	segment_Albanian_L3	segment_Albanian_R1	segment_Albanian_R2	segment_Albanian_R3	SC_Albanian	SC_Albanian_L1	SC_Albanian_L2	SC_Albanian_L3	SC_Albanian_R1	SC_Albanian_R2	SC_Albanian_R3	PROSODY_Albanian	PROSODY_Albanian_L1	PROSODY_Albanian_L2	PROSODY_Albanian_L3	PROSODY_Albanian_R1	PROSODY_Albanian_R2	PROSODY_Albanian_R3	id_English	segment_English	segment_English_L1	segment_English_L2	segment_English_L3	segment_English_R1	segment_English_R2	segment_English_R3	SC_English	SC_English_L1	SC_English_L2	SC_English_L3	SC_English_R1	SC_English_R2	SC_English_R3	PROSODY_English	PROSODY_English_L1	PROSODY_English_L2	PROSODY_English_L3	PROSODY_English_R1	PROSODY_English_R2	PROSODY_English_R3	id_French	segment_French	segment_French_L1	segment_French_L2	segment_French_L3	segment_French_R1	segment_French_R2	segment_French_R3	SC_French	SC_French_L1	SC_French_L2	SC_French_L3	SC_French_R1	SC_French_R2	SC_French_R3	PROSODY_French	PROSODY_French_L1	PROSODY_French_L2	PROSODY_French_L3	PROSODY_French_R1	PROSODY_French_R2	PROSODY_French_R3	id_German	segment_German	segment_German_L1	segment_German_L2	segment_German_L3	segment_German_R1	segment_German_R2	segment_German_R3	SC_German	SC_German_L1	SC_German_L2	SC_German_L3	SC_German_R1	SC_German_R2	SC_German_R3	PROSODY_German	PROSODY_German_L1	PROSODY_German_L2	PROSODY_German_L3	PROSODY_German_R1	PROSODY_German_R2	PROSODY_German_R3	id_Latin	segment_Latin	segment_Latin_L1	segment_Latin_L2	segment_Latin_L3	segment_Latin_R1	segment_Latin_R2	segment_Latin_R3	SC_Latin	SC_Latin_L1	SC_Latin_L2	SC_Latin_L3	SC_Latin_R1	SC_Latin_R2	SC_Latin_R3	PROSODY_Latin	PROSODY_Latin_L1	PROSODY_Latin_L2	PROSODY_Latin_L3	PROSODY_Latin_R1	PROSODY_Latin_R2	PROSODY_Latin_R3
1	0.2000	5	1.0000	150																																													44	f	∅	∅	∅	ɑ̃	-	d	B	∅	∅	∅	A	_	T	3	∅	∅	∅	7	0	1																							45	f	∅	∅	∅	i	n	d	B	∅	∅	∅	I	N	T	3	∅	∅	∅	7	4	1
2	0.4000	4	0.8000	150																																													44	ɑ̃	f	∅	∅	-	d	-	A	B	∅	∅	_	T	_	7	3	∅	∅	0	1	0																							45	i	f	∅	∅	n	d	e	I	B	∅	∅	N	T	E	7	3	∅	∅	4	1	7
3	0.6000	3	0.6000	150																																													44	-	ɑ̃	f	∅	d	-	∅	_	A	B	∅	T	_	∅	0	7	3	∅	1	0	∅																							45	n	i	f	∅	d	e	∅	N	I	B	∅	T	E	∅	4	7	3	∅	1	7	∅
4	0.8000	2	0.4000	150																																													44	d	-	ɑ̃	f	-	∅	∅	T	_	A	B	_	∅	∅	1	0	7	3	0	∅	∅																							45	d	n	i	f	e	∅	∅	T	N	I	B	E	∅	∅	1	4	7	3	7	∅	∅
5	1.0000	1	0.2000	150																																													44	-	d	-	ɑ̃	∅	∅	∅	_	T	_	A	∅	∅	∅	0	1	0	7	∅	∅	∅																							45	e	d	n	i	∅	∅	∅	E	T	N	I	∅	∅	∅	7	1	4	7	∅	∅	∅
1	0.2500	4	1.0000	155																							46	s	∅	∅	∅	w	ɪ	m	S	∅	∅	∅	W	I	M	3	∅	∅	∅	6	7	4																							47	ʃ	∅	∅	∅	v	i	m	S	∅	∅	∅	B	I	M	3	∅	∅	∅	3	7	4																						
2	0.5000	3	0.7500	155																							46	w	s	∅	∅	ɪ	m	∅	W	S	∅	∅	I	M	∅	6	3	∅	∅	7	4	∅																							47	v	ʃ	∅	∅	i	m	∅	B	S	∅	∅	I	M	∅	3	3	∅	∅	7	4	∅																						
3	0.7500	2	0.5000	155																							46	ɪ	w	s	∅	m	∅	∅	I	W	S	∅	M	∅	∅	7	6	3	∅	4	∅	∅																							47	i	v	ʃ	∅	m	∅	∅	I	B	S	∅	M	∅	∅	7	3	3	∅	4	∅	∅																						
4	1.0000	1	0.2500	155																							46	m	ɪ	w	s	∅	∅	∅	M	I	W	S	∅	∅	∅	4	7	6	3	∅	∅	∅																							47	m	i	v	ʃ	∅	∅	∅	M	I	B	S	∅	∅	∅	4	7	3	3	∅	∅	∅																						
1	0.2500	4	1.0000	158	48	n	∅	∅	∅	o	t	o	N	∅	∅	∅	U	T	U	4	∅	∅	∅	7	1	7																																																																			49	n	∅	∅	∅	aː	-	-	N	∅	∅	∅	A	_	_	4	∅	∅	∅	7	0	0
2	0.5000	3	0.7500	158	48	o	n	∅	∅	t	o	∅	U	N	∅	∅	T	U	∅	7	4	∅	∅	1	7	∅																																																																			49	aː	n	∅	∅	-	-	∅	A	N	∅	∅	_	_	∅	7	4	∅	∅	0	0	∅
3	0.7500	2	0.5000	158	48	t	o	n	∅	o	∅	∅	T	U	N	∅	U	∅	∅	1	7	4	∅	7	∅	∅																																																																			49	-	aː	n	∅	-	∅	∅	_	A	N	∅	_	∅	∅	0	7	4	∅	0	∅	∅
4	1.0000	1	0.2500	158	48	o	t	o	n	∅	∅	∅	U	T	U	N	∅	∅	∅	7	1	7	4	∅	∅	∅																																																																			49	-	-	aː	n	∅	∅	∅	_	_	A	N	∅	∅	∅	0	0	7	4	∅	∅	∅
1	0.2000	5	1.0000	162																							50	k	∅	∅	∅	au	n	t	K	∅	∅	∅	A	N	T	1	∅	∅	∅	7	4	1	51	k	∅	∅	∅	ɔ̃	-	t	K	∅	∅	∅	U	_	T	1	∅	∅	∅	7	0	1																																												
2	0.4000	4	0.8000	162																							50	au	k	∅	∅	n	t	-	A	K	∅	∅	N	T	_	7	1	∅	∅	4	1	0	51	ɔ̃	k	∅	∅	-	t	e	U	K	∅	∅	_	T	E	7	1	∅	∅	0	1	7																																												
3	0.6000	3	0.6000	162																							50	n	au	k	∅	t	-	∅	N	A	K	∅	T	_	∅	4	7	1	∅	1	0	∅	51	-	ɔ̃	k	∅	t	e	∅	_	U	K	∅	T	E	∅	0	7	1	∅	1	7	∅																																												
4	0.8000	2	0.4000	162																							50	t	n	au	k	-	∅	∅	T	N	A	K	_	∅	∅	1	4	7	1	0	∅	∅	51	t	-	ɔ̃	k	e	∅	∅	T	_	U	K	E	∅	∅	1	0	7	1	7	∅	∅																																												
5	1.0000	1	0.2000	162																							50	-	t	n	au	∅	∅	∅	_	T	N	A	∅	∅	∅	0	1	4	7	∅	∅	∅	51	e	t	-	ɔ̃	∅	∅	∅	E	T	_	U	∅	∅	∅	7	1	0	7	∅	∅	∅																																												
1	0.1250	8	1.0000	164	52	n	∅	∅	∅	u	m	ə	N	∅	∅	∅	Y	M	E	4	∅	∅	∅	7	4	7																																																																			53	n	∅	∅	∅	u	m	e	N	∅	∅	∅	Y	M	E	4	∅	∅	∅	7	4	7
2	0.2500	7	0.8750	164	52	u	n	∅	∅	m	ə	r	Y	N	∅	∅	M	E	R	7	4	∅	∅	4	7	5																																																																			53	u	n	∅	∅	m	e	r	Y	N	∅	∅	M	E	R	7	4	∅	∅	4	7	5
3	0.3750	6	0.7500	164	52	m	u	n	∅	ə	r	u	M	Y	N	∅	E	R	Y	4	7	4	∅	7	5	7																																																																			53	m	u	n	∅	e	r	-	M	Y	N	∅	E	R	_	4	7	4	∅	7	5	0
4	0.5000	5	0.6250	164	52	ə	m	u	n	r	u	a	E	M	Y	N	R	Y	A	7	4	7	4	5	7	7																																																																			53	e	m	u	n	r	-	aː	E	M	Y	N	R	_	A	7	4	7	4	5	0	7
5	0.6250	4	0.5000	164	52	r	ə	m	u	u	a	r	R	E	M	Y	Y	A	R	5	7	4	7	7	7	5																																																																			53	r	e	m	u	-	aː	-	R	E	M	Y	_	A	_	5	7	4	7	0	7	0
6	0.7500	3	0.3750	164	52	u	r	ə	m	a	r	∅	Y	R	E	M	A	R	∅	7	5	7	4	7	5	∅																																																																			53	-	r	e	m	aː	-	∅	_	R	E	M	A	_	∅	0	5	7	4	7	0	∅
7	0.8750	2	0.2500	164	52	a	u	r	ə	r	∅	∅	A	Y	R	E	R	∅	∅	7	7	5	7	5	∅	∅																																																																			53	aː	-	r	e	-	∅	∅	A	_	R	E	_	∅	∅	7	0	5	7	0	∅	∅
8	1.0000	1	0.1250	164	52	r	a	u	r	∅	∅	∅	R	A	Y	R	∅	∅	∅	5	7	7	5	∅	∅	∅																																																																			53	-	aː	-	r	∅	∅	∅	_	A	_	R	∅	∅	∅	0	7	0	5	∅	∅	∅
1	0.3333	3	1.0000	167																							54	g	∅	∅	∅	ʊ	d	∅	K	∅	∅	∅	Y	T	∅	1	∅	∅	∅	7	1	∅																							55	g	∅	∅	∅	uː	t	∅	K	∅	∅	∅	Y	T	∅	1	∅	∅	∅	7	1	∅																						
2	0.6667	2	0.6667	167																							54	ʊ	g	∅	∅	d	∅	∅	Y	K	∅	∅	T	∅	∅	7	1	∅	∅	1	∅	∅																							55	uː	g	∅	∅	t	∅	∅	Y	K	∅	∅	T	∅	∅	7	1	∅	∅	1	∅	∅																						
3	1.0000	1	0.3333	167																							54	d	ʊ	g	∅	∅	∅	∅	T	Y	K	∅	∅	∅	∅	1	7	1	∅	∅	∅	∅																							55	t	uː	g	∅	∅	∅	∅	T	Y	K	∅	∅	∅	∅	1	7	1	∅	∅	∅	∅																						
1	0.2500	4	1.0000	168																																													56	b	∅	∅	∅	ɔ	n	-	P	∅	∅	∅	U	N	_	1	∅	∅	∅	7	4	0																							57	b	∅	∅	∅	o	n	o	P	∅	∅	∅	U	N	U	1	∅	∅	∅	7	4	7
2	0.5000	3	0.7500	168																																													56	ɔ	b	∅	∅	n	-	∅	U	P	∅	∅	N	_	∅	7	1	∅	∅	4	0	∅																							57	o	b	∅	∅	n	o	∅	U	P	∅	∅	N	U	∅	7	1	∅	∅	4	7	∅
3	0.7500	2	0.5000	168																																													56	n	ɔ	b	∅	-	∅	∅	N	U	P	∅	_	∅	∅	4	7	1	∅	0	∅	∅																							57	n	o	b	∅	o	∅	∅	N	U	P	∅	U	∅	∅	4	7	1	∅	7	∅	∅
4	1.0000	1	0.2500	168																																													56	-	n	ɔ	b	∅	∅	∅	_	N	U	P	∅	∅	∅	0	4	7	1	∅	∅	∅																							57	o	n	o	b	∅	∅	∅	U	N	U	P	∅	∅	∅	7	4	7	1	∅	∅	∅
1	0.3333	3	1.0000	181																							58	w	∅	∅	∅	ai	d	∅	W	∅	∅	∅	A	T	∅	6	∅	∅	∅	7	1	∅																							59	v	∅	∅	∅	ai	t	∅	B	∅	∅	∅	A	T	∅	3	∅	∅	∅	7	1	∅																						
2	0.6667	2	0.6667	181																							58	ai	w	∅	∅	d	∅	∅	A	W	∅	∅	T	∅	∅	7	6	∅	∅	1	∅	∅																							59	ai	v	∅	∅	t	∅	∅	A	B	∅	∅	T	∅	∅	7	3	∅	∅	1	∅	∅																						
3	1.0000	1	0.3333	181																							58	d	ai	w	∅	∅	∅	∅	T	A	W	∅	∅	∅	∅	1	7	6	∅	∅	∅	∅																							59	t	ai	v	∅	∅	∅	∅	T	A	B	∅	∅	∅	∅	1	7	3	∅	∅	∅	∅																						
1	0.1429	7	1.0000	188																							60	f	∅	∅	∅	-	ɑ	-	B	∅	∅	∅	_	A	_	3	∅	∅	∅	0	7	0																							61	f	∅	∅	∅	-	e	-	B	∅	∅	∅	_	E	_	3	∅	∅	∅	0	7	0	62	p	∅	∅	∅	r	o	k	P	∅	∅	∅	R	U	K	1	∅	∅	∅	5	7	1
2	0.2857	6	0.8571	188																							60	-	f	∅	∅	ɑ	-	-	_	B	∅	∅	A	_	_	0	3	∅	∅	7	0	0																							61	-	f	∅	∅	e	-	-	_	B	∅	∅	E	_	_	0	3	∅	∅	7	0	0	62	r	p	∅	∅	o	k	u	R	P	∅	∅	U	K	Y	5	1	∅	∅	7	1	7
3	0.4286	5	0.7143	188																							60	ɑ	-	f	∅	-	-	r	A	_	B	∅	_	_	R	7	0	3	∅	0	0	5																							61	e	-	f	∅	-	-	r	E	_	B	∅	_	_	R	7	0	3	∅	0	0	5	62	o	r	p	∅	k	u	l	U	R	P	∅	K	Y	L	7	5	1	∅	1	7	5
4	0.5714	4	0.5714	188																							60	-	ɑ	-	f	-	r	-	_	A	_	B	_	R	_	0	7	0	3	0	5	0																							61	-	e	-	f	-	r	n	_	E	_	B	_	R	N	0	7	0	3	0	5	4	62	k	o	r	p	u	l	-	K	U	R	P	Y	L	_	1	7	5	1	7	5	0
5	0.7143	3	0.4286	188																							60	-	-	ɑ	-	r	-	∅	_	_	A	_	R	_	∅	0	0	7	0	5	0	∅																							61	-	-	e	-	r	n	∅	_	_	E	_	R	N	∅	0	0	7	0	5	4	∅	62	u	k	o	r	l	-	∅	Y	K	U	R	L	_	∅	7	1	7	5	5	0	∅
6	0.8571	2	0.2857	188																							60	r	-	-	ɑ	-	∅	∅	R	_	_	A	_	∅	∅	5	0	0	7	0	∅	∅																							61	r	-	-	e	n	∅	∅	R	_	_	E	N	∅	∅	5	0	0	7	4	∅	∅	62	l	u	k	o	-	∅	∅	L	Y	K	U	_	∅	∅	5	7	1	7	0	∅	∅
7	1.0000	1	0.1429	188																							60	-	r	-	-	∅	∅	∅	_	R	_	_	∅	∅	∅	0	5	0	0	∅	∅	∅																							61	n	r	-	-	∅	∅	∅	N	R	_	_	∅	∅	∅	4	5	0	0	∅	∅	∅	62	-	l	u	k	∅	∅	∅	_	L	Y	K	∅	∅	∅	0	5	7	1	∅	∅	∅
1	0.2000	5	1.0000	198	63	m	∅	∅	∅	a	ð	-	M	∅	∅	∅	A	D	_	4	∅	∅	∅	7	3	0																																																																			64	m	∅	∅	∅	a	g	n	M	∅	∅	∅	A	K	N	4	∅	∅	∅	7	1	4
2	0.4000	4	0.8000	198	63	a	m	∅	∅	ð	-	-	A	M	∅	∅	D	_	_	7	4	∅	∅	3	0	0																																																																			64	a	m	∅	∅	g	n	o	A	M	∅	∅	K	N	U	7	4	∅	∅	1	4	7
3	0.6000	3	0.6000	198	63	ð	a	m	∅	-	-	∅	D	A	M	∅	_	_	∅	3	7	4	∅	0	0	∅																																																																			64	g	a	m	∅	n	o	∅	K	A	M	∅	N	U	∅	1	7	4	∅	4	7	∅
4	0.8000	2	0.4000	198	63	-	ð	a	m	-	∅	∅	_	D	A	M	_	∅	∅	0	3	7	4	0	∅	∅																																																																			64	n	g	a	m	o	∅	∅	N	K	A	M	U	∅	∅	4	1	7	4	7	∅	∅
5	1.0000	1	0.2000	198	63	-	-	ð	a	∅	∅	∅	_	_	D	A	∅	∅	∅	0	0	3	7	∅	∅	∅																																																																			64	o	n	g	a	∅	∅	∅	U	N	K	A	∅	∅	∅	7	4	1	7	∅	∅	∅
1	0.2000	5	1.0000	205																							65	b	∅	∅	∅	r	ɛ	s	P	∅	∅	∅	R	E	S	1	∅	∅	∅	5	7	3																							66	b	∅	∅	∅	r	u	s	P	∅	∅	∅	R	Y	S	1	∅	∅	∅	5	7	3																						
2	0.4000	4	0.8000	205																							65	r	b	∅	∅	ɛ	s	t	R	P	∅	∅	E	S	T	5	1	∅	∅	7	3	1																							66	r	b	∅	∅	u	s	t	R	P	∅	∅	Y	S	T	5	1	∅	∅	7	3	1																						
3	0.6000	3	0.6000	205																							65	ɛ	r	b	∅	s	t	∅	E	R	P	∅	S	T	∅	7	5	1	∅	3	1	∅																							66	u	r	b	∅	s	t	∅	Y	R	P	∅	S	T	∅	7	5	1	∅	3	1	∅																						
4	0.8000	2	0.4000	205																							65	s	ɛ	r	b	t	∅	∅	S	E	R	P	T	∅	∅	3	7	5	1	1	∅	∅																							66	s	u	r	b	t	∅	∅	S	Y	R	P	T	∅	∅	3	7	5	1	1	∅	∅																						
5	1.0000	1	0.2000	205																							65	t	s	ɛ	r	∅	∅	∅	T	S	E	R	∅	∅	∅	1	3	7	5	∅	∅	∅																							66	t	s	u	r	∅	∅	∅	T	S	Y	R	∅	∅	∅	1	3	7	5	∅	∅	∅																						
1	0.3333	3	1.0000	220																							67	f	∅	∅	∅	ɔ	l	∅	B	∅	∅	∅	U	L	∅	3	∅	∅	∅	7	5	∅																							68	f	∅	∅	∅	a	l	∅	B	∅	∅	∅	A	L	∅	3	∅	∅	∅	7	5	∅																						
2	0.6667	2	0.6667	220																							67	ɔ	f	∅	∅	l	∅	∅	U	B	∅	∅	L	∅	∅	7	3	∅	∅	5	∅	∅																							68	a	f	∅	∅	l	∅	∅	A	B	∅	∅	L	∅	∅	7	3	∅	∅	5	∅	∅																						
3	1.0000	1	0.3333	220																							67	l	ɔ	f	∅	∅	∅	∅	L	U	B	∅	∅	∅	∅	5	7	3	∅	∅	∅	∅																							68	l	a	f	∅	∅	∅	∅	L	A	B	∅	∅	∅	∅	5	7	3	∅	∅	∅	∅																						
1	0.2500	4	1.0000	232																							69	n	∅	∅	∅	au	-	-	N	∅	∅	∅	A	_	_	4	∅	∅	∅	7	0	0																							70	n	∅	∅	∅	uː	n	-	N	∅	∅	∅	Y	N	_	4	∅	∅	∅	7	4	0	71	n	∅	∅	∅	u	n	k	N	∅	∅	∅	Y	N	K	4	∅	∅	∅	7	4	1
2	0.5000	3	0.7500	232																							69	au	n	∅	∅	-	-	∅	A	N	∅	∅	_	_	∅	7	4	∅	∅	0	0	∅																							70	uː	n	∅	∅	n	-	∅	Y	N	∅	∅	N	_	∅	7	4	∅	∅	4	0	∅	71	u	n	∅	∅	n	k	∅	Y	N	∅	∅	N	K	∅	7	4	∅	∅	4	1	∅
3	0.7500	2	0.5000	232																							69	-	au	n	∅	-	∅	∅	_	A	N	∅	_	∅	∅	0	7	4	∅	0	∅	∅																							70	n	uː	n	∅	-	∅	∅	N	Y	N	∅	_	∅	∅	4	7	4	∅	0	∅	∅	71	n	u	n	∅	k	∅	∅	N	Y	N	∅	K	∅	∅	4	7	4	∅	1	∅	∅
4	1.0000	1	0.2500	232																							69	-	-	au	n	∅	∅	∅	_	_	A	N	∅	∅	∅	0	0	7	4	∅	∅	∅																							70	-	n	uː	n	∅	∅	∅	_	N	Y	N	∅	∅	∅	0	4	7	4	∅	∅	∅	71	k	n	u	n	∅	∅	∅	K	N	Y	N	∅	∅	∅	1	4	7	4	∅	∅	∅
1	0.3333	3	1.0000	238																							72	d	∅	∅	∅	e	-	∅	T	∅	∅	∅	E	_	∅	1	∅	∅	∅	7	0	∅																							73	t	∅	∅	∅	aː	g	∅	T	∅	∅	∅	A	K	∅	1	∅	∅	∅	7	1	∅																						
2	0.6667	2	0.6667	238																							72	e	d	∅	∅	-	∅	∅	E	T	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																							73	aː	t	∅	∅	g	∅	∅	A	T	∅	∅	K	∅	∅	7	1	∅	∅	1	∅	∅																						
3	1.0000	1	0.3333	238																							72	-	e	d	∅	∅	∅	∅	_	E	T	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																							73	g	aː	t	∅	∅	∅	∅	K	A	T	∅	∅	∅	∅	1	7	1	∅	∅	∅	∅																						
1	0.2500	4	1.0000	239																																													74	ʒ	∅	∅	∅	u	-	r	S	∅	∅	∅	Y	_	R	3	∅	∅	∅	7	0	5																							75	d	∅	∅	∅	i	eː	-	T	∅	∅	∅	I	E	_	1	∅	∅	∅	7	7	0
2	0.5000	3	0.7500	239																																													74	u	ʒ	∅	∅	-	r	∅	Y	S	∅	∅	_	R	∅	7	3	∅	∅	0	5	∅																							75	i	d	∅	∅	eː	-	∅	I	T	∅	∅	E	_	∅	7	1	∅	∅	7	0	∅
3	0.7500	2	0.5000	239																																													74	-	u	ʒ	∅	r	∅	∅	_	Y	S	∅	R	∅	∅	0	7	3	∅	5	∅	∅																							75	eː	i	d	∅	-	∅	∅	E	I	T	∅	_	∅	∅	7	7	1	∅	0	∅	∅
4	1.0000	1	0.2500	239																																													74	r	-	u	ʒ	∅	∅	∅	R	_	Y	S	∅	∅	∅	5	0	7	3	∅	∅	∅																							75	-	eː	i	d	∅	∅	∅	_	E	I	T	∅	∅	∅	0	7	7	1	∅	∅	∅
1	0.2500	4	1.0000	257																																													76	m	∅	∅	∅	œ	r	-	M	∅	∅	∅	U	R	_	4	∅	∅	∅	7	5	0																							77	m	∅	∅	∅	o	r	iː	M	∅	∅	∅	U	R	I	4	∅	∅	∅	7	5	7
2	0.5000	3	0.7500	257																																													76	œ	m	∅	∅	r	-	∅	U	M	∅	∅	R	_	∅	7	4	∅	∅	5	0	∅																							77	o	m	∅	∅	r	iː	∅	U	M	∅	∅	R	I	∅	7	4	∅	∅	5	7	∅
3	0.7500	2	0.5000	257																																													76	r	œ	m	∅	-	∅	∅	R	U	M	∅	_	∅	∅	5	7	4	∅	0	∅	∅																							77	r	o	m	∅	iː	∅	∅	R	U	M	∅	I	∅	∅	5	7	4	∅	7	∅	∅
4	1.0000	1	0.2500	257																																													76	-	r	œ	m	∅	∅	∅	_	R	U	M	∅	∅	∅	0	5	7	4	∅	∅	∅																							77	iː	r	o	m	∅	∅	∅	I	R	U	M	∅	∅	∅	7	5	7	4	∅	∅	∅
1	0.3333	3	1.0000	271																							78	a	∅	∅	∅	ʃ	-	∅	A	∅	∅	∅	S	_	∅	7	∅	∅	∅	3	0	∅																							79	a	∅	∅	∅	ʃ	ə	∅	A	∅	∅	∅	S	E	∅	7	∅	∅	∅	3	7	∅																						
2	0.6667	2	0.6667	271																							78	ʃ	a	∅	∅	-	∅	∅	S	A	∅	∅	_	∅	∅	3	7	∅	∅	0	∅	∅																							79	ʃ	a	∅	∅	ə	∅	∅	S	A	∅	∅	E	∅	∅	3	7	∅	∅	7	∅	∅																						
3	1.0000	1	0.3333	271																							78	-	ʃ	a	∅	∅	∅	∅	_	S	A	∅	∅	∅	∅	0	3	7	∅	∅	∅	∅																							79	ə	ʃ	a	∅	∅	∅	∅	E	S	A	∅	∅	∅	∅	7	3	7	∅	∅	∅	∅																						
1	0.2000	5	1.0000	272																																													80	s	∅	∅	∅	ɑ̃	d	-	S	∅	∅	∅	A	T	_	3	∅	∅	∅	7	1	0																							81	k	∅	∅	∅	i	n	e	K	∅	∅	∅	I	N	E	1	∅	∅	∅	7	4	7
2	0.4000	4	0.8000	272																																													80	ɑ̃	s	∅	∅	d	-	r	A	S	∅	∅	T	_	R	7	3	∅	∅	1	0	5																							81	i	k	∅	∅	n	e	r	I	K	∅	∅	N	E	R	7	1	∅	∅	4	7	5
3	0.6000	3	0.6000	272																																													80	d	ɑ̃	s	∅	-	r	∅	T	A	S	∅	_	R	∅	1	7	3	∅	0	5	∅																							81	n	i	k	∅	e	r	∅	N	I	K	∅	E	R	∅	4	7	1	∅	7	5	∅
4	0.8000	2	0.4000	272																																													80	-	d	ɑ̃	s	r	∅	∅	_	T	A	S	R	∅	∅	0	1	7	3	5	∅	∅																							81	e	n	i	k	r	∅	∅	E	N	I	K	R	∅	∅	7	4	7	1	5	∅	∅
5	1.0000	1	0.2000	272																																													80	r	-	d	ɑ̃	∅	∅	∅	R	_	T	A	∅	∅	∅	5	0	1	7	∅	∅	∅																							81	r	e	n	i	∅	∅	∅	R	E	N	I	∅	∅	∅	5	7	4	7	∅	∅	∅
1	0.2000	5	1.0000	278																																													82	m	∅	∅	∅	ɔ	v	ɛ	M	∅	∅	∅	U	B	E	4	∅	∅	∅	7	3	7																							83	m	∅	∅	∅	a	l	o	M	∅	∅	∅	A	L	U	4	∅	∅	∅	7	5	7
2	0.4000	4	0.8000	278																																													82	ɔ	m	∅	∅	v	ɛ	z	U	M	∅	∅	B	E	S	7	4	∅	∅	3	7	3																							83	a	m	∅	∅	l	o	-	A	M	∅	∅	L	U	_	7	4	∅	∅	5	7	0
3	0.6000	3	0.6000	278																																													82	v	ɔ	m	∅	ɛ	z	∅	B	U	M	∅	E	S	∅	3	7	4	∅	7	3	∅																							83	l	a	m	∅	o	-	∅	L	A	M	∅	U	_	∅	5	7	4	∅	7	0	∅
4	0.8000	2	0.4000	278																																													82	ɛ	v	ɔ	m	z	∅	∅	E	B	U	M	S	∅	∅	7	3	7	4	3	∅	∅																							83	o	l	a	m	-	∅	∅	U	L	A	M	_	∅	∅	7	5	7	4	0	∅	∅
5	1.0000	1	0.2000	278																																													82	z	ɛ	v	ɔ	∅	∅	∅	S	E	B	U	∅	∅	∅	3	7	3	7	∅	∅	∅																							83	-	o	l	a	∅	∅	∅	_	U	L	A	∅	∅	∅	0	7	5	7	∅	∅	∅
1	0.2500	4	1.0000	301																							84	k	∅	∅	∅	l	ɔ	-	K	∅	∅	∅	L	U	_	1	∅	∅	∅	5	7	0																							85	k	∅	∅	∅	l	au	ə	K	∅	∅	∅	L	A	E	1	∅	∅	∅	5	7	7																						
2	0.5000	3	0.7500	301																							84	l	k	∅	∅	ɔ	-	∅	L	K	∅	∅	U	_	∅	5	1	∅	∅	7	0	∅																							85	l	k	∅	∅	au	ə	∅	L	K	∅	∅	A	E	∅	5	1	∅	∅	7	7	∅																						
3	0.7500	2	0.5000	301																							84	ɔ	l	k	∅	-	∅	∅	U	L	K	∅	_	∅	∅	7	5	1	∅	0	∅	∅																							85	au	l	k	∅	ə	∅	∅	A	L	K	∅	E	∅	∅	7	5	1	∅	7	∅	∅																						
4	1.0000	1	0.2500	301																							84	-	ɔ	l	k	∅	∅	∅	_	U	L	K	∅	∅	∅	0	7	5	1	∅	∅	∅																							85	ə	au	l	k	∅	∅	∅	E	A	L	K	∅	∅	∅	7	7	5	1	∅	∅	∅																						
1	0.1667	6	1.0000	309																																													86	f	∅	∅	∅	l	ø	v	B	∅	∅	∅	L	U	B	3	∅	∅	∅	5	7	3																							87	f	∅	∅	∅	l	uː	m	B	∅	∅	∅	L	Y	M	3	∅	∅	∅	5	7	4
2	0.3333	5	0.8333	309																																													86	l	f	∅	∅	ø	v	-	L	B	∅	∅	U	B	_	5	3	∅	∅	7	3	0																							87	l	f	∅	∅	uː	m	i	L	B	∅	∅	Y	M	I	5	3	∅	∅	7	4	7
3	0.5000	4	0.6667	309																																													86	ø	l	f	∅	v	-	-	U	L	B	∅	B	_	_	7	5	3	∅	3	0	0																							87	uː	l	f	∅	m	i	n	Y	L	B	∅	M	I	N	7	5	3	∅	4	7	4
4	0.6667	3	0.5000	309																																													86	v	ø	l	f	-	-	∅	B	U	L	B	_	_	∅	3	7	5	3	0	0	∅																							87	m	uː	l	f	i	n	∅	M	Y	L	B	I	N	∅	4	7	5	3	7	4	∅
5	0.8333	2	0.3333	309																																													86	-	v	ø	l	-	∅	∅	_	B	U	L	_	∅	∅	0	3	7	5	0	∅	∅																							87	i	m	uː	l	n	∅	∅	I	M	Y	L	N	∅	∅	7	4	7	5	4	∅	∅
6	1.0000	1	0.1667	309																																													86	-	-	v	ø	∅	∅	∅	_	_	B	U	∅	∅	∅	0	0	3	7	∅	∅	∅																							87	n	i	m	uː	∅	∅	∅	N	I	M	Y	∅	∅	∅	4	7	4	7	∅	∅	∅
1	0.1667	6	1.0000	321																																													88	m	∅	∅	∅	a	r	i	M	∅	∅	∅	A	R	I	4	∅	∅	∅	7	5	7																							89	m	∅	∅	∅	a	r	iː	M	∅	∅	∅	A	R	I	4	∅	∅	∅	7	5	7
2	0.3333	5	0.8333	321																																													88	a	m	∅	∅	r	i	-	A	M	∅	∅	R	I	_	7	4	∅	∅	5	7	0																							89	a	m	∅	∅	r	iː	t	A	M	∅	∅	R	I	T	7	4	∅	∅	5	7	1
3	0.5000	4	0.6667	321																																													88	r	a	m	∅	i	-	-	R	A	M	∅	I	_	_	5	7	4	∅	7	0	0																							89	r	a	m	∅	iː	t	o	R	A	M	∅	I	T	U	5	7	4	∅	7	1	7
