index	index_p	rindex	rindex_p	cogid	id_BelejeGonfoye	segment_BelejeGonfoye	segment_BelejeGonfoye_L1	segment_BelejeGonfoye_L2	segment_BelejeGonfoye_L3	segment_BelejeGonfoye_R1	segment_BelejeGonfoye_R2	segment_BelejeGonfoye_R3	SC_BelejeGonfoye	SC_BelejeGonfoye_L1	SC_BelejeGonfoye_L2	SC_BelejeGonfoye_L3	SC_BelejeGonfoye_R1	SC_BelejeGonfoye_R2	SC_BelejeGonfoye_R3	PROSODY_BelejeGonfoye	PROSODY_BelejeGonfoye_L1	PROSODY_BelejeGonfoye_L2	PROSODY_BelejeGonfoye_L3	PROSODY_BelejeGonfoye_R1	PROSODY_BelejeGonfoye_R2	PROSODY_BelejeGonfoye_R3	id_Fadashi	segment_Fadashi	segment_Fadashi_L1	segment_Fadashi_L2	segment_Fadashi_L3	segment_Fadashi_R1	segment_Fadashi_R2	segment_Fadashi_R3	SC_Fadashi	SC_Fadashi_L1	SC_Fadashi_L2	SC_Fadashi_L3	SC_Fadashi_R1	SC_Fadashi_R2	SC_Fadashi_R3	PROSODY_Fadashi	PROSODY_Fadashi_L1	PROSODY_Fadashi_L2	PROSODY_Fadashi_L3	PROSODY_Fadashi_R1	PROSODY_Fadashi_R2	PROSODY_Fadashi_R3	id_Maiyu	segment_Maiyu	segment_Maiyu_L1	segment_Maiyu_L2	segment_Maiyu_L3	segment_Maiyu_R1	segment_Maiyu_R2	segment_Maiyu_R3	SC_Maiyu	SC_Maiyu_L1	SC_Maiyu_L2	SC_Maiyu_L3	SC_Maiyu_R1	SC_Maiyu_R2	SC_Maiyu_R3	PROSODY_Maiyu	PROSODY_Maiyu_L1	PROSODY_Maiyu_L2	PROSODY_Maiyu_L3	PROSODY_Maiyu_R1	PROSODY_Maiyu_R2	PROSODY_Maiyu_R3	id_Undulu	segment_Undulu	segment_Undulu_L1	segment_Undulu_L2	segment_Undulu_L3	segment_Undulu_R1	segment_Undulu_R2	segment_Undulu_R3	SC_Undulu	SC_Undulu_L1	SC_Undulu_L2	SC_Undulu_L3	SC_Undulu_R1	SC_Undulu_R2	SC_Undulu_R3	PROSODY_Undulu	PROSODY_Undulu_L1	PROSODY_Undulu_L2	PROSODY_Undulu_L3	PROSODY_Undulu_R1	PROSODY_Undulu_R2	PROSODY_Undulu_R3
6	0.8571	2	0.2857	134																							34	ʔ	i	ɗ	ə	i	∅	∅	H	I	T	E	I	∅	∅	1	7	1	7	7	∅	∅	35	ʔ	i	ɗ	a	i	∅	∅	H	I	T	A	I	∅	∅	1	7	1	7	7	∅	∅	36	ʔ	i	ɗ	ə	e	∅	∅	H	I	T	E	E	∅	∅	1	7	1	7	7	∅	∅
7	1.0000	1	0.1429	134																							34	i	ʔ	i	ɗ	∅	∅	∅	I	H	I	T	∅	∅	∅	7	1	7	1	∅	∅	∅	35	i	ʔ	i	ɗ	∅	∅	∅	I	H	I	T	∅	∅	∅	7	1	7	1	∅	∅	∅	36	e	ʔ	i	ɗ	∅	∅	∅	E	H	I	T	∅	∅	∅	7	1	7	1	∅	∅	∅
1	0.3333	3	1.0000	145																							37	a	∅	∅	∅	sː	e	∅	A	∅	∅	∅	S	E	∅	7	∅	∅	∅	3	7	∅	38	a	∅	∅	∅	sː	e	∅	A	∅	∅	∅	S	E	∅	7	∅	∅	∅	3	7	∅																						
2	0.6667	2	0.6667	145																							37	sː	a	∅	∅	e	∅	∅	S	A	∅	∅	E	∅	∅	3	7	∅	∅	7	∅	∅	38	sː	a	∅	∅	e	∅	∅	S	A	∅	∅	E	∅	∅	3	7	∅	∅	7	∅	∅																						
3	1.0000	1	0.3333	145																							37	e	sː	a	∅	∅	∅	∅	E	S	A	∅	∅	∅	∅	7	3	7	∅	∅	∅	∅	38	e	sː	a	∅	∅	∅	∅	E	S	A	∅	∅	∅	∅	7	3	7	∅	∅	∅	∅																						
1	0.2500	4	1.0000	161																							39	ɓ	∅	∅	∅	ə	ɗ	e	P	∅	∅	∅	E	T	E	1	∅	∅	∅	7	1	7																							40	ɓ	∅	∅	∅	ɛ	ɗ	e	P	∅	∅	∅	E	T	E	1	∅	∅	∅	7	1	7
2	0.5000	3	0.7500	161																							39	ə	ɓ	∅	∅	ɗ	e	∅	E	P	∅	∅	T	E	∅	7	1	∅	∅	1	7	∅																							40	ɛ	ɓ	∅	∅	ɗ	e	∅	E	P	∅	∅	T	E	∅	7	1	∅	∅	1	7	∅
3	0.7500	2	0.5000	161																							39	ɗ	ə	ɓ	∅	e	∅	∅	T	E	P	∅	E	∅	∅	1	7	1	∅	7	∅	∅																							40	ɗ	ɛ	ɓ	∅	e	∅	∅	T	E	P	∅	E	∅	∅	1	7	1	∅	7	∅	∅
4	1.0000	1	0.2500	161																							39	e	ɗ	ə	ɓ	∅	∅	∅	E	T	E	P	∅	∅	∅	7	1	7	1	∅	∅	∅																							40	e	ɗ	ɛ	ɓ	∅	∅	∅	E	T	E	P	∅	∅	∅	7	1	7	1	∅	∅	∅
1	0.5000	2	1.0000	165	41	m	∅	∅	∅	a	∅	∅	M	∅	∅	∅	A	∅	∅	4	∅	∅	∅	7	∅	∅	42	m	∅	∅	∅	a	∅	∅	M	∅	∅	∅	A	∅	∅	4	∅	∅	∅	7	∅	∅	43	m	∅	∅	∅	a	∅	∅	M	∅	∅	∅	A	∅	∅	4	∅	∅	∅	7	∅	∅																						
2	1.0000	1	0.5000	165	41	a	m	∅	∅	∅	∅	∅	A	M	∅	∅	∅	∅	∅	7	4	∅	∅	∅	∅	∅	42	a	m	∅	∅	∅	∅	∅	A	M	∅	∅	∅	∅	∅	7	4	∅	∅	∅	∅	∅	43	a	m	∅	∅	∅	∅	∅	A	M	∅	∅	∅	∅	∅	7	4	∅	∅	∅	∅	∅																						
1	0.2500	4	1.0000	173	44	ɓ	∅	∅	∅	uː	ɗ	e	P	∅	∅	∅	Y	T	E	1	∅	∅	∅	7	1	7																							45	ɓ	∅	∅	∅	u	d	a	P	∅	∅	∅	Y	T	A	1	∅	∅	∅	7	1	7	46	ɓ	∅	∅	∅	u	ɗ	i	P	∅	∅	∅	Y	T	I	1	∅	∅	∅	7	1	7
2	0.5000	3	0.7500	173	44	uː	ɓ	∅	∅	ɗ	e	∅	Y	P	∅	∅	T	E	∅	7	1	∅	∅	1	7	∅																							45	u	ɓ	∅	∅	d	a	∅	Y	P	∅	∅	T	A	∅	7	1	∅	∅	1	7	∅	46	u	ɓ	∅	∅	ɗ	i	∅	Y	P	∅	∅	T	I	∅	7	1	∅	∅	1	7	∅
3	0.7500	2	0.5000	173	44	ɗ	uː	ɓ	∅	e	∅	∅	T	Y	P	∅	E	∅	∅	1	7	1	∅	7	∅	∅																							45	d	u	ɓ	∅	a	∅	∅	T	Y	P	∅	A	∅	∅	1	7	1	∅	7	∅	∅	46	ɗ	u	ɓ	∅	i	∅	∅	T	Y	P	∅	I	∅	∅	1	7	1	∅	7	∅	∅
4	1.0000	1	0.2500	173	44	e	ɗ	uː	ɓ	∅	∅	∅	E	T	Y	P	∅	∅	∅	7	1	7	1	∅	∅	∅																							45	a	d	u	ɓ	∅	∅	∅	A	T	Y	P	∅	∅	∅	7	1	7	1	∅	∅	∅	46	i	ɗ	u	ɓ	∅	∅	∅	I	T	Y	P	∅	∅	∅	7	1	7	1	∅	∅	∅
1	0.1667	6	1.0000	182																							47	k	∅	∅	∅	ʔ	u	r	K	∅	∅	∅	H	Y	R	1	∅	∅	∅	1	7	5	48	k	∅	∅	∅	ʔ	u	r	K	∅	∅	∅	H	Y	R	1	∅	∅	∅	1	7	5																						
2	0.3333	5	0.8333	182																							47	ʔ	k	∅	∅	u	r	f	H	K	∅	∅	Y	R	B	1	1	∅	∅	7	5	3	48	ʔ	k	∅	∅	u	r	f	H	K	∅	∅	Y	R	B	1	1	∅	∅	7	5	3																						
3	0.5000	4	0.6667	182																							47	u	ʔ	k	∅	r	f	e	Y	H	K	∅	R	B	E	7	1	1	∅	5	3	7	48	u	ʔ	k	∅	r	f	e	Y	H	K	∅	R	B	E	7	1	1	∅	5	3	7																						
4	0.6667	3	0.5000	182																							47	r	u	ʔ	k	f	e	∅	R	Y	H	K	B	E	∅	5	7	1	1	3	7	∅	48	r	u	ʔ	k	f	e	∅	R	Y	H	K	B	E	∅	5	7	1	1	3	7	∅																						
5	0.8333	2	0.3333	182																							47	f	r	u	ʔ	e	∅	∅	B	R	Y	H	E	∅	∅	3	5	7	1	7	∅	∅	48	f	r	u	ʔ	e	∅	∅	B	R	Y	H	E	∅	∅	3	5	7	1	7	∅	∅																						
6	1.0000	1	0.1667	182																							47	e	f	r	u	∅	∅	∅	E	B	R	Y	∅	∅	∅	7	3	5	7	∅	∅	∅	48	e	f	r	u	∅	∅	∅	E	B	R	Y	∅	∅	∅	7	3	5	7	∅	∅	∅																						
1	0.1429	7	1.0000	187																							49	b	∅	∅	∅	u	s	ʔ	P	∅	∅	∅	Y	S	H	1	∅	∅	∅	7	3	1	50	b	∅	∅	∅	ʊ	s	k	P	∅	∅	∅	Y	S	K	1	∅	∅	∅	7	3	1	51	b	∅	∅	∅	ɪ	s	k	P	∅	∅	∅	I	S	K	1	∅	∅	∅	7	3	1
2	0.2857	6	0.8571	187																							49	u	b	∅	∅	s	ʔ	i	Y	P	∅	∅	S	H	I	7	1	∅	∅	3	1	7	50	ʊ	b	∅	∅	s	k	-	Y	P	∅	∅	S	K	_	7	1	∅	∅	3	1	0	51	ɪ	b	∅	∅	s	k	-	I	P	∅	∅	S	K	_	7	1	∅	∅	3	1	0
3	0.4286	5	0.7143	187																							49	s	u	b	∅	ʔ	i	k	S	Y	P	∅	H	I	K	3	7	1	∅	1	7	1	50	s	ʊ	b	∅	k	-	ʔ	S	Y	P	∅	K	_	H	3	7	1	∅	1	0	1	51	s	ɪ	b	∅	k	-	ʔ	S	I	P	∅	K	_	H	3	7	1	∅	1	0	1
4	0.5714	4	0.5714	187																							49	ʔ	s	u	b	i	k	e	H	S	Y	P	I	K	E	1	3	7	1	7	1	7	50	k	s	ʊ	b	-	ʔ	e	K	S	Y	P	_	H	E	1	3	7	1	0	1	7	51	k	s	ɪ	b	-	ʔ	e	K	S	I	P	_	H	E	1	3	7	1	0	1	7
5	0.7143	3	0.4286	187																							49	i	ʔ	s	u	k	e	∅	I	H	S	Y	K	E	∅	7	1	3	7	1	7	∅	50	-	k	s	ʊ	ʔ	e	∅	_	K	S	Y	H	E	∅	0	1	3	7	1	7	∅	51	-	k	s	ɪ	ʔ	e	∅	_	K	S	I	H	E	∅	0	1	3	7	1	7	∅
6	0.8571	2	0.2857	187																							49	k	i	ʔ	s	e	∅	∅	K	I	H	S	E	∅	∅	1	7	1	3	7	∅	∅	50	ʔ	-	k	s	e	∅	∅	H	_	K	S	E	∅	∅	1	0	1	3	7	∅	∅	51	ʔ	-	k	s	e	∅	∅	H	_	K	S	E	∅	∅	1	0	1	3	7	∅	∅
7	1.0000	1	0.1429	187																							49	e	k	i	ʔ	∅	∅	∅	E	K	I	H	∅	∅	∅	7	1	7	1	∅	∅	∅	50	e	ʔ	-	k	∅	∅	∅	E	H	_	K	∅	∅	∅	7	1	0	1	∅	∅	∅	51	e	ʔ	-	k	∅	∅	∅	E	H	_	K	∅	∅	∅	7	1	0	1	∅	∅	∅
1	0.2500	4	1.0000	217	52	mʷ	∅	∅	∅	ɔː	n	e	M	∅	∅	∅	U	N	E	4	∅	∅	∅	7	4	7	53	mː	∅	∅	∅	oː	n	e	M	∅	∅	∅	U	N	E	4	∅	∅	∅	7	4	7																																												
2	0.5000	3	0.7500	217	52	ɔː	mʷ	∅	∅	n	e	∅	U	M	∅	∅	N	E	∅	7	4	∅	∅	4	7	∅	53	oː	mː	∅	∅	n	e	∅	U	M	∅	∅	N	E	∅	7	4	∅	∅	4	7	∅																																												
3	0.7500	2	0.5000	217	52	n	ɔː	mʷ	∅	e	∅	∅	N	U	M	∅	E	∅	∅	4	7	4	∅	7	∅	∅	53	n	oː	mː	∅	e	∅	∅	N	U	M	∅	E	∅	∅	4	7	4	∅	7	∅	∅																																												
4	1.0000	1	0.2500	217	52	e	n	ɔː	mʷ	∅	∅	∅	E	N	U	M	∅	∅	∅	7	4	7	4	∅	∅	∅	53	e	n	oː	mː	∅	∅	∅	E	N	U	M	∅	∅	∅	7	4	7	4	∅	∅	∅																																												
1	0.2500	4	1.0000	218																																													54	m	∅	∅	∅	uː	f	a	M	∅	∅	∅	Y	B	A	4	∅	∅	∅	7	3	7	55	m	∅	∅	∅	uː	f	o	M	∅	∅	∅	Y	B	U	4	∅	∅	∅	7	3	7
2	0.5000	3	0.7500	218																																													54	uː	m	∅	∅	f	a	∅	Y	M	∅	∅	B	A	∅	7	4	∅	∅	3	7	∅	55	uː	m	∅	∅	f	o	∅	Y	M	∅	∅	B	U	∅	7	4	∅	∅	3	7	∅
3	0.7500	2	0.5000	218																																													54	f	uː	m	∅	a	∅	∅	B	Y	M	∅	A	∅	∅	3	7	4	∅	7	∅	∅	55	f	uː	m	∅	o	∅	∅	B	Y	M	∅	U	∅	∅	3	7	4	∅	7	∅	∅
4	1.0000	1	0.2500	218																																													54	a	f	uː	m	∅	∅	∅	A	B	Y	M	∅	∅	∅	7	3	7	4	∅	∅	∅	55	o	f	uː	m	∅	∅	∅	U	B	Y	M	∅	∅	∅	7	3	7	4	∅	∅	∅
1	0.1429	7	1.0000	230																																													56	-	∅	∅	∅	-	k	ʊ	_	∅	∅	∅	_	K	Y	0	∅	∅	∅	0	1	7	57	a	∅	∅	∅	l	k	u	A	∅	∅	∅	L	K	Y	7	∅	∅	∅	5	1	7
2	0.2857	6	0.8571	230																																													56	-	-	∅	∅	k	ʊ	r	_	_	∅	∅	K	Y	R	0	0	∅	∅	1	7	5	57	l	a	∅	∅	k	u	r	L	A	∅	∅	K	Y	R	5	7	∅	∅	1	7	5
3	0.4286	5	0.7143	230																																													56	k	-	-	∅	ʊ	r	s	K	_	_	∅	Y	R	S	1	0	0	∅	7	5	3	57	k	l	a	∅	u	r	s	K	L	A	∅	Y	R	S	1	5	7	∅	7	5	3
4	0.5714	4	0.5714	230																																													56	ʊ	k	-	-	r	s	i	Y	K	_	_	R	S	I	7	1	0	0	5	3	7	57	u	k	l	a	r	s	i	Y	K	L	A	R	S	I	7	1	5	7	5	3	7
5	0.7143	3	0.4286	230																																													56	r	ʊ	k	-	s	i	∅	R	Y	K	_	S	I	∅	5	7	1	0	3	7	∅	57	r	u	k	l	s	i	∅	R	Y	K	L	S	I	∅	5	7	1	5	3	7	∅
6	0.8571	2	0.2857	230																																													56	s	r	ʊ	k	i	∅	∅	S	R	Y	K	I	∅	∅	3	5	7	1	7	∅	∅	57	s	r	u	k	i	∅	∅	S	R	Y	K	I	∅	∅	3	5	7	1	7	∅	∅
7	1.0000	1	0.1429	230																																													56	i	s	r	ʊ	∅	∅	∅	I	S	R	Y	∅	∅	∅	7	3	5	7	∅	∅	∅	57	i	s	r	u	∅	∅	∅	I	S	R	Y	∅	∅	∅	7	3	5	7	∅	∅	∅
1	0.1429	7	1.0000	233	58	ɓ	∅	∅	∅	-	i	ɓ	P	∅	∅	∅	_	I	P	1	∅	∅	∅	0	7	1	59	b	∅	∅	∅	-	i	b	P	∅	∅	∅	_	I	P	1	∅	∅	∅	0	7	1	60	p	∅	∅	∅	ʔ	iː	p	P	∅	∅	∅	H	I	P	1	∅	∅	∅	1	7	1																						
2	0.2857	6	0.8571	233	58	-	ɓ	∅	∅	i	ɓ	-	_	P	∅	∅	I	P	_	0	1	∅	∅	7	1	0	59	-	b	∅	∅	i	b	i	_	P	∅	∅	I	P	I	0	1	∅	∅	7	1	7	60	ʔ	p	∅	∅	iː	p	-	H	P	∅	∅	I	P	_	1	1	∅	∅	7	1	0																						
3	0.4286	5	0.7143	233	58	i	-	ɓ	∅	ɓ	-	i	I	_	P	∅	P	_	I	7	0	1	∅	1	0	7	59	i	-	b	∅	b	i	y	I	_	P	∅	P	I	Y	7	0	1	∅	1	7	7	60	iː	ʔ	p	∅	p	-	i	I	H	P	∅	P	_	I	7	1	1	∅	1	0	7																						
4	0.5714	4	0.5714	233	58	ɓ	i	-	ɓ	-	i	o	P	I	_	P	_	I	U	1	7	0	1	0	7	7	59	b	i	-	b	i	y	o	P	I	_	P	I	Y	U	1	7	0	1	7	7	7	60	p	iː	ʔ	p	-	i	o	P	I	H	P	_	I	U	1	7	1	1	0	7	7																						
5	0.7143	3	0.4286	233	58	-	ɓ	i	-	i	o	∅	_	P	I	_	I	U	∅	0	1	7	0	7	7	∅	59	i	b	i	-	y	o	∅	I	P	I	_	Y	U	∅	7	1	7	0	7	7	∅	60	-	p	iː	ʔ	i	o	∅	_	P	I	H	I	U	∅	0	1	7	1	7	7	∅																						
6	0.8571	2	0.2857	233	58	i	-	ɓ	i	o	∅	∅	I	_	P	I	U	∅	∅	7	0	1	7	7	∅	∅	59	y	i	b	i	o	∅	∅	Y	I	P	I	U	∅	∅	7	7	1	7	7	∅	∅	60	i	-	p	iː	o	∅	∅	I	_	P	I	U	∅	∅	7	0	1	7	7	∅	∅																						
7	1.0000	1	0.1429	233	58	o	i	-	ɓ	∅	∅	∅	U	I	_	P	∅	∅	∅	7	7	0	1	∅	∅	∅	59	o	y	i	b	∅	∅	∅	U	Y	I	P	∅	∅	∅	7	7	7	1	∅	∅	∅	60	o	i	-	p	∅	∅	∅	U	I	_	P	∅	∅	∅	7	7	0	1	∅	∅	∅																						
1	0.2000	5	1.0000	234																							61	m	∅	∅	∅	i	s	e	M	∅	∅	∅	I	S	E	4	∅	∅	∅	7	3	7																							62	m	∅	∅	∅	ɪ	s	e	M	∅	∅	∅	I	S	E	4	∅	∅	∅	7	3	7
2	0.4000	4	0.8000	234																							61	i	m	∅	∅	s	e	-	I	M	∅	∅	S	E	_	7	4	∅	∅	3	7	0																							62	ɪ	m	∅	∅	s	e	ʔ	I	M	∅	∅	S	E	H	7	4	∅	∅	3	7	1
3	0.6000	3	0.6000	234																							61	s	i	m	∅	e	-	∅	S	I	M	∅	E	_	∅	3	7	4	∅	7	0	∅																							62	s	ɪ	m	∅	e	ʔ	∅	S	I	M	∅	E	H	∅	3	7	4	∅	7	1	∅
4	0.8000	2	0.4000	234																							61	e	s	i	m	-	∅	∅	E	S	I	M	_	∅	∅	7	3	7	4	0	∅	∅																							62	e	s	ɪ	m	ʔ	∅	∅	E	S	I	M	H	∅	∅	7	3	7	4	1	∅	∅
5	1.0000	1	0.2000	234																							61	-	e	s	i	∅	∅	∅	_	E	S	I	∅	∅	∅	0	7	3	7	∅	∅	∅																							62	ʔ	e	s	ɪ	∅	∅	∅	H	E	S	I	∅	∅	∅	1	7	3	7	∅	∅	∅
1	0.5000	2	1.0000	247																							63	o	∅	∅	∅	r	∅	∅	U	∅	∅	∅	R	∅	∅	7	∅	∅	∅	5	∅	∅	64	ɔ	∅	∅	∅	r	∅	∅	U	∅	∅	∅	R	∅	∅	7	∅	∅	∅	5	∅	∅	65	o	∅	∅	∅	r	∅	∅	U	∅	∅	∅	R	∅	∅	7	∅	∅	∅	5	∅	∅
2	1.0000	1	0.5000	247																							63	r	o	∅	∅	∅	∅	∅	R	U	∅	∅	∅	∅	∅	5	7	∅	∅	∅	∅	∅	64	r	ɔ	∅	∅	∅	∅	∅	R	U	∅	∅	∅	∅	∅	5	7	∅	∅	∅	∅	∅	65	r	o	∅	∅	∅	∅	∅	R	U	∅	∅	∅	∅	∅	5	7	∅	∅	∅	∅	∅
1	0.5000	2	1.0000	263																							66	m	∅	∅	∅	a	∅	∅	M	∅	∅	∅	A	∅	∅	4	∅	∅	∅	7	∅	∅	67	m	∅	∅	∅	ə	∅	∅	M	∅	∅	∅	E	∅	∅	4	∅	∅	∅	7	∅	∅	68	m	∅	∅	∅	a	∅	∅	M	∅	∅	∅	A	∅	∅	4	∅	∅	∅	7	∅	∅
2	1.0000	1	0.5000	263																							66	a	m	∅	∅	∅	∅	∅	A	M	∅	∅	∅	∅	∅	7	4	∅	∅	∅	∅	∅	67	ə	m	∅	∅	∅	∅	∅	E	M	∅	∅	∅	∅	∅	7	4	∅	∅	∅	∅	∅	68	a	m	∅	∅	∅	∅	∅	A	M	∅	∅	∅	∅	∅	7	4	∅	∅	∅	∅	∅
1	0.2500	4	1.0000	264																							69	g	∅	∅	∅	aː	ʃ	a	K	∅	∅	∅	A	S	A	1	∅	∅	∅	7	3	7	70	g	∅	∅	∅	aː	ʃ	a	K	∅	∅	∅	A	S	A	1	∅	∅	∅	7	3	7	71	g	∅	∅	∅	aː	ʃ	a	K	∅	∅	∅	A	S	A	1	∅	∅	∅	7	3	7
2	0.5000	3	0.7500	264																							69	aː	g	∅	∅	ʃ	a	∅	A	K	∅	∅	S	A	∅	7	1	∅	∅	3	7	∅	70	aː	g	∅	∅	ʃ	a	∅	A	K	∅	∅	S	A	∅	7	1	∅	∅	3	7	∅	71	aː	g	∅	∅	ʃ	a	∅	A	K	∅	∅	S	A	∅	7	1	∅	∅	3	7	∅
3	0.7500	2	0.5000	264																							69	ʃ	aː	g	∅	a	∅	∅	S	A	K	∅	A	∅	∅	3	7	1	∅	7	∅	∅	70	ʃ	aː	g	∅	a	∅	∅	S	A	K	∅	A	∅	∅	3	7	1	∅	7	∅	∅	71	ʃ	aː	g	∅	a	∅	∅	S	A	K	∅	A	∅	∅	3	7	1	∅	7	∅	∅
4	1.0000	1	0.2500	264																							69	a	ʃ	aː	g	∅	∅	∅	A	S	A	K	∅	∅	∅	7	3	7	1	∅	∅	∅	70	a	ʃ	aː	g	∅	∅	∅	A	S	A	K	∅	∅	∅	7	3	7	1	∅	∅	∅	71	a	ʃ	aː	g	∅	∅	∅	A	S	A	K	∅	∅	∅	7	3	7	1	∅	∅	∅
1	0.2000	5	1.0000	272																							72	aː	∅	∅	∅	m	i	l	A	∅	∅	∅	M	I	L	7	∅	∅	∅	4	7	5	73	a	∅	∅	∅	m	i	l	A	∅	∅	∅	M	I	L	7	∅	∅	∅	4	7	5																						
2	0.4000	4	0.8000	272																							72	m	aː	∅	∅	i	l	e	M	A	∅	∅	I	L	E	4	7	∅	∅	7	5	7	73	m	a	∅	∅	i	l	u	M	A	∅	∅	I	L	Y	4	7	∅	∅	7	5	7																						
3	0.6000	3	0.6000	272																							72	i	m	aː	∅	l	e	∅	I	M	A	∅	L	E	∅	7	4	7	∅	5	7	∅	73	i	m	a	∅	l	u	∅	I	M	A	∅	L	Y	∅	7	4	7	∅	5	7	∅																						
4	0.8000	2	0.4000	272																							72	l	i	m	aː	e	∅	∅	L	I	M	A	E	∅	∅	5	7	4	7	7	∅	∅	73	l	i	m	a	u	∅	∅	L	I	M	A	Y	∅	∅	5	7	4	7	7	∅	∅																						
5	1.0000	1	0.2000	272																							72	e	l	i	m	∅	∅	∅	E	L	I	M	∅	∅	∅	7	5	7	4	∅	∅	∅	73	u	l	i	m	∅	∅	∅	Y	L	I	M	∅	∅	∅	7	5	7	4	∅	∅	∅																						
1	0.1250	8	1.0000	283	74	-	∅	∅	∅	a	n	tʃ	_	∅	∅	∅	A	N	T	0	∅	∅	∅	7	4	1	75	-	∅	∅	∅	a	n	-	_	∅	∅	∅	A	N	_	0	∅	∅	∅	7	4	0	76	m	∅	∅	∅	a	n	s	M	∅	∅	∅	A	N	S	4	∅	∅	∅	7	4	3																						
2	0.2500	7	0.8750	283	74	a	-	∅	∅	n	tʃ	ʔ	A	_	∅	∅	N	T	H	7	0	∅	∅	4	1	1	75	a	-	∅	∅	n	-	s	A	_	∅	∅	N	_	S	7	0	∅	∅	4	0	3	76	a	m	∅	∅	n	s	ʔ	A	M	∅	∅	N	S	H	7	4	∅	∅	4	3	1																						
3	0.3750	6	0.7500	283	74	n	a	-	∅	tʃ	ʔ	ɛ	N	A	_	∅	T	H	E	4	7	0	∅	1	1	7	75	n	a	-	∅	-	s	aː	N	A	_	∅	_	S	A	4	7	0	∅	0	3	7	76	n	a	m	∅	s	ʔ	a	N	A	M	∅	S	H	A	4	7	4	∅	3	1	7																						
4	0.5000	5	0.6250	283	74	tʃ	n	a	-	ʔ	ɛ	r	T	N	A	_	H	E	R	1	4	7	0	1	7	5	75	-	n	a	-	s	aː	r	_	N	A	_	S	A	R	0	4	7	0	3	7	5	76	s	n	a	m	ʔ	a	r	S	N	A	M	H	A	R	3	4	7	4	1	7	5																						
5	0.6250	4	0.5000	283	74	ʔ	tʃ	n	a	ɛ	r	e	H	T	N	A	E	R	E	1	1	4	7	7	5	7	75	s	-	n	a	aː	r	e	S	_	N	A	A	R	E	3	0	4	7	7	5	7	76	ʔ	s	n	a	a	r	e	H	S	N	A	A	R	E	1	3	4	7	7	5	7																						
6	0.7500	3	0.3750	283	74	ɛ	ʔ	tʃ	n	r	e	∅	E	H	T	N	R	E	∅	7	1	1	4	5	7	∅	75	aː	s	-	n	r	e	∅	A	S	_	N	R	E	∅	7	3	0	4	5	7	∅	76	a	ʔ	s	n	r	e	∅	A	H	S	N	R	E	∅	7	1	3	4	5	7	∅																						
7	0.8750	2	0.2500	283	74	r	ɛ	ʔ	tʃ	e	∅	∅	R	E	H	T	E	∅	∅	5	7	1	1	7	∅	∅	75	r	aː	s	-	e	∅	∅	R	A	S	_	E	∅	∅	5	7	3	0	7	∅	∅	76	r	a	ʔ	s	e	∅	∅	R	A	H	S	E	∅	∅	5	7	1	3	7	∅	∅																						
8	1.0000	1	0.1250	283	74	e	r	ɛ	ʔ	∅	∅	∅	E	R	E	H	∅	∅	∅	7	5	7	1	∅	∅	∅	75	e	r	aː	s	∅	∅	∅	E	R	A	S	∅	∅	∅	7	5	7	3	∅	∅	∅	76	e	r	a	ʔ	∅	∅	∅	E	R	A	H	∅	∅	∅	7	5	7	1	∅	∅	∅																						
1	0.3333	3	1.0000	296	77	i	∅	∅	∅	l	o	∅	I	∅	∅	∅	L	U	∅	7	∅	∅	∅	5	7	∅																							78	i	∅	∅	∅	l	e	∅	I	∅	∅	∅	L	E	∅	7	∅	∅	∅	5	7	∅	79	i	∅	∅	∅	l	e	∅	I	∅	∅	∅	L	E	∅	7	∅	∅	∅	5	7	∅
2	0.6667	2	0.6667	296	77	l	i	∅	∅	o	∅	∅	L	I	∅	∅	U	∅	∅	5	7	∅	∅	7	∅	∅																							78	l	i	∅	∅	e	∅	∅	L	I	∅	∅	E	∅	∅	5	7	∅	∅	7	∅	∅	79	l	i	∅	∅	e	∅	∅	L	I	∅	∅	E	∅	∅	5	7	∅	∅	7	∅	∅
3	1.0000	1	0.3333	296	77	o	l	i	∅	∅	∅	∅	U	L	I	∅	∅	∅	∅	7	5	7	∅	∅	∅	∅																							78	e	l	i	∅	∅	∅	∅	E	L	I	∅	∅	∅	∅	7	5	7	∅	∅	∅	∅	79	e	l	i	∅	∅	∅	∅	E	L	I	∅	∅	∅	∅	7	5	7	∅	∅	∅	∅
1	0.3333	3	1.0000	298																																													80	ʃ	∅	∅	∅	ɛ	r	∅	S	∅	∅	∅	E	R	∅	3	∅	∅	∅	7	5	∅	81	ʃ	∅	∅	∅	e	r	∅	S	∅	∅	∅	E	R	∅	3	∅	∅	∅	7	5	∅
2	0.6667	2	0.6667	298																																													80	ɛ	ʃ	∅	∅	r	∅	∅	E	S	∅	∅	R	∅	∅	7	3	∅	∅	5	∅	∅	81	e	ʃ	∅	∅	r	∅	∅	E	S	∅	∅	R	∅	∅	7	3	∅	∅	5	∅	∅
3	1.0000	1	0.3333	298																																													80	r	ɛ	ʃ	∅	∅	∅	∅	R	E	S	∅	∅	∅	∅	5	7	3	∅	∅	∅	∅	81	r	e	ʃ	∅	∅	∅	∅	R	E	S	∅	∅	∅	∅	5	7	3	∅	∅	∅	∅
