COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
1199-7							t̪ʰ ɜ l p ɑ
1424-7							s̪ u p ɑ
904-7							l dð o m
1273-7							s̪ n̪ ɑ m
1323-7							s̪ ɑ m ɑ
1127-7							pʰ ɑ ɾ d ɑ
1529-7							d̪ʲ u
1175-7							ɾ ɑ m ɑ o
383-7							d̪ s̪ u ɑ
820-7							kʰ o ŋ
1636-7							pʰ l u ŋ
1331-7							ʊ ɾ d u ɑ
1097-7							l ɑ m
1223-7							p ɜ ŋ ɑ
592-7							m ɑ
1290-7							t̪ʰ u l p ɑ
669-7							k s̪ ɛ ɾ
1472-7							s̪ d̪ ɑ s̪ i
788-7							l o ŋ ɑ
1191-7							ɾ ɑ m p ɑ
626-7							m ɑ n̪ d o q
844-7							ɑ m
879-7							kʰ ɑ
1151-7							pʰ r̪ ɜ s̪
1119-7							ɜ l u
365-7							s̪ ȵ ɑ ŋ m ɑ
1480-7							j ɑ ŋ
653-7							z̪ g o k p ɑ
1081-7							kʰ o ŋ
1448-7							p ɑ ɑ ŋ
1029-7							m ɑ
863-7							ɕ ɑ
539-7							t̪ʰ u l
610-7							ŋ ɑ
350-7							b ɑ ŋ d o
871-7							o ŋ m ɑ
734-7							ɾ s̪ ɑ
431-7							kʰ i
1298-7							t̪ʰ t̪ʰ u l
929-7							pʰ ɜ ŋ d o
1315-7							d̪ ɑ k s̪ o ɑ ŋ
964-7							m ɑ n̪ d ɜ m p
836-7							m ɑ
1644-7							pʰ u s̪ ʈ ɑ ŋ
547-7							ɜ t̪ ɑ
1048-7							ɑ k ɑ
1692-7							n̪ o ŋ o
1306-7							pʰ u
405-7							n̪ o ŋ o
294-7							pʰ r̪ u
661-7							n̪ o ŋ o
413-7							ɑ ŋ
996-7							d̪ʲ ɜ n̪
1012-7							k o b ɜ ɾ
181-7							pʰ i s̪ o ŋ
1660-7							t̪ʰ o n̪ d o
1440-7							ɕ r̪ r̪ ɑ ŋ
1652-7							l o
1037-7							s̪ i m ɑ
677-7							l ɑ k m o
1561-7							s̪ ɑ m ɑ
447-7							s̪ ɑ m ɑ o
828-7							ɾ ɑ ŋ m o
1247-7							ɜ ɜ s̪
391-7							k r̪ ɑ k m o
972-7							ȵ i m ɑ
531-7							d̪ ɜ g d o ŋ ɑ
253-7							n̪ o g o
1282-7							d̪ʲ u n̪ d o
812-7							j ɑ ŋ m o
245-7							pʰ u ɾ s̪
1609-7							k ɑ ɾ d o
261-7							n̪ ɑ k p o
1143-7							m ɑ m o
1065-7							d̪ u k
1504-7							ȵ i s̪
1432-7							s̪ u m
634-7							pʰ s̪ i
1255-7							pʰ u s̪
488-7							ɾ ɜ n̪
1004-7							ʊ ɾ g o
506-7							ɕ u s̪ u
1488-7							kʰ o ŋ ɜ s̪
1496-7							ȵ i s̪ ɑ
1073-7							ɾ d ɑ
1617-7							s̪ u
1569-7							kʰ i
1593-7							g ɑ ɾ
1585-7							n̪ ɑ m
759-7							ȵ ɑ m d
1415-7							kʰ o ŋ
1215-7							d̪ o k s̪ o d o k s̪
422-7							l o k s̪ o
310-7							d̪ ɑ k p o
189-7							kʰ o ŋ m ɑ
25-7							z̪ u s̪
9-7							n̪ d̪ o k s̪
57-7							d̪ u s̪
17-7							s̪ o m ɑ
