COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1-15															ʔ a	
386-15															ɲ a ʔ	
1027-15															ʔ a ʔ	
2077-15															ŋ a h	
1459-15															b ɔː a	
1323-15															s a	
1859-16																ŋ a
175-16																ʔ ɔ
241-16																ʔ a ʔ
2163-16																ʔ ɔ ŋ
2181-16																n iː a
2060-16																ʔ a ŋ
410-16																t a
1841-16																a ɔ
2017-16																n ɔ
1004-16																a ɔ
614-16																b a ŋ
686-16																b a a
88-16																ʔ b a ʔ
872-16																n iː ŋ
1891-16																ʔ a
68-16																s ɔ ŋ
631-16																b ɔ ŋ
594-16																ʔ ɔ
1759-16																n ɔ ŋ
805-16																g ɔ ŋ
756-16																n ɔ ʔ
1201-16																a t a ŋ
2042-16																ʔ a
1968-16																t a ʔ
2000-16																f aː ŋ
17-16																v ɔ ʔ
4-16																b ɔ ŋ
788-16																t ɔ
1219-16																n a ŋ
141-16																ʔ a ŋ
541-16																b r j ɔ ŋ
1687-16																n ɔ ŋ
123-16																n ɔ a
1652-16																t ɔ ŋ
576-16																n ɔ
1738-16																t a
442-16																n ɔ ŋ
368-16																ʔ j ɔ ŋ
1778-16																b a ʔ
957-16																n a
1704-16																ʔ a ʔ
304-16																j ɔ a
1796-16																v ɔ ŋ
720-16																t a ŋ
287-16																ʔ a ŋ
321-16																ʔ a ŋ
206-16																b ɔ ʔ
1950-16																ʔ s a
665-16																b n ɔ ŋ
703-16																n a ʔ
1290-16																a ɔ
1391-16																ʔ ɔ t
269-16																ʔ t a h
855-16																n ɔ a
2078-16																n ɔ ŋ
2213-16																a ɔ
1858-16																s ɔ
1151-16																ʔ j a h
737-16																p l a ŋ
340-16																ʔ ɔ
1111-16																n iː
485-16																u ɔ
1356-16																l ɔ h
1063-16																t a ŋ
648-16																f aː ŋ
223-16																ʔ tɕ ɔ ŋ
1248-16																s a
1509-16																t a n
2130-16																n iː
1-16																ʔ a
386-16																ɲ a h ʔ
1411-16																ʔ a
1027-16																ʔ u ʔ
2077-16																a a h
1459-16																ʔ l a
1323-16																s a
