COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1248-13													c ə			
1509-13													t ɛ			
504-13													c w			
2130-13													s ɛ			
1-13													ʔ w			
386-13													ə o ʔ			
1411-13													ʔ ɛ			
1027-13													k ɛ ʔ			
2077-13													m a			
1459-13													k l			
1323-13													m ə			
1538-13													r j a			
975-13													ɲ a			
940-13													ŋ u			
1476-13													ʔ a			
1923-13													n ɛ			
105-13													v ɔ ŋ			
1431-13													ʔ ɛ			
1814-13													m a n			
1183-13													n o ŋ			
1890-13													s a			
1721-13													ʔ u ʔ			
1617-13													p w a			
1564-13													p u ʔ			
1028-13													ʔ a			
2111-13													l ɛ			
1563-13													s a			
1597-13													s a			
1859-14														ŋ u		
175-14														k a		
241-14														ʔ o ʔ		
2163-14														kʰ u n		
2181-14														n ə m		
2060-14														ʔ oː m		
410-14														d j		
1841-14														m au̯		
2017-14														h eː		
1004-14														l j		
614-14														p oː		
686-14														p l eː		
88-14														g u ʔ		
872-14														n ɔ ŋ		
1891-14														d j		
68-14														s i m		
631-14														p ə n		
594-14														k j		
1759-14														h u ɲ		
805-14														g l i		
756-14														h oː k		
1201-14														m oː		
2042-14														ʔ j		
1968-14														d a ʔ		
2000-14														l j ŋ		
17-14														v a t		
4-14														ə m ə		
788-14														d i		
1219-14														kʰ i m		
141-14														ʔ j ŋ		
541-14														p r j a ŋ		
1687-14														h u		
123-14														ə j m		
1652-14														dʑ i ɲ		
576-14														ŋ ɔ		
1738-14														d a k		
442-14														h oː m		
368-14														d j a ŋ		
1778-14														p l ai̯		
957-14														n a p		
1704-14														ʔ i t		
304-14														dʑ a m		
1796-14														dʑ a ŋ		
720-14														d a		
287-14														k j a p		
321-14														l ə		
206-14														d oː t		
1950-14														ʔ oːi̯		
665-14																
703-14														n oː ʔ		
1290-14														m j		
1391-14														g i t		
269-14														g i t		
855-14														dʑ i		
2078-14														s i		
2213-14														m u		
1858-14														s a		
1151-14														k j a n		
737-14														p u t		
340-14														s oː		
1111-14														s i		
485-14														ŋ j		
1356-14														m u		
1093-14														l o ŋ		
1063-14														d oː m		
648-14														dʑ ə ŋ		
223-14														g oː n		
1248-14														dʑ ə		
1509-14														d eː ŋ		
504-14														dʑ oː		
2130-14														s i		
386-14														j oː ʔ		
1411-14														ʔ u		
1027-14														g a ʔ		
2077-14														m a		
1459-14														k l j		
1323-14														m ə		
1538-14														r j a h		
975-14														ɲ j		
940-14														ŋ u		
1476-14														ʔ a		
1923-14														n i		
105-14														n v ɔ ŋ		
1431-14														ʔ i		
37-14														i j ŋ		
1152-14														p l a n		
1183-14														n oː		
1890-14														s a		
1430-14														d a		
1564-14														tʰ ɔ t		
1028-14														ʔ a		
2111-14														l i		
1563-14														s a		
1859-15															ŋ ɛ	
175-15															k a	
241-15															ʔ u ʔ	
2163-15															kʰ əi̯ n	
2181-15															n a m	
2060-15															ʔ u m	
410-15															t a	
1841-15															m aːu̯	
2017-15															h əa	
1004-15															l j	
614-15															p ou̯ h	
686-15															p e	
88-15															g u ʔ	
872-15															n u ŋ	
1891-15															d a	
68-15															s a m	
631-15															p ə n	
594-15															k aːi̯	
1759-15															h a ɲ	
805-15															g a ɲ	
756-15															h u k	
1201-15															m u c	
2042-15															ʔ aːi̯	
1968-15															c a	
2000-15															h tɕ ŋ	
17-15															v ai̯ c	
4-15															ə əa m	
788-15															d a	
1219-15															kʰ i m	
141-15															ʔ aː ŋ	
541-15															p r j a ŋ	
1687-15															h u	
123-15															ə aː m	
1652-15															c a ŋ	
576-15															ŋ ai̯	
1738-15															c a k	
442-15															h w m	
368-15															t j a ŋ	
1778-15															p a c	
957-15															n a	
1704-15															ʔ a t	
304-15															c a m	
1796-15															c a ŋ	
720-15															t a h	
287-15															k ə p	
321-15															g u h	
206-15															t əi̯ k	
1950-15															ʔ oːi̯	
665-15															ə w a	
703-15															n ou̯ k	
1290-15															m a	
1391-15															g a t	
269-15															g a t	
855-15															c a ŋ	
2078-15															s ɛ	
2213-15															m a	
1858-15															s a	
1151-15															g j a n	
737-15															p ə	
340-15															ʔ a	
1111-15															s ɛ	
485-15															ŋ	
1356-15															m u	
1093-15															t əa ŋ	
1063-15															c w a	
648-15															c əa ŋ	
223-15															g w a n	
1248-15															c əɯ̯	
1509-15															t əi̯ ŋ	
504-15															c ou̯ h	
2130-15															s a	
1-15															ʔ ou̯	
386-15															ə ou̯ k	
1027-15															g a n	
2077-15															m a	
1459-15															k e	
1323-15															m əɯ̯	
1538-15															r j a h	
975-15															ɲ a h	
940-15															ŋ u h	
1476-15															ʔ a h	
1923-15															n ɛ	
105-15															v ɔ ŋ	
1814-15															m a ɲ	
1183-15															n u ŋ	
1890-15															s a	
1430-15															t a	
1721-15															ʔ u h	
1617-15															p ou̯ ʔ	
1564-15															v u ʔ	
1028-15															ʔ a	
2111-15															e ɛ	
1563-15															s a	
1597-15															s a ŋ	
1859-16																ŋ ɛː
175-16																k a
241-16																ʔ u ʔ
2163-16																kʰ u n
2181-16																n a m
2060-16																ʔ a m
410-16																d ei̯
1841-16																m aːu̯
2017-16																h ei̯
1004-16																l j
614-16																p ou̯ h
686-16																p l ei̯
88-16																k n a
872-16																n u ŋ
1891-16																d a
68-16																s ei̯ m
631-16																p ə n
594-16																k a
1759-16																h a n
805-16																k ɨ ŋ
756-16																h ɨ k
1201-16																m oː c
2042-16																ʔ aːi̯
1968-16																d a ʔ
2000-16																h tɕ ŋ
17-16																v a c
4-16																ə əː m
788-16																d a
1219-16																kʰ i m
141-16																ʔ aːi̯ ŋ
541-16																p r j a ŋ
1687-16																h u n
123-16																ə aːi̯ m
1652-16																c a ŋ
576-16																ŋ a
1738-16																d a k
442-16																h oː m
368-16																t j ŋ
1778-16																p a c
957-16																n a p
1704-16																ʔ a t
304-16																c a m
1796-16																c a ŋ
720-16																t ɛː h
287-16																k ə p
321-16																l ə ŋ
206-16																d u ŋ
1950-16																ʔ oːi̯
665-16																
703-16																n o ʔ
1290-16																m a
1391-16																k a t
269-16																k a t
855-16																c ɨ ŋ
2078-16																s ei̯
2213-16																m a
1858-16																s a
1151-16																k j a n
737-16																p ə n
340-16																ʔ a
1111-16																s ɨ
485-16																ŋ j
1356-16																m u h
1063-16																d ɨ m
648-16																c əː ŋ
223-16																k ɨ n
1248-16																c a
1509-16																t ei̯ ŋ
2130-16																s ei̯
1-16																ʔ oː
386-16																a o k
1411-16																ʔ u
1027-16																k ɨ ʔ
2077-16																m a
1459-16																k l j
1323-16																m əɯ̯
1538-16																r j a h
975-16																ɲ a x
940-16																ŋ ɨ h
1476-16																ʔ ei̯ h
1923-16																n ɛː
105-16																v ɔ ŋ
1431-16																ʔ ei̯
37-16																n aːi̯ ŋ
1814-16																m a
1183-16																n ɨ ŋ
1890-16																s a
1721-16																ʔ ei̯ ʔ
1617-16																p ou̯ ʔ
1564-16																t ei̯
2111-16																l ɛː
1563-16																s a
1597-16																s a ŋ
