** /proj/evolang2022/tiago/ST2022/data-surprise/bantubvd/solutions-0.10.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Duhumbi          0.8682        0.3563       0.5249         0.5376       0.5323        0.2270       0.7117         0.6974
Jerigaon         0.6123        0.2738       0.6801         0.6451       0.6043        0.2620       0.6602         0.6458
Khispi           0.7816        0.3179       0.5652         0.5838       0.4119        0.1677       0.7757         0.7807
Khoina           0.6912        0.3076       0.6386         0.6031       0.8226        0.3692       0.5934         0.5356
Khoitam          0.3834        0.1670       0.7691         0.7753       0.4809        0.2199       0.7258         0.7139
Rahung           0.4176        0.1781       0.7459         0.7663       0.6072        0.2711       0.6646         0.6550
Rupa             0.5533        0.2300       0.7001         0.6902       0.7600        0.3287       0.6028         0.5762
Shergaon         0.6619        0.2924       0.6435         0.6161       0.4421        0.1984       0.7458         0.7375
TOTAL            0.6212        0.2654       0.6584         0.6522       0.5827        0.2555       0.6850         0.6678


** /proj/evolang2022/tiago/ST2022/data-surprise/bremerberta/solutions-0.10.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
BelejeGonfoye       2.3000        0.4395       0.6394         0.3691       1.6000        0.2956       0.7132         0.5716
Fadashi             1.0500        0.1880       0.7893         0.6979       1.2500        0.2363       0.7749         0.6180
Maiyu               1.7500        0.3449       0.7427         0.4668       1.5000        0.2895       0.7492         0.5382
Undulu              1.8000        0.3333       0.7036         0.4714       1.3000        0.2398       0.7511         0.6246
TOTAL               1.7250        0.3264       0.7187         0.5013       1.4125        0.2653       0.7471         0.5881


** /proj/evolang2022/tiago/ST2022/data-surprise/bremerberta/solutions-0.20.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
BelejeGonfoye       2.1220        0.4103       0.6285         0.3820       1.9512        0.3805       0.5954         0.4284
Fadashi             1.1951        0.2276       0.7271         0.6347       1.4634        0.2923       0.6905         0.5411
Maiyu               1.9512        0.3707       0.6594         0.4440       1.4878        0.3084       0.6767         0.5411
Undulu              1.4390        0.2701       0.6773         0.5699       1.4146        0.2715       0.6917         0.5700
TOTAL               1.6768        0.3197       0.6731         0.5076       1.5793        0.3132       0.6636         0.5202


** /proj/evolang2022/tiago/ST2022/data-surprise/bremerberta/solutions-0.30.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
BelejeGonfoye       2.5738        0.4784       0.5585         0.3197       2.3279        0.4291       0.5079         0.3801
Fadashi             1.2787        0.2395       0.6877         0.6282       1.4262        0.2754       0.6557         0.5645
Maiyu               1.9667        0.3707       0.6084         0.4389       1.5833        0.3140       0.6195         0.5139
Undulu              1.5246        0.2857       0.6650         0.5704       1.3607        0.2604       0.6795         0.6095
TOTAL               1.8359        0.3436       0.6299         0.4893       1.6745        0.3197       0.6157         0.5170


** /proj/evolang2022/tiago/ST2022/data-surprise/bremerberta/solutions-0.40.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
BelejeGonfoye       2.9306        0.5453       0.4996         0.2776       3.0000        0.5561       0.4340         0.2598
Fadashi             1.7927        0.3205       0.6133         0.5165       1.8902        0.3274       0.5867         0.5202
Maiyu               2.4935        0.4490       0.5476         0.3560       2.0909        0.3975       0.5624         0.4169
Undulu              2.0533        0.3824       0.6049         0.4151       1.4800        0.2854       0.6773         0.5520
TOTAL               2.3175        0.4243       0.5664         0.3913       2.1153        0.3916       0.5651         0.4372


** /proj/evolang2022/tiago/ST2022/data-surprise/bremerberta/solutions-0.50.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
BelejeGonfoye       3.0482        0.5612       0.4723         0.2748       3.0241        0.5640       0.4524         0.2748
Fadashi             2.0000        0.3658       0.5641         0.4603       2.0505        0.3737       0.5526         0.4474
Maiyu               2.7204        0.5011       0.5252         0.2915       1.8710        0.3414       0.5660         0.5000
Undulu              2.3407        0.4412       0.5702         0.3411       1.6154        0.3119       0.6526         0.5104
TOTAL               2.5273        0.4673       0.5329         0.3419       2.1402        0.3977       0.5559         0.4331


** /proj/evolang2022/tiago/ST2022/data-surprise/deepadungpalaung/solutions-0.10.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
BanPaw              0.9000        0.3667       0.7688         0.4858       0.4500        0.1667       0.8876         0.7377
ChaYeQing           1.1000        0.4583       0.7239         0.4133       0.8500        0.3333       0.8194         0.5461
ChuDongGua          1.4000        0.5208       0.6711         0.3128       1.2000        0.4583       0.7469         0.4265
GuangKa             0.8000        0.3250       0.8347         0.5633       0.7500        0.2917       0.8127         0.6101
HtanHsan            1.1500        0.4500       0.7803         0.4013       0.7500        0.2833       0.8563         0.6180
KhunHawt            1.2500        0.4750       0.7387         0.3666       0.9000        0.3333       0.8012         0.5657
MangBang            0.8500        0.3250       0.7707         0.5674       1.3000        0.4833       0.7240         0.3653
ManLoi              1.2000        0.4750       0.7309         0.3692       1.3000        0.5167       0.7988         0.3774
MengDan             1.2500        0.4542       0.7019         0.3985       1.3000        0.5083       0.7247         0.3604
NamHsan             1.2000        0.4583       0.7398         0.4133       1.1500        0.4167       0.7324         0.4395
NanSang             0.6500        0.2583       0.8427         0.6559       0.4500        0.2000       0.9510         0.7266
NoeLae              0.8500        0.3500       0.8085         0.4973       0.3500        0.1333       0.9113         0.7950
NyaungGone          0.9500        0.3917       0.8098         0.4707       0.4000        0.1417       0.8682         0.7783
PangKham            1.0500        0.3917       0.7515         0.4862       0.9000        0.3333       0.7939         0.5637
PongNuea            1.2000        0.4917       0.7803         0.3551       0.7500        0.3083       0.9180         0.5565
XiangZhaiTang       1.4000        0.5333       0.7021         0.3013       0.6000        0.2250       0.8954         0.6675
TOTAL               1.0750        0.4203       0.7597         0.4411       0.8375        0.3208       0.8276         0.5709


** /proj/evolang2022/tiago/ST2022/data-surprise/deepadungpalaung/solutions-0.20.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
BanPaw              1.1538        0.4252       0.6937         0.4543       0.4103        0.1453       0.8931         0.7778
ChaYeQing           1.5385        0.5620       0.5867         0.3004       1.4615        0.5346       0.6301         0.3334
ChuDongGua          1.4872        0.5436       0.6228         0.2993       1.4359        0.5222       0.6769         0.3340
GuangKa             1.2051        0.4402       0.7004         0.4133       0.9231        0.3547       0.8044         0.5155
HtanHsan            1.5128        0.5278       0.5836         0.3526       1.1538        0.4026       0.6904         0.4569
KhunHawt            1.5641        0.5534       0.5850         0.3039       1.2051        0.4338       0.7083         0.4119
MangBang            1.1538        0.4209       0.6691         0.4412       1.4872        0.5175       0.6366         0.3346
ManLoi              1.2564        0.4701       0.7078         0.3772       1.5000        0.5311       0.6703         0.3247
MengDan             1.4872        0.5325       0.6588         0.3430       1.3590        0.4987       0.6775         0.3423
NamHsan             1.3846        0.5073       0.6458         0.3522       1.4872        0.5274       0.6523         0.3338
NanSang             1.0513        0.3803       0.7303         0.5048       0.8974        0.3355       0.7845         0.5464
NoeLae              1.0513        0.3910       0.7297         0.4778       0.4103        0.1474       0.8472         0.7686
NyaungGone          1.1026        0.4124       0.7285         0.4439       0.3333        0.1239       0.9109         0.8089
PangKham            1.0769        0.3889       0.7394         0.4728       1.0256        0.3803       0.7305         0.4920
PongNuea            1.3077        0.4936       0.6955         0.3590       0.9487        0.3568       0.7846         0.4806
XiangZhaiTang       1.5128        0.5628       0.6664         0.2835       0.9744        0.3611       0.7912         0.5314
TOTAL               1.3029        0.4757       0.6715         0.3862       1.0633        0.3858       0.7431         0.4871


** /proj/evolang2022/tiago/ST2022/data-surprise/deepadungpalaung/solutions-0.30.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
BanPaw              1.2542        0.4534       0.6297         0.4225       0.5593        0.1949       0.8529         0.6905
ChaYeQing           1.5000        0.5432       0.5582         0.3226       1.3393        0.4824       0.6018         0.3898
ChuDongGua          1.6610        0.5994       0.5120         0.2550       1.4237        0.5161       0.6210         0.3432
GuangKa             1.2712        0.4534       0.6184         0.4100       0.9492        0.3316       0.7271         0.5420
HtanHsan            1.4576        0.4944       0.5535         0.3903       1.3220        0.4653       0.6240         0.3975
KhunHawt            1.5593        0.5297       0.5379         0.3434       1.2203        0.4285       0.6344         0.4650
MangBang            1.2373        0.4421       0.6022         0.4152       1.6949        0.5992       0.5157         0.2269
ManLoi              1.3220        0.4831       0.6383         0.3631       1.4746        0.5144       0.6053         0.3674
MengDan             1.6102        0.5653       0.5263         0.3135       1.4915        0.5308       0.5882         0.3153
NamHsan             1.4068        0.5020       0.5884         0.3503       1.4576        0.4842       0.5741         0.3724
NanSang             1.1695        0.4124       0.6319         0.4581       0.9322        0.3503       0.7236         0.5246
NoeLae              1.0847        0.3969       0.6916         0.4667       0.3729        0.1328       0.8775         0.7946
NyaungGone          1.1186        0.4082       0.6807         0.4522       0.7797        0.2718       0.7779         0.6082
PangKham            1.1525        0.4124       0.6815         0.4484       1.1525        0.4054       0.6311         0.4622
PongNuea            1.2373        0.4619       0.6522         0.3941       0.9661        0.3545       0.7691         0.5143
XiangZhaiTang       1.5254        0.5534       0.5674         0.2838       1.1356        0.4138       0.7091         0.4566
TOTAL               1.3480        0.4819       0.6044         0.3806       1.1420        0.4047       0.6770         0.4669


** /proj/evolang2022/tiago/ST2022/data-surprise/deepadungpalaung/solutions-0.40.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
BanPaw              1.3896        0.5141       0.5785         0.3591       1.0667        0.3878       0.7368         0.4038
ChaYeQing           1.5811        0.5845       0.5250         0.2801       1.8784        0.6811       0.4097         0.2149
ChuDongGua          1.6883        0.6141       0.4826         0.2418       1.5211        0.5486       0.5508         0.2502
GuangKa             1.7763        0.5803       0.4666         0.2770       1.4605        0.5351       0.5952         0.3176
HtanHsan            1.4400        0.4951       0.5544         0.3930       1.4933        0.5309       0.5863         0.3417
KhunHawt            1.5694        0.5373       0.5363         0.3360       1.4306        0.5197       0.5530         0.3600
MangBang            1.4605        0.5296       0.5132         0.3100       1.7763        0.6406       0.4718         0.2268
ManLoi              1.5256        0.5662       0.5624         0.2961       1.7821        0.6370       0.4808         0.2532
MengDan             1.8533        0.6553       0.4632         0.2487       1.8219        0.6427       0.4672         0.1778
NamHsan             1.6623        0.5989       0.4770         0.2684       1.7143        0.5935       0.5108         0.2675
NanSang             1.6184        0.5855       0.4762         0.2745       1.4079        0.5160       0.5965         0.3300
NoeLae              1.1795        0.4370       0.6216         0.4143       0.9744        0.3632       0.7608         0.4967
NyaungGone          1.1818        0.4405       0.6267         0.4115       1.1299        0.4123       0.6942         0.4531
PangKham            1.2208        0.4448       0.6259         0.4227       1.5065        0.5552       0.5606         0.3196
PongNuea            1.3766        0.5115       0.5764         0.3490       1.2208        0.4519       0.6759         0.4007
XiangZhaiTang       1.5789        0.5842       0.5055         0.2559       1.4474        0.5461       0.6058         0.3175
TOTAL               1.5064        0.5424       0.5370         0.3211       1.4770        0.5351       0.5785         0.3207


** /proj/evolang2022/tiago/ST2022/data-surprise/deepadungpalaung/solutions-0.50.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
BanPaw              1.7527        0.6523       0.4740         0.2454       1.7204        0.6375       0.5292         0.2554
ChaYeQing           1.7444        0.6441       0.4619         0.2423       2.0333        0.6956       0.3895         0.1912
ChuDongGua          1.8495        0.6652       0.4327         0.2051       2.0538        0.6819       0.3659         0.2058
GuangKa             1.8222        0.5941       0.4277         0.2739       1.5233        0.5298       0.5700         0.3017
HtanHsan            1.6747        0.5689       0.4845         0.3206       1.5542        0.5536       0.5227         0.3080
KhunHawt            1.4872        0.5184       0.5622         0.3621       1.7949        0.6036       0.4967         0.2607
MangBang            1.4725        0.5357       0.4942         0.3135       2.0549        0.7200       0.3609         0.1672
ManLoi              1.5789        0.5868       0.5231         0.2939       1.8421        0.6533       0.4179         0.2223
MengDan             1.9551        0.6865       0.4057         0.2113       2.1444        0.7428       0.3732         0.1515
NamHsan             1.6667        0.5927       0.4671         0.2793       1.9048        0.6444       0.4025         0.2242
NanSang             1.8065        0.6102       0.4056         0.2713       1.5699        0.5082       0.5500         0.3730
NoeLae              1.3438        0.4948       0.5897         0.3776       1.1667        0.4257       0.6955         0.4435
NyaungGone          1.3936        0.4998       0.5573         0.3497       1.2553        0.4493       0.6886         0.3984
PangKham            1.5376        0.5579       0.5335         0.3105       1.6022        0.5595       0.5303         0.3047
PongNuea            1.2872        0.4801       0.5848         0.3884       1.5000        0.5505       0.6000         0.3254
XiangZhaiTang       1.5699        0.5763       0.4818         0.2785       1.7957        0.6615       0.3864         0.2223
TOTAL               1.6214        0.5790       0.4929         0.2952       1.7197        0.6011       0.4925         0.2722


** /proj/evolang2022/tiago/ST2022/data-surprise/hillburmish/solutions-0.10.tsv
Language           ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
---------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
AchangLongchuan       1.1522        0.2978       0.6625         0.5789       1.3261        0.3366       0.6038         0.5515
Atsi                  1.2553        0.3213       0.6141         0.5718       1.4255        0.3780       0.5721         0.5026
Bola                  0.7727        0.2178       0.7467         0.6692       0.7955        0.2299       0.7454         0.6991
Lashi                 1.8298        0.4904       0.5224         0.3720       1.8723        0.4993       0.5150         0.3681
Maru                  1.0870        0.3029       0.6730         0.5854       0.9130        0.2417       0.7314         0.6604
OldBurmese            0.7949        0.2650       0.7593         0.6330       0.5897        0.1842       0.7946         0.7342
ProtoBurmish          0.6383        0.1702       0.8175         0.7514       0.9362        0.2514       0.7008         0.6688
Rangoon               1.9574        0.5280       0.4664         0.3449       1.4468        0.4078       0.5323         0.4545
Xiandao               1.3617        0.3681       0.5968         0.5162       1.7234        0.4667       0.5180         0.4081
TOTAL                 1.2055        0.3291       0.6510         0.5581       1.2254        0.3328       0.6348         0.5608


** /proj/evolang2022/tiago/ST2022/data-surprise/hillburmish/solutions-0.20.tsv
Language           ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
---------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
AchangLongchuan       1.3523        0.3364       0.5982         0.5531       1.4091        0.3670       0.5853         0.4881
Atsi                  1.1505        0.2984       0.6178         0.5995       1.3226        0.3491       0.5541         0.5289
Bola                  0.7907        0.2233       0.7250         0.6610       0.9419        0.2607       0.6932         0.6306
Lashi                 1.7391        0.4676       0.5181         0.3987       1.6848        0.4611       0.5202         0.3541
Maru                  0.9318        0.2564       0.6873         0.6483       0.9432        0.2521       0.6980         0.6456
OldBurmese            0.8246        0.2588       0.7639         0.6311       0.5965        0.1836       0.7864         0.7360
ProtoBurmish          0.8280        0.2079       0.7446         0.6878       1.0323        0.2683       0.6739         0.6016
Rangoon               2.1461        0.5706       0.3889         0.3015       1.9101        0.5530       0.4485         0.3112
Xiandao               1.2717        0.3567       0.5950         0.5108       1.8152        0.4774       0.4939         0.3846
TOTAL                 1.2261        0.3307       0.6266         0.5546       1.2951        0.3525       0.6059         0.5201


** /proj/evolang2022/tiago/ST2022/data-surprise/hillburmish/solutions-0.30.tsv
Language           ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
---------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
AchangLongchuan       1.4087        0.3532       0.5806         0.5168       1.6435        0.4057       0.5183         0.4750
Atsi                  1.2701        0.3363       0.5961         0.5459       1.3796        0.3627       0.5639         0.4961
Bola                  0.8760        0.2431       0.6848         0.6487       1.0992        0.3107       0.6560         0.5767
Lashi                 1.8832        0.4979       0.4940         0.3635       1.7445        0.4644       0.5204         0.3876
Maru                  1.0800        0.2959       0.6392         0.5992       1.0640        0.2749       0.6594         0.6328
OldBurmese            1.1644        0.3537       0.6952         0.5035       1.0000        0.3007       0.6865         0.5710
ProtoBurmish          1.0000        0.2473       0.7092         0.6353       1.2391        0.3115       0.6106         0.5590
Rangoon               2.3889        0.6694       0.3232         0.2142       2.2937        0.6487       0.3607         0.2377
Xiandao               1.5693        0.4331       0.5131         0.4252       2.2701        0.6095       0.3794         0.2362
TOTAL                 1.4045        0.3811       0.5817         0.4947       1.5260        0.4099       0.5506         0.4636


** /proj/evolang2022/tiago/ST2022/data-surprise/hillburmish/solutions-0.40.tsv
Language           ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
---------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
AchangLongchuan       1.4029        0.3506       0.5599         0.5237       2.0504        0.4796       0.4730         0.3788
Atsi                  1.5989        0.4104       0.5202         0.4392       1.8736        0.4764       0.4675         0.3799
Bola                  0.9281        0.2537       0.6723         0.6313       1.1634        0.3081       0.6051         0.5689
Lashi                 2.0944        0.5440       0.4498         0.2990       2.3556        0.6018       0.4384         0.2734
Maru                  1.1313        0.2951       0.6252         0.5950       1.1062        0.2803       0.6559         0.6099
OldBurmese            1.2558        0.3878       0.6414         0.4786       0.7093        0.2205       0.7466         0.6830
ProtoBurmish          1.0838        0.2632       0.6856         0.6113       1.3184        0.3182       0.6079         0.5606
Rangoon               2.5677        0.7203       0.2760         0.1723       2.8452        0.7591       0.3179         0.1455
Xiandao               2.1345        0.5811       0.3953         0.2679       2.7427        0.6981       0.3278         0.1881
TOTAL                 1.5775        0.4229       0.5362         0.4465       1.7961        0.4602       0.5156         0.4209


** /proj/evolang2022/tiago/ST2022/data-surprise/hillburmish/solutions-0.50.tsv
Language           ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
---------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
AchangLongchuan       1.7826        0.4477       0.5058         0.4113       1.8199        0.4477       0.4967         0.4058
Atsi                  2.4444        0.6326       0.3897         0.2341       2.5417        0.6588       0.3183         0.1954
Bola                  1.1304        0.3011       0.6245         0.5638       1.5815        0.3971       0.5948         0.4650
Lashi                 3.0622        0.7867       0.3052         0.1190       3.3445        0.7849       0.2734         0.1212
Maru                  1.2474        0.3337       0.6089         0.5433       1.3632        0.3532       0.5765         0.5247
OldBurmese            1.5859        0.4579       0.5585         0.3907       0.7273        0.2236       0.7231         0.6831
ProtoBurmish          1.5721        0.3647       0.5892         0.4993       1.4233        0.3481       0.5755         0.5166
Rangoon               3.0471        0.8425       0.2269         0.0909       2.9353        0.8177       0.2303         0.1040
Xiandao               3.2938        0.7735       0.3278         0.1481       3.5309        0.8242       0.3123         0.0959
TOTAL                 2.1295        0.5489       0.4596         0.3334       2.1408        0.5395       0.4557         0.3457


** /proj/evolang2022/tiago/ST2022/data-surprise/kesslersignificance/solutions-0.10.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Albanian         3.3125        0.7135       0.4065         0.1299       2.6875        0.7937       0.3780         0.0925
English          2.8500        0.7295       0.5241         0.1530       2.1000        0.6267       0.5409         0.2229
French           2.6500        0.7599       0.5304         0.1339       2.2381        0.6667       0.4483         0.2092
German           2.1000        0.6158       0.5590         0.2318       2.2000        0.6100       0.5831         0.2282
Latin            2.9524        0.7008       0.4411         0.1610       2.6190        0.6222       0.5136         0.2265
TOTAL            2.7730        0.7039       0.4922         0.1619       2.3689        0.6639       0.4928         0.1959


** /proj/evolang2022/tiago/ST2022/data-surprise/kesslersignificance/solutions-0.20.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Albanian         3.4211        0.7555       0.3659         0.0857       2.5789        0.6851       0.3807         0.1426
English          2.8421        0.6831       0.4249         0.1831       2.2821        0.6509       0.4415         0.2032
French           3.0769        0.7832       0.3600         0.1111       2.3095        0.6671       0.4136         0.1883
German           2.4146        0.6703       0.4290         0.1597       2.2250        0.6041       0.4663         0.2341
Latin            2.9024        0.6562       0.3957         0.1815       2.4390        0.5433       0.4248         0.2573
TOTAL            2.9314        0.7097       0.3951         0.1442       2.3669        0.6301       0.4254         0.2051


** /proj/evolang2022/tiago/ST2022/data-surprise/kesslersignificance/solutions-0.30.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Albanian         3.3043        0.8010       0.3545         0.0990       3.0435        0.7532       0.3189         0.1048
English          2.9821        0.7423       0.3763         0.1299       2.3571        0.6369       0.4444         0.2189
French           3.1250        0.8227       0.3290         0.0727       2.5263        0.7629       0.3455         0.1028
German           2.6545        0.6666       0.3898         0.1675       3.0364        0.6680       0.3710         0.1824
Latin            3.4237        0.7964       0.2783         0.0876       2.6000        0.5906       0.3894         0.2222
TOTAL            3.0980        0.7658       0.3456         0.1113       2.7127        0.6823       0.3738         0.1662


** /proj/evolang2022/tiago/ST2022/data-surprise/kesslersignificance/solutions-0.40.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Albanian         4.1765        0.9284       0.3013         0.0292       3.3929        0.8330       0.2156         0.0603
English          3.7015        0.8833       0.3133         0.0409       2.7463        0.6446       0.3728         0.2123
French           3.9714        0.9123       0.2995         0.0299       2.7143        0.6983       0.2857         0.1824
German           4.0303        0.8544       0.3350         0.0646       2.8939        0.6677       0.3584         0.1947
Latin            3.6892        0.8292       0.2688         0.0785       3.1351        0.6823       0.2790         0.1549
TOTAL            3.9138        0.8815       0.3036         0.0486       2.9765        0.7052       0.3023         0.1609


** /proj/evolang2022/tiago/ST2022/data-surprise/kesslersignificance/solutions-0.50.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Albanian         4.3784        0.9409       0.2885         0.0202       3.1081        0.8852       0.1800         0.0356
English          3.6351        0.8760       0.2983         0.0490       2.4730        0.6302       0.3646         0.2220
French           4.3976        0.9421       0.2734         0.0226       2.6341        0.7353       0.2934         0.1391
German           3.9306        0.8445       0.3293         0.0694       2.8472        0.6484       0.3380         0.2059
Latin            3.9770        0.8685       0.2187         0.0652       3.5517        0.7246       0.2508         0.1273
TOTAL            4.0637        0.8944       0.2816         0.0453       2.9228        0.7247       0.2854         0.1460


** /proj/evolang2022/tiago/ST2022/data-surprise/luangthongkumkaren/solutions-0.10.tsv
Language       ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Kayah             0.1316        0.0417       0.9564         0.9297       0.2632        0.0768       0.9128         0.8700
Kayan             0.4474        0.1105       0.9064         0.8060       0.3421        0.0851       0.8934         0.8485
Kayaw             0.1316        0.0373       0.9886         0.9377       0.3947        0.1184       0.8883         0.8212
NorthernPao       0.2632        0.0575       0.9290         0.9086       0.1579        0.0368       0.9462         0.9394
NorthernPwo       0.7895        0.2083       0.8171         0.6759       0.5000        0.1355       0.8500         0.7924
ProtoKaren        0.4211        0.1061       0.9196         0.8182       0.4211        0.1048       0.9040         0.8361
SouthernPao       0.2105        0.0456       0.9399         0.9273       0.1053        0.0250       0.9708         0.9552
WesternBwe        0.6316        0.2083       0.8259         0.6952       0.5526        0.1754       0.8165         0.7401
TOTAL             0.3783        0.1019       0.9103         0.8373       0.3421        0.0947       0.8977         0.8504


** /proj/evolang2022/tiago/ST2022/data-surprise/luangthongkumkaren/solutions-0.20.tsv
Language       ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Kayah             0.2368        0.0680       0.9259         0.8865       0.3158        0.0910       0.8711         0.8575
Kayan             0.5263        0.1276       0.8428         0.7968       0.4868        0.1189       0.8325         0.8167
Kayaw             0.2237        0.0669       0.9397         0.8944       0.3026        0.0899       0.8729         0.8594
NorthernPao       0.3289        0.0730       0.8864         0.8824       0.2500        0.0586       0.9259         0.9040
NorthernPwo       0.7632        0.2046       0.8082         0.6784       0.6053        0.1623       0.7767         0.7652
ProtoKaren        0.5000        0.1257       0.8717         0.7909       0.6053        0.1561       0.8340         0.7548
SouthernPao       0.3816        0.0851       0.8760         0.8608       0.2895        0.0702       0.8999         0.8933
WesternBwe        0.8158        0.2572       0.7824         0.6296       0.7632        0.2423       0.7406         0.6407
TOTAL             0.4720        0.1260       0.8667         0.8025       0.4523        0.1237       0.8442         0.8115


** /proj/evolang2022/tiago/ST2022/data-surprise/luangthongkumkaren/solutions-0.30.tsv
Language       ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Kayah             0.2281        0.0702       0.9100         0.8847       0.3421        0.1001       0.8672         0.8340
Kayan             0.5088        0.1262       0.8441         0.7949       0.5351        0.1311       0.8162         0.7897
Kayaw             0.1667        0.0512       0.9459         0.9136       0.3158        0.0980       0.8725         0.8449
NorthernPao       0.3684        0.0842       0.8845         0.8656       0.3860        0.0952       0.8918         0.8429
NorthernPwo       1.0088        0.2740       0.7822         0.6022       0.8509        0.2256       0.7262         0.6552
ProtoKaren        0.4912        0.1275       0.8834         0.7876       0.6316        0.1570       0.8113         0.7450
SouthernPao       0.4035        0.0908       0.8772         0.8565       0.3684        0.0966       0.8918         0.8414
WesternBwe        0.4123        0.1294       0.8427         0.8098       0.7105        0.2105       0.7483         0.6959
TOTAL             0.4485        0.1192       0.8712         0.8144       0.5175        0.1393       0.8282         0.7811


** /proj/evolang2022/tiago/ST2022/data-surprise/luangthongkumkaren/solutions-0.40.tsv
