COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
1448-7							p ɑ g ɜ n̪
1029-7							m ɑ ɾ
863-7							ɕ ɑ
539-7							tθʰ i l
610-7							ʊ ɑ
350-7							ʊ ɑ ŋ o
871-7							o m ɑ
734-7							ɾ β̞ ɑ
431-7							kʰ i
1298-7							o b ʊ l
929-7							z̪ ɑ ŋ k i
1315-7							t̪ ɑ k s̪ k ɜ n̪
964-7							m ɛ n̪ t̪ ɑ k
836-7							m i
1644-7							b u s̪ t̪ r̪ i ŋ
547-7							ɑ t̪ ɑ
1048-7							k ɜ k ɜ
1692-7							pʰ n̪ o
1306-7							ʊ ɾ ʊ
405-7							b o ŋ o
294-7							ʊ r̪ u
661-7							b o ŋ o
413-7							ʊ q
996-7							tθʰ ɜ n̪
1012-7							t̪ r̪ o b ɜ ɾ
181-7							pʰ ɪ t̪ o
1660-7							g o n̪ d
1440-7							d̪ i r̪ i ŋ
1652-7							l o
1037-7							ɕ ȵ i m ɑ
677-7							ʊ ɾ d m o
1561-7							k ɜ ɕ p ɑ
447-7							s̪ k ɜ m b o
828-7							ɾ i m o
1247-7							tɕ ɜ t̪
391-7							g o ɜ k m o
972-7							ȵ i m o ɾ
531-7							t̪ʰ ɜ q r̪ i ŋ
253-7							tɕ o g o
1282-7							ʊ u n̪
812-7							j ɑ ŋ m o
245-7							t̪ʰ o ɾ u
1609-7							k ɑ ɕ p o
261-7							n̪ ɑ q p o
1143-7							m ɑ r̪ p o
1065-7							tɕ i k
1504-7							ȵ i s̪
1432-7							s̪ u m
634-7							ʊ ɾ d i
1255-7							t̪ r̪ u k
488-7							ʊ gʲ t̪
1004-7							ʊ ɾ g u o
506-7							tɕ u s̪ tɕ i k
1488-7							tɕ o ŋ ɜ s̪
1496-7							ȵ i ɕ u
1073-7							ʊ gʲ ɜ
1617-7							s̪ u
1569-7							tɕ i
1593-7							g ɑ ɾ
1585-7							n̪ ɑ m
759-7							ɾ ɑ m
1415-7							d̪ o ŋ
1215-7							β̞ o k s̪ tθ o q s̪
422-7							l o k s̪ o
310-7							tɕʰ ɑ q p o
189-7							g ɑ ŋ m ɑ
25-7							z̪ ʊ s̪
9-7							l̪ t̪ o k s̪
57-7							t̪ʰ ŋ
17-7							s̪ k o m s̪
